SampleID,Year,Lake,Site,CollectionDate,Location,Depth,Taxon,N,Length,Weight,Tissue,GutID,FishID,VolumeFiltered,Isotopes,Type,Comments
A-0292,2010,Ward,A,30-May-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0293,2010,Ward,B,30-May-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0294,2010,Ward,C,30-May-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0295,2010,Ward,D,30-May-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0296,2010,Ward,E,30-May-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0297,2010,Ward,A,25-Jun-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0298,2010,Ward,B,25-Jun-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0299,2010,Ward,C,25-Jun-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0300,2010,Ward,D,25-Jun-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0301,2010,Ward,E,25-Jun-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0302,2010,Ward,A,20-Jul-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0303,2010,Ward,B,20-Jul-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0304,2010,Ward,C,20-Jul-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0305,2010,Ward,D,20-Jul-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0306,2010,Ward,E,20-Jul-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0307,2010,Ward,A,17-Aug-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0308,2010,Ward,B,17-Aug-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0309,2010,Ward,C,17-Aug-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0310,2010,Ward,D,17-Aug-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0311,2010,Ward,E,17-Aug-10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0312,2012,Ward,A,18-Jun-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0313,2012,Ward,B,18-Jun-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0314,2012,Ward,C,18-Jun-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0315,2012,Ward,A,16-Jul-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0316,2012,Ward,B,16-Jul-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0317,2012,Ward,C,16-Jul-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0318,2012,Ward,A,13-Aug-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0319,2012,Ward,B,13-Aug-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-0320,2012,Ward,C,13-Aug-12,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0827,2010,Ward,E,30-May-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0828,2010,Ward,D,30-May-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0829,2010,Ward,C,30-May-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0830,2010,Ward,B,30-May-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0831,2010,Ward,E,30-May-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0832,2010,Ward,D,30-May-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0833,2010,Ward,C,30-May-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0834,2010,Ward,B,30-May-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0835,2010,Ward,A,25-Jun-10,NA,0,Helisoma trivolvis,3?,NA,NA,NA,NA,NA,NA,NA,NA,whole?
B-0836,2010,Ward,B,25-Jun-10,NA,0,Helisoma trivolvis,3?,NA,NA,NA,NA,NA,NA,NA,NA,whole?
B-0837,2010,Ward,C,25-Jun-10,NA,0,Helisoma trivolvis,3-4?,NA,NA,NA,NA,NA,NA,NA,NA,whole?
B-0838,2010,Ward,D,25-Jun-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,whole?
B-0839,2010,Ward,E,25-Jun-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,didn't grind well
B-0840,2010,Ward,A,25-Jun-10,NA,0,Thin spiral snail,1,NA,NA,NA,NA,NA,NA,NA,NA,whole
B-0841,2010,Ward,C,25-Jun-10,NA,0,Clam,1,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0842,2010,Ward,C,25-Jun-10,NA,0,Clam,1,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0843,2010,Ward,A,28-Jun-10,NA,0,Pointy Snail,2,NA,NA,NA,NA,NA,NA,NA,NA,on chara
B-0844,2010,Ward,A,20-Jul-10,NA,0,Helisoma trivolvis,2,NA,NA,NA,NA,NA,NA,NA,NA,Rotten
B-0845,2010,Ward,B,20-Jul-10,NA,0,Helisoma trivolvis,?,NA,NA,NA,NA,NA,NA,NA,NA,Rotten
B-0846,2010,Ward,C,20-Jul-10,NA,0,Helisoma trivolvis,2,NA,NA,NA,NA,NA,NA,NA,NA,Rotten
B-0847,2010,Ward,D,20-Jul-10,NA,0,Helisoma trivolvis,3?,NA,NA,NA,NA,NA,NA,NA,NA,Rotten
B-0848,2010,Ward,A,28-Jul-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0849,2010,Ward,B,28-Jul-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0850,2010,Ward,C,28-Jul-10,NA,0,Helisoma trivolvis,6,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0851,2010,Ward,D,28-Jul-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0852,2010,Ward,E,28-Jul-10,NA,0,Helisoma trivolvis,4,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0853,2010,Ward,A,28-Jul-10,NA,0,Crayfish,1,NA,NA,NA,NA,NA,NA,NA,NA,one big
B-0854,2010,Ward,E,28-Jul-10,NA,0,Crayfish,2,NA,NA,NA,NA,NA,NA,NA,NA,"one big, one smIntegrated"
B-0855,2010,Ward,A,28-Jul-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0856,2010,Ward,B,28-Jul-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0857,2010,Ward,C,28-Jul-10,NA,0,Helisoma trivolvis,6,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0858,2010,Ward,D,28-Jul-10,NA,0,Helisoma trivolvis,4?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0859,2010,Ward,E,28-Jul-10,NA,0,Helisoma trivolvis,4,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0860,2010,Ward,A,17-Aug-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0861,2010,Ward,B,17-Aug-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0862,2010,Ward,C,17-Aug-10,NA,0,Helisoma trivolvis,7?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0863,2010,Ward,D,17-Aug-10,NA,0,Helisoma trivolvis,9?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0864,2010,Ward,E,17-Aug-10,NA,0,Helisoma trivolvis,5-7?,NA,NA,NA,NA,NA,NA,NA,NA,Feet
B-0865,2010,Ward,A,17-Aug-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0866,2010,Ward,B,17-Aug-10,NA,0,Helisoma trivolvis,5?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0867,2010,Ward,C,17-Aug-10,NA,0,Helisoma trivolvis,7?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0868,2010,Ward,D,17-Aug-10,NA,0,Helisoma trivolvis,9?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0869,2010,Ward,E,17-Aug-10,NA,0,Helisoma trivolvis,5-7?,NA,NA,NA,NA,NA,NA,NA,NA,Guts
B-0870,2012,Ward,A,18-Jun-12,NA,0,Helisoma trivolvis,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0871,2012,Ward,B,18-Jun-12,NA,0,Helisoma trivolvis,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0872,2012,Ward,C,18-Jun-12,NA,0,Helisoma trivolvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0873,2012,Ward,A,16-Jul-12,NA,0,Helisoma trivolvis,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0874,2012,Ward,B,16-Jul-12,NA,0,Helisoma trivolvis,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0875,2012,Ward,C,16-Jul-12,NA,0,Helisoma trivolvis,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0876,2012,Ward,A,13-Aug-12,NA,0,Helisoma trivolvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0877,2012,Ward,B,13-Aug-12,NA,0,Helisoma trivolvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B-0878,2012,Ward,C,13-Aug-12,NA,0,Helisoma trivolvis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F-0975,2010,Ward,B,26-May-10,NA,NA,GNS,NA,123,17.8,Whole,G-0698,NA,NA,NA,NA,NA
F-0976,2010,Ward,B,26-May-10,NA,NA,CMM,NA,63,2.6,Whole,G-0699,NA,NA,NA,NA,NA
F-0977,2010,Ward,B,26-May-10,NA,NA,CMM,NA,73,3,Whole,G-0700,NA,NA,NA,NA,NA
F-0978,2010,Ward,B,26-May-10,NA,NA,FHM,NA,72,5.2,Whole,G-0701,NA,NA,NA,NA,NA
F-0979,2010,Ward,B,26-May-10,NA,NA,FHM,NA,74,5.2,Whole,G-0702,NA,NA,NA,NA,NA
F-0980,2010,Ward,B,26-May-10,NA,NA,FHM,NA,73,6.1,Whole,G-0703,NA,NA,NA,NA,NA
F-0981,2010,Ward,B,26-May-10,NA,NA,DAC,NA,66,3.8,Whole,G-0704,NA,NA,NA,NA,NA
F-0982,2010,Ward,B,26-May-10,NA,NA,DAC,NA,57,2.4,Whole,G-0705,NA,NA,NA,NA,NA
F-0983,2010,Ward,B,26-May-10,NA,NA,DAC,NA,56,2,Whole,G-0706,NA,NA,NA,NA,NA
F-0984,2010,Ward,B,26-May-10,NA,NA,DAC,NA,59,2.6,Whole,G-0707,NA,NA,NA,NA,NA
F-0985,2010,Ward,C,26-May-10,NA,NA,BSB,NA,61,1.8,Whole,G-0708,NA,NA,NA,NA,NA
F-0986,2010,Ward,C,26-May-10,NA,NA,BSB,NA,68,2.5,Whole,G-0709,NA,NA,NA,NA,NA
F-0987,2010,Ward,C,26-May-10,NA,NA,BSB,NA,66,2.5,Whole,G-0710,NA,NA,NA,NA,NA
F-0988,2010,Ward,C,26-May-10,NA,NA,DAC,NA,53,1.6,Whole,G-0711,NA,NA,NA,NA,NA
F-0989,2010,Ward,C,26-May-10,NA,NA,DAC,NA,62,2.2,Whole,G-0712,NA,NA,NA,NA,NA
F-0990,2010,Ward,C,26-May-10,NA,NA,DAC,NA,62,2.7,Whole,G-0713,NA,NA,NA,NA,NA
F-0991,2010,Ward,C,26-May-10,NA,NA,FHM,NA,73,5.2,Whole,G-0714,NA,NA,NA,NA,NA
F-0992,2010,Ward,C,26-May-10,NA,NA,FHM,NA,71,5.1,Whole,G-0715,NA,NA,NA,NA,NA
F-0993,2010,Ward,C,26-May-10,NA,NA,FHM,NA,73,5.4,Whole,G-0716,NA,NA,NA,NA,NA
F-0994,2010,Ward,E,26-May-10,NA,NA,FHM,NA,77,6.5,Whole,G-0717,NA,NA,NA,NA,NA
F-0995,2010,Ward,E,26-May-10,NA,NA,FHM,NA,83,7.3,Whole,G-0718,NA,NA,NA,NA,NA
F-0996,2010,Ward,E,26-May-10,NA,NA,FHM,NA,75,6.3,Whole,G-0719,NA,NA,NA,NA,NA
F-0997,2010,Ward,A,26-May-10,NA,NA,PKS,NA,56,3.2,Whole,G-0720,NA,NA,NA,NA,NA
F-0998,2010,Ward,A,26-May-10,NA,NA,BSB,NA,53,1.8,Whole,G-0721,NA,NA,NA,NA,NA
F-0999,2010,Ward,A,26-May-10,NA,NA,FHM,NA,75,5.9,Whole,G-0722,NA,NA,NA,NA,NA
F-1000,2010,Ward,A,26-May-10,NA,NA,FHM,NA,73,5.8,Whole,G-0723,NA,NA,NA,NA,NA
F-1001,2010,Ward,A,26-May-10,NA,NA,BSB,NA,53,1.3,Whole,G-0724,NA,NA,NA,NA,NA
F-1002,2010,Ward,A,26-May-10,NA,NA,FHM,NA,74,6.4,Whole,G-0725,NA,NA,NA,NA,NA
F-1003,2010,Ward,A,26-May-10,NA,NA,DAC,NA,56,2.1,Whole,G-0726,NA,NA,NA,NA,NA
F-1004,2010,Ward,A,26-May-10,NA,NA,DAC,NA,57,2,Whole,G-0727,NA,NA,NA,NA,NA
F-1005,2010,Ward,A,26-May-10,NA,NA,DAC,NA,51,1.5,Whole,G-0728,NA,NA,NA,NA,NA
F-1006,2010,Ward,A,26-May-10,NA,NA,DAC,NA,42,1.3,Whole,G-0729,NA,NA,NA,NA,NA
F-1007,2010,Ward,A,26-May-10,NA,NA,IWD,NA,54,1.3,Whole,G-0730,NA,NA,NA,NA,NA
F-1008,2010,Ward,D,26-May-10,NA,NA,DAC,NA,68,4.4,Whole,G-0731,NA,NA,NA,NA,NA
F-1009,2010,Ward,D,26-May-10,NA,NA,DAC,NA,60,2.6,Whole,G-0732,NA,NA,NA,NA,NA
F-1010,2010,Ward,D,26-May-10,NA,NA,FHM,NA,74,5.4,Whole,G-0733,NA,NA,NA,NA,NA
F-1011,2010,Ward,D,26-May-10,NA,NA,FHM,NA,75,5.6,Whole,G-0734,NA,NA,NA,NA,NA
F-1012,2010,Ward,D,26-May-10,NA,NA,FHM,NA,76,5.5,Whole,G-0735,NA,NA,NA,NA,NA
F-1013,2010,Ward,D,26-May-10,NA,NA,DAC,NA,82,6.5,Whole,G-0736,NA,NA,NA,NA,NA
F-1014,2010,Ward,D,26-May-10,NA,NA,BSB,NA,58,1.9,Whole,G-0737,NA,NA,NA,NA,NA
F-1015,2010,Ward,D,26-May-10,NA,NA,DAC,NA,53,1.7,Whole,G-0738,NA,NA,NA,NA,NA
F-1016,2010,Ward,D,26-May-10,NA,NA,DAC,NA,55,2,Whole,G-0739,NA,NA,NA,NA,NA
F-1017,2010,Ward,D,26-May-10,NA,NA,DAC,NA,54,1.8,Whole,G-0740,NA,NA,NA,NA,NA
F-1018,2010,Ward,D,26-May-10,NA,NA,DAC,NA,54,1.8,Whole,G-0741,NA,NA,NA,NA,NA
F-1019,2010,Ward,X,26-May-10,NA,NA,YWP,NA,136,30,Whole,G-0742,NA,NA,NA,NA,NA
F-1020,2010,Ward,X,26-May-10,NA,NA,YWP,NA,137,28.8,Whole,G-0743,NA,NA,NA,NA,NA
F-1021,2010,Ward,X,26-May-10,NA,NA,YWP,NA,116,18.1,Whole,G-0772,NA,NA,NA,NA,NA
F-1022,2010,Ward,A,24-Jun-10,NA,NA,YWP,NA,90,7.243,Whole,G-0785,NA,NA,NA,NA,NA
F-1023,2010,Ward,A,24-Jun-10,NA,NA,PKS,NA,60,3.924,Whole,G-0786,NA,NA,NA,NA,NA
F-1024,2010,Ward,A,24-Jun-10,NA,NA,PKS,NA,64,4.747,Whole,G-0747,NA,NA,NA,NA,NA
F-1025,2010,Ward,B,24-Jun-10,NA,NA,DAC,NA,66,2.849,Whole,G-0748,NA,NA,NA,NA,NA
F-1026,2010,Ward,B,24-Jun-10,NA,NA,DAC,NA,67,2.776,Whole,G-0749,NA,NA,NA,NA,NA
F-1027,2010,Ward,B,24-Jun-10,NA,NA,FHM,NA,79,5.72,Whole,G-0789,NA,NA,NA,NA,NA
F-1028,2010,Ward,B,24-Jun-10,NA,NA,FHM,NA,77,5.179,Whole,G-0751,NA,NA,NA,NA,NA
F-1029,2010,Ward,C,24-Jun-10,NA,NA,PKS,NA,71,6.635,Whole,G-0752,NA,NA,NA,NA,NA
F-1030,2010,Ward,C,24-Jun-10,NA,NA,PKS,NA,61,3.707,Whole,G-0799,NA,NA,NA,NA,NA
F-1031,2010,Ward,C,24-Jun-10,NA,NA,PKS,NA,59,4,Whole,G-0754,NA,NA,NA,NA,NA
F-1032,2010,Ward,D,24-Jun-10,NA,NA,FHM,NA,78,5.166,Whole,G-0801,NA,NA,NA,NA,NA
F-1033,2010,Ward,D,24-Jun-10,NA,NA,FHM,NA,76,4.674,Whole,G-0756,NA,NA,NA,NA,NA
F-1034,2010,Ward,D,24-Jun-10,NA,NA,DAC,NA,56,1.584,Whole,G-0783,NA,NA,NA,NA,NA
F-1035,2010,Ward,E,24-Jun-10,NA,NA,DAC,NA,61,3.802,Whole,G-0758,NA,NA,NA,NA,NA
F-1036,2010,Ward,E,24-Jun-10,NA,NA,DAC,NA,66,2.597,Whole,G-0759,NA,NA,NA,NA,NA
F-1037,2010,Ward,E,24-Jun-10,NA,NA,DAC,NA,58,1.975,Whole,G-0760,NA,NA,NA,NA,NA
