SampleID,dD
B-0870,-170.9
B-0871,-175.3
B-0873,-148.5
B-0874,-151
B-0876,-159.4
B-0877,-149.2
F-1095,-184.5
F-1123,-207.4
F-1124,-245.3
F-1131,-179.2
F-1133,-170.1
F-1143,-168.6
F-1161,-155
F-1163,-162.8
F-1173,-191.5
F-1177,-153.1
F-1185,-172.5
F-1189,-126.6
F-1205,-193.5
F-1206,-205.7
F-1209,-161.7
F-1229,-175.3
F-1233,-189.9
F-1240,-160.9
F-1242,-154.5
F-1244,-156
F-1246,-164.6
F-1260,-161.7
F-1262,-163.1
F-1270,-166.9
F-1272,-188.5
F-1273,-227
F-1274,-165.6
F-1280,-149.8
F-1288,-164.8
F-1290,-170.9
F-1292,-177
F-1300,-186.3
F-1302,-164.8
F-1312,-162.5
F-1316,-150.1
F-1320,-160.6
F-1322,-152
F-1328,-154.3
F-1329,-181.4
F-1338,-156.2
F-1354,-142.8
F-1356,-150.1
F-1358,-140.6
F-1360,-142.8
F-1364,-151.8
F-1366,-147.7
F-1372,-148
F-1374,-149.1
F-1376,-164.9
F-1381,-279.8
F-1382,-155.2
F-1384,-147.4
F-1386,-173.7
F-1388,-165.5
F-1390,-146.8
F-1392,-187.5
F-1393,-237.1
F-1394,-180.7
F-1395,-200.6
F-1400,-160.4
F-1402,-152
F-1406,-179.8
F-1416,-178.3
F-1422,-181.4
Z-1200,-212.8
Z-1188,-212.3
Z-1178,-180.1
Z-1193,-169.2
Z-1179,-157.6
Z-1195,-162.7
Z-1176,-228.7
Z-1170,-204.2
Z-1172,-176.1
Z-1185,-188.6
Z-1198,-182.3
Z-1182,-178.9
Z-1187,-180.8
Z-1204,-184
Z-1191,-186.4
Z-1175,-200.2
Z-1173,-241
Z-1203,-165.9
Z-1189,-168.4
Z-1169,-177.7
Z-1180,-175.2
Z-1197,-187.8
Z-1190,-144.2
Z-1202,-164.4
Z-1194,-156.7
Z-1181,-178.6
Z-1171,-186
Z-1196,-190
Z-1174,-208.9
Z-1186,-176.8
Z-1183,-171.3
Z-1192,-206.5
Z-1177,-220.3
