SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalyzedForBatt2012,Notes
A-0298,2010,Ward,Littoral,B,0.5,2,25-Jun-10,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,0.34,-22.43,-192.3,Yes,
A-0299,2010,Ward,Littoral,C,0.5,2,25-Jun-10,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,-0.13,-23.18,-197.7,Yes,
A-0301,2010,Ward,Littoral,E,0.5,2,25-Jun-10,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,0.16,-22.42,-194.1,Yes,
A-0308,2010,Ward,Littoral,B,0.5,4,17-Aug-10,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,-0.07,-22.14,-191.1,Yes,
A-0309,2010,Ward,Littoral,C,0.5,4,17-Aug-10,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,-0.2,-20.41,-195.1,Yes,
A-0311,2010,Ward,Littoral,E,0.5,4,17-Aug-10,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,-0.34,-21.22,-208,Yes,
A-0315,2012,Ward,Littoral,A,0.1,3,16-Jul-12,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,NA,NA,-209.9,No,
A-0316,2012,Ward,Littoral,B,0.1,3,16-Jul-12,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,NA,NA,-204.9,No,
A-0317,2012,Ward,Littoral,C,0.1,3,16-Jul-12,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,NA,NA,-213,No,
A-0318,2012,Ward,Littoral,A,0.1,4,13-Aug-12,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,NA,NA,-208,No,
A-0319,2012,Ward,Littoral,B,0.1,4,13-Aug-12,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,NA,NA,-199.8,No,
A-0320,2012,Ward,Littoral,C,0.1,4,13-Aug-12,Periphyton,Periphyton,0,NA,NA,NA,NA,NA,NA,NA,-205.2,No,
B-0836,2010,Ward,Littoral,B,0.5,2,25-Jun-10,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,0.28,-24.76,-155.5,Yes,
B-0837,2010,Ward,Littoral,C,0.5,2,25-Jun-10,Snail,Helisoma trivolvis,1,NA,NA,NA,NA,NA,0.71,-25.79,-152.2,Yes,
