SampleID,Year,Lake,Habitat,Site,Depth,Week,Date,Type,Taxon,Trophic,Length,Weight,Tissue,GutID,FishID,d15N,d13C,dD,AnalayzedForBatt2012,Notes
F-0979,2010,Ward,All,B,NA,1,27-May-10,Fish,FHM,2,NA,NA,NA,NA,NA,4.8,-31.66,-176.7,Yes,
F-0991,2010,Ward,All,C,NA,1,27-May-10,Fish,FHM,2,NA,NA,NA,NA,NA,5,-33.37,-187.9,Yes,
F-0994,2010,Ward,All,E,NA,1,27-May-10,Fish,FHM,2,NA,NA,NA,NA,NA,4.39,-28.63,-186.1,Yes,
F-1022,2010,Ward,All,A,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,NA,NA,NA,5.94,-31.4,-175.7,Yes,
F-1023,2010,Ward,All,A,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,NA,NA,NA,5.87,-31.75,-159.1,Yes,
F-1027,2010,Ward,All,B,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,NA,NA,NA,3.1,-31.51,-191.4,Yes,
F-1029,2010,Ward,All,C,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,NA,NA,NA,6.04,-30.61,-164.3,Yes,
F-1030,2010,Ward,All,C,NA,2,24-Jun-10,Fish,PKS,2,NA,NA,NA,NA,NA,7.26,-30.94,-150.2,Yes,
F-1032,2010,Ward,All,D,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,NA,NA,NA,3.88,-30.75,-189.6,Yes,
F-1038,2010,Ward,All,E,NA,2,24-Jun-10,Fish,FHM,2,NA,NA,NA,NA,NA,3.86,-29.48,-171.1,Yes,
F-1040,2010,Ward,All,X,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,NA,NA,NA,5.74,-29.85,-177.1,Yes,
F-1041,2010,Ward,All,X,NA,2,24-Jun-10,Fish,YWP,3,NA,NA,NA,NA,NA,6.19,-28.77,-147,Yes,
F-1064,2010,Ward,All,B,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,NA,NA,NA,6,-30.56,-160.1,Yes,
F-1066,2010,Ward,All,B,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,NA,NA,NA,4.05,-27.76,-170.1,Yes,
F-1075,2010,Ward,All,C,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,NA,NA,NA,4.68,-26.49,-156.2,Yes,
F-1076,2010,Ward,All,C,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,NA,NA,NA,4.72,-28.28,-160,Yes,
F-1079,2010,Ward,All,E,NA,4,18-Aug-10,Fish,YWP,3,NA,NA,NA,NA,NA,5.06,-27.55,-161,Yes,
F-1080,2010,Ward,All,E,NA,4,18-Aug-10,Fish,PKS,2,NA,NA,NA,NA,NA,5.8,-30.7,-160.6,Yes,
F-0976,2010,Ward,All,B,NA,1,26-May-10,Fish,CMM,,63,2.6,Whole,G-0699,NA,NA,NA,-154.5,No,
F-0977,2010,Ward,All,B,NA,1,26-May-10,Fish,CMM,,73,3,Whole,G-0700,NA,NA,NA,-146.7,No,
F-0978,2010,Ward,All,B,NA,1,26-May-10,Fish,FHM,,72,5.2,Whole,G-0701,NA,NA,NA,-193.1,No,
F-0981,2010,Ward,All,B,NA,1,26-May-10,Fish,DAC,,66,3.8,Whole,G-0704,NA,NA,NA,-199.2,No,
F-0992,2010,Ward,All,C,NA,1,26-May-10,Fish,FHM,,71,5.1,Whole,G-0715,NA,NA,NA,-195.9,No,
F-0996,2010,Ward,All,E,NA,1,26-May-10,Fish,FHM,,75,6.3,Whole,G-0719,NA,NA,NA,-193.3,No,
F-0999,2010,Ward,All,A,NA,1,26-May-10,Fish,FHM,,75,5.9,Whole,G-0722,NA,NA,NA,-191.9,No,
F-1003,2010,Ward,All,A,NA,1,26-May-10,Fish,DAC,,56,2.1,Whole,G-0726,NA,NA,NA,-182.9,No,
F-1009,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,60,2.6,Whole,G-0732,NA,NA,NA,-184.9,No,
F-1011,2010,Ward,All,D,NA,1,26-May-10,Fish,FHM,,75,5.6,Whole,G-0734,NA,NA,NA,-196.7,No,
F-1012,2010,Ward,All,D,NA,1,26-May-10,Fish,FHM,,76,5.5,Whole,G-0735,NA,NA,NA,-192.4,No,
F-1013,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,82,6.5,Whole,G-0736,NA,NA,NA,-167.6,No,
F-1016,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,55,2,Whole,G-0739,NA,NA,NA,-175.3,No,
F-1018,2010,Ward,All,D,NA,1,26-May-10,Fish,DAC,,54,1.8,Whole,G-0741,NA,NA,NA,-171.6,No,
F-1025,2010,Ward,All,B,NA,2,24-Jun-10,Fish,DAC,,66,2.849,Whole,G-0748,NA,NA,NA,-168.8,No,
F-1026,2010,Ward,All,B,NA,2,24-Jun-10,Fish,DAC,,67,2.776,Whole,G-0749,NA,NA,NA,-177,No,
F-1034,2010,Ward,All,D,NA,2,24-Jun-10,Fish,DAC,,56,1.584,Whole,G-0783,NA,NA,NA,-181.7,No,
