========,========,=====,======,=====,======,======,======,======,=====,=====,=======
    Date,    Time, Temp,SpCond,   pH,BGA-PC,BGA-PC,ODOsat,   ODO,  Chl,  Chl,Battery
   m/d/y,hh:mm:ss,    C, mS/cm,     ,cell/mL,   RFU,     %,  mg/L, ug/L,  RFU,  volts
--------,--------,-----,------,-----,------,------,------,------,-----,-----,-------
2012-05-03,0:01:08,15.5,0.014,6.54,NA,-42.8,95.7,9.55,1,0.3,13.4
2012-05-03,0:06:07,15.47,0.014,6.55,NA,-43,96,9.58,0.7,0.3,13.6
2012-05-03,0:11:08,15.52,0.014,6.56,NA,-42.7,96.1,9.58,3,0.8,13.7
2012-05-03,0:16:08,15.44,0.015,6.56,NA,-43.1,96.5,9.64,1.8,0.5,13.6
2012-05-03,0:21:08,15.37,0.014,6.57,NA,-43.4,96.1,9.61,1.5,0.5,13.7
2012-05-03,0:26:08,15.34,0.014,6.58,NA,-43.5,96,9.61,0.7,0.3,13.7
2012-05-03,0:31:08,15.38,0.014,6.6,NA,-43.3,96.1,9.62,0.6,0.2,13.7
2012-05-03,0:36:08,15.37,0.014,6.61,NA,-43.4,96,9.6,0.5,0.2,13.8
2012-05-03,0:41:14,15.5,0.014,6.62,NA,-42.8,96.4,9.62,2.4,0.7,13.8
2012-05-03,0:46:10,15.52,0.014,6.62,NA,-42.7,96.3,9.6,2,0.6,13.9
2012-05-03,0:51:09,15.53,0.014,6.62,NA,-42.7,97,9.67,1.6,0.5,13.9
2012-05-03,0:56:08,15.44,0.014,6.62,NA,-43.1,96.3,9.62,1.5,0.4,13.7
2012-05-03,1:01:08,15.45,0.014,6.62,NA,-43,96.1,9.6,3,0.8,13.7
2012-05-03,1:06:08,15.47,0.014,6.62,NA,-42.9,95.9,9.57,1.3,0.4,13.7
2012-05-03,1:11:08,15.45,0.014,6.62,NA,-43,96,9.59,1.1,0.4,13.7
2012-05-03,1:16:08,15.45,0.014,6.62,NA,-43,95.4,9.53,1.9,0.6,13.7
2012-05-03,1:21:08,15.49,0.014,6.62,NA,-42.8,95.4,9.52,0.9,0.3,13.6
2012-05-03,1:26:07,15.45,0.014,6.62,NA,-43,95.4,9.52,1.4,0.4,13.6
2012-05-03,1:31:08,15.43,0.014,6.62,NA,-43.1,95.6,9.55,1.3,0.4,13.6
2012-05-03,1:36:08,15.5,0.014,6.62,NA,-42.8,95.8,9.56,1.4,0.4,13.7
2012-05-03,1:41:08,15.6,0.014,6.61,NA,-42.4,95.8,9.54,1.5,0.5,13.5
2012-05-03,1:46:08,15.52,0.014,6.62,NA,-42.7,96.3,9.6,1.3,0.4,13.7
2012-05-03,1:51:08,15.37,0.014,6.62,NA,-43.4,95.6,9.57,1.6,0.5,13.5
2012-05-03,1:56:08,15.32,0.014,6.61,NA,-43.6,95.3,9.55,0.7,0.3,13.6
2012-05-03,2:01:10,15.25,0.014,6.6,NA,-43.9,95.5,9.58,1.1,0.4,13.8
2012-05-03,2:06:09,15.18,0.014,6.6,NA,-44.1,95.3,9.58,2.7,0.7,13.8
2012-05-03,2:11:12,15.13,0.014,6.6,NA,-44.4,95.9,9.64,1.2,0.4,13.7
2012-05-03,2:16:14,15.13,0.014,6.6,NA,-44.4,95.9,9.64,2.2,0.6,13.7
2012-05-03,2:21:13,15.13,0.015,6.6,NA,-44.4,96,9.65,0.7,0.3,13.8
2012-05-03,2:26:12,15.3,0.014,6.61,NA,-43.7,96.2,9.64,3.1,0.8,13.7
2012-05-03,2:31:11,15.32,0.014,6.61,NA,-43.6,97.3,9.74,1,0.3,13.7
2012-05-03,2:36:09,15.42,0.014,6.62,NA,-43.1,96.6,9.65,1.5,0.4,13.8
2012-05-03,2:41:08,15.36,0.014,6.62,NA,-43.4,96.2,9.63,1.8,0.5,13.5
2012-05-03,2:46:08,15.5,0.014,6.63,NA,-42.8,96.3,9.61,1.1,0.4,13.5
2012-05-03,2:51:07,15.35,0.014,6.63,NA,-43.5,95.9,9.59,5.9,1.5,13.4
2012-05-03,2:56:08,15.26,0.014,6.62,NA,-43.8,95.8,9.61,1.2,0.4,13.4
2012-05-03,3:01:08,15.33,0.014,6.62,NA,-43.5,95.5,9.56,1.1,0.4,13.6
2012-05-03,3:06:08,15.21,0.014,6.62,NA,-44,95.5,9.59,2,0.6,13.5
2012-05-03,3:11:08,15.19,0.014,6.62,NA,-44.1,95.9,9.63,3,0.8,13.6
2012-05-03,3:16:07,15.29,0.014,6.62,NA,-43.7,96.3,9.65,1.2,0.4,13.5
2012-05-03,3:21:08,15.55,0.014,6.63,NA,-42.6,97.4,9.7,0.2,0.1,13.5
2012-05-03,3:26:08,15.6,0.014,6.62,NA,-42.4,98.2,9.77,1.4,0.4,13.6
2012-05-03,3:31:08,15.37,0.014,6.62,NA,-43.4,98,9.81,2.1,0.6,13.6
2012-05-03,3:36:08,15.36,0.014,6.62,NA,-43.4,97.1,9.72,1.3,0.4,13.6
2012-05-03,3:41:08,15.28,0.014,6.62,NA,-43.7,96.2,9.64,0.7,0.3,13.5
2012-05-03,3:46:07,15.26,0.014,6.62,NA,-43.8,96.3,9.66,1,0.3,13.4
2012-05-03,3:51:08,15.31,0.014,6.62,NA,-43.6,96.7,9.68,1.5,0.5,13.4
2012-05-03,3:56:08,15.18,0.014,6.63,NA,-44.1,96.2,9.67,3.1,0.8,13.4
2012-05-03,4:01:08,15.28,0.014,6.63,NA,-43.7,96.1,9.64,1.1,0.4,13.4
2012-05-03,4:06:08,15.17,0.014,6.64,NA,-44.2,96.5,9.69,0.8,0.3,13.4
2012-05-03,4:11:08,15.14,0.014,6.64,NA,-44.3,97.1,9.76,1.1,0.4,13.4
2012-05-03,4:16:08,15.17,0.014,6.64,NA,-44.2,96.3,9.68,1.4,0.4,13.4
2012-05-03,4:21:08,15.23,0.014,6.64,NA,-43.9,96.1,9.64,2.8,0.8,13.4
2012-05-03,4:26:08,15.24,0.014,6.63,NA,-43.9,96.7,9.7,2,0.6,13.4
2012-05-03,4:31:08,15.29,0.014,6.64,NA,-43.7,96.6,9.68,0.6,0.2,13.4
2012-05-03,4:36:08,15.22,0.014,6.64,NA,-44,96.8,9.71,1.6,0.5,13.4
2012-05-03,4:41:10,15.32,0.014,6.64,NA,-43.5,96,9.62,0.9,0.3,13.3
