========,========,=====,======,=====,========,======,======,======,=====,=====,=======
    Date,    Time, Temp,SpCond,   pH,  BGA-PC,BGA-PC,ODOsat,   ODO,  Chl,  Chl,Battery
   m/d/y,hh:mm:ss,    C, mS/cm,     ,cells/mL,   RFU,     %,  mg/L, ug/L,  RFU,  volts
--------,--------,-----,------,-----,--------,------,------,------,-----,-----,-------
2012-06-15,19:01:09,16.74,0.066,7.65,18,-28.7,96.5,9.37,0.1,0.1,13.3
2012-06-15,19:06:08,16.74,0.066,7.7,21,-28.7,96.2,9.34,0.4,0.2,13.1
2012-06-15,19:11:08,16.76,0.066,7.72,19,-28.6,96.2,9.34,0.4,0.2,13.2
2012-06-15,19:16:08,16.81,0.066,7.75,18,-28.4,96.2,9.33,-0.5,0,13.1
2012-06-15,19:21:08,16.82,0.066,7.77,17,-28.4,96.2,9.33,0.4,0.2,13.1
2012-06-15,19:26:09,16.83,0.066,7.78,16,-28.3,96.2,9.33,0.2,0.1,13.3
2012-06-15,19:31:09,16.87,0.066,7.79,15,-28.1,96.2,9.32,0.4,0.2,13.3
2012-06-15,19:36:08,16.89,0.066,7.81,13,-28.1,96.2,9.31,0,0.1,13
2012-06-15,19:41:08,16.9,0.066,7.82,14,-28.1,96.1,9.31,0,0.1,13.1
2012-06-15,19:46:09,17.06,0.001,7.72,13,-27.4,93.9,9.07,4.7,1.2,13.2
2012-06-15,19:51:08,17.31,0.001,7.69,11,-26.4,95.1,9.13,6.3,1.6,13.1
2012-06-15,19:56:08,17.59,0.001,7.73,11,-25.2,94,8.98,7,1.7,13
2012-06-15,20:01:08,21.8,0.015,8.06,8,-7.9,98.8,8.67,4.8,1.2,13
2012-06-15,20:06:08,21.39,0.015,7.37,1,-9.6,97.2,8.6,2.9,0.7,13.1
2012-06-15,20:11:08,21.28,0.015,7.17,-7,-10,97.4,8.63,2.5,0.6,13.1
2012-06-15,20:16:08,21.2,0.015,7.05,-12,-10.4,97.2,8.63,3.1,0.8,13.1
2012-06-15,20:21:08,21.21,0.015,6.99,-15,-10.3,97.2,8.63,1.4,0.4,13.1
2012-06-15,20:26:08,21.21,0.015,6.94,-17,-10.3,97.4,8.64,2.1,0.5,13.1
2012-06-15,20:31:08,21.22,0.015,6.91,-19,-10.3,97.6,8.66,2.5,0.6,13.1
2012-06-15,20:36:08,21.24,0.015,6.87,-22,-10.2,97.3,8.64,1.5,0.4,13.1
2012-06-15,20:41:08,21.28,0.015,6.86,-22,-10.1,97.6,8.65,1.8,0.4,13.1
2012-06-15,20:46:08,21.27,0.015,6.84,-25,-10.1,97.5,8.65,2.3,0.6,13.1
2012-06-15,20:51:08,21.31,0.015,6.83,-25,-9.9,97.2,8.61,4.3,1,13
2012-06-15,20:56:08,21.31,0.015,6.83,-25,-9.9,96.9,8.59,2.3,0.6,13
2012-06-15,21:01:08,21.27,0.015,6.82,-25,-10.1,97,8.6,3.4,0.8,13
2012-06-15,21:06:08,21.27,0.015,6.8,-26,-10.1,96.9,8.59,2.3,0.6,13.1
2012-06-15,21:11:08,21.28,0.015,6.8,-26,-10.1,97.2,8.62,2.5,0.6,13
2012-06-15,21:16:08,21.31,0.015,6.8,-29,-9.9,97.1,8.61,1.9,0.5,13
2012-06-15,21:21:08,21.31,0.015,6.8,-28,-9.9,97.2,8.62,2.5,0.6,13
2012-06-15,21:26:08,21.37,0.015,6.79,-29,-9.7,97.1,8.59,1.8,0.4,13
2012-06-15,21:31:08,21.36,0.015,6.78,-30,-9.7,96.9,8.58,1.6,0.4,13
2012-06-15,21:36:08,21.36,0.015,6.78,-29,-9.7,97.3,8.61,2.3,0.6,13.1
2012-06-15,21:41:09,21.34,0.015,6.78,-30,-9.8,97.1,8.6,1.7,0.4,13.2
2012-06-15,21:46:08,21.29,0.015,6.78,-30,-10,97.3,8.63,1.5,0.4,13
2012-06-15,21:51:08,21.29,0.015,6.77,-30,-10,97.3,8.62,1.9,0.5,13
2012-06-15,21:56:08,21.29,0.015,6.76,-30,-10,97.3,8.62,3,0.7,13
2012-06-15,22:01:08,21.24,0.015,6.77,-28,-10.2,97,8.61,1.6,0.4,13
2012-06-15,22:06:09,21.24,0.015,6.77,-29,-10.2,97.1,8.62,2.1,0.5,13.2
2012-06-15,22:11:08,21.26,0.015,6.77,-30,-10.2,97.1,8.61,1.8,0.4,13
2012-06-15,22:16:08,21.29,0.015,6.76,-31,-10,96.9,8.59,2,0.5,13
2012-06-15,22:21:08,21.3,0.015,6.72,-32,-10,97,8.6,1.9,0.5,13
2012-06-15,22:26:08,21.29,0.015,6.7,-30,-10,96.9,8.59,2.3,0.6,13
2012-06-15,22:31:08,21.29,0.015,6.63,-29,-10,97,8.6,2.2,0.5,13
2012-06-15,22:36:08,21.27,0.015,6.41,-33,-10.1,96.9,8.59,2.8,0.7,13
2012-06-15,22:41:08,21.3,0.015,6.4,-33,-10,96.7,8.57,3.5,0.9,12.9
2012-06-15,22:46:08,21.29,0.015,6.43,-33,-10,96.7,8.58,2.6,0.6,13
2012-06-15,22:51:08,21.29,0.015,6.44,-33,-10,96.8,8.58,1.6,0.4,13
2012-06-15,22:56:08,21.3,0.015,6.47,-31,-10,96.7,8.57,1.5,0.4,12.9
2012-06-15,23:01:08,21.29,0.015,6.49,-31,-10,96.8,8.58,2.1,0.5,13
2012-06-15,23:06:08,21.31,0.015,6.51,-34,-9.9,96.9,8.58,3.2,0.8,13
2012-06-15,23:11:08,21.32,0.015,6.56,-32,-9.9,96.8,8.58,2,0.5,13
