, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC, iSIC
  ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg ,Avg 
Date/Time,Temp00,Temp01,Temp02,Temp03,Temp04,Temp05,Temp06,Temp07,Temp08
" ""m/d/y""",C,C,C,C,C,C,C,C,C
5/3/2012 14:20,24.94,24.92,24.93,24.9,24.93,24.73,25.05,25.24,25.23
5/3/2012 14:25,25.01,24.92,24.93,24.9,24.99,24.73,25.11,25.17,25.23
5/3/2012 14:30,25.01,24.85,24.93,24.9,24.93,24.66,25.11,25.11,25.23
5/3/2012 14:35,24.88,24.79,24.93,24.83,24.86,24.6,25.05,25.05,25.23
5/3/2012 14:40,24.81,24.73,24.86,24.83,24.86,24.54,25.05,24.92,25.17
5/3/2012 14:45,24.75,24.73,24.86,24.77,24.8,24.54,24.99,24.92,25.1
5/3/2012 14:50,24.69,24.67,24.8,24.71,24.8,24.48,24.99,24.8,25.1
5/3/2012 14:55,24.69,24.6,24.8,24.65,24.74,24.41,24.93,24.8,25.04
5/3/2012 15:00,24.63,24.6,24.73,24.65,24.68,24.41,24.86,24.74,24.98
5/3/2012 15:05,24.56,24.54,24.67,24.58,24.68,24.35,24.86,24.67,24.98
5/3/2012 15:10,24.56,24.54,24.67,24.58,24.61,24.35,24.86,24.67,24.92
5/3/2012 15:15,24.5,24.49,24.67,24.52,24.55,24.29,24.8,24.61,24.92
5/3/2012 15:20,24.5,24.49,24.67,24.52,24.55,24.29,24.8,24.61,24.85
5/3/2012 15:25,24.5,24.43,24.6,24.46,24.55,24.23,24.74,24.55,24.85
5/3/2012 15:30,24.44,24.43,24.6,24.46,24.49,24.23,24.74,24.55,24.79
5/3/2012 15:35,24.44,24.36,24.6,24.46,24.49,24.23,24.74,24.49,24.79
5/3/2012 15:40,24.38,24.36,24.54,24.46,24.49,24.23,24.74,24.49,24.79
5/3/2012 15:45,24.38,24.36,24.54,24.4,24.49,24.23,24.74,24.49,24.73
5/3/2012 15:50,24.38,24.36,24.54,24.4,24.43,24.16,24.68,24.49,24.73
5/3/2012 15:55,24.38,24.36,24.54,24.4,24.43,24.16,24.68,24.49,24.73
5/3/2012 16:00,24.38,24.3,24.54,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 16:05,24.31,24.36,24.54,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 16:10,24.31,24.36,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 16:15,24.31,24.3,24.48,24.33,24.43,24.1,24.61,24.42,24.67
5/3/2012 16:20,24.31,24.3,24.48,24.33,24.36,24.16,24.68,24.42,24.67
5/3/2012 16:25,24.31,24.3,24.48,24.33,24.43,24.16,24.61,24.42,24.67
5/3/2012 16:30,24.31,24.3,24.48,24.33,24.36,24.16,24.61,24.42,24.67
5/3/2012 16:35,24.31,24.3,24.48,24.33,24.43,24.16,24.68,24.42,24.59
5/3/2012 16:40,24.31,24.3,24.48,24.33,24.36,24.16,24.61,24.42,24.59
5/3/2012 16:45,24.31,24.3,24.48,24.33,24.36,24.1,24.61,24.42,24.67
5/3/2012 16:50,24.31,24.3,24.48,24.33,24.43,24.16,24.61,24.42,24.67
5/3/2012 16:55,24.31,24.3,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:00,24.31,24.3,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:05,24.31,24.3,24.48,24.33,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:10,24.31,24.3,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:15,24.31,24.3,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:20,24.31,24.3,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:25,24.31,24.3,24.48,24.4,24.43,24.16,24.68,24.42,24.67
5/3/2012 17:30,24.31,24.3,24.48,24.33,24.43,24.16,24.68,24.42,24.67
