Lake,Layer,Year,Date,POC,PON
Ward,PML,2010,2010-05-19,0.7772,0.1236
Ward,Meta,2010,2010-05-19,0.9315,0.1482
Ward,Hypo,2010,2010-05-19,4.2504,0.7061
Ward,PML,2010,2010-05-26,0.7143,0.109
Ward,Meta,2010,2010-05-26,0.6131,0.0925
Ward,Hypo,2010,2010-05-26,4.05,0.7297
Ward,PML,2010,2010-06-02,0.7155,0.1161
Ward,Meta,2010,2010-06-02,3.9611,0.6045
Ward,Hypo,2010,2010-06-02,3.6067,0.583
Ward,PML,2010,2010-06-09,0.6569,0.1112
Ward,Meta,2010,2010-06-09,6.1091,0.9933
Ward,Hypo,2010,2010-06-09,4.6972,0.7263
Ward,PML,2010,2010-06-16,0.7837,0.1513
Ward,Meta,2010,2010-06-16,2.9962,0.4714
Ward,Hypo,2010,2010-06-16,4.9097,0.7555
Ward,PML,2010,2010-06-23,0.9125,0.1585
Ward,Meta,2010,2010-06-23,1.1771,0.1748
Ward,Hypo,2010,2010-06-23,2.3771,0.3531
Ward,PML,2010,2010-06-30,NA,0.1044
Ward,Meta,2010,2010-06-30,2.1848,0.2931
Ward,Hypo,2010,2010-06-30,5.1011,0.7162
Ward,PML,2010,2010-07-07,0.6726,0.1037
Ward,Meta,2010,2010-07-07,1.0285,0.1299
Ward,Hypo,2010,2010-07-07,4.1881,0.6475
Ward,Meta,2010,2010-07-14,0.5198,0.0988
Ward,PML,2010,2010-07-14,0.7105,0.0942
Ward,Hypo,2010,2010-07-14,5.675,1.1465
Ward,PML,2010,2010-07-21,0.77,0.1365
Ward,Meta,2010,2010-07-21,1.085,0.1629
Ward,Hypo,2010,2010-07-21,3.7535,0.6601
Ward,PML,2010,2010-07-28,0.9321,0.1462
Ward,Meta,2010,2010-07-28,1.8899,0.2591
Ward,Hypo,2010,2010-07-28,4.4773,0.6643
Ward,PML,2010,2010-08-04,1.0221,0.1589
Ward,Meta,2010,2010-08-04,1.5395,0.2281
Ward,Hypo,2010,2010-08-04,3.919,0.6472
Ward,PML,2010,2010-08-11,0.9685,0.1506
Ward,Meta,2010,2010-08-11,1.3387,0.2194
Ward,Hypo,2010,2010-08-11,4.1209,0.6919
Ward,PML,2010,2010-08-19,1.0948,0.1595
Ward,Meta,2010,2010-08-19,1.0464,0.1574
Ward,Hypo,2010,2010-08-19,5.587,0.7398
Ward,PML,2010,2010-08-25,1.169,0.1835
Ward,Meta,2010,2010-08-25,2.3034,0.3933
Ward,Hypo,2010,2010-08-25,3.4359,0.621
Ward,PML,2012,2012-04-14,3.8702,0.5379
Ward,Meta,2012,2012-04-14,3.6664,0.5575
Ward,Hypo,2012,2012-04-14,2.5806,0.4289
Ward,PML ,2012,2012-04-19,3.5275,0.518
Ward,Meta,2012,2012-04-19,3.344,0.4757
Ward,Hypo,2012,2012-04-19,3.381,0.693
Ward,PML,2012,2012-04-26,3.3658,0.4846
Ward,Meta,2012,2012-04-26,3.578,0.5716
Ward,Hypo,2012,2012-04-26,2.3421,0.348
Ward,PML,2012,2012-05-03,2.7002,0.433
Ward,Meta,2012,2012-05-03,2.7686,0.4755
Ward,Hypo,2012,2012-05-03,2.6422,0.4594
Ward,PML,2012,2012-05-10,1.9864,0.3694
Ward,Meta,2012,2012-05-10,2.3652,0.4041
Ward,Hypo,2012,2012-05-10,2.6505,0.3865
Ward,PML,2012,2012-05-17,1.8134,0.3242
Ward,Meta,2012,2012-05-17,2.1116,0.3747
Ward,Hypo,2012,2012-05-17,2.5873,0.5067
Ward,PML,2012,2012-05-24,1.6566,0.3006
Ward,Meta,2012,2012-05-24,2.1187,0.4355
Ward,Hypo,2012,2012-05-24,2.1674,0.4329
Ward,PML,2012,2012-05-31,1.4515,0.2588
Ward,Meta,2012,2012-05-31,1.6912,0.3027
Ward,Hypo,2012,2012-05-31,3.6358,0.7129
Ward,PML,2012,2012-06-07,1.349,0.2266
Ward,Meta,2012,2012-06-07,1.2949,0.2075
Ward,Hypo,2012,2012-06-07,2.574,0.4724
Ward,PML,2012,2012-06-14,1.185,0.1785
Ward,Meta,2012,2012-06-14,1.257,0.1747
Ward,Hypo,2012,2012-06-14,2.7432,0.4887
Ward,PML,2012,2012-06-21,0.9198,0.1395
Ward,Meta,2012,2012-06-21,0.7926,0.1201
Ward,Hypo,2012,2012-06-21,3.4441,0.5864
Ward,PML,2012,2012-06-28,0.779,0.1085
Ward,Meta,2012,2012-06-28,0.848,0.1172
Ward,Hypo,2012,2012-06-28,2.5356,0.7154
Ward,PML,2012,2012-07-05,0.8218,0.1127
Ward,Meta,2012,2012-07-05,1.01,0.1344
Ward,Hypo,2012,2012-07-05,3.8075,0.6413
Ward,PML,2012,2012-07-12,0.7816,0.0963
Ward,Meta,2012,2012-07-12,0.8604,0.1196
Ward,Hypo,2012,2012-07-12,2.5688,0.4803
Ward,PML,2012,2012-07-19,1.2077,0.1531
Ward,Meta,2012,2012-07-19,1.7453,0.2232
Ward,Hypo,2012,2012-07-19,2.5107,0.4512
Ward,PML,2012,2012-07-26,1.3589,0.1998
Ward,Meta,2012,2012-07-26,1.4236,0.237
Ward,Hypo,2012,2012-07-26,2.4168,0.4517
Ward,PML,2012,2012-08-02,0.7241,0.1054
Ward,Meta,2012,2012-08-02,0.8247,0.1205
Ward,Hypo,2012,2012-08-02,2.4264,0.4202
Ward,PML,2012,2012-08-09,0.8719,0.1469
Ward,Meta,2012,2012-08-09,0.6595,0.1582
Ward,Hypo,2012,2012-08-09,1.8346,0.3469
Ward,PML,2012,2012-08-16,0.645,0.1102
Ward,Meta,2012,2012-08-16,0.5633,0.0904
Ward,Hypo,2012,2012-08-16,1.4914,0.2679
Ward,PML,2012,2012-08-23,0.7805,0.1087
Ward,Meta,2012,2012-08-23,0.7704,0.1005
Ward,Hypo,2012,2012-08-23,3.9159,0.6856
Ward,PML,2012,2012-08-28,0.877,0.1226
Ward,Meta,2012,2012-08-28,0.9931,0.1434
Ward,Hypo,2012,2012-08-28,2.5492,0.457
Paul,PML,2010,2010-05-18,0.67,0.08
Paul,Meta,2010,2010-05-18,0.5,0.07
Paul,Hypo,2010,2010-05-18,2.19,0.31
Paul,PML,2010,2010-05-25,0.52,0.07
Paul,Meta,2010,2010-05-25,11.86,1.49
Paul,Hypo,2010,2010-05-25,2.15,0.3
Paul,PML,2010,2010-06-01,0.42,0.05
Paul,Meta,2010,2010-06-01,0.73,0.07
Paul,Hypo,2010,2010-06-01,1.81,0.27
Paul,PML,2010,2010-06-08,0.65,0.07
Paul,Meta,2010,2010-06-08,0.83,0.09
Paul,Hypo,2010,2010-06-08,1.76,0.29
Paul,PML,2010,2010-06-15,0.7,0.08
Paul,Meta,2010,2010-06-15,0.67,0.08
Paul,Hypo,2010,2010-06-15,1.68,0.3
Paul,PML,2010,2010-06-22,0.5,0.07
Paul,Meta,2010,2010-06-22,0.67,0.08
Paul,Hypo,2010,2010-06-22,1.87,0.43
Paul,PML,2010,2010-06-29,0.37,0.05
Paul,Meta,2010,2010-06-29,0.59,0.07
Paul,Hypo,2010,2010-06-29,1.98,0.28
Paul,PML,2010,2010-07-06,0.21,0.04
Paul,Meta,2010,2010-07-06,0.46,0.07
Paul,Hypo,2010,2010-07-06,2.28,0.33
Paul,PML,2010,2010-07-13,0.28,0.04
Paul,Meta,2010,2010-07-13,0.27,0.04
Paul,Hypo,2010,2010-07-13,2.05,0.31
Paul,PML,2010,2010-07-20,0.27,0.04
Paul,Meta,2010,2010-07-20,0.32,0.05
Paul,Hypo,2010,2010-07-20,2.62,0.41
Paul,PML,2010,2010-07-27,0.41,0.03
Paul,Meta,2010,2010-07-27,0.53,0.04
Paul,Hypo,2010,2010-07-27,2.54,0.33
Paul,PML,2010,2010-08-03,0.33,0.05
Paul,Meta,2010,2010-08-03,0.23,0.04
Paul,Hypo,2010,2010-08-03,2.29,0.36
Paul,PML,2010,2010-08-10,0.38,0.05
Paul,Meta,2010,2010-08-10,0.39,0.05
Paul,Hypo,2010,2010-08-10,2.53,0.4
Paul,PML,2010,2010-08-17,0.37,0.06
Paul,Meta,2010,2010-08-17,0.36,0.05
Paul,Hypo,2010,2010-08-17,2.05,0.29
Paul,PML,2010,2010-08-24,0.26,0.05
Paul,Meta,2010,2010-08-24,0.3,0.06
Paul,Hypo,2010,2010-08-24,2.66,0.36
Paul,PML,2012,2012-05-22,0.51,0.08
Paul,Meta,2012,2012-05-22,0.52,0.07
Paul,Hypo,2012,2012-05-22,4.23,0.53
Paul,PML,2012,2012-05-29,0.52,0.07
Paul,Meta,2012,2012-05-29,0.61,0.07
Paul,Hypo,2012,2012-05-29,3.95,0.49
Paul,PML,2012,2012-06-05,0.53,0.07
Paul,Meta,2012,2012-06-05,0.7,0.08
Paul,Hypo,2012,2012-06-05,2.47,0.37
Paul,PML,2012,2012-06-12,0.58,0.07
Paul,Meta,2012,2012-06-12,0.9,0.09
Paul,Hypo,2012,2012-06-12,3.77,0.5
Paul,PML,2012,2012-06-19,0.74,0.08
Paul,Meta,2012,2012-06-19,0.84,0.09
Paul,Hypo,2012,2012-06-19,4.64,0.62
Paul,PML,2012,2012-06-26,0.77,0.07
Paul,Meta,2012,2012-06-26,1.28,0.1
Paul,Hypo,2012,2012-06-26,3.4,0.53
Paul,PML,2012,2012-07-03,0.52,0.07
Paul,Meta,2012,2012-07-03,1.33,0.11
Paul,Hypo,2012,2012-07-03,3.91,0.59
Paul,PML,2012,2012-07-10,0.5,0.07
Paul,Meta,2012,2012-07-10,1.1,0.11
Paul,Hypo,2012,2012-07-10,3.22,0.49
Paul,PML,2012,2012-07-17,0.39,0.06
Paul,Meta,2012,2012-07-17,0.54,0.06
Paul,Hypo,2012,2012-07-17,3.01,0.52
Paul,PML,2012,2012-07-24,0.18,0.03
Paul,Meta,2012,2012-07-24,0.35,0.05
Paul,Hypo,2012,2012-07-24,4.5,0.69
Paul,PML,2012,2012-07-31,0.34,0.05
Paul,Meta,2012,2012-07-31,0.37,0.06
Paul,Hypo,2012,2012-07-31,2.94,0.46
Paul,PML,2012,2012-08-07,0.35,0.04
Paul,Meta,2012,2012-08-07,0.43,0.06
Paul,Hypo,2012,2012-08-07,1.52,0.26
Paul,PML,2012,2012-08-14,0.34,0.05
Paul,Meta,2012,2012-08-14,0.37,0.05
Paul,Hypo,2012,2012-08-14,1.48,0.25
Paul,PML,2012,2012-08-21,0.27,0.04
Paul,Meta,2012,2012-08-21,0.3,0.05
Paul,Hypo,2012,2012-08-21,0.71,0.12
Paul,PML,2012,2012-08-27,0.24,0.04
Paul,Meta,2012,2012-08-27,0.28,0.05
Paul,Hypo,2012,2012-08-27,2.58,0.44
