Lake,Year,DoY,Cyclopoid,Calanoid,Mesocyclops,Holopedium,Diaphanasoma,Leptidora,Nauplii,Bosmina,Epischura,Daphnia,Alona,Chydorus,Ceriodaphnia,Polyphemus
Paul,2012,143,0.033535158,0.01723846,0,0.034640061,0,0,0.226124626,0,0,0,0,0,0,0
Paul,2012,150,0.070408311,0.021239258,0.042256611,0.043280761,0,0,0.276218832,0,0,0.017105095,0,0,0.000332604,0
Paul,2012,157,0.137311844,0.041046269,0.070510486,0.034302363,0,0,0.403368974,0,0,0.015885264,0,0,0.000729214,0
Paul,2012,164,0.093831263,0.04236886,0.145877366,0.048388485,0,0,0.538533023,0,0,0.28313658,0,0,0.000505185,0
Paul,2012,171,0.044626705,0.025973786,0.033290437,0.003135453,0,0,0.170168554,0,0,0.037733517,0,0,0,0
Paul,2012,178,0.024808333,0.020483087,0.029089776,0,0,0,0.13859654,0,0,0.04172039,0,0.000110095,0.000101793,0
Paul,2012,185,0.07054174,0.040865602,0.050853019,0,0,0,0.37670596,0,0,0.300857752,0,0.000484177,0.000624027,0
Paul,2012,192,0.040573805,0.029298724,0.029483683,0,0,0,0.223741948,0.00036672,0,0.153868141,0,0,0,0
Paul,2012,199,0.032152787,0.003558072,0.016601432,0,0,0,0.144408418,0,0,0.038147152,0,0,0,0
Paul,2012,206,0.042706625,0.017146633,0.033213639,0.000225652,0,0,0.109545762,0,0,0.276411735,0,0,5.75E-05,0
Paul,2012,212,0.064299075,0.030696506,0.083216118,0,0,0,0.010001184,0,0,1.45761075,0,0,0.000636587,0
Paul,2012,220,0.068940379,0.03598521,0.064858154,0.000250509,0,0,0.184689954,0,0,2.014205718,0,0,0.002423637,0
Paul,2012,227,0.033333578,0.001624821,0.027366776,0.001092477,0,0,0.071993232,0,0,0.237213865,0,0,0,0
Paul,2012,234,0.058922015,0,0.016956039,0.015966131,0,0,0.112043941,0,0,0.147810307,0,0,0.000485672,0
Paul,2012,240,0.042596127,0.001770823,0.039179191,0.00965173,0,0,0.126374256,0,0,0.352295846,0,0,0.000179975,0
Ward,2012,105,0.060737597,0.002740737,0.185960882,0,0,0,0.228717144,0,0,0,0,0,0,0
Ward,2012,110,0.088303305,0.007481613,0.10353747,0,0,0,0.279281835,0,0,0,0,0,0,0
Ward,2012,117,0.216411663,0.023297789,0.180708975,0,0,0,0.252440661,0,0,0,0,0,0,0
Ward,2012,124,0.241407837,0.075933298,0.338217096,0,0,0,0.104812099,0,0,0,0,0.004820407,0,0
Ward,2012,131,0.078266026,0.011515339,0.18658313,0,0,0,0.282919506,0,0,0,0,0,0,0
Ward,2012,138,0.033799544,0.019468051,0.101432347,0,0,0,0.391754152,0.002497917,0,0,0,0,0,0
Ward,2012,145,0.049442087,0.230257192,0.135731759,0,0,0,0.236057345,0.011240731,0,0,0,0,0,0
Ward,2012,152,0.025222517,0.215094505,0.147353258,0,0.009950513,0,0.213773725,0.024099118,0,0.00423233,0,0,0,0
Ward,2012,159,0,0.331826385,0.070618128,0,0.012983035,0,0.086671197,0.028443965,0,0.006341376,0,0,0,0
Ward,2012,166,0.028165141,0.728837654,0.295417597,0,0.047025561,0,0.166373232,0.058646194,0,0.018114158,0,0,0,0
Ward,2012,173,0,0.51308371,0.371300454,0,0.043440943,0,0.120167518,0.032508492,0,0.01912062,0,0,0,0
Ward,2012,180,0.002744959,0.166132695,0.15103312,0,0.015324178,0,0.046673972,0,0,0.001963174,0,0,0,0
Ward,2012,187,0.001586561,0.15506607,0.063929449,0,0.016258525,0,0.126334229,0,0,0.001695793,0,0,0,0
Ward,2012,194,0.003117877,0.111464297,0.081479981,0,0.043505565,0,0.173184561,0.02548764,0,0,0,0,0,0
