Lake,Year,Date,Zid,Z,Chla
Ward,2010,2010-05-19,1,0,7.47140
Ward,2010,2010-05-19,2,0.75,6.62549
Ward,2010,2010-05-19,3,1.5,5.52124
Ward,2010,2010-05-19,4,2.9,9.92563
Ward,2010,2010-05-19,5,3.6,29.07179
Ward,2010,2010-05-19,6,4.4,61.87248
Ward,2010,2010-05-19,Meta,2.5,8.00326
Ward,2010,2010-05-26,1,0,6.96993
Ward,2010,2010-05-26,2,0.8,7.53725
Ward,2010,2010-05-26,3,1.4,6.65588
Ward,2010,2010-05-26,4,2.8,12.44772
Ward,2010,2010-05-26,5,3.7,62.65006
Ward,2010,2010-05-26,6,4.5,126.43556
Ward,2010,2010-05-26,Meta,2,7.70864
Ward,2010,2010-06-02,1,0,7.35490
Ward,2010,2010-06-02,2,0.7,7.41568
Ward,2010,2010-06-02,3,1.4,7.51192
Ward,2010,2010-06-02,4,2.7,7.27892
Ward,2010,2010-06-02,5,3.7,14.86133
Ward,2010,2010-06-02,6,4.6,83.95642
Ward,2010,2010-06-02,Meta,4,83.55567
Ward,2010,2010-06-09,1,0,6.20506
Ward,2010,2010-06-09,2,0.75,6.15441
Ward,2010,2010-06-09,3,1.3,6.21013
Ward,2010,2010-06-09,4,2.9,7.14215
Ward,2010,2010-06-09,5,3.6,29.49214
Ward,2010,2010-06-09,6,4.5,126.23519
Ward,2010,2010-06-09,Meta,4,231.23080
Ward,2010,2010-06-16,1,0,9.23409
Ward,2010,2010-06-16,2,0.45,9.21375
Ward,2010,2010-06-16,3,0.95,9.21375
Ward,2010,2010-06-16,4,2.1,9.25443
Ward,2010,2010-06-16,5,3.1,10.96294
Ward,2010,2010-06-16,6,4.2,181.13748
Ward,2010,2010-06-16,Meta,4,125.63407
Ward,2010,2010-06-23,1,0,8.99002
Ward,2010,2010-06-23,2,0.6,8.58323
Ward,2010,2010-06-23,3,1.2,8.82730
Ward,2010,2010-06-23,4,2.3,8.68493
Ward,2010,2010-06-23,5,3.3,8.46119
Ward,2010,2010-06-23,6,4.3,38.17112
Ward,2010,2010-06-23,Meta,4,22.04792
Ward,2010,2010-06-30,1,0,6.30130
Ward,2010,2010-06-30,2,0.45,6.86862
Ward,2010,2010-06-30,3,0.95,6.92941
Ward,2010,2010-06-30,4,1.6,10.88158
Ward,2010,2010-06-30,5,2.4,17.63427
Ward,2010,2010-06-30,6,3.8,62.81703
Ward,2010,2010-06-30,Meta,4,45.47892
Ward,2010,2010-07-07,1,0,7.56626
Ward,2010,2010-07-07,2,0.5,7.30185
Ward,2010,2010-07-07,3,1.1,6.83317
Ward,2010,2010-07-07,4,1.9,8.74595
Ward,2010,2010-07-07,5,2.6,16.31220
Ward,2010,2010-07-07,6,4.2,42.47914
Ward,2010,2010-07-07,Meta,4,15.70202
Ward,2010,2010-07-14,1,0,5.97712
Ward,2010,2010-07-14,2,0.55,6.17467
Ward,2010,2010-07-14,3,1.2,5.92140
Ward,2010,2010-07-14,4,2.2,12.16297
Ward,2010,2010-07-14,5,3,13.36299
Ward,2010,2010-07-14,6,4.4,44.18232
Ward,2010,2010-07-14,Meta,2.5,9.92563
Ward,2010,2010-07-21,1,0,7.24083
Ward,2010,2010-07-21,2,0.55,7.07811
Ward,2010,2010-07-21,3,1,7.11879
Ward,2010,2010-07-21,4,1.9,8.90866
Ward,2010,2010-07-21,5,2.6,15.31557
Ward,2010,2010-07-21,6,3.8,72.23458
Ward,2010,2010-07-21,Meta,2.5,15.47829
Ward,2010,2010-07-28,1,0,8.01373
Ward,2010,2010-07-28,2,0.45,7.44422
Ward,2010,2010-07-28,3,0.9,8.13576
Ward,2010,2010-07-28,4,1.9,9.45782
Ward,2010,2010-07-28,5,2.6,14.37996
Ward,2010,2010-07-28,6,3.9,36.96888
Ward,2010,2010-07-28,Meta,2.5,23.47168
