lake,datetime,depth,fracLight
Paul,2010-05-18,0,1
Paul,2010-05-18,0.25,0.76
Paul,2010-05-18,0.5,0.654
Paul,2010-05-18,0.75,0.565
Paul,2010-05-18,1,0.406
Paul,2010-05-18,1.5,0.284
Paul,2010-05-18,2,0.189
Paul,2010-05-18,2.5,0.128
Paul,2010-05-18,3,0.09
Paul,2010-05-18,3.5,0.068
Paul,2010-05-18,4,0.049
Paul,2010-05-18,4.5,0.034
Paul,2010-05-18,5,0.024
Paul,2010-05-18,5.5,0.016
Paul,2010-05-18,6,0.011
Paul,2010-05-18,6.5,0.005
Paul,2010-05-25,0,1
Paul,2010-05-25,0.25,0.776
Paul,2010-05-25,0.5,0.644
Paul,2010-05-25,0.75,0.574
Paul,2010-05-25,1,0.379
Paul,2010-05-25,1.5,0.266
Paul,2010-05-25,2,0.186
Paul,2010-05-25,2.5,0.128
Paul,2010-05-25,3,0.089
Paul,2010-05-25,3.5,0.062
Paul,2010-05-25,4,0.043
Paul,2010-05-25,4.5,0.029
Paul,2010-05-25,5,0.018
Paul,2010-05-25,5.5,0.012
Paul,2010-05-25,6,0.007
Paul,2010-06-01,0,1
Paul,2010-06-01,0.25,0.833
Paul,2010-06-01,0.5,0.581
Paul,2010-06-01,0.75,0.511
Paul,2010-06-01,1,0.383
Paul,2010-06-01,1.5,0.236
Paul,2010-06-01,2,0.17
Paul,2010-06-01,2.5,0.115
Paul,2010-06-01,3,0.08
Paul,2010-06-01,3.5,0.053
Paul,2010-06-01,4,0.036
Paul,2010-06-01,4.5,0.023
Paul,2010-06-01,5,0.014
Paul,2010-06-01,5.5,0.008
Paul,2010-06-01,6,0.004
Paul,2010-06-08,0,1
Paul,2010-06-08,0.25,0.813
Paul,2010-06-08,0.5,0.605
Paul,2010-06-08,0.75,0.463
Paul,2010-06-08,1,0.322
Paul,2010-06-08,1.5,0.202
Paul,2010-06-08,2,0.134
Paul,2010-06-08,2.5,0.094
Paul,2010-06-08,3,0.065
Paul,2010-06-08,3.5,0.045
Paul,2010-06-08,4,0.031
Paul,2010-06-08,4.5,0.022
Paul,2010-06-08,5,0.015
Paul,2010-06-08,5.5,0.01
Paul,2010-06-08,6,0.006
Paul,2010-06-15,0,1
Paul,2010-06-15,0.25,0.77
Paul,2010-06-15,0.5,0.539
Paul,2010-06-15,0.75,0.399
Paul,2010-06-15,1,0.261
Paul,2010-06-15,1.5,0.173
Paul,2010-06-15,2,0.119
Paul,2010-06-15,2.5,0.087
Paul,2010-06-15,3,0.063
Paul,2010-06-15,3.5,0.047
Paul,2010-06-15,4,0.037
Paul,2010-06-15,4.5,0.026
Paul,2010-06-15,5,0.018
Paul,2010-06-15,5.5,0.013
Paul,2010-06-15,6,0.008
Paul,2010-06-22,0,1
Paul,2010-06-22,0.25,0.805
Paul,2010-06-22,0.5,0.584
Paul,2010-06-22,0.75,0.465
Paul,2010-06-22,1,0.318
Paul,2010-06-22,1.5,0.206
Paul,2010-06-22,2,0.143
Paul,2010-06-22,2.5,0.103
Paul,2010-06-22,3,0.074
Paul,2010-06-22,3.5,0.052
Paul,2010-06-22,4,0.037
Paul,2010-06-22,4.5,0.026
Paul,2010-06-22,5,0.019
Paul,2010-06-22,5.5,0.014
Paul,2010-06-22,6,0.008
Paul,2010-06-29,0,1
Paul,2010-06-29,0.25,0.862
Paul,2010-06-29,0.5,0.69
Paul,2010-06-29,0.75,0.443
Paul,2010-06-29,1,0.305
Paul,2010-06-29,1.5,0.24
Paul,2010-06-29,2,0.135
Paul,2010-06-29,2.5,0.09
Paul,2010-06-29,3,0.064
Paul,2010-06-29,3.5,0.049
Paul,2010-06-29,4,0.033
Paul,2010-06-29,4.5,0.022
Paul,2010-06-29,5,0.016
Paul,2010-06-29,5.5,0.011
Paul,2010-06-29,6,0.006
Paul,2010-07-06,0,1
Paul,2010-07-06,0.25,0.775
Paul,2010-07-06,0.5,0.58
Paul,2010-07-06,0.75,0.452
Paul,2010-07-06,1,0.318
Paul,2010-07-06,1.5,0.212
Paul,2010-07-06,2,0.151
Paul,2010-07-06,2.5,0.109
Paul,2010-07-06,3,0.08
Paul,2010-07-06,3.5,0.06
Paul,2010-07-06,4,0.043
Paul,2010-07-06,4.5,0.03
Paul,2010-07-06,5,0.022
Paul,2010-07-06,5.5,0.015
Paul,2010-07-06,6,0.009
Paul,2010-07-13,0,1
Paul,2010-07-13,0.25,0.822
Paul,2010-07-13,0.5,0.653
Paul,2010-07-13,0.75,0.544
Paul,2010-07-13,1,0.393
Paul,2010-07-13,1.5,0.258
Paul,2010-07-13,2,0.177
Paul,2010-07-13,2.5,0.128
Paul,2010-07-13,3,0.09
Paul,2010-07-13,3.5,0.067
Paul,2010-07-13,4,0.049
Paul,2010-07-13,4.5,0.035
Paul,2010-07-13,5,0.026
Paul,2010-07-13,5.5,0.016
Paul,2010-07-13,6,0.01
Paul,2010-07-20,0,1
Paul,2010-07-20,0.25,0.799
Paul,2010-07-20,0.5,0.612
Paul,2010-07-20,0.75,0.48
Paul,2010-07-20,1,0.355
Paul,2010-07-20,1.5,0.237
Paul,2010-07-20,2,0.168
Paul,2010-07-20,2.5,0.12
Paul,2010-07-20,3,0.087
Paul,2010-07-20,3.5,0.064
Paul,2010-07-20,4,0.048
Paul,2010-07-20,4.5,0.035
Paul,2010-07-20,5,0.025
Paul,2010-07-20,5.5,0.018
Paul,2010-07-20,6,0.012
Paul,2010-07-20,6.5,0.007
Paul,2010-07-20,7,0.003
Paul,2010-07-27,0,1
Paul,2010-07-27,0.25,0.807
Paul,2010-07-27,0.5,0.593
Paul,2010-07-27,0.75,0.455
Paul,2010-07-27,1,0.318
Paul,2010-07-27,1.5,0.198
Paul,2010-07-27,2,0.15
Paul,2010-07-27,2.5,0.112
Paul,2010-07-27,3,0.082
Paul,2010-07-27,3.5,0.061
Paul,2010-07-27,4,0.045
Paul,2010-07-27,4.5,0.033
Paul,2010-07-27,5,0.025
Paul,2010-07-27,5.5,0.018
Paul,2010-07-27,6,0.012
Paul,2010-07-27,6.5,0.007
Paul,2010-08-03,0,1
Paul,2010-08-03,0.25,0.795
Paul,2010-08-03,0.5,0.625
Paul,2010-08-03,0.75,0.5
Paul,2010-08-03,1,0.34
Paul,2010-08-03,1.5,0.228
Paul,2010-08-03,2,0.148
Paul,2010-08-03,2.5,0.1
Paul,2010-08-03,3,0.069
Paul,2010-08-03,3.5,0.05
Paul,2010-08-03,4,0.036
Paul,2010-08-03,4.5,0.026
Paul,2010-08-03,5,0.017
Paul,2010-08-03,5.5,0.012
Paul,2010-08-03,6,0.008
Paul,2010-08-10,0,1
Paul,2010-08-10,0.25,0.744
Paul,2010-08-10,0.5,0.622
Paul,2010-08-10,0.75,0.504
Paul,2010-08-10,1,0.363
Paul,2010-08-10,1.5,0.24
Paul,2010-08-10,2,0.162
Paul,2010-08-10,2.5,0.106
Paul,2010-08-10,3,0.072
Paul,2010-08-10,3.5,0.048
Paul,2010-08-10,4,0.032
Paul,2010-08-10,4.5,0.022
Paul,2010-08-10,5,0.015
Paul,2010-08-10,5.5,0.01
Paul,2010-08-10,6,0.007
Paul,2010-08-17,0,1
Paul,2010-08-17,0.25,0.821
Paul,2010-08-17,0.5,0.681
Paul,2010-08-17,0.75,0.519
Paul,2010-08-17,1,0.36
Paul,2010-08-17,1.5,0.253
Paul,2010-08-17,2,0.171
Paul,2010-08-17,2.5,0.114
Paul,2010-08-17,3,0.07
Paul,2010-08-17,3.5,0.05
Paul,2010-08-17,4,0.033
Paul,2010-08-17,4.5,0.022
Paul,2010-08-17,5,0.014
Paul,2010-08-17,5.5,0.01
Paul,2010-08-17,6,0.007
Paul,2010-08-24,0,1
Paul,2010-08-24,0.25,0.796
Paul,2010-08-24,0.5,0.594
Paul,2010-08-24,0.75,0.466
Paul,2010-08-24,1,0.328
Paul,2010-08-24,1.5,0.219
Paul,2010-08-24,2,0.158
Paul,2010-08-24,2.5,0.116
Paul,2010-08-24,3,0.085
Paul,2010-08-24,3.5,0.062
Paul,2010-08-24,4,0.044
Paul,2010-08-24,4.5,0.031
Paul,2010-08-24,5,0.021
Paul,2010-08-24,5.5,0.015
Paul,2010-08-24,6,0.01
Paul,2010-08-24,6.5,0.006
Paul,2012-05-22,0,1
Paul,2012-05-22,0.25,0.73
Paul,2012-05-22,0.5,0.56
Paul,2012-05-22,0.75,0.42
Paul,2012-05-22,1,0.352
Paul,2012-05-22,1.5,0.252
Paul,2012-05-22,2,0.18
Paul,2012-05-22,2.5,0.149
Paul,2012-05-22,3,0.126
Paul,2012-05-22,3.5,0.1
Paul,2012-05-22,4,0.08
Paul,2012-05-22,4.5,0.065
Paul,2012-05-22,5,0.052
Paul,2012-05-22,5.5,0.039
Paul,2012-05-22,6,0.028
Paul,2012-05-22,6.5,0.018
Paul,2012-05-22,7,0.01
Paul,2012-05-29,0,1
Paul,2012-05-29,0.25,0.788
Paul,2012-05-29,0.5,0.588
Paul,2012-05-29,0.75,0.48
Paul,2012-05-29,1,0.359
Paul,2012-05-29,1.5,0.246
Paul,2012-05-29,2,0.186
Paul,2012-05-29,2.5,0.143
Paul,2012-05-29,3,0.115
Paul,2012-05-29,3.5,0.089
Paul,2012-05-29,4,0.068
Paul,2012-05-29,4.5,0.053
Paul,2012-05-29,5,0.041
Paul,2012-05-29,5.5,0.03
Paul,2012-05-29,6,0.021
Paul,2012-05-29,6.5,0.013
Paul,2012-05-29,7,0.007
Paul,2012-06-05,0,1
Paul,2012-06-05,0.25,0.984
Paul,2012-06-05,0.5,0.781
Paul,2012-06-05,0.75,0.63
Paul,2012-06-05,1,0.546
Paul,2012-06-05,1.5,0.413
Paul,2012-06-05,2,0.277
Paul,2012-06-05,2.5,0.211
Paul,2012-06-05,3,0.16
Paul,2012-06-05,3.5,0.12
Paul,2012-06-05,4,0.089
Paul,2012-06-05,4.5,0.067
Paul,2012-06-05,5,0.051
Paul,2012-06-05,5.5,0.037
Paul,2012-06-05,6,0.026
Paul,2012-06-05,6.5,0.016
Paul,2012-06-05,7,0.009
Paul,2012-06-05,8,0.001
Paul,2012-06-12,0,1
Paul,2012-06-12,0.25,0.717
Paul,2012-06-12,0.5,0.654
Paul,2012-06-12,0.75,0.602
Paul,2012-06-12,1,0.456
Paul,2012-06-12,1.5,0.324
Paul,2012-06-12,2,0.225
Paul,2012-06-12,2.5,0.16
Paul,2012-06-12,3,0.139
Paul,2012-06-12,3.5,0.101
Paul,2012-06-12,4,0.074
Paul,2012-06-12,4.5,0.057
Paul,2012-06-12,5,0.043
Paul,2012-06-12,5.5,0.033
Paul,2012-06-12,6,0.023
Paul,2012-06-12,6.5,0.016
Paul,2012-06-12,7,0.009
Paul,2012-06-12,8,0.001
Paul,2012-06-19,0,1
Paul,2012-06-19,0.25,0.754
Paul,2012-06-19,0.5,0.693
Paul,2012-06-19,0.75,0.548
Paul,2012-06-19,1,0.398
Paul,2012-06-19,1.5,0.274
Paul,2012-06-19,2,0.201
Paul,2012-06-19,2.5,0.153
Paul,2012-06-19,3,0.112
Paul,2012-06-19,3.5,0.081
Paul,2012-06-19,4,0.064
Paul,2012-06-19,4.5,0.049
Paul,2012-06-19,5,0.037
Paul,2012-06-19,5.5,0.028
Paul,2012-06-19,6,0.019
Paul,2012-06-19,6.5,0.013
Paul,2012-06-19,7,0.007
Paul,2012-06-26,0,1
Paul,2012-06-26,0.25,0.922
Paul,2012-06-26,0.5,0.706
Paul,2012-06-26,0.75,0.632
Paul,2012-06-26,1,0.439
Paul,2012-06-26,1.5,0.293
Paul,2012-06-26,2,0.202
Paul,2012-06-26,2.5,0.133
Paul,2012-06-26,3,0.096
Paul,2012-06-26,3.5,0.065
Paul,2012-06-26,4,0.049
Paul,2012-06-26,4.5,0.035
Paul,2012-06-26,5,0.024
Paul,2012-06-26,5.5,0.019
Paul,2012-06-26,6,0.013
Paul,2012-06-26,6.5,0.009
Paul,2012-07-03,0,1
Paul,2012-07-03,0.25,0.749
Paul,2012-07-03,0.5,0.692
Paul,2012-07-03,0.75,0.529
Paul,2012-07-03,1,0.404
Paul,2012-07-03,1.5,0.295
Paul,2012-07-03,2,0.194
Paul,2012-07-03,2.5,0.13
Paul,2012-07-03,3,0.086
Paul,2012-07-03,3.5,0.057
Paul,2012-07-03,4,0.04
Paul,2012-07-03,4.5,0.031
Paul,2012-07-03,5,0.02
Paul,2012-07-03,5.5,0.017
Paul,2012-07-03,6,0.011
Paul,2012-07-03,6.5,0.007
Paul,2012-07-03,7,0.004
Paul,2012-07-03,8,0
Paul,2012-07-10,0,1
Paul,2012-07-10,0.25,0.887
Paul,2012-07-10,0.5,0.7
Paul,2012-07-10,0.75,0.531
Paul,2012-07-10,1,0.393
Paul,2012-07-10,1.5,0.266
Paul,2012-07-10,2,0.179
Paul,2012-07-10,2.5,0.124
Paul,2012-07-10,3,0.089
Paul,2012-07-10,3.5,0.062
Paul,2012-07-10,4,0.043
Paul,2012-07-10,4.5,0.032
Paul,2012-07-10,5,0.024
Paul,2012-07-10,5.5,0.017
Paul,2012-07-10,6,0.012
Paul,2012-07-10,6.5,0.008
Paul,2012-07-17,0,1
Paul,2012-07-17,0.25,0.767
Paul,2012-07-17,0.5,0.758
Paul,2012-07-17,0.75,0.623
Paul,2012-07-17,1,0.453
Paul,2012-07-17,1.5,0.295
Paul,2012-07-17,2,0.213
Paul,2012-07-17,2.5,0.15
Paul,2012-07-17,3,0.117
Paul,2012-07-17,3.5,0.09
Paul,2012-07-17,4,0.068
Paul,2012-07-17,4.5,0.048
Paul,2012-07-17,5,0.042
Paul,2012-07-17,5.5,0.031
Paul,2012-07-17,6,0.022
Paul,2012-07-17,6.5,0.014
Paul,2012-07-17,7,0.009
Paul,2012-07-24,0,1
Paul,2012-07-24,0.25,0.721
Paul,2012-07-24,0.5,0.644
Paul,2012-07-24,0.75,0.528
Paul,2012-07-24,1,0.422
Paul,2012-07-24,1.5,0.284
Paul,2012-07-24,2,0.186
Paul,2012-07-24,2.5,0.134
Paul,2012-07-24,3,0.095
Paul,2012-07-24,3.5,0.071
Paul,2012-07-24,4,0.069
Paul,2012-07-24,4.5,0.038
Paul,2012-07-24,5,0.029
Paul,2012-07-24,5.5,0.021
Paul,2012-07-24,6,0.014
Paul,2012-07-24,6.5,0.009
Paul,2012-07-24,7,0.005
Paul,2012-07-31,0,1
Paul,2012-07-31,0.25,0.85
Paul,2012-07-31,0.5,0.678
Paul,2012-07-31,0.75,0.536
Paul,2012-07-31,1,0.397
Paul,2012-07-31,1.5,0.247
Paul,2012-07-31,2,0.176
Paul,2012-07-31,2.5,0.113
Paul,2012-07-31,3,0.081
Paul,2012-07-31,3.5,0.065
Paul,2012-07-31,4,0.041
Paul,2012-07-31,4.5,0.028
Paul,2012-07-31,5,0.021
Paul,2012-07-31,5.5,0.014
Paul,2012-07-31,6,0.011
Paul,2012-07-31,6.5,0.007
Paul,2012-08-07,0,1
Paul,2012-08-07,0.25,0.991
Paul,2012-08-07,0.5,0.701
Paul,2012-08-07,0.75,0.568
Paul,2012-08-07,1,0.416
Paul,2012-08-07,1.5,0.29
Paul,2012-08-07,2,0.187
Paul,2012-08-07,2.5,0.127
Paul,2012-08-07,3,0.091
Paul,2012-08-07,3.5,0.054
Paul,2012-08-07,4,0.046
Paul,2012-08-07,4.5,0.03
Paul,2012-08-07,5,0.021
Paul,2012-08-07,5.5,0.015
Paul,2012-08-07,6,0.011
Paul,2012-08-07,6.5,0.007
Paul,2012-08-14,0,1
Paul,2012-08-14,0.25,0.757
Paul,2012-08-14,0.5,0.653
Paul,2012-08-14,0.75,0.54
Paul,2012-08-14,1,0.388
Paul,2012-08-14,1.5,0.265
Paul,2012-08-14,2,0.174
Paul,2012-08-14,2.5,0.128
Paul,2012-08-14,3,0.085
Paul,2012-08-14,3.5,0.064
Paul,2012-08-14,4,0.047
Paul,2012-08-14,4.5,0.03
Paul,2012-08-14,5,0.021
Paul,2012-08-14,5.5,0.015
Paul,2012-08-14,6,0.011
Paul,2012-08-14,6.5,0.007
Paul,2012-08-21,0,1
Paul,2012-08-21,0.25,0.772
Paul,2012-08-21,0.5,0.676
Paul,2012-08-21,0.75,0.543
Paul,2012-08-21,1,0.354
Paul,2012-08-21,1.5,0.276
Paul,2012-08-21,2,0.189
Paul,2012-08-21,2.5,0.132
Paul,2012-08-21,3,0.083
Paul,2012-08-21,3.5,0.063
Paul,2012-08-21,4,0.045
Paul,2012-08-21,4.5,0.033
Paul,2012-08-21,5,0.023
Paul,2012-08-21,5.5,0.016
Paul,2012-08-21,6,0.011
Paul,2012-08-21,6.5,0.007
Paul,2012-08-27,0,1
Paul,2012-08-27,0.25,0.839
Paul,2012-08-27,0.5,0.728
Paul,2012-08-27,0.75,0.62
Paul,2012-08-27,1,0.459
Paul,2012-08-27,1.5,0.331
Paul,2012-08-27,2,0.233
Paul,2012-08-27,2.5,0.165
Paul,2012-08-27,3,0.124
Paul,2012-08-27,3.5,0.088
Paul,2012-08-27,4,0.06
Paul,2012-08-27,4.5,0.044
Paul,2012-08-27,5,0.031
Paul,2012-08-27,5.5,0.023
Paul,2012-08-27,6,0.016
Paul,2012-08-27,6.5,0.011
Paul,2012-08-27,7,0.005
Ward,2010-05-19,0,1
Ward,2010-05-19,0.25,0.619
Ward,2010-05-19,0.5,0.473
Ward,2010-05-19,0.75,0.5
Ward,2010-05-19,1,0.377
Ward,2010-05-19,1.5,0.261
Ward,2010-05-19,2,0.187
Ward,2010-05-19,2.5,0.125
Ward,2010-05-19,3,0.09
Ward,2010-05-19,3.5,0.058
Ward,2010-05-19,4,0.021
Ward,2010-05-19,4.5,0.006
Ward,2010-05-19,5,0
Ward,2010-05-19,5.5,0
Ward,2010-05-19,6,0
Ward,2010-05-26,0,1
Ward,2010-05-26,0.25,0.718
Ward,2010-05-26,0.5,0.599
Ward,2010-05-26,0.75,0.534
Ward,2010-05-26,1,0.318
Ward,2010-05-26,1.5,0.241
Ward,2010-05-26,2,0.173
Ward,2010-05-26,2.5,0.13
Ward,2010-05-26,3,0.087
Ward,2010-05-26,3.5,0.062
Ward,2010-05-26,4,0.032
Ward,2010-05-26,4.5,0.009
Ward,2010-05-26,5,0
Ward,2010-05-26,5.5,0
Ward,2010-05-26,6,0
Ward,2010-06-02,0,1
Ward,2010-06-02,0.25,0.744
Ward,2010-06-02,0.5,0.583
Ward,2010-06-02,0.75,0.476
Ward,2010-06-02,1,0.355
Ward,2010-06-02,1.5,0.234
Ward,2010-06-02,2,0.162
Ward,2010-06-02,2.5,0.115
Ward,2010-06-02,3,0.083
Ward,2010-06-02,3.5,0.06
Ward,2010-06-02,4,0.036
Ward,2010-06-02,4.5,0.011
Ward,2010-06-02,5,0.002
Ward,2010-06-02,5.5,0
Ward,2010-06-02,6,0
Ward,2010-06-09,0,1
Ward,2010-06-09,0.25,0.76
Ward,2010-06-09,0.5,0.78
Ward,2010-06-09,0.75,0.514
Ward,2010-06-09,1,0.356
Ward,2010-06-09,1.5,0.198
Ward,2010-06-09,2,0.196
Ward,2010-06-09,2.5,0.128
Ward,2010-06-09,3,0.088
Ward,2010-06-09,3.5,0.058
Ward,2010-06-09,4,0.027
Ward,2010-06-09,4.5,0.008
Ward,2010-06-09,5,0
Ward,2010-06-09,5.5,0
Ward,2010-06-09,6,0
Ward,2010-06-16,0,1
Ward,2010-06-16,0.25,0.609
Ward,2010-06-16,0.5,0.452
Ward,2010-06-16,0.75,0.341
Ward,2010-06-16,1,0.234
Ward,2010-06-16,1.5,0.155
Ward,2010-06-16,2,0.104
Ward,2010-06-16,2.5,0.074
Ward,2010-06-16,3,0.053
Ward,2010-06-16,3.5,0.038
Ward,2010-06-16,4,0.016
Ward,2010-06-16,4.5,0.004
Ward,2010-06-16,5,0
Ward,2010-06-23,0,1
Ward,2010-06-23,0.25,0.697
Ward,2010-06-23,0.5,0.55
Ward,2010-06-23,0.75,0.407
Ward,2010-06-23,1,0.281
Ward,2010-06-23,1.5,0.179
Ward,2010-06-23,2,0.122
Ward,2010-06-23,2.5,0.085
Ward,2010-06-23,3,0.062
Ward,2010-06-23,3.5,0.038
Ward,2010-06-23,4,0.02
Ward,2010-06-23,4.5,0.005
Ward,2010-06-23,5,0
Ward,2010-06-30,0,1
Ward,2010-06-30,0.25,0.701
Ward,2010-06-30,0.5,0.46
Ward,2010-06-30,0.75,0.342
Ward,2010-06-30,1,0.22
