Lake,Year,Date,Layer,Depth,Color,Chla,pH,Secchi,Temp,Zmix,TN,TP,DOC,DIC,pCO2_water,pCO2_air,DO_Conc,Light
Paul,2010,2010-05-18,PML,NA,1.17453,11.04429823,6.82,6,16.6,3.5,237.7062305,2.306646779,7.6,1.215996866,367.5971326,378.1323314,10,6.08
Paul,2010,2010-05-25,PML,NA,1.40483,5.308493571,6.7,3.9,23.9,0.5,236.1876811,2.721208496,4.53,1.287891305,1090.281502,394.8067152,7.6,5.7
Paul,2010,2010-06-01,PML,NA,1.1515,5.546565324,6.55,4.85,23,1.5,241.0529217,5.889695922,4.37,1.367894945,914.5386419,373.1406046,8.4,5.33
Paul,2010,2010-06-08,PML,NA,0.87514,13.15959661,6.9,3.9,19.3,2.5,323.1436169,7.856184383,5.01,1.193001288,526.2703396,371.4048162,9.4,5.5
Paul,2010,2010-06-15,PML,NA,1.42786,17.83766031,6.82,4.1,18.3,2.5,205.3174285,3.25480355,4.41,1.149330759,505.2794165,368.6569618,8.7,5.8
Paul,2010,2010-06-22,PML,NA,1.31271,2.932841391,6.67,4.1,21.8,1.5,206.598064,2.546341508,4.2,1.262181443,831.0885017,377.5635144,8,5.83
Paul,2010,2010-06-29,PML,NA,1.47392,5.176794303,6.61,4.6,21.4,2.5,225.8827528,6.984291828,4.45,1.376514853,999.8316427,367.0510994,7.6,5.6
Paul,2010,2010-07-06,PML,NA,1.42786,3.505226671,6.53,NA,23.8,2,198.4707468,3.795450862,4.69,1.452881927,1145.629939,383.9094707,7,5.92
Paul,2010,2010-07-13,PML,NA,1.35877,2.588397151,6.53,5.4,24.1,2.5,223.0234215,3.310104125,4.85,1.468851986,1239.026369,358.2361003,6.6,1
Paul,2010,2010-07-20,PML,NA,1.47392,3.44950775,6.57,NA,24.1,2.5,197.6089409,4.490349342,4.68,1.373055018,1198.100913,401.5318485,7.4,6.2
Paul,2010,2010-07-27,PML,NA,1.47392,3.515357384,6.58,5.1,24.6,2.5,188.0149448,2.867091611,4.66,1.444625419,1165.412547,353.5839486,7.5,6.2
Paul,2010,2010-08-03,PML,NA,1.49695,6.438068061,6.54,5.4,24.1,2.5,229.323179,3.846485217,4.43,1.389767368,1233.752543,383.3157058,7.4,5.75
Paul,2010,2010-08-10,PML,NA,1.28968,3.484965245,6.63,4.6,25.2,3,204.0514703,3.42076691,4.51,1.327828652,972.3718015,395.0997781,7.3,5.5
Paul,2010,2010-08-17,PML,NA,1.40483,5.242643937,6.52,4.85,21.8,3.5,219.8302562,1.846923037,4.54,1.518958533,1252.909175,362.8238966,7.2,5.5
Paul,2010,2010-08-24,PML,NA,1.42786,4.558820814,6.51,4.5,22.8,3.5,217.6875225,2.613104325,4.56,1.519247511,1362.398044,373.6659395,7.5,6
