Lake,Year,Date,DoY,Depth,Temp,DO
Ward,2012,2012-04-14,105,0,12.9,11.52
Ward,2012,2012-04-14,105,0.5,12.8,11.56
Ward,2012,2012-04-14,105,1,12.7,11.60
Ward,2012,2012-04-14,105,1.5,9.4,12.57
Ward,2012,2012-04-14,105,2,7.9,12.28
Ward,2012,2012-04-14,105,2.5,7.1,10.35
Ward,2012,2012-04-14,105,3,5.6,0.49
Ward,2012,2012-04-14,105,3.5,5.2,0.27
Ward,2012,2012-04-14,105,4,5,0.24
Ward,2012,2012-04-14,105,4.5,5,0.22
Ward,2012,2012-04-14,105,5,5,0.20
Ward,2012,2012-04-14,105,5.5,5,0.19
Ward,2012,2012-04-14,105,6,5,0.18
Ward,2012,2012-04-14,105,6.5,5.1,0.17
Ward,2012,2012-04-19,110,0,8.2,11.23
Ward,2012,2012-04-19,110,0.5,8.3,11.23
Ward,2012,2012-04-19,110,1,8.3,11.22
Ward,2012,2012-04-19,110,1.5,8.3,11.21
Ward,2012,2012-04-19,110,2,8.2,11.21
Ward,2012,2012-04-19,110,2.5,7.2,9.84
Ward,2012,2012-04-19,110,3,6.1,2.38
Ward,2012,2012-04-19,110,3.5,5.6,0.95
Ward,2012,2012-04-19,110,4,5.2,0.64
Ward,2012,2012-04-19,110,4.5,5.1,0.48
Ward,2012,2012-04-19,110,5,5.1,0.41
Ward,2012,2012-04-19,110,5.5,5.1,0.36
Ward,2012,2012-04-19,110,6,5.1,0.34
Ward,2012,2012-04-19,110,6.5,5.1,0.30
Ward,2012,2012-04-26,117,0,9.8,10.55
Ward,2012,2012-04-26,117,0.5,9.9,10.50
Ward,2012,2012-04-26,117,1,10,10.47
Ward,2012,2012-04-26,117,1.5,9.9,10.47
Ward,2012,2012-04-26,117,2,9.3,10.85
Ward,2012,2012-04-26,117,2.5,8.3,10.36
Ward,2012,2012-04-26,117,3,7.1,4.06
Ward,2012,2012-04-26,117,3.5,5.8,0.73
Ward,2012,2012-04-26,117,4,5.6,0.60
Ward,2012,2012-04-26,117,4.5,5.4,0.50
Ward,2012,2012-04-26,117,5,5.2,0.43
Ward,2012,2012-04-26,117,5.5,5.2,0.38
Ward,2012,2012-04-26,117,6,5.1,0.34
Ward,2012,2012-04-26,117,6.5,5.1,0.32
Ward,2012,2012-04-26,117,7,5.1,0.30
Ward,2012,2012-04-26,117,7.5,5.1,0.26
Ward,2012,2012-05-03,124,0,17.8,9.01
Ward,2012,2012-05-03,124,0.5,17.5,9.01
Ward,2012,2012-05-03,124,1,12.2,9.41
Ward,2012,2012-05-03,124,1.5,10.8,9.03
Ward,2012,2012-05-03,124,2,9.9,8.62
Ward,2012,2012-05-03,124,2.5,8.6,5.77
Ward,2012,2012-05-03,124,3,7,0.42
Ward,2012,2012-05-03,124,3.5,6.2,0.28
Ward,2012,2012-05-03,124,4,5.6,0.25
Ward,2012,2012-05-03,124,4.5,5.4,0.22
Ward,2012,2012-05-03,124,5,5.2,0.19
Ward,2012,2012-05-03,124,5.5,5.2,0.18
Ward,2012,2012-05-03,124,6,5.2,0.17
Ward,2012,2012-05-03,124,6.5,5.2,0.16
Ward,2012,2012-05-03,124,7,5.2,0.15
Ward,2012,2012-05-10,131,0,17.4,8.68
Ward,2012,2012-05-10,131,0.5,16.6,8.63
Ward,2012,2012-05-10,131,1,14.9,8.47
Ward,2012,2012-05-10,131,1.5,12.5,7.00
Ward,2012,2012-05-10,131,2,10.3,6.60
Ward,2012,2012-05-10,131,2.5,9,5.75
Ward,2012,2012-05-10,131,3,8,1.53
Ward,2012,2012-05-10,131,3.5,6.7,0.60
