Date,Time,AirTemp,WindSpeed,PAR
2012-05-27,15:40,23.256,3.34,728.7
2012-05-27,15:45,23.545,2.6,1478.7
2012-05-27,15:50,23.328,3.34,1393.7
2012-05-27,15:55,23.16,3.34,646.2
2012-05-27,16:00,23.184,2.78,1328.7
2012-05-27,16:05,23.376,2.41,1253.7
2012-05-27,16:10,23.472,2.97,936.2
2012-05-27,16:15,23.545,2.78,1033.7
2012-05-27,16:20,23.593,2.41,1078.7
2012-05-27,16:25,23.208,3.34,766.2
2012-05-27,16:30,23.232,2.6,878.7
2012-05-27,16:35,23.448,2.97,1211.2
2012-05-27,16:40,23.761,2.6,1093.7
2012-05-27,16:45,23.665,2.97,1158.7
2012-05-27,16:50,23.833,2.41,996.2
2012-05-27,16:55,23.472,3.15,548.7
2012-05-27,17:00,23.569,2.04,963.7
2012-05-27,17:05,23.761,1.86,896.2
2012-05-27,17:10,23.689,1.86,546.2
2012-05-27,17:15,23.713,2.04,616.2
2012-05-27,17:20,23.376,2.04,456.2
2012-05-27,17:25,23.4,1.67,461.2
2012-05-27,17:30,23.448,1.86,581.2
2012-05-27,17:35,23.521,1.86,676.2
2012-05-27,17:40,23.857,2.23,858.7
2012-05-27,17:45,23.689,2.04,476.2
2012-05-27,17:50,23.521,2.04,356.2
2012-05-27,17:55,23.569,1.86,478.7
2012-05-27,18:00,23.304,1.67,446.2
2012-05-27,18:05,23.352,1.67,553.7
2012-05-27,18:10,23.352,1.3,353.7
2012-05-27,18:15,23.184,1.48,248.7
2012-05-27,18:20,23.232,1.48,376.2
2012-05-27,18:25,23.328,1.3,268.7
2012-05-27,18:30,23.256,1.3,181.2
2012-05-27,18:35,23.256,1.3,161.2
2012-05-27,18:40,23.4,1.3,151.2
2012-05-27,18:45,23.521,1.11,178.7
2012-05-27,18:50,23.833,1.11,363.7
2012-05-27,18:55,24.267,1.67,398.7
2012-05-27,19:00,24.46,1.67,333.7
2012-05-27,19:05,24.436,2.04,263.7
2012-05-27,19:10,24.363,1.67,261.2
2012-05-27,19:15,24.219,1.86,246.2
2012-05-27,19:20,23.978,1.67,193.7
2012-05-27,19:25,23.881,2.23,183.7
2012-05-27,19:30,23.857,1.86,141.2
2012-05-27,19:35,23.713,1.3,138.7
2012-05-27,19:40,23.593,1.67,116.2
2012-05-27,19:45,23.497,1.48,83.7
2012-05-27,19:50,23.304,1.48,63.7
2012-05-27,19:55,23.064,0.93,43.7
2012-05-27,20:00,22.872,1.48,28.7
2012-05-27,20:05,22.633,1.3,23.7
2012-05-27,20:10,22.513,0.93,18.7
2012-05-27,20:15,22.25,0.56,16.2
2012-05-27,20:20,22.178,0.74,11.2
2012-05-27,20:25,22.106,0.93,8.7
2012-05-27,20:30,21.867,0.74,8.7
2012-05-27,20:35,21.795,0.74,6.2
2012-05-27,20:40,21.437,0.19,3.7
2012-05-27,20:45,21.223,0.19,1.2
2012-05-27,20:50,21.151,0.37,1.2
2012-05-27,20:55,21.032,0.19,1.2
2012-05-27,21:00,20.865,0.19,1.2
2012-05-27,21:05,20.96,0.37,1.2
2012-05-27,21:10,20.77,0.19,1.2
2012-05-27,21:15,21.008,0.56,1.2
2012-05-27,21:20,20.793,0.37,1.2
2012-05-27,21:25,20.817,0.56,1.2
2012-05-27,21:30,20.603,0.37,1.2
2012-05-27,21:35,20.603,0.74,1.2
2012-05-27,21:40,20.627,0.93,1.2
2012-05-27,21:45,20.603,1.11,1.2
2012-05-27,21:50,20.579,1.11,1.2
2012-05-27,21:55,20.555,0.93,1.2
2012-05-27,22:00,20.484,1.3,1.2
2012-05-27,22:05,20.484,1.3,1.2
2012-05-27,22:10,20.388,1.11,1.2
2012-05-27,22:15,20.317,0.56,1.2
2012-05-27,22:20,20.317,0.74,1.2
2012-05-27,22:25,20.341,0.74,1.2
2012-05-27,22:30,20.269,0.74,1.2
2012-05-27,22:35,20.246,1.11,1.2
2012-05-27,22:40,20.269,0.93,1.2
2012-05-27,22:45,20.246,0.93,1.2
2012-05-27,22:50,20.341,0.93,1.2
2012-05-27,22:55,20.412,1.11,1.2
2012-05-27,23:00,20.507,1.48,1.2
2012-05-27,23:05,20.484,0.74,1.2
2012-05-27,23:10,20.46,0.74,1.2
2012-05-27,23:15,20.484,0.93,1.2
2012-05-27,23:20,20.484,0.93,1.2
2012-05-27,23:25,20.412,0.56,1.2
2012-05-27,23:30,20.436,0.56,1.2
2012-05-27,23:35,20.388,0.56,1.2
2012-05-27,23:40,20.412,0.74,1.2
2012-05-27,23:45,20.412,0.93,1.2
2012-05-27,23:50,20.365,0.93,1.2
2012-05-27,23:55,20.412,0.74,1.2
2012-05-28,00:00,20.484,0.74,1.2
2012-05-28,00:05,20.579,0.93,1.2
2012-05-28,00:10,20.77,1.3,1.2
2012-05-28,00:15,20.865,1.3,1.2
2012-05-28,00:20,21.008,1.67,1.2
2012-05-28,00:25,21.032,1.67,1.2
2012-05-28,00:30,21.294,1.48,1.2
2012-05-28,00:35,21.342,1.48,1.2
2012-05-28,00:40,21.676,2.04,1.2
2012-05-28,00:45,21.987,2.04,1.2
2012-05-28,00:50,22.561,2.78,1.2
2012-05-28,00:55,22.681,3.15,1.2
2012-05-28,01:00,22.561,2.97,1.2
2012-05-28,01:05,22.489,2.97,1.2
2012-05-28,01:10,22.298,2.78,1.2
2012-05-28,01:15,22.106,2.78,1.2
2012-05-28,01:20,21.963,2.04,1.2
2012-05-28,01:25,21.867,2.23,1.2
2012-05-28,01:30,21.724,2.6,1.2
2012-05-28,01:35,21.509,1.48,1.2
2012-05-28,01:40,21.485,2.23,1.2
2012-05-28,01:45,21.413,2.23,1.2
2012-05-28,01:50,21.318,2.23,1.2
2012-05-28,01:55,21.223,1.67,1.2
2012-05-28,02:00,21.199,1.67,1.2
2012-05-28,02:05,21.223,2.04,1.2
2012-05-28,02:10,21.366,2.41,1.2
2012-05-28,02:15,21.485,2.04,1.2
2012-05-28,02:20,21.581,1.67,1.2
2012-05-28,02:25,21.652,1.67,1.2
2012-05-28,02:30,21.772,1.86,1.2
2012-05-28,02:35,22.082,2.23,1.2
2012-05-28,02:40,22.082,1.86,1.2
2012-05-28,02:45,22.154,2.23,1.2
2012-05-28,02:50,22.13,1.67,1.2
2012-05-28,02:55,22.034,1.67,1.2
2012-05-28,03:00,22.106,1.67,1.2
2012-05-28,03:05,22.082,1.67,1.2
2012-05-28,03:10,22.082,2.23,1.2
2012-05-28,03:15,21.987,2.04,1.2
2012-05-28,03:20,21.915,2.23,1.2
2012-05-28,03:25,21.915,1.67,1.2
2012-05-28,03:30,21.772,1.67,1.2
2012-05-28,03:35,21.772,2.23,1.2
2012-05-28,03:40,21.581,2.04,1.2
2012-05-28,03:45,21.557,1.67,1.2
2012-05-28,03:50,21.437,1.86,1.2
2012-05-28,03:55,21.318,1.67,1.2
2012-05-28,04:00,21.27,1.86,1.2
2012-05-28,04:05,21.151,1.48,1.2
2012-05-28,04:10,21.079,1.67,1.2
2012-05-28,04:15,21.056,1.86,1.2
2012-05-28,04:20,20.889,1.48,1.2
2012-05-28,04:25,20.817,1.3,1.2
2012-05-28,04:30,20.817,1.67,1.2
2012-05-28,04:35,20.722,1.48,1.2
2012-05-28,04:40,20.722,1.3,1.2
2012-05-28,04:45,20.698,1.67,1.2
2012-05-28,04:50,20.555,1.3,1.2
2012-05-28,04:55,20.436,0.74,1.2
2012-05-28,05:00,20.46,1.3,1.2
2012-05-28,05:05,20.531,1.67,1.2
2012-05-28,05:10,20.388,1.48,3.7
2012-05-28,05:15,20.341,1.67,6.2
2012-05-28,05:20,20.269,1.67,11.2
2012-05-28,05:25,20.246,1.67,18.7
2012-05-28,05:30,20.222,1.86,28.7
2012-05-28,05:35,20.222,2.04,38.7
2012-05-28,05:40,20.15,1.67,48.7
2012-05-28,05:45,20.126,1.48,58.7
2012-05-28,05:50,20.055,1.48,71.2
2012-05-28,05:55,20.031,1.48,86.2
2012-05-28,06:00,20.055,1.86,98.7
2012-05-28,06:05,20.031,1.86,108.7
2012-05-28,06:10,20.079,1.3,118.7
2012-05-28,06:15,20.174,1.48,143.7
2012-05-28,06:20,20.198,1.86,106.2
2012-05-28,06:25,20.126,1.86,81.2
2012-05-28,06:30,20.055,1.86,73.7
2012-05-28,06:35,19.936,1.48,51.2
2012-05-28,06:40,19.817,1.11,36.2
2012-05-28,06:45,19.674,1.48,28.7
2012-05-28,06:50,19.27,1.48,33.7
2012-05-28,06:55,18.961,1.11,38.7
2012-05-28,07:00,18.842,1.48,78.7
2012-05-28,07:05,18.771,1.3,118.7
2012-05-28,07:10,18.747,1.3,128.7
2012-05-28,07:15,18.699,1.11,163.7
2012-05-28,07:20,18.723,1.48,193.7
2012-05-28,07:25,18.747,1.3,171.2
2012-05-28,07:30,18.747,0.93,261.2
2012-05-28,07:35,19.056,1.11,636.2
2012-05-28,07:40,19.341,1.48,531.2
2012-05-28,07:45,19.246,2.04,423.7
2012-05-28,07:50,19.413,1.48,398.7
2012-05-28,07:55,19.246,1.86,471.2
2012-05-28,08:00,19.555,1.11,536.2
2012-05-28,08:05,19.46,1.67,478.7
2012-05-28,08:10,19.389,2.04,346.2
2012-05-28,08:15,19.555,1.86,366.2
2012-05-28,08:20,19.722,1.86,436.2
2012-05-28,08:25,19.936,1.11,453.7
2012-05-28,08:30,20.15,1.48,511.2
2012-05-28,08:35,20.198,1.67,621.2
2012-05-28,08:40,20.65,1.86,458.7
2012-05-28,08:45,20.412,2.6,626.2
2012-05-28,08:50,20.531,2.04,601.2
2012-05-28,08:55,20.65,2.6,1051.2
2012-05-28,09:00,20.722,2.23,1501.2
2012-05-28,09:05,21.151,2.6,923.7
2012-05-28,09:10,21.103,2.04,1151.2
2012-05-28,09:15,20.936,2.6,691.2
2012-05-28,09:20,20.936,2.41,536.2
2012-05-28,09:25,21.056,2.23,803.7
2012-05-28,09:30,21.056,2.23,568.7
2012-05-28,09:35,21.413,2.23,1418.7
2012-05-28,09:40,21.819,2.97,1258.7
2012-05-28,09:45,22.537,2.23,1386.2
2012-05-28,09:50,22.585,2.6,1408.7
2012-05-28,09:55,22.465,2.78,1326.2
2012-05-28,10:00,22.657,2.78,1256.2
2012-05-28,10:05,22.824,2.41,1446.2
2012-05-28,10:10,23.088,2.78,1481.2
2012-05-28,10:15,23.256,2.78,1496.2
2012-05-28,10:20,23.136,3.34,1513.7
2012-05-28,10:25,23.256,3.15,1283.7
2012-05-28,10:30,23.448,2.41,1588.7
2012-05-28,10:35,23.28,2.41,1703.7
2012-05-28,10:40,23.617,1.86,553.7
2012-05-28,10:45,23.497,2.41,1796.2
2012-05-28,10:50,23.617,2.41,1951.2
2012-05-28,10:55,23.448,2.41,461.2
2012-05-28,11:00,23.16,1.86,406.2
2012-05-28,11:05,23.04,2.23,1731.2
2012-05-28,11:10,23.545,2.6,1833.7
2012-05-28,11:15,23.761,2.23,1726.2
2012-05-28,11:20,23.785,2.41,418.7
2012-05-28,11:25,23.569,2.78,563.7
2012-05-28,11:30,23.954,2.04,1898.7
2012-05-28,11:35,24.219,2.41,1228.7
2012-05-28,11:40,24.026,2.04,613.7
2012-05-28,11:45,23.905,2.23,2023.7
2012-05-28,11:50,23.833,2.41,706.2
2012-05-28,11:55,24.002,2.41,608.7
2012-05-28,12:00,24.098,2.78,1926.2
2012-05-28,12:05,24.339,2.41,613.7
2012-05-28,12:10,23.978,2.41,746.2
2012-05-28,12:15,24.002,1.86,738.7
2012-05-28,12:20,24.315,2.04,2411.2
2012-05-28,12:25,24.026,2.97,631.2
2012-05-28,12:30,23.881,2.41,803.7
2012-05-28,12:35,24.388,2.6,871.2
2012-05-28,12:40,23.881,2.23,658.7
2012-05-28,12:45,21.39,2.41,418.7
2012-05-28,12:50,20.96,2.04,386.2
2012-05-28,12:55,20.341,1.86,528.7
2012-05-28,13:00,20.246,2.04,593.7
2012-05-28,13:05,20.507,1.67,926.2
2012-05-28,13:10,20.817,2.6,1041.2
2012-05-28,13:15,20.96,1.86,911.2
2012-05-28,13:20,20.627,2.41,696.2
2012-05-28,13:25,20.341,2.6,1123.7
