"V1","V2","V3","V4"
"Group.1","Paul","Ward","Paul","Ward"
"Group.2","2010","2010","2012","2012"
"Color","1.344952","2.491846","1.220667","3.626467"
"Temp","22.32000","22.21333","23.00667","22.54000"
"Zmix","2.4333333","1.7666667","2.8000000","0.9333333"
"Secchi","4.715385","2.410667","4.216667","1.096667"
"Light","5.460667","4.057333","6.501333","1.961333"
"DOC"," 4.766000"," 9.611333"," 4.462200","10.645067"
"DIC"," 1.356535","20.867743"," 1.352568","22.143208"
"pH","6.632000","8.032857","6.516667","7.604667"
"TN","223.5933","490.9660","427.7794","726.1484"
"TP"," 3.849963","22.946772","14.004563","57.994453"
"Chla"," 6.252616"," 8.633913"," 3.596957","12.773392"
"POC",NA,"0.8499786",NA,"1.0272933"
"PON",NA,"0.1338133",NA,"0.1578800"
"C:Chl",NA,"99.65135",NA,"88.76917"
"pCO2_water"," 986.9659"," 975.8723"," 940.9578","2134.3609"
"DO_Conc","7.840000","7.880000","7.794667","7.032000"
