Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,92,100,2.14713312,0
2012,92,200,2.3603712,0
2012,92,300,0.28118816,0
2012,92,400,0.28118816,0
2012,92,500,0.28118816,0
2012,92,600,0.28118816,0
2012,92,700,0.28118816,4.763
2012,92,800,0.28118816,26.28
2012,92,900,0.28118816,75.7
2012,92,1000,0.28118816,167
2012,92,1100,0.28118816,209
2012,92,1200,0.28118816,214.3
2012,92,1300,0.28118816,94.7
2012,92,1400,0.28118816,201.6
2012,92,1500,0.28118816,234.8
2012,92,1600,0.28118816,206.5
2012,92,1700,0.28118816,150.7
2012,92,1800,0.28118816,33.32
2012,92,1900,0.28118816,3.283
2012,92,2000,0.40099488,0.328
2012,92,2100,0.28118816,0
2012,92,2200,1.6942816,0
2012,92,2300,1.49400768,0
2012,92,2400,1.2807696,0
2012,93,100,1.04115616,0
2012,93,200,1.52083008,0
2012,93,300,1.58743904,0
2012,93,400,0.62764416,0
2012,93,500,2.44039136,0
2012,93,600,2.09393536,0
2012,93,700,2.13416896,11.66
2012,93,800,1.50741888,69.48
2012,93,900,2.90710112,110.2
2012,93,1000,2.86686752,513.1
2012,93,1100,1.98753984,617.8
2012,93,1200,2.7336496,683.8
2012,93,1300,0.38803072,721
2012,93,1400,3.2678624,708
2012,93,1500,1.05412032,650.3
2012,93,1600,0.45463968,237.6
2012,93,1700,0.30801056,167.4
2012,93,1800,0.28118816,65.97
2012,93,1900,0.28118816,12.47
2012,93,2000,2.09393536,0
2012,93,2100,3.2946848,4.267
2012,93,2200,0.74789792,3.611
2012,93,2300,1.57402784,0.821
2012,93,2400,0.28118816,0
2012,94,100,0.66787776,0
2012,94,200,0.961136,1.478
2012,94,300,0.86770464,0.164
2012,94,400,0.28118816,0
2012,94,500,1.2941808,0
2012,94,600,0.74789792,0
2012,94,700,1.10776512,5.419
2012,94,800,1.84091072,49.1
2012,94,900,1.74747936,62.25
2012,94,1000,2.92051232,155.9
2012,94,1100,0.84088224,137.5
2012,94,1200,4.5732192,302.5
2012,94,1300,4.1887648,391.2
2012,94,1400,1.01433376,746
2012,94,1500,4.5463968,682.1
2012,94,1600,1.72065696,578
2012,94,1700,2.0139152,410.9
2012,94,1800,3.4019744,39.39
2012,94,1900,0.28118816,14.77
2012,94,2000,0.28118816,0
2012,94,2100,0.28118816,0.328
2012,94,2200,0.28118816,0.328
2012,94,2300,0.28118816,0
2012,94,2400,0.28118816,0
2012,95,100,0.28118816,0
2012,95,200,0.28118816,0
2012,95,300,0.28118816,0.657
2012,95,400,0.28118816,0
2012,95,500,0.28118816,0
2012,95,600,0.28118816,0
2012,95,700,0.28118816,16.76
2012,95,800,0.28118816,126.7
2012,95,900,0.28118816,194.8
2012,95,1000,2.760472,581.1
2012,95,1100,1.73406816,694.1
2012,95,1200,2.93392352,776
2012,95,1300,1.96071744,803
2012,95,1400,3.24104,764
2012,95,1500,0.29459936,669.7
2012,95,1600,1.654048,582.3
2012,95,1700,0.44122848,417.5
2012,95,1800,0.5610352,40.06
2012,95,1900,2.10734656,16.75
2012,95,2000,0.28118816,0
2012,95,2100,0.28118816,0
2012,95,2200,0.74789792,0
2012,95,2300,1.6272256,0
2012,95,2400,0.34779712,0
2012,96,100,0.28118816,0
2012,96,200,0.86770464,0
2012,96,300,0.28118816,0
2012,96,400,1.56061664,0
2012,96,500,0.48101504,0
2012,96,600,0.28118816,0
2012,96,700,0.28118816,16.11
2012,96,800,0.37461952,121.4
2012,96,900,0.28118816,224.3
2012,96,1000,2.50700032,578.1
2012,96,1100,2.94688768,699.8
2012,96,1200,2.16054432,786
2012,96,1300,1.40102336,810
2012,96,1400,0.28118816,773
2012,96,1500,0.28118816,697.6
2012,96,1600,1.40102336,590.5
2012,96,1700,3.1605728,428.5
2012,96,1800,3.05373024,40.22
2012,96,1900,1.08094272,17.65
2012,96,2000,1.94730624,0
2012,96,2100,1.16096288,0
2012,96,2200,0.28118816,0
2012,96,2300,0.28118816,0
2012,96,2400,0.28118816,0
2012,97,100,0.28118816,0
2012,97,200,0.28118816,0.329
2012,97,300,0.28118816,0.657
2012,97,400,0.28118816,1.315
2012,97,500,0.28118816,0.822
2012,97,600,0.28118816,0.493
2012,97,700,0.28118816,20.71
2012,97,800,0.28118816,159.8
2012,97,900,1.76089056,245
2012,97,1000,0.81450688,590.7
2012,97,1100,0.28118816,717
2012,97,1200,2.3737824,791
2012,97,1300,2.62725408,830
2012,97,1400,0.28118816,769
2012,97,1500,0.70766432,696.5
2012,97,1600,0.9343136,589.4
2012,97,1700,0.28118816,424.9
2012,97,1800,1.12072928,41.35
2012,97,1900,0.64105536,19.04
2012,97,2000,0.28118816,0
2012,97,2100,0.28118816,0.657
2012,97,2200,0.28118816,0.328
2012,97,2300,2.42698016,0
2012,97,2400,1.74747936,0
2012,98,100,1.24098304,0
2012,98,200,1.02774496,0
2012,98,300,0.28118816,0
2012,98,400,0.28118816,0
2012,98,500,0.28118816,0
2012,98,600,0.28118816,0
2012,98,700,0.28118816,22.51
2012,98,800,1.18778528,143.3
2012,98,900,1.34737856,243.3
2012,98,1000,3.5047936,585.2
2012,98,1100,3.5047936,671.9
2012,98,1200,2.33399584,742
2012,98,1300,4.2111168,763
2012,98,1400,3.7193728,706
2012,98,1500,3.00053248,476.5
2012,98,1600,3.7461952,392.7
2012,98,1700,2.12075776,28.8
2012,98,1800,3.02690784,15.1
2012,98,1900,2.25397568,7.22
2012,98,2000,2.13416896,0
2012,98,2100,2.64066528,0
2012,98,2200,1.82749952,0.164
2012,98,2300,3.06714144,0
2012,98,2400,2.65362944,0
2012,99,100,1.56061664,0
2012,99,200,0.52124864,0
2012,99,300,2.96029888,0
2012,99,400,4.3184064,0
2012,99,500,1.2941808,0.164
2012,99,600,1.92048384,0
2012,99,700,2.94688768,25.47
2012,99,800,3.4153856,168.4
2012,99,900,3.05373024,289
2012,99,1000,2.10734656,599.2
2012,99,1100,4.13512,717
2012,99,1200,5.1051968,788
2012,99,1300,5.1320192,683.2
2012,99,1400,5.3465984,188.5
2012,99,1500,4.7207424,742
2012,99,1600,2.20077792,460.7
2012,99,1700,1.307592,225.2
2012,99,1800,0.30801056,85.5
2012,99,1900,0.28118816,18.39
2012,99,2000,0.28118816,0.164
2012,99,2100,0.28118816,0
2012,99,2200,0.28118816,0.821
