Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,92,100,4.803,0
2012,92,200,5.28,0
2012,92,300,0.629,0
2012,92,400,0.629,0
2012,92,500,0.629,0
2012,92,600,0.629,0
2012,92,700,0.629,4.763
2012,92,800,0.629,26.28
2012,92,900,0.629,75.7
2012,92,1000,0.629,167
2012,92,1100,0.629,209
2012,92,1200,0.629,214.3
2012,92,1300,0.629,94.7
2012,92,1400,0.629,201.6
2012,92,1500,0.629,234.8
2012,92,1600,0.629,206.5
2012,92,1700,0.629,150.7
2012,92,1800,0.629,33.32
2012,92,1900,0.629,3.283
2012,92,2000,0.897,0.328
2012,92,2100,0.629,0
2012,92,2200,3.79,0
2012,92,2300,3.342,0
2012,92,2400,2.865,0
2012,93,100,2.329,0
2012,93,200,3.402,0
2012,93,300,3.551,0
2012,93,400,1.404,0
2012,93,500,5.459,0
2012,93,600,4.684,0
2012,93,700,4.774,11.66
2012,93,800,3.372,69.48
2012,93,900,6.503,110.2
2012,93,1000,6.413,513.1
2012,93,1100,4.446,617.8
2012,93,1200,6.115,683.8
2012,93,1300,0.868,721
2012,93,1400,7.31,708
2012,93,1500,2.358,650.3
2012,93,1600,1.017,237.6
2012,93,1700,0.689,167.4
2012,93,1800,0.629,65.97
2012,93,1900,0.629,12.47
2012,93,2000,4.684,0
2012,93,2100,7.37,4.267
2012,93,2200,1.673,3.611
2012,93,2300,3.521,0.821
2012,93,2400,0.629,0
2012,94,100,1.494,0
2012,94,200,2.15,1.478
2012,94,300,1.941,0.164
2012,94,400,0.629,0
2012,94,500,2.895,0
2012,94,600,1.673,0
2012,94,700,2.478,5.419
2012,94,800,4.118,49.1
2012,94,900,3.909,62.25
2012,94,1000,6.533,155.9
2012,94,1100,1.881,137.5
2012,94,1200,10.23,302.5
2012,94,1300,9.37,391.2
2012,94,1400,2.269,746
2012,94,1500,10.17,682.1
2012,94,1600,3.849,578
2012,94,1700,4.505,410.9
2012,94,1800,7.61,39.39
2012,94,1900,0.629,14.77
2012,94,2000,0.629,0
2012,94,2100,0.629,0.328
2012,94,2200,0.629,0.328
2012,94,2300,0.629,0
2012,94,2400,0.629,0
2012,95,100,0.629,0
2012,95,200,0.629,0
2012,95,300,0.629,0.657
2012,95,400,0.629,0
2012,95,500,0.629,0
2012,95,600,0.629,0
2012,95,700,0.629,16.76
2012,95,800,0.629,126.7
2012,95,900,0.629,194.8
2012,95,1000,6.175,581.1
2012,95,1100,3.879,694.1
2012,95,1200,6.563,776
2012,95,1300,4.386,803
2012,95,1400,7.25,764
2012,95,1500,0.659,669.7
2012,95,1600,3.7,582.3
2012,95,1700,0.987,417.5
2012,95,1800,1.255,40.06
2012,95,1900,4.714,16.75
2012,95,2000,0.629,0
2012,95,2100,0.629,0
2012,95,2200,1.673,0
2012,95,2300,3.64,0
2012,95,2400,0.778,0
2012,96,100,0.629,0
2012,96,200,1.941,0
2012,96,300,0.629,0
2012,96,400,3.491,0
2012,96,500,1.076,0
2012,96,600,0.629,0
2012,96,700,0.629,16.11
2012,96,800,0.838,121.4
2012,96,900,0.629,224.3
2012,96,1000,5.608,578.1
2012,96,1100,6.592,699.8
2012,96,1200,4.833,786
2012,96,1300,3.134,810
2012,96,1400,0.629,773
2012,96,1500,0.629,697.6
2012,96,1600,3.134,590.5
2012,96,1700,7.07,428.5
2012,96,1800,6.831,40.22
2012,96,1900,2.418,17.65
2012,96,2000,4.356,0
2012,96,2100,2.597,0
2012,96,2200,0.629,0
2012,96,2300,0.629,0
2012,96,2400,0.629,0
2012,97,100,0.629,0
2012,97,200,0.629,0.329
2012,97,300,0.629,0.657
2012,97,400,0.629,1.315
2012,97,500,0.629,0.822
2012,97,600,0.629,0.493
2012,97,700,0.629,20.71
2012,97,800,0.629,159.8
2012,97,900,3.939,245
2012,97,1000,1.822,590.7
2012,97,1100,0.629,717
2012,97,1200,5.31,791
2012,97,1300,5.877,830
2012,97,1400,0.629,769
2012,97,1500,1.583,696.5
2012,97,1600,2.09,589.4
2012,97,1700,0.629,424.9
2012,97,1800,2.507,41.35
2012,97,1900,1.434,19.04
2012,97,2000,0.629,0
2012,97,2100,0.629,0.657
2012,97,2200,0.629,0.328
2012,97,2300,5.429,0
2012,97,2400,3.909,0
2012,98,100,2.776,0
2012,98,200,2.299,0
2012,98,300,0.629,0
2012,98,400,0.629,0
2012,98,500,0.629,0
2012,98,600,0.629,0
2012,98,700,0.629,22.51
2012,98,800,2.657,143.3
2012,98,900,3.014,243.3
2012,98,1000,7.84,585.2
2012,98,1100,7.84,671.9
2012,98,1200,5.221,742
2012,98,1300,9.42,763
2012,98,1400,8.32,706
2012,98,1500,6.712,476.5
2012,98,1600,8.38,392.7
2012,98,1700,4.744,28.8
2012,98,1800,6.771,15.1
2012,98,1900,5.042,7.22
2012,98,2000,4.774,0
2012,98,2100,5.907,0
2012,98,2200,4.088,0.164
2012,98,2300,6.861,0
2012,98,2400,5.936,0
2012,99,100,3.491,0
2012,99,200,1.166,0
2012,99,300,6.622,0
2012,99,400,9.66,0
2012,99,500,2.895,0.164
2012,99,600,4.296,0
2012,99,700,6.592,25.47
2012,99,800,7.64,168.4
2012,99,900,6.831,289
2012,99,1000,4.714,599.2
2012,99,1100,9.25,717
2012,99,1200,11.42,788
2012,99,1300,11.48,683.2
2012,99,1400,11.96,188.5
2012,99,1500,10.56,742
2012,99,1600,4.923,460.7
2012,99,1700,2.925,225.2
2012,99,1800,0.689,85.5
2012,99,1900,0.629,18.39
2012,99,2000,0.629,0.164
2012,99,2100,0.629,0
2012,99,2200,0.629,0.821
2012,99,2300,0.629,0
2012,99,2400,0.629,1.807
2012,100,100,0.629,0
2012,100,200,0.629,0.821
2012,100,300,0.629,0
2012,100,400,0.629,0
2012,100,500,0.629,0.164
2012,100,600,0.629,0
2012,100,700,4.416,24.48
2012,100,800,7.84,166.2
2012,100,900,6.95,363.7
2012,100,1000,8.98,170
2012,100,1100,12.5,269.2
2012,100,1200,7.19,292.9
2012,100,1300,4.654,113.5
2012,100,1400,9.25,170
2012,100,1500,4.177,253.1
2012,100,1600,7.01,209.3
2012,100,1700,5.161,121.4
2012,100,1800,9.99,81.1
2012,100,1900,4.416,19.22
2012,100,2000,10.83,0
2012,100,2100,4.207,0
2012,100,2200,3.551,0
2012,100,2300,5.817,0
2012,100,2400,2.955,0
2012,101,100,2.001,0
2012,101,200,2.329,0
2012,101,300,0.629,0
2012,101,400,5.966,0
2012,101,500,8.44,0
2012,101,600,6.413,0
2012,101,700,5.101,38.13
2012,101,800,7.04,126
2012,101,900,0.629,130.2
2012,101,1000,3.402,295.5
2012,101,1100,1.971,179.3
2012,101,1200,7.7,405.4
2012,101,1300,10.38,586.3
2012,101,1400,12.35,295.6
2012,101,1500,5.966,962
2012,101,1600,9.93,177.6
2012,101,1700,4.774,508.9
2012,101,1800,3.312,102
2012,101,1900,4.982,22.5
