Year,Day of Year,Time,Wind Speed (mph),Solar Radiation (W/m2)
2012,122,100,0.718,0
2012,122,200,0.629,0
2012,122,300,0.629,0
2012,122,400,0.629,0
2012,122,500,1.762,0
2012,122,600,0.629,6.899
2012,122,700,0.629,67.51
2012,122,800,0.629,137.3
2012,122,900,3.998,165.2
2012,122,1000,0.629,607.6
2012,122,1100,3.611,722
2012,122,1200,2.09,904
2012,122,1300,2.358,832
2012,122,1400,6.563,471.3
2012,122,1500,8.29,653.5
2012,122,1600,8.05,703
2012,122,1700,8.35,460.2
2012,122,1800,14.08,140.6
2012,122,1900,6.98,28.05
2012,122,2000,3.521,0.328
2012,122,2100,8.77,0
2012,122,2200,7.19,0
2012,122,2300,6.652,0
2012,122,2400,3.551,0
2012,123,100,3.849,0
2012,123,200,3.521,0
2012,123,300,0.629,0
2012,123,400,4.326,0
2012,123,500,3.67,0
2012,123,600,1.941,8.21
2012,123,700,5.042,39.72
2012,123,800,2.985,39.39
2012,123,900,6.324,75.2
2012,123,1000,3.849,130.3
2012,123,1100,2.269,379.2
2012,123,1200,5.4,388
2012,123,1300,5.251,834
2012,123,1400,3.551,794
2012,123,1500,5.251,759
2012,123,1600,5.251,685.6
2012,123,1700,3.104,490.4
2012,123,1800,0.629,81.2
2012,123,1900,0.629,68.23
2012,123,2000,0.629,1.722
2012,123,2100,0.629,0.328
2012,123,2200,0.629,0
2012,123,2300,0.629,0.246
2012,123,2400,0.808,0
2012,124,100,0.629,0
2012,124,200,0.629,0
2012,124,300,0.629,0
2012,124,400,3.64,0.985
2012,124,500,2.955,0
2012,124,600,0.629,0.821
2012,124,700,1.553,0.492
2012,124,800,1.732,101
2012,124,900,0.629,451.4
2012,124,1000,2.001,327.4
2012,124,1100,6.145,453.4
2012,124,1200,0.629,357.9
2012,124,1300,0.629,495.7
2012,124,1400,2.418,267.3
2012,124,1500,4.177,480.5
2012,124,1600,3.79,609.1
2012,124,1700,6.205,278.7
2012,124,1800,2.358,62.16
2012,124,1900,0.629,61.19
2012,124,2000,7.28,3.446
2012,124,2100,4.774,0
2012,124,2200,0.629,0
2012,124,2300,2.776,0
2012,124,2400,0.659,0
2012,125,100,0.629,0
2012,125,200,0.629,0
2012,125,300,2.448,0
2012,125,400,0.629,0
2012,125,500,4.326,0
2012,125,600,4.923,8.7
2012,125,700,0.629,71.4
2012,125,800,2.806,139.1
2012,125,900,0.629,249.2
2012,125,1000,3.73,354.8
2012,125,1100,1.911,544.4
2012,125,1200,3.998,860
2012,125,1300,5.459,883
2012,125,1400,5.042,600.4
2012,125,1500,0.629,626
2012,125,1600,2.716,630.6
2012,125,1700,0.629,292.6
2012,125,1800,4.326,120.3
2012,125,1900,0.629,37.58
2012,125,2000,0.629,0.82
2012,125,2100,0.629,0
2012,125,2200,0.629,0
2012,125,2300,1.553,0
2012,125,2400,6.264,0
2012,126,100,3.342,0
2012,126,200,0.927,0
2012,126,300,0.629,0
2012,126,400,3.342,0
2012,126,500,0.629,0
2012,126,600,0.629,9.52
2012,126,700,0.629,19.37
2012,126,800,2.835,131.7
2012,126,900,0.629,227.2
2012,126,1000,0.629,299.1
2012,126,1100,2.925,388.7
2012,126,1200,2.418,440.9
2012,126,1300,0.629,508.2
2012,126,1400,3.64,383.5
2012,126,1500,0.629,465.3
2012,126,1600,1.017,86.9
2012,126,1700,0.629,84
2012,126,1800,0.629,52.84
2012,126,1900,3.044,21
2012,126,2000,0.629,1.559
2012,126,2100,0.629,0
2012,126,2200,6.115,0
2012,126,2300,0.629,0
2012,126,2400,4.475,0
2012,127,100,1.971,0
2012,127,200,0.629,0
2012,127,300,0.629,0.164
2012,127,400,0.629,0
2012,127,500,2.15,0
2012,127,600,0.629,1.478
2012,127,700,0.629,17.49
2012,127,800,0.629,14.61
2012,127,900,5.608,53.36
2012,127,1000,5.877,179
2012,127,1100,2.09,44.16
2012,127,1200,2.179,81.8
2012,127,1300,0.629,160.2
2012,127,1400,4.356,168.1
2012,127,1500,5.131,94.6
2012,127,1600,0.629,56.39
2012,127,1700,6.205,64.03
2012,127,1800,6.235,38.25
2012,127,1900,3.581,19.87
2012,127,2000,3.014,2.463
2012,127,2100,1.792,0.328
2012,127,2200,3.79,0.41
2012,127,2300,5.131,0.493
2012,127,2400,2.179,0.41
2012,128,100,0.808,0.328
2012,128,200,0.629,0
2012,128,300,0.629,0
2012,128,400,0.629,0
2012,128,500,0.629,0
2012,128,600,0.629,4.269
2012,128,700,3.074,34.81
2012,128,800,5.251,49.58
2012,128,900,0.629,129.4
2012,128,1000,0.629,271.2
2012,128,1100,0.629,206.5
2012,128,1200,0.629,480.2
2012,128,1300,0.629,278.3
2012,128,1400,6.801,913
2012,128,1500,0.629,636.8
2012,128,1600,4.147,210.2
2012,128,1700,0.629,134.8
2012,128,1800,1.702,97.3
2012,128,1900,0.629,43.89
2012,128,2000,0.629,3.282
2012,128,2100,0.629,0
2012,128,2200,0.629,0
2012,128,2300,0.629,0
2012,128,2400,0.629,0
2012,129,100,0.629,0
2012,129,200,0.629,0
2012,129,300,0.629,0.164
2012,129,400,0.629,0
2012,129,500,0.629,0.493
2012,129,600,0.629,15.27
2012,129,700,0.629,31.36
2012,129,800,0.629,75.5
2012,129,900,0.629,196.4
2012,129,1000,0.629,702
2012,129,1100,0.629,525.5
2012,129,1200,0.629,90.1
2012,129,1300,0.629,272.4
2012,129,1400,0.629,357
2012,129,1500,4.088,563.8
2012,129,1600,0.659,356.6
2012,129,1700,3.312,137.2
2012,129,1800,2.418,129.1
2012,129,1900,2.716,43
2012,129,2000,0.629,2.298
2012,129,2100,0.927,0
2012,129,2200,0.629,0
2012,129,2300,0.808,0
2012,129,2400,3.283,0
2012,130,100,0.629,0
2012,130,200,0.629,0
2012,130,300,0.629,0
2012,130,400,0.629,0
2012,130,500,0.629,0
2012,130,600,0.629,15.93
2012,130,700,0.629,40.9
2012,130,800,0.629,55.68
2012,130,900,0.629,513
2012,130,1000,5.161,750
2012,130,1100,1.553,215
2012,130,1200,0.659,923
2012,130,1300,0.629,923
2012,130,1400,4.952,865
2012,130,1500,0.629,768
2012,130,1600,2.209,664
2012,130,1700,3.491,572.4
2012,130,1800,0.629,58.09
2012,130,1900,0.629,80.4
2012,130,2000,0.629,5.908
2012,130,2100,0.629,0.164
2012,130,2200,0.629,0.657
2012,130,2300,0.629,0.657
2012,130,2400,0.629,1.232
2012,131,100,0.629,0
2012,131,200,0.629,0.575
2012,131,300,0.629,0
2012,131,400,0.629,0.821
2012,131,500,0.629,0
2012,131,600,0.629,14.95
2012,131,700,0.629,37.62
2012,131,800,6.235,61.92
2012,131,900,4.714,546.2
2012,131,1000,0.629,683.7
