  Date        	Time        	Fo	Fm	Blank	Fv	Yield

Configuration: Ward12

04/22/12	12:00:00	0	0	672	0	Invalid
04/22/12	12:05:00	0	0	672	0	Invalid
04/22/12	12:10:00	0	0	672	0	Invalid
04/22/12	12:15:00	2072	2072	672	0	Invalid
04/22/12	12:20:00	2559	2809	672	250	0.088
04/22/12	12:25:00	2793	3184	672	391	0.122
04/22/12	12:30:00	2707	3061	672	354	0.115
04/22/12	12:35:00	2962	3359	672	397	0.118
04/22/12	12:40:00	2942	3394	672	452	0.133
04/22/12	12:45:00	2684	2962	672	278	0.093
04/22/12	12:50:00	2889	3341	672	452	0.135
04/22/12	12:55:00	2718	2995	672	277	0.092
04/22/12	13:00:00	2994	3402	672	408	0.119
04/22/12	13:05:00	2961	3470	672	509	0.146
04/22/12	13:10:00	2776	3149	672	373	0.118
04/22/12	13:15:00	2891	3395	672	504	0.148
04/22/12	13:20:00	2741	3052	672	311	0.101
04/22/12	13:25:00	3002	3595	672	593	0.164
04/22/12	13:30:00	2863	3288	672	425	0.129
04/22/12	13:35:00	2884	3307	672	423	0.127
04/22/12	13:40:00	2785	3181	672	396	0.124
04/22/12	13:45:00	2692	2949	672	257	0.087
04/22/12	13:50:00	2774	3048	672	274	0.089
04/22/12	13:55:00	2830	3205	672	375	0.117
04/22/12	14:00:00	2603	2821	672	218	0.077
04/22/12	14:05:00	2504	2737	672	233	0.085
04/22/12	14:10:00	2679	3019	672	340	0.112
04/22/12	14:15:00	2583	2702	672	119	0.044
04/22/12	14:20:00	2475	2643	672	168	0.063
04/22/12	14:25:00	2583	2835	672	252	0.088
04/22/12	14:30:00	2497	2786	672	289	0.103
04/22/12	14:35:00	2542	2733	672	191	0.069
04/22/12	14:40:00	2767	3081	672	314	0.101
04/22/12	14:45:00	2681	2999	672	318	0.106
04/22/12	14:50:00	2605	2802	672	197	0.070
04/22/12	14:55:00	2841	3223	672	382	0.118
04/22/12	15:00:00	2627	2924	672	297	0.101
04/22/12	15:05:00	2721	2966	672	245	0.082
04/22/12	15:10:00	3136	3950	672	814	0.206
04/22/12	15:15:00	3422	4532	672	1110	0.244
04/22/12	15:20:00	3483	4599	672	1116	0.242
04/22/12	15:25:00	3233	4135	672	902	0.218
04/22/12	15:30:00	2973	3848	672	875	0.227
04/22/12	15:35:00	3054	3731	672	677	0.181
04/22/12	15:40:00	2897	3529	672	632	0.179
04/22/12	15:45:00	2981	3520	672	539	0.153
04/22/12	15:50:00	3086	3889	672	803	0.206
04/22/12	15:55:00	3338	4248	672	910	0.214
04/22/12	16:00:00	3309	4245	672	936	0.220
04/22/12	16:05:00	2628	3098	672	470	0.151
04/22/12	16:10:00	3606	4792	672	1186	0.247
04/22/12	16:15:00	3682	5143	672	1461	0.284
04/22/12	16:20:00	3197	4092	672	895	0.218
04/22/12	16:25:00	2870	3287	672	417	0.126
04/22/12	16:30:00	2943	3575	672	632	0.176
04/22/12	16:35:00	3614	4608	672	994	0.215
04/22/12	16:40:00	3739	5444	672	1705	0.313
04/22/12	16:45:00	3979	5860	672	1881	0.320
04/22/12	16:50:00	3856	5781	672	1925	0.332
04/22/12	16:55:00	3676	5160	672	1484	0.287
04/22/12	17:00:00	3991	5691	672	1700	0.298
04/22/12	17:05:00	3475	4345	672	870	0.200
04/22/12	17:10:00	3220	3881	672	661	0.170
04/22/12	17:15:00	2894	3445	672	551	0.159
04/22/12	17:20:00	3243	4178	672	935	0.223
04/22/12	17:25:00	3186	3832	672	646	0.168
04/22/12	17:30:00	3084	3875	672	791	0.204
04/22/12	17:35:00	3218	4181	672	963	0.230
04/22/12	17:40:00	3282	4134	672	852	0.206
04/22/12	17:45:00	3314	4243	672	929	0.218
04/22/12	17:50:00	3259	4148	672	889	0.214
04/22/12	17:55:00	3312	4327	672	1015	0.234
04/22/12	18:00:00	3454	4590	672	1136	0.247
04/22/12	18:05:00	3392	4350	672	958	0.220
04/22/12	18:10:00	3460	4877	672	1417	0.290
04/22/12	18:15:00	3476	4571	672	1095	0.239
04/22/12	18:20:00	3350	4409	672	1059	0.240
04/22/12	18:25:00	3723	4972	672	1249	0.251
04/22/12	18:30:00	3437	4847	672	1410	0.290
04/22/12	18:35:00	3659	5201	672	1542	0.296
04/22/12	18:40:00	3808	5477	672	1669	0.304
04/22/12	18:45:00	3707	5295	672	1588	0.299
04/22/12	18:50:00	3681	5256	672	1575	0.299
04/22/12	18:55:00	3827	5691	672	1864	0.327
04/22/12	19:00:00	4016	5993	672	1977	0.329
04/22/12	19:05:00	4101	6357	672	2256	0.354
04/22/12	19:10:00	3960	5838	672	1878	0.321
04/22/12	19:15:00	3888	6058	672	2170	0.358
04/22/12	19:20:00	4387	6483	672	2096	0.323
04/22/12	19:25:00	4049	5991	672	1942	0.324
04/22/12	19:30:00	4023	6089	672	2066	0.339
04/22/12	19:35:00	4251	6297	672	2046	0.324
04/22/12	19:40:00	4303	6360	672	2057	0.323
04/22/12	19:45:00	4311	6043	672	1732	0.286
04/22/12	19:50:00	4303	5708	672	1405	0.246
04/22/12	19:55:00	4165	5811	672	1646	0.283
04/22/12	20:00:00	4270	5756	672	1486	0.258
04/22/12	20:05:00	4529	6036	672	1507	0.249
04/22/12	20:10:00	4423	5769	672	1346	0.233
04/22/12	20:15:00	4304	5661	672	1357	0.239
04/22/12	20:20:00	4291	5603	672	1312	0.234
04/22/12	20:25:00	4442	5847	672	1405	0.240
04/22/12	20:30:00	3853	5007	672	1154	0.230
04/22/12	20:35:00	4336	5692	672	1356	0.238
04/22/12	20:40:00	4381	5732	672	1351	0.235
04/22/12	20:45:00	4713	6190	672	1477	0.238
04/22/12	20:50:00	4748	6000	672	1252	0.208
04/22/12	20:55:00	4211	5525	672	1314	0.237
04/22/12	21:00:00	4312	5638	672	1326	0.235
04/22/12	21:05:00	4147	5581	672	1434	0.256
04/22/12	21:10:00	4218	5547	672	1329	0.239
04/22/12	21:15:00	4352	5698	672	1346	0.236
04/22/12	21:20:00	4395	5774	672	1379	0.238
04/22/12	21:25:00	4478	6040	672	1562	0.258
04/22/12	21:30:00	4194	5421	672	1227	0.226
04/22/12	21:35:00	4344	5771	672	1427	0.247
04/22/12	21:40:00	4149	5404	672	1255	0.232
04/22/12	21:45:00	4445	5845	672	1400	0.239
04/22/12	21:50:00	4645	6088	672	1443	0.237
04/22/12	21:55:00	4551	5987	672	1436	0.239
04/22/12	22:00:00	4861	6421	672	1560	0.242
04/22/12	22:05:00	4516	5983	672	1467	0.245
04/22/12	22:10:00	4489	5867	672	1378	0.234
04/22/12	22:15:00	4915	6311	672	1396	0.221
04/22/12	22:20:00	4402	5690	672	1288	0.226
04/22/12	22:25:00	4274	5584	672	1310	0.234
04/22/12	22:30:00	4496	5902	672	1406	0.238
04/22/12	22:35:00	4243	5734	672	1491	0.260
04/22/12	22:40:00	4320	5623	672	1303	0.231
04/22/12	22:45:00	4075	5288	672	1213	0.229
04/22/12	22:50:00	4209	5527	672	1318	0.238
04/22/12	22:55:00	4136	5675	672	1539	0.271
04/22/12	23:00:00	4493	5838	672	1345	0.230
04/22/12	23:05:00	4765	6370	672	1605	0.251
04/22/12	23:10:00	4607	5906	672	1299	0.219
04/22/12	23:15:00	4420	5725	672	1305	0.227
04/22/12	23:20:00	4606	6049	672	1443	0.238
04/22/12	23:25:00	3997	5041	672	1044	0.207
04/22/12	23:30:00	4160	5406	672	1246	0.230
04/22/12	23:35:00	4281	5594	672	1313	0.234
04/22/12	23:40:00	4340	5469	672	1129	0.206
04/22/12	23:45:00	4066	5281	672	1215	0.230
04/22/12	23:50:00	4348	5693	672	1345	0.236
04/22/12	23:55:00	4435	5851	672	1416	0.242
04/23/12	00:00:00	4463	5711	672	1248	0.218
04/23/12	00:05:00	4426	5711	672	1285	0.225
04/23/12	00:10:00	4431	5780	672	1349	0.233
04/23/12	00:15:00	4892	6184	672	1292	0.208
04/23/12	00:20:00	4261	5560	672	1299	0.233
04/23/12	00:25:00	4376	5655	672	1279	0.226
04/23/12	00:30:00	4772	6272	672	1500	0.239
04/23/12	00:35:00	4484	5798	672	1314	0.226
04/23/12	00:40:00	4479	5828	672	1349	0.231
04/23/12	00:45:00	4444	5754	672	1310	0.227
04/23/12	00:50:00	4381	5600	672	1219	0.217
04/23/12	00:55:00	4769	6109	672	1340	0.219
04/23/12	01:00:00	4230	5485	672	1255	0.228
04/23/12	01:05:00	4776	6206	672	1430	0.230
04/23/12	01:10:00	4297	5571	672	1274	0.228
04/23/12	01:15:00	4857	6239	672	1382	0.221
04/23/12	01:20:00	4812	6337	672	1525	0.240
04/23/12	01:25:00	4413	5737	672	1324	0.230
04/23/12	01:30:00	4451	5783	672	1332	0.230
04/23/12	01:35:00	4354	5658	672	1304	0.230
04/23/12	01:40:00	4360	5703	672	1343	0.235
04/23/12	01:45:00	4846	6424	672	1578	0.245
04/23/12	01:50:00	4573	6092	672	1519	0.249
04/23/12	01:55:00	4877	6396	672	1519	0.237
04/23/12	02:00:00	4690	6079	672	1389	0.228
04/23/12	02:05:00	4504	5847	672	1343	0.229
04/23/12	02:10:00	4590	5996	672	1406	0.234
04/23/12	02:15:00	4680	6103	672	1423	0.233
04/23/12	02:20:00	4900	6489	672	1589	0.244
04/23/12	02:25:00	4553	5867	672	1314	0.223
04/23/12	02:30:00	4723	6243	672	1520	0.243
04/23/12	02:35:00	4957	6389	672	1432	0.224
04/23/12	02:40:00	4156	5193	672	1037	0.199
04/23/12	02:45:00	4668	6081	672	1413	0.232
04/23/12	02:50:00	4610	6169	672	1559	0.252
04/23/12	02:55:00	4777	6211	672	1434	0.230
04/23/12	03:00:00	4656	6068	672	1412	0.232
04/23/12	03:05:00	4798	6277	672	1479	0.235
04/23/12	03:10:00	4542	5933	672	1391	0.234
04/23/12	03:15:00	4511	5787	672	1276	0.220
04/23/12	03:20:00	4473	5889	672	1416	0.240
04/23/12	03:25:00	4470	5843	672	1373	0.234
04/23/12	03:30:00	4686	6050	672	1364	0.225
04/23/12	03:35:00	4487	5761	672	1274	0.221
04/23/12	03:40:00	4589	6028	672	1439	0.238
04/23/12	03:45:00	4584	5954	672	1370	0.230
04/23/12	03:50:00	4764	6209	672	1445	0.232
04/23/12	03:55:00	4628	6043	672	1415	0.234
04/23/12	04:00:00	4515	5814	672	1299	0.223
04/23/12	04:05:00	4637	5942	672	1305	0.219
04/23/12	04:10:00	4669	6071	672	1402	0.230
04/23/12	04:15:00	4984	6531	672	1547	0.236
04/23/12	04:20:00	4417	5835	672	1418	0.243
04/23/12	04:25:00	4721	6177	672	1456	0.235
04/23/12	04:30:00	4854	6278	672	1424	0.226
04/23/12	04:35:00	4185	5449	672	1264	0.231
04/23/12	04:40:00	4590	6013	672	1423	0.236
04/23/12	04:45:00	4408	5771	672	1363	0.236
04/23/12	04:50:00	4698	6076	672	1378	0.226
04/23/12	04:55:00	4835	6323	672	1488	0.235
04/23/12	05:00:00	4600	6028	672	1428	0.236
04/23/12	05:05:00	4466	5792	672	1326	0.228
04/23/12	05:10:00	4691	6295	672	1604	0.254
04/23/12	05:15:00	4791	6303	672	1512	0.239
04/23/12	05:20:00	4804	6368	672	1564	0.245
04/23/12	05:25:00	4915	6414	672	1499	0.233
04/23/12	05:30:00	4886	6351	672	1465	0.230
04/23/12	05:35:00	4985	6623	672	1638	0.247
04/23/12	05:40:00	4769	6282	672	1513	0.240
04/23/12	05:45:00	5197	6640	672	1443	0.217
04/23/12	05:50:00	4957	6609	672	1652	0.249
04/23/12	05:55:00	4907	6577	672	1670	0.253
04/23/12	06:00:00	4977	6658	672	1681	0.252
04/23/12	06:05:00	4826	6325	672	1499	0.236
04/23/12	06:10:00	4636	6151	672	1515	0.246
04/23/12	06:15:00	5091	6951	672	1860	0.267
04/23/12	06:20:00	4906	6743	672	1837	0.272
04/23/12	06:25:00	4469	6314	672	1845	0.292
04/23/12	06:30:00	4854	6519	672	1665	0.255
04/23/12	06:35:00	4664	6337	672	1673	0.264
04/23/12	06:40:00	4272	5692	672	1420	0.249
04/23/12	06:45:00	4649	6495	672	1846	0.284
04/23/12	06:50:00	4991	6921	672	1930	0.278
04/23/12	06:55:00	4456	6502	672	2046	0.314
04/23/12	07:00:00	4367	6473	672	2106	0.325
04/23/12	07:05:00	4294	6256	672	1962	0.313
04/23/12	07:10:00	4183	6485	672	2302	0.354
04/23/12	07:15:00	4358	6545	672	2187	0.334
04/23/12	07:20:00	3930	5454	672	1524	0.279
04/23/12	07:25:00	4184	6213	672	2029	0.326
04/23/12	07:30:00	3760	5427	672	1667	0.307
04/23/12	07:35:00	3526	4999	672	1473	0.294
04/23/12	07:40:00	3972	5963	672	1991	0.333
04/23/12	07:45:00	3559	4884	672	1325	0.271
04/23/12	07:50:00	3995	5822	672	1827	0.313
04/23/12	07:55:00	3846	5607	672	1761	0.314
04/23/12	08:00:00	3935	5682	672	1747	0.307
04/23/12	08:05:00	3545	4924	672	1379	0.280
04/23/12	08:10:00	3470	4674	672	1204	0.257
04/23/12	08:15:00	3413	4546	672	1133	0.249
04/23/12	08:20:00	3544	4809	672	1265	0.263
04/23/12	08:25:00	3486	4625	672	1139	0.246
04/23/12	08:30:00	3025	4083	672	1058	0.259
04/23/12	08:35:00	3369	4370	672	1001	0.229
04/23/12	08:40:00	3747	4939	672	1192	0.241
04/23/12	08:45:00	2986	3606	672	620	0.171
04/23/12	08:50:00	3201	3883	672	682	0.175
04/23/12	08:55:00	3034	3687	672	653	0.177
04/23/12	09:00:00	3303	4126	672	823	0.199
04/23/12	09:05:00	3193	4021	672	828	0.205
04/23/12	09:10:00	3029	3654	672	625	0.171
04/23/12	09:15:00	3156	3946	672	790	0.200
