"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/07/14,15:31:19,20.04,0.002,7.87,10,-13.3,95.0,8.63,2.0,0.5,13.2
2012/07/14,15:36:18,26.75,0.040,7.12,8,28.7,91.2,7.30,5.9,1.4,13.4
2012/07/14,15:41:18,26.81,0.041,7.44,-25,29.1,87.8,7.02,5.6,1.3,13.2
2012/07/14,15:46:18,26.88,0.041,7.40,-56,29.4,87.0,6.95,5.7,1.3,13.5
2012/07/14,15:51:18,27.00,0.041,7.38,-74,30.2,86.3,6.88,5.8,1.4,13.2
2012/07/14,15:56:18,26.70,0.041,7.33,-86,28.3,87.7,7.02,8.4,2.0,13.2
2012/07/14,16:01:18,26.83,0.041,7.30,-94,29.1,85.8,6.86,7.3,1.7,13.4
2012/07/14,16:06:18,26.88,0.041,7.30,-101,29.4,86.7,6.92,7.1,1.7,13.1
2012/07/14,16:11:18,26.90,0.041,7.30,-107,29.6,87.0,6.95,6.5,1.5,13.1
2012/07/14,16:16:18,26.99,0.041,7.29,-112,30.1,87.6,6.98,6.9,1.6,13.2
2012/07/14,16:21:18,26.87,0.041,7.28,-115,29.4,88.8,7.09,8.3,2.0,13.2
2012/07/14,16:26:18,26.84,0.041,7.27,-118,29.2,89.3,7.14,7.9,1.9,13.1
2012/07/14,16:31:19,26.91,0.041,7.26,-125,29.6,87.8,7.01,8.2,1.9,13.2
2012/07/14,16:36:18,27.01,0.041,7.24,-126,30.2,88.8,7.08,7.1,1.7,13.1
2012/07/14,16:41:18,27.01,0.041,7.25,-131,30.2,88.4,7.04,6.8,1.6,13.2
2012/07/14,16:46:18,27.04,0.041,7.25,-135,30.4,88.1,7.01,6.1,1.4,13.1
2012/07/14,16:51:18,26.81,0.041,7.22,-135,29.0,86.7,6.93,7.5,1.8,13.2
2012/07/14,16:56:18,26.87,0.041,7.21,-137,29.4,86.4,6.90,7.5,1.8,13.1
2012/07/14,17:01:18,26.94,0.041,7.22,-140,29.8,87.2,6.96,7.1,1.7,13.1
2012/07/14,17:06:18,26.91,0.041,7.20,-140,29.6,87.4,6.98,7.2,1.7,13.1
2012/07/14,17:11:19,26.96,0.041,7.18,-141,29.9,88.1,7.02,8.1,1.9,13.2
2012/07/14,17:16:19,26.81,0.041,7.18,-141,29.0,87.5,7.00,7.5,1.8,13.0
2012/07/14,17:21:19,26.88,0.041,7.18,-143,29.4,87.3,6.97,7.6,1.8,13.2
2012/07/14,17:26:19,26.92,0.041,7.16,-146,29.7,85.8,6.85,7.7,1.8,13.1
2012/07/14,17:31:19,26.93,0.041,7.10,-146,29.7,84.5,6.74,7.5,1.8,13.2
