"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/06/03,19:01:13,23.61,0.004,8.82,-264,-0.1,92.9,7.88,10.0,2.4,13.9
2012/06/03,19:06:13,17.01,0.177,7.17,6380,3.4,70.7,6.83,5.8,1.4,14.0
2012/06/03,19:11:13,16.91,0.178,7.24,6539,3.5,69.8,6.75,6.7,1.6,13.8
2012/06/03,19:16:13,17.04,0.177,7.28,6761,3.6,70.2,6.78,6.6,1.6,14.1
2012/06/03,19:21:13,17.17,0.177,7.32,6811,3.6,70.2,6.75,6.2,1.5,13.9
2012/06/03,19:26:14,17.23,0.177,7.37,6927,3.7,74.8,7.19,6.4,1.5,14.0
2012/06/03,19:31:13,17.25,0.177,7.39,6901,3.6,75.6,7.26,6.4,1.5,13.8
2012/06/03,19:36:13,17.43,0.177,7.44,6466,3.4,76.6,7.34,6.0,1.4,13.9
2012/06/03,19:41:13,17.34,0.178,7.42,6754,3.6,75.8,7.27,5.4,1.3,13.8
2012/06/03,19:46:13,17.31,0.178,7.43,6812,3.6,75.2,7.22,5.8,1.4,14.1
2012/06/03,19:51:14,17.02,0.178,7.44,6800,3.6,73.8,7.13,6.9,1.6,14.1
2012/06/03,19:56:13,16.89,0.177,7.43,6705,3.6,70.3,6.81,5.4,1.3,13.9
2012/06/03,20:01:14,16.83,0.177,7.42,6654,3.5,69.2,6.71,5.5,1.3,14.1
2012/06/03,20:06:14,16.99,0.176,7.41,6816,3.6,69.6,6.72,5.7,1.4,14.1
2012/06/03,20:11:13,16.91,0.176,7.40,6777,3.6,67.9,6.57,5.2,1.2,13.9
2012/06/03,20:16:14,16.92,0.176,7.41,6732,3.6,68.1,6.59,5.9,1.4,14.0
2012/06/03,20:21:14,17.12,0.176,7.41,6815,3.6,70.4,6.78,6.5,1.5,14.0
2012/06/03,20:26:14,17.19,0.177,7.45,6660,3.5,71.6,6.89,5.7,1.4,14.1
2012/06/03,20:31:14,17.02,0.177,7.46,6766,3.6,71.5,6.91,5.6,1.3,14.1
2012/06/03,20:36:14,17.03,0.177,7.46,6804,3.6,70.5,6.80,7.1,1.7,14.1
2012/06/03,20:41:13,17.27,0.177,7.48,6679,3.5,72.0,6.92,5.2,1.2,13.8
2012/06/03,20:46:14,17.36,0.177,7.48,6655,3.5,74.2,7.11,5.6,1.3,14.2
2012/06/03,20:51:14,17.39,0.177,7.48,6692,3.5,74.8,7.17,5.6,1.3,13.8
2012/06/03,20:56:14,17.24,0.177,7.49,6808,3.6,73.6,7.07,6.7,1.6,14.1
2012/06/03,21:01:14,17.17,0.177,7.48,6851,3.6,71.2,6.86,6.6,1.6,13.8
