"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/07/14,15:31:15,20.23,0.015,8.28,683,0.5,94.8,8.58,6.5,1.5,13.7
2012/07/14,15:36:14,20.39,0.001,8.30,170,0.2,95.8,8.65,-1.2,-0.3,13.6
2012/07/14,15:41:15,21.01,0.001,8.22,313,0.3,96.1,8.57,-0.5,-0.1,13.5
2012/07/14,15:46:15,21.63,0.001,7.86,23,0.1,95.9,8.44,2.2,0.5,13.6
2012/07/14,15:51:14,22.27,0.001,7.68,-43,0.0,94.6,8.23,1.6,0.4,13.6
2012/07/14,15:56:14,21.57,0.000,7.62,-323,-0.1,95.1,8.38,4.3,1.0,13.5
2012/07/14,16:01:14,22.08,0.078,7.13,6099,3.0,28.4,2.48,10.1,2.4,13.8
2012/07/14,16:06:14,22.05,0.078,7.04,5429,2.6,18.5,1.62,9.1,2.2,13.8
2012/07/14,16:11:14,22.63,0.077,7.02,5007,2.4,18.5,1.60,10.5,2.5,13.7
2012/07/14,16:16:14,22.58,0.077,6.99,4929,2.4,17.8,1.54,9.7,2.3,14.1
2012/07/14,16:21:14,22.31,0.077,6.98,5288,2.6,17.5,1.52,10.6,2.5,13.8
2012/07/14,16:26:14,22.23,0.078,6.97,5365,2.6,17.2,1.50,10.4,2.5,14.1
2012/07/14,16:31:14,22.35,0.078,6.97,5177,2.5,16.4,1.42,9.2,2.2,13.7
2012/07/14,16:36:15,22.37,0.078,6.98,5077,2.5,17.4,1.51,10.5,2.5,13.8
2012/07/14,16:41:14,22.58,0.077,7.00,4812,2.3,18.2,1.57,9.8,2.3,13.5
2012/07/14,16:46:14,22.58,0.077,6.95,5013,2.4,18.0,1.56,9.7,2.3,13.7
2012/07/14,16:51:14,22.25,0.078,6.98,5191,2.5,17.3,1.51,10.1,2.4,13.6
2012/07/14,16:56:14,22.47,0.077,6.97,5050,2.4,17.2,1.49,10.1,2.4,13.7
2012/07/14,17:01:14,22.49,0.077,6.98,5272,2.5,17.0,1.47,10.2,2.4,13.8
2012/07/14,17:06:14,22.43,0.077,6.96,5198,2.5,16.9,1.47,10.7,2.5,13.8
2012/07/14,17:11:14,22.43,0.077,6.96,5162,2.5,17.0,1.47,10.2,2.4,13.7
2012/07/14,17:16:14,22.72,0.077,6.95,5173,2.5,17.0,1.46,10.5,2.5,14.1
2012/07/14,17:21:14,22.60,0.077,6.96,5247,2.5,17.0,1.47,11.6,2.7,14.0
2012/07/14,17:26:14,22.25,0.078,6.96,4979,2.4,17.3,1.51,10.9,2.6,13.7
2012/07/14,17:31:14,22.54,0.077,6.98,4953,2.4,17.6,1.52,11.0,2.6,13.7
