"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","mS/cm","%"
"08/02/10","17:16:40",19.87,0.294,8.56,43,6.4,0.266,94.0
"08/02/10","17:20:40",19.86,0.295,8.69,43,6.4,0.266,95.4
"08/02/10","17:24:40",19.85,0.295,8.70,43,6.4,0.266,95.5
"08/02/10","17:28:40",19.83,0.295,8.72,43,6.4,0.266,95.6
"08/02/10","17:32:40",19.82,0.295,8.73,43,6.4,0.266,95.7
"08/02/10","17:36:40",19.80,0.295,8.73,43,6.4,0.266,95.7
"08/02/10","17:40:40",19.79,0.295,8.73,43,6.4,0.266,95.7
"08/02/10","17:44:40",19.77,0.295,8.77,43,6.4,0.265,96.1
"08/02/10","17:48:40",19.76,0.295,8.78,43,6.4,0.265,96.2
"08/02/10","17:52:40",19.74,0.295,8.77,42,6.4,0.265,96.1
"08/02/10","17:56:40",19.72,0.295,8.77,42,6.4,0.265,95.9
"08/02/10","18:00:40",19.71,0.294,8.76,42,6.4,0.264,95.9
"08/02/10","18:04:40",19.69,0.294,8.78,42,6.4,0.264,96.0
"08/02/10","18:08:40",19.68,0.294,8.77,42,6.4,0.264,95.9
"08/02/10","18:12:40",19.66,0.294,8.78,42,6.4,0.264,96.0
"08/02/10","18:16:40",19.65,0.293,8.79,42,6.3,0.263,96.0
"08/02/10","18:20:40",19.63,0.294,8.79,42,6.3,0.264,96.0
"08/02/10","18:24:40",19.62,0.294,8.77,42,6.3,0.263,95.8
"08/02/10","18:28:40",19.60,0.294,8.76,42,6.3,0.263,95.7
"08/02/10","18:32:40",19.59,0.294,8.77,42,6.3,0.263,95.7
"08/02/10","18:36:40",19.57,0.294,8.76,42,6.3,0.263,95.6
"08/02/10","18:40:40",19.56,0.294,8.76,42,6.3,0.263,95.6
"08/02/10","18:44:40",19.55,0.294,8.78,42,6.3,0.263,95.8
"08/02/10","18:48:40",19.53,0.294,8.79,41,6.3,0.263,95.8
"08/02/10","18:52:40",19.52,0.294,8.78,42,6.3,0.263,95.7
"08/02/10","18:56:40",19.50,0.294,8.78,42,6.3,0.263,95.7
"08/02/10","19:00:40",19.49,0.294,8.77,42,6.3,0.263,95.5
"08/02/10","19:04:40",24.61,0.009,7.42,41,6.3,0.009,89.2
"08/02/10","19:08:40",24.43,0.010,7.42,41,6.3,0.010,88.9
"08/02/10","19:12:40",24.29,0.010,7.39,41,6.3,0.010,88.3
"08/02/10","19:16:40",24.18,0.011,7.42,41,6.3,0.010,88.4
"08/02/10","19:20:40",24.11,0.010,7.41,41,6.3,0.010,88.2
"08/02/10","19:24:40",24.03,0.152,7.52,41,6.3,0.149,89.4
"08/02/10","19:28:40",24.04,0.153,7.59,42,6.3,0.150,90.2
"08/02/10","19:32:40",24.04,0.153,7.59,41,6.3,0.150,90.2
"08/02/10","19:36:40",24.05,0.153,7.60,42,6.3,0.150,90.4
