"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"07/05/10","10:40:40",19.22,0.327,8.66,41,6.4,93.9
"07/05/10","10:44:40",19.17,0.327,8.69,40,6.4,94.0
"07/05/10","10:48:40",19.12,0.327,8.70,40,6.4,94.1
"07/05/10","10:52:40",19.07,0.328,8.71,40,6.4,94.1
"07/05/10","10:56:40",19.02,0.327,8.72,40,6.4,94.1
"07/05/10","11:00:40",18.97,0.327,8.72,40,6.4,94.0
"07/05/10","11:04:40",18.92,0.327,8.73,40,6.4,94.0
"07/05/10","11:08:40",18.86,0.327,8.74,40,6.3,94.1
"07/05/10","11:12:40",18.82,0.327,8.75,40,6.4,94.1
"07/05/10","11:16:40",18.77,0.327,8.76,40,6.4,94.0
"07/05/10","11:20:40",18.72,0.327,8.77,40,6.4,94.1
"07/05/10","11:24:40",18.67,0.327,8.78,40,6.3,94.1
"07/05/10","11:28:40",18.62,0.327,8.80,40,6.3,94.3
"07/05/10","11:32:40",18.58,0.328,8.82,40,6.3,94.3
"07/05/10","11:36:40",18.53,0.327,8.83,40,6.3,94.3
"07/05/10","11:40:40",18.49,0.327,8.82,40,6.3,94.2
"07/05/10","11:44:40",18.44,0.327,8.84,40,6.3,94.3
"07/05/10","11:48:40",18.40,0.327,8.84,40,6.3,94.2
"07/05/10","11:52:40",18.35,0.327,8.86,40,6.3,94.4
"07/05/10","11:56:40",18.31,0.327,8.86,40,6.3,94.3
"07/05/10","12:00:40",18.27,0.327,8.86,40,6.3,94.2
"07/05/10","12:04:40",18.23,0.327,8.88,40,6.3,94.3
"07/05/10","12:08:40",18.18,0.327,8.88,40,6.3,94.2
"07/05/10","12:12:40",18.14,0.327,8.89,40,6.3,94.3
"07/05/10","12:16:40",18.10,0.327,8.89,40,6.3,94.2
"07/05/10","12:20:40",18.06,0.327,8.90,40,6.3,94.2
"07/05/10","12:24:40",18.03,0.327,8.91,40,6.3,94.2
"07/05/10","12:28:40",18.02,0.327,8.91,40,6.3,94.3
"07/05/10","12:32:40",18.01,0.328,8.91,40,6.3,94.2
"07/05/10","12:36:40",23.89,0.004,7.28,39,6.3,86.3
"07/05/10","12:40:40",23.37,0.004,7.35,39,6.3,86.3
"07/05/10","12:44:40",22.97,0.005,7.36,39,6.3,85.7
"07/05/10","12:48:40",22.71,0.004,7.50,39,6.3,87.0
"07/05/10","12:52:40",24.40,0.164,7.73,40,6.3,92.6
"07/05/10","12:56:40",24.43,0.164,7.72,40,6.3,92.5
"07/05/10","13:00:40",24.49,0.164,7.72,40,6.3,92.6
"07/05/10","13:04:40",24.51,0.164,7.75,40,6.3,93.0
"07/05/10","13:08:40",24.51,0.164,7.75,40,6.3,92.9
"07/05/10","13:12:40",24.50,0.164,7.75,41,6.3,93.0
"07/05/10","13:16:40",24.50,0.164,7.72,40,6.3,92.6
"07/05/10","13:20:40",24.50,0.164,7.73,40,6.3,92.7
