"Date","Time","Temp","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mg/L","","V","mS/cm","%"
"07/12/10","11:32:40",18.59,8.67,41,6.4,0.311,92.8
"07/12/10","11:36:40",18.57,8.72,41,6.4,0.310,93.3
"07/12/10","11:40:40",18.54,8.77,41,6.4,0.310,93.8
"07/12/10","11:44:40",18.52,8.77,41,6.4,0.310,93.7
"07/12/10","11:48:40",18.49,8.81,41,6.4,0.310,94.0
"07/12/10","11:52:40",18.46,8.81,41,6.4,0.310,94.0
"07/12/10","11:56:40",18.42,8.82,41,6.4,0.309,94.1
"07/12/10","12:00:40",18.37,8.83,41,6.4,0.309,94.1
"07/12/10","12:04:40",18.33,8.84,41,6.3,0.309,94.1
"07/12/10","12:08:40",18.29,8.84,41,6.3,0.309,94.0
"07/12/10","12:12:40",18.24,8.83,41,6.3,0.309,93.9
"07/12/10","12:16:40",18.20,8.83,41,6.3,0.308,93.8
"07/12/10","12:20:40",18.16,8.84,41,6.3,0.308,93.7
"07/12/10","12:24:40",18.12,8.84,41,6.3,0.308,93.8
"07/12/10","12:28:40",18.09,8.85,40,6.3,0.308,93.7
"07/12/10","12:32:40",18.07,8.84,41,6.3,0.308,93.6
"07/12/10","12:36:40",18.04,8.83,40,6.3,0.307,93.5
"07/12/10","12:40:40",18.02,8.84,40,6.3,0.307,93.5
"07/12/10","12:44:40",17.99,8.85,41,6.3,0.307,93.6
"07/12/10","12:48:40",17.97,8.84,41,6.3,0.307,93.5
"07/12/10","12:52:40",17.95,8.86,40,6.3,0.307,93.6
"07/12/10","12:56:40",17.92,8.86,40,6.3,0.307,93.5
"07/12/10","13:00:40",17.90,8.85,40,6.3,0.307,93.4
"07/12/10","13:04:40",17.88,8.85,40,6.3,0.306,93.4
"07/12/10","13:08:40",17.86,8.88,40,6.3,0.306,93.6
"07/12/10","13:12:40",17.84,8.88,40,6.3,0.306,93.6
"07/12/10","13:16:40",17.82,8.89,40,6.3,0.306,93.6
"07/12/10","13:20:40",17.80,8.89,40,6.3,0.306,93.7
"07/12/10","13:24:40",17.78,8.90,40,6.3,0.306,93.7
"07/12/10","13:28:40",17.76,8.90,40,6.3,0.306,93.7
"07/12/10","13:32:40",17.74,8.91,40,6.3,0.305,93.7
"07/12/10","13:36:40",17.73,8.91,40,6.3,0.305,93.6
"07/12/10","13:40:40",17.71,8.90,40,6.3,0.305,93.6
"07/12/10","13:44:40",17.70,8.91,40,6.3,0.305,93.6
"07/12/10","13:48:40",17.68,8.89,40,6.3,0.305,93.4
"07/12/10","13:52:40",17.67,8.90,41,6.3,0.305,93.5
"07/12/10","13:56:40",17.65,8.91,40,6.3,0.305,93.5
"07/12/10","14:00:40",17.64,8.91,40,6.3,0.305,93.5
"07/12/10","14:04:40",17.63,8.91,40,6.3,0.305,93.5
"07/12/10","14:08:40",17.61,8.92,40,6.3,0.305,93.5
"07/12/10","14:12:40",17.59,8.92,40,6.3,0.304,93.5
"07/12/10","14:16:40",17.57,8.92,41,6.3,0.304,93.5
"07/12/10","14:20:40",17.54,8.91,40,6.3,0.304,93.3
"07/12/10","14:24:40",17.51,8.91,40,6.3,0.304,93.3
"07/12/10","14:28:40",17.49,8.93,40,6.3,0.304,93.4
"07/12/10","14:32:40",17.46,8.92,40,6.3,0.304,93.2
"07/12/10","14:36:40",17.44,8.92,40,6.3,0.304,93.2
"07/12/10","14:40:40",17.42,8.92,40,6.3,0.304,93.2
"07/12/10","14:44:40",17.40,8.92,40,6.3,0.303,93.2
"07/12/10","14:48:40",17.39,8.92,40,6.3,0.303,93.1
"07/12/10","14:52:40",17.37,8.94,40,6.3,0.303,93.3
"07/12/10","14:56:40",17.35,8.93,40,6.3,0.303,93.2
"07/12/10","15:00:40",17.34,8.95,40,6.3,0.303,93.3
"07/12/10","15:04:40",17.32,8.93,40,6.3,0.303,93.2
"07/12/10","15:08:40",19.79,8.05,39,6.3,0.003,88.2
"07/12/10","15:12:40",20.07,8.00,39,6.3,0.003,88.1
"07/12/10","15:16:40",20.45,7.98,39,6.3,0.002,88.5
"07/12/10","15:20:40",20.76,7.89,39,6.3,0.002,88.0
"07/12/10","15:24:40",20.75,7.93,39,6.3,0.003,88.5
"07/12/10","15:28:40",21.06,7.88,40,6.3,0.002,88.5
"07/12/10","15:32:40",21.41,7.87,40,6.3,0.002,89.0
"07/12/10","15:36:40",25.04,7.91,41,6.3,0.162,95.8
"07/12/10","15:40:40",25.17,7.93,42,6.3,0.162,96.2
"07/12/10","15:44:40",25.22,7.93,41,6.3,0.163,96.4
"07/12/10","15:48:40",25.28,7.89,42,6.3,0.163,96.0
"07/12/10","15:52:40",25.28,7.89,41,6.3,0.163,96.0
"07/12/10","15:56:40",25.33,7.84,41,6.3,0.163,95.5
"07/12/10","16:00:40",25.40,7.88,41,6.3,0.163,96.1
"07/12/10","16:04:40",25.31,7.88,42,6.3,0.163,95.9
"07/12/10","16:08:40",25.27,7.88,42,6.3,0.163,95.8
"07/12/10","16:12:40",25.30,7.95,41,6.3,0.162,96.8
"07/12/10","16:16:40",25.36,7.83,42,6.3,0.163,95.5
"07/12/10","16:20:40",25.45,7.85,41,6.3,0.163,95.8
"07/12/10","16:24:40",25.36,7.85,42,6.3,0.163,95.7
"07/12/10","16:28:40",25.34,7.86,42,6.3,0.163,95.8
"07/12/10","16:32:40",25.35,7.84,41,6.3,0.163,95.6
"07/12/10","16:36:40",25.37,7.82,42,6.3,0.163,95.3
"07/12/10","16:40:40",25.14,7.91,41,6.3,0.162,96.0
"07/12/10","16:44:40",25.06,8.03,41,6.3,0.162,97.3
"07/12/10","16:48:40",25.13,8.02,42,6.3,0.162,97.3
"07/12/10","16:52:40",25.20,8.00,42,6.3,0.162,97.2
"07/12/10","16:56:40",25.33,7.86,41,6.3,0.163,95.7
"07/12/10","17:00:40",25.36,7.86,41,6.3,0.163,95.7
"07/12/10","17:04:40",25.45,7.85,42,6.3,0.163,95.8
"07/12/10","17:08:40",25.50,7.81,41,6.3,0.163,95.4
"07/12/10","17:12:40",25.49,7.83,42,6.3,0.163,95.7
"07/12/10","17:16:40",25.53,8.13,42,6.3,0.163,99.4
"07/12/10","17:20:40",25.45,8.12,42,6.3,0.163,99.2
"07/12/10","17:24:40",25.41,7.97,42,6.3,0.163,97.2
"07/12/10","17:28:40",25.48,7.93,42,6.3,0.163,96.9
"07/12/10","17:32:40",25.47,7.97,42,6.3,0.163,97.4
"07/12/10","17:36:40",25.46,8.03,42,6.3,0.163,98.1
"07/12/10","17:40:40",25.40,8.02,42,6.3,0.163,97.8
"07/12/10","17:44:40",25.41,8.04,42,6.3,0.163,98.1
"07/12/10","17:48:40",25.39,8.22,42,6.3,0.163,100.3
"07/12/10","17:52:40",25.52,8.17,42,6.3,0.163,99.9
"07/12/10","17:56:40",25.66,8.16,42,6.3,0.164,100.0
"07/12/10","18:00:40",25.83,8.14,42,6.3,0.164,100.1
"07/12/10","18:04:40",25.90,8.10,42,6.3,0.164,99.7
"07/12/10","18:08:40",25.86,8.11,42,6.3,0.164,99.7
"07/12/10","18:12:40",25.95,8.15,42,6.3,0.164,100.4
"07/12/10","18:16:40",25.89,8.14,42,6.3,0.164,100.1
"07/12/10","18:20:40",25.92,8.14,42,6.2,0.164,100.2
"07/12/10","18:24:40",25.87,8.19,42,6.2,0.164,100.7
"07/12/10","18:28:40",25.87,8.21,42,6.3,0.164,101.0
"07/12/10","18:32:40",25.87,8.23,42,6.2,0.164,101.2
"07/12/10","18:36:40",25.89,8.37,42,6.2,0.164,103.0
"07/12/10","18:40:40",25.86,8.40,42,6.2,0.163,103.3
"07/12/10","18:44:40",25.79,8.48,43,6.2,0.163,104.1
"07/12/10","18:48:40",25.30,8.33,42,6.2,0.162,101.4
"07/12/10","18:52:40",25.38,8.17,42,6.2,0.162,99.6
