"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","mS/cm","%"
"07/12/10","11:36:40",18.65,0.353,8.76,46,7.0,0.311,93.8
"07/12/10","11:40:40",18.62,0.354,8.83,46,7.0,0.311,94.5
"07/12/10","11:44:40",18.60,0.353,8.92,46,7.0,0.310,95.4
"07/12/10","11:48:40",18.57,0.353,8.90,46,7.0,0.310,95.2
"07/12/10","11:52:40",18.54,0.353,8.89,46,7.0,0.309,95.0
"07/12/10","11:56:40",18.50,0.353,8.95,46,7.0,0.309,95.6
"07/12/10","12:00:40",18.45,0.353,8.92,46,7.0,0.309,95.2
"07/12/10","12:04:40",18.41,0.353,8.90,46,7.0,0.308,94.9
"07/12/10","12:08:40",18.36,0.353,8.96,46,7.0,0.308,95.4
"07/12/10","12:12:40",18.32,0.353,8.99,46,7.0,0.308,95.7
"07/12/10","12:16:40",18.28,0.352,9.01,46,7.0,0.307,95.9
"07/12/10","12:20:40",18.24,0.352,8.96,46,7.0,0.307,95.2
"07/12/10","12:24:40",18.21,0.352,8.93,46,7.0,0.307,94.8
"07/12/10","12:28:40",18.17,0.352,8.98,46,7.0,0.306,95.3
"07/12/10","12:32:40",18.15,0.352,9.01,46,7.0,0.306,95.6
"07/12/10","12:36:40",18.12,0.352,8.96,45,7.0,0.306,95.0
"07/12/10","12:40:40",18.10,0.352,8.94,45,6.9,0.306,94.7
"07/12/10","12:44:40",18.08,0.352,8.99,45,7.0,0.306,95.1
"07/12/10","12:48:40",18.05,0.352,8.95,46,6.9,0.305,94.7
"07/12/10","12:52:40",18.03,0.352,8.99,46,6.9,0.305,95.1
"07/12/10","12:56:40",18.01,0.352,8.95,46,6.9,0.305,94.6
"07/12/10","13:00:40",17.98,0.352,9.00,46,6.9,0.305,95.1
"07/12/10","13:04:40",17.96,0.352,9.02,46,6.9,0.305,95.3
"07/12/10","13:08:40",17.94,0.352,9.04,46,6.9,0.304,95.5
