"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","mS/cm","%"
"07/12/10","11:40:40",18.42,0.365,8.77,44,6.4,0.319,93.5
"07/12/10","11:44:40",18.40,0.365,8.81,44,6.4,0.319,93.9
"07/12/10","11:48:40",18.37,0.365,8.79,44,6.3,0.319,93.7
"07/12/10","11:52:40",18.34,0.365,8.79,45,6.3,0.318,93.5
"07/12/10","11:56:40",18.30,0.365,8.82,44,6.3,0.318,93.8
"07/12/10","12:00:40",18.25,0.365,8.83,44,6.3,0.318,93.9
"07/12/10","12:04:40",18.21,0.365,8.80,44,6.3,0.317,93.5
"07/12/10","12:08:40",18.17,0.365,8.84,44,6.3,0.317,93.8
"07/12/10","12:12:40",18.12,0.365,8.87,44,6.3,0.317,94.0
"07/12/10","12:16:40",18.08,0.365,8.85,44,6.3,0.317,93.7
"07/12/10","12:20:40",18.04,0.365,8.87,45,6.3,0.316,93.9
"07/12/10","12:24:40",18.00,0.365,8.86,44,6.3,0.316,93.6
"07/12/10","12:28:40",17.97,0.365,8.84,44,6.3,0.316,93.4
"07/12/10","12:32:40",17.95,0.365,8.87,44,6.3,0.316,93.7
"07/12/10","12:36:40",17.92,0.365,8.85,44,6.3,0.316,93.4
"07/12/10","12:40:40",17.90,0.365,8.83,44,6.3,0.315,93.2
"07/12/10","12:44:40",17.88,0.365,8.87,44,6.3,0.315,93.6
"07/12/10","12:48:40",17.85,0.365,8.88,44,6.3,0.315,93.6
"07/12/10","12:52:40",17.83,0.365,8.88,44,6.3,0.315,93.6
"07/12/10","12:56:40",17.81,0.365,8.89,44,6.3,0.315,93.6
"07/12/10","13:00:40",17.78,0.365,8.89,44,6.3,0.315,93.6
"07/12/10","13:04:40",17.76,0.365,8.90,44,6.3,0.314,93.6
"07/12/10","13:08:40",17.74,0.365,8.87,44,6.3,0.314,93.3
"07/12/10","13:12:40",17.72,0.366,8.86,44,6.3,0.315,93.1
