"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","mS/cm","%"
"07/12/10","11:40:40",18.58,0.386,8.74,47,6.6,0.338,93.5
"07/12/10","11:44:40",18.56,0.384,8.82,47,6.6,0.337,94.3
"07/12/10","11:48:40",18.53,0.383,8.84,47,6.6,0.335,94.5
"07/12/10","11:52:40",18.50,0.381,8.85,47,6.6,0.334,94.6
"07/12/10","11:56:40",18.46,0.380,8.85,47,6.6,0.333,94.5
"07/12/10","12:00:40",18.41,0.379,8.85,47,6.6,0.332,94.3
"07/12/10","12:04:40",18.37,0.379,8.85,47,6.5,0.331,94.3
"07/12/10","12:08:40",18.32,0.378,8.86,47,6.5,0.330,94.3
"07/12/10","12:12:40",18.28,0.377,8.86,47,6.5,0.329,94.2
"07/12/10","12:16:40",18.24,0.377,8.86,47,6.5,0.328,94.2
"07/12/10","12:20:40",18.20,0.376,8.87,47,6.5,0.327,94.2
"07/12/10","12:24:40",18.16,0.376,8.86,47,6.5,0.326,93.9
"07/12/10","12:28:40",18.13,0.375,8.87,47,6.5,0.326,94.0
"07/12/10","12:32:40",18.10,0.375,8.87,46,6.5,0.325,93.9
"07/12/10","12:36:40",18.08,0.374,8.87,47,6.4,0.325,93.9
"07/12/10","12:40:40",18.05,0.374,8.89,46,6.4,0.324,94.1
"07/12/10","12:44:40",18.03,0.374,8.90,46,6.4,0.324,94.2
"07/12/10","12:48:40",18.01,0.374,8.90,47,6.4,0.324,94.1
"07/12/10","12:52:40",17.99,0.373,8.90,46,6.4,0.323,94.1
"07/12/10","12:56:40",17.96,0.373,8.89,47,6.4,0.323,93.9
"07/12/10","13:00:40",17.94,0.373,8.90,47,6.4,0.323,94.0
"07/12/10","13:04:40",17.92,0.373,8.89,47,6.4,0.322,93.9
"07/12/10","13:08:40",17.89,0.373,8.90,47,6.5,0.322,93.9
"07/12/10","13:12:40",17.87,0.373,8.89,47,6.4,0.322,93.7
"07/12/10","13:16:40",17.85,0.373,8.90,46,6.4,0.322,93.8
"07/12/10","13:20:40",17.83,0.373,8.90,47,6.5,0.322,93.8
"07/12/10","13:24:40",17.82,0.373,8.91,47,6.4,0.321,93.8
"07/12/10","13:28:40",17.80,0.372,8.91,47,6.4,0.321,93.8
"07/12/10","13:32:40",17.78,0.372,8.91,47,6.4,0.321,93.8
"07/12/10","13:36:40",17.76,0.372,8.91,47,6.4,0.321,93.8
"07/12/10","13:40:40",17.75,0.372,8.92,47,6.4,0.321,93.9
"07/12/10","13:44:40",17.73,0.372,8.92,47,6.4,0.320,93.8
"07/12/10","13:48:40",17.72,0.372,8.91,46,6.4,0.320,93.6
"07/12/10","13:52:40",17.70,0.372,8.92,47,6.4,0.320,93.7
"07/12/10","13:56:40",17.69,0.372,8.92,46,6.4,0.320,93.7
"07/12/10","14:00:40",17.67,0.372,8.92,47,6.4,0.320,93.6
"07/12/10","14:04:40",17.66,0.372,8.92,46,6.4,0.320,93.6
"07/12/10","14:08:40",17.65,0.372,8.90,47,6.4,0.320,93.5
"07/12/10","14:12:40",17.63,0.372,8.93,47,6.4,0.319,93.7
"07/12/10","14:16:40",17.61,0.372,8.93,47,6.4,0.319,93.6
"07/12/10","14:20:40",17.58,0.372,8.92,47,6.4,0.319,93.6
"07/12/10","14:24:40",17.55,0.372,8.94,47,6.4,0.319,93.7
"07/12/10","14:28:40",17.52,0.372,8.95,47,6.4,0.319,93.7
"07/12/10","14:32:40",17.50,0.372,8.94,47,6.4,0.318,93.5
"07/12/10","14:36:40",17.47,0.372,8.94,46,6.4,0.318,93.5
"07/12/10","14:40:40",17.46,0.371,8.94,47,6.4,0.318,93.5
"07/12/10","14:44:40",17.44,0.372,8.95,46,6.4,0.318,93.5
"07/12/10","14:48:40",17.42,0.371,8.95,46,6.4,0.318,93.5
"07/12/10","14:52:40",17.40,0.372,8.95,47,6.4,0.318,93.4
"07/12/10","14:56:40",17.39,0.372,8.95,46,6.4,0.317,93.5
"07/12/10","15:00:40",17.37,0.372,8.94,47,6.3,0.317,93.3
"07/12/10","15:04:40",17.36,0.371,8.95,47,6.3,0.317,93.4
"07/12/10","15:08:40",20.19,0.015,7.57,46,6.3,0.013,83.5
"07/12/10","15:12:40",20.40,0.026,7.67,46,6.3,0.023,85.0
"07/12/10","15:16:40",20.56,0.079,7.75,46,6.3,0.072,86.2
"07/12/10","15:20:40",20.70,0.073,7.87,47,6.3,0.067,87.7
"07/12/10","15:24:40",20.95,0.106,7.85,47,6.3,0.098,88.0
"07/12/10","15:28:40",21.35,0.093,7.82,47,6.3,0.087,88.3
"07/12/10","15:32:40",16.48,0.239,8.98,47,6.3,0.200,92.0
"07/12/10","15:36:40",13.52,0.249,4.49,41,6.3,0.194,43.2
"07/12/10","15:40:40",13.48,0.250,4.05,40,6.3,0.195,38.9
"07/12/10","15:44:40",13.55,0.250,4.41,41,6.3,0.195,42.4
"07/12/10","15:48:40",13.63,0.249,4.47,41,6.3,0.195,43.1
"07/12/10","15:52:40",13.67,0.249,4.64,41,6.3,0.195,44.7
"07/12/10","15:56:40",13.74,0.249,4.80,41,6.3,0.195,46.3
"07/12/10","16:00:40",13.75,0.249,5.11,41,6.3,0.195,49.3
"07/12/10","16:04:40",13.74,0.248,5.14,42,6.3,0.195,49.6
"07/12/10","16:08:40",13.77,0.248,5.17,42,6.3,0.195,50.0
"07/12/10","16:12:40",13.79,0.248,5.29,42,6.3,0.195,51.1
"07/12/10","16:16:40",13.77,0.248,5.20,42,6.3,0.195,50.3
"07/12/10","16:20:40",13.93,0.247,5.14,42,6.3,0.195,49.8
"07/12/10","16:24:40",13.95,0.247,5.72,42,6.3,0.195,55.5
"07/12/10","16:28:40",13.90,0.246,5.86,42,6.3,0.194,56.8
"07/12/10","16:32:40",13.82,0.247,5.12,42,6.3,0.194,49.5
"07/12/10","16:36:40",13.76,0.247,4.67,41,6.3,0.194,45.1
"07/12/10","16:40:40",13.67,0.248,4.27,41,6.3,0.194,41.1
"07/12/10","16:44:40",13.62,0.248,3.59,40,6.3,0.194,34.6
"07/12/10","16:48:40",13.77,0.248,4.10,40,6.3,0.195,39.6
"07/12/10","16:52:40",13.72,0.248,4.29,41,6.3,0.195,41.4
"07/12/10","16:56:40",13.69,0.248,4.23,41,6.3,0.194,40.8
"07/12/10","17:00:40",13.68,0.248,4.12,41,6.3,0.194,39.7
"07/12/10","17:04:40",13.76,0.247,4.52,41,6.3,0.194,43.7
"07/12/10","17:08:40",13.55,0.248,4.19,41,6.3,0.194,40.3
"07/12/10","17:12:40",13.58,0.248,3.51,40,6.3,0.194,33.8
"07/12/10","17:16:40",13.59,0.248,3.69,40,6.3,0.194,35.5
"07/12/10","17:20:40",13.63,0.248,3.55,40,6.3,0.195,34.2
"07/12/10","17:24:40",13.70,0.248,3.60,40,6.3,0.195,34.7
"07/12/10","17:28:40",13.69,0.248,3.73,40,6.3,0.195,36.0
"07/12/10","17:32:40",13.62,0.249,3.78,40,6.3,0.195,36.4
"07/12/10","17:36:40",13.60,0.249,3.55,40,6.3,0.194,34.2
"07/12/10","17:40:40",13.60,0.249,3.32,40,6.3,0.195,32.0
"07/12/10","17:44:40",13.63,0.249,3.53,40,6.3,0.195,33.9
"07/12/10","17:48:40",13.62,0.249,3.59,40,6.3,0.195,34.5
