"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","mS/cm","%"
"08/16/10","11:52:40",18.17,0.365,8.82,48,7.0,0.318,93.6
"08/16/10","11:56:40",18.15,0.365,8.93,49,7.0,0.317,94.7
"08/16/10","12:00:40",18.14,0.365,8.87,48,7.0,0.317,94.1
"08/16/10","12:04:40",18.12,0.365,8.94,48,7.0,0.317,94.7
"08/16/10","12:08:40",18.10,0.365,8.97,48,7.0,0.317,95.0
"08/16/10","12:12:40",18.08,0.365,9.00,48,7.0,0.316,95.3
"08/16/10","12:16:40",18.06,0.364,9.01,48,7.0,0.316,95.4
"08/16/10","12:20:40",18.03,0.364,8.95,48,7.0,0.316,94.7
"08/16/10","12:24:40",18.01,0.364,8.99,48,7.0,0.316,95.1
"08/16/10","12:28:40",17.99,0.364,8.94,48,7.0,0.315,94.5
"08/16/10","12:32:40",17.96,0.364,8.92,48,7.0,0.315,94.3
"08/16/10","12:36:40",17.94,0.364,8.92,48,7.0,0.315,94.2
"08/16/10","12:40:40",17.92,0.364,8.98,48,6.9,0.315,94.8
"08/16/10","12:44:40",17.90,0.364,9.00,48,7.0,0.315,94.9
"08/16/10","12:48:40",17.87,0.364,8.95,48,7.0,0.314,94.4
"08/16/10","12:52:40",17.85,0.364,8.94,48,6.9,0.314,94.2
"08/16/10","12:56:40",17.83,0.364,8.93,48,6.9,0.314,94.1
"08/16/10","13:00:40",17.81,0.364,8.99,48,6.9,0.314,94.7
"08/16/10","13:04:40",17.79,0.364,8.94,48,6.9,0.314,94.2
"08/16/10","13:08:40",17.77,0.364,9.00,48,6.9,0.314,94.7
"08/16/10","13:12:40",17.75,0.364,9.02,48,6.9,0.313,94.9
"08/16/10","13:16:40",17.73,0.364,8.98,48,6.9,0.313,94.4
"08/16/10","13:20:40",17.71,0.364,8.95,48,6.9,0.313,94.1
"08/16/10","13:24:40",17.70,0.364,9.01,48,6.9,0.313,94.7
"08/16/10","13:28:40",17.68,0.364,8.96,48,6.9,0.313,94.1
"08/16/10","13:32:40",17.66,0.364,8.95,48,6.9,0.313,93.9
"08/16/10","13:36:40",17.65,0.364,8.94,48,6.9,0.313,93.9
"08/16/10","13:40:40",17.63,0.364,9.00,48,6.9,0.312,94.5
"08/16/10","13:44:40",17.61,0.364,9.02,48,6.9,0.312,94.7
"08/16/10","13:48:40",17.60,0.364,9.05,48,6.9,0.312,94.9
"08/16/10","13:52:40",17.58,0.364,9.05,48,6.9,0.312,94.9
"08/16/10","13:56:40",17.57,0.364,8.99,48,6.9,0.312,94.2
"08/16/10","14:00:40",17.55,0.363,9.04,48,6.9,0.312,94.7
"08/16/10","14:04:40",17.54,0.364,9.06,48,6.9,0.312,94.9
"08/16/10","14:08:40",17.52,0.364,9.00,48,6.9,0.312,94.2
"08/16/10","14:12:40",17.51,0.364,8.97,48,6.9,0.312,93.9
"08/16/10","14:16:40",17.50,0.364,9.03,48,6.9,0.311,94.5
"08/16/10","14:20:40",17.48,0.364,8.99,48,6.9,0.311,94.0
"08/16/10","14:24:40",17.47,0.364,9.04,48,6.9,0.312,94.6
"08/16/10","14:28:40",19.92,0.010,7.86,47,6.9,0.009,86.3
"08/16/10","14:32:40",19.85,0.009,7.91,47,6.9,0.008,86.7
"08/16/10","14:36:40",19.82,0.009,7.93,47,6.9,0.008,86.9
"08/16/10","14:40:40",19.83,0.009,8.06,47,6.8,0.008,88.3
"08/16/10","14:44:40",19.97,0.009,8.09,47,6.8,0.008,88.9
"08/16/10","14:48:40",20.23,0.009,8.10,47,6.9,0.008,89.5
"08/16/10","14:52:40",20.53,0.009,8.04,47,6.9,0.008,89.3
"08/16/10","14:56:40",20.81,0.009,8.00,47,6.9,0.008,89.4
"08/16/10","15:00:40",21.10,0.009,8.01,47,6.8,0.008,90.0
"08/16/10","15:04:40",22.61,0.162,7.21,47,6.9,0.154,83.5
"08/16/10","15:08:40",22.80,0.162,6.85,47,6.9,0.155,79.6
"08/16/10","15:12:40",22.80,0.162,6.85,47,6.8,0.155,79.5
"08/16/10","15:16:40",22.21,0.163,6.28,46,6.8,0.155,72.1
"08/16/10","15:20:40",22.20,0.163,6.31,46,6.8,0.155,72.4
"08/16/10","15:24:40",22.24,0.163,6.34,46,6.8,0.155,72.9
"08/16/10","15:28:40",22.25,0.163,6.39,46,6.8,0.155,73.4
"08/16/10","15:32:40",22.29,0.163,6.37,47,6.8,0.155,73.3
"08/16/10","15:36:40",22.32,0.163,6.37,46,6.8,0.154,73.3
"08/16/10","15:40:40",22.30,0.162,6.38,46,6.7,0.154,73.4
"08/16/10","15:44:40",22.33,0.162,6.42,46,6.7,0.154,73.9
"08/16/10","15:48:40",22.32,0.162,6.37,46,6.8,0.154,73.3
"08/16/10","15:52:40",22.31,0.163,6.31,46,6.8,0.154,72.6
"08/16/10","15:56:40",22.28,0.163,6.24,46,6.7,0.155,71.8
"08/16/10","16:00:40",22.29,0.163,6.32,46,6.8,0.155,72.7
"08/16/10","16:04:40",22.27,0.163,6.19,46,6.8,0.155,71.2
"08/16/10","16:08:40",22.30,0.164,6.27,46,6.7,0.155,72.1
"08/16/10","16:12:40",22.29,0.163,6.27,46,6.7,0.155,72.1
"08/16/10","16:16:40",22.31,0.163,6.30,46,6.7,0.155,72.5
"08/16/10","16:20:40",22.29,0.163,6.28,46,6.7,0.155,72.2
"08/16/10","16:24:40",22.23,0.164,6.21,46,6.7,0.155,71.4
"08/16/10","16:28:40",22.26,0.164,6.30,46,6.7,0.155,72.4
"08/16/10","16:32:40",22.25,0.164,6.25,46,6.7,0.155,71.9
"08/16/10","16:36:40",22.28,0.163,6.34,46,6.7,0.155,72.9
"08/16/10","16:40:40",22.27,0.163,6.29,46,6.7,0.155,72.3
"08/16/10","16:44:40",22.27,0.163,6.28,46,6.7,0.155,72.2
"08/16/10","16:48:40",22.20,0.163,6.28,46,6.7,0.154,72.2
"08/16/10","16:52:40",22.26,0.163,6.28,46,6.7,0.154,72.2
"08/16/10","16:56:40",22.20,0.163,6.24,46,6.7,0.154,71.7
"08/16/10","17:00:40",22.29,0.163,6.31,46,6.7,0.155,72.6
"08/16/10","17:04:40",22.28,0.163,6.30,46,6.7,0.155,72.4
"08/16/10","17:08:40",22.32,0.163,6.38,46,6.7,0.155,73.4
"08/16/10","17:12:40",22.33,0.163,6.36,47,6.7,0.155,73.3
"08/16/10","17:16:40",22.41,0.163,6.47,46,6.7,0.155,74.6
"08/16/10","17:20:40",22.36,0.163,6.41,46,6.7,0.155,73.9
"08/16/10","17:24:40",22.32,0.163,6.34,46,6.7,0.155,73.0
"08/16/10","17:28:40",22.29,0.163,6.34,46,6.7,0.155,73.0
"08/16/10","17:32:40",22.29,0.163,6.28,46,6.7,0.155,72.3
"08/16/10","17:36:40",22.25,0.164,6.31,46,6.7,0.155,72.5
"08/16/10","17:40:40",22.26,0.163,6.24,46,6.7,0.155,71.8
"08/16/10","17:44:40",22.25,0.163,6.23,46,6.7,0.155,71.6
"08/16/10","17:48:40",22.25,0.163,6.25,46,6.7,0.155,71.9
"08/16/10","17:52:40",22.22,0.163,6.30,46,6.7,0.154,72.4
"08/16/10","17:56:40",22.21,0.163,6.28,46,6.7,0.154,72.2
"08/16/10","18:00:40",22.16,0.163,6.23,46,6.7,0.154,71.5
"08/16/10","18:04:40",22.26,0.163,6.31,46,6.7,0.154,72.6
"08/16/10","18:08:40",22.28,0.163,6.33,46,6.7,0.155,72.8
"08/16/10","18:12:40",22.36,0.163,6.40,46,6.7,0.155,73.7
"08/16/10","18:16:40",22.16,0.164,6.19,46,6.7,0.155,71.0
"08/16/10","18:20:40",22.40,0.163,6.49,47,6.7,0.155,74.9
"08/16/10","18:24:40",22.30,0.164,6.36,46,6.7,0.156,73.2
"08/16/10","18:28:40",22.26,0.164,6.35,46,6.7,0.155,73.0
"08/16/10","18:32:40",22.32,0.164,6.35,46,6.7,0.155,73.1
"08/16/10","18:36:40",22.32,0.163,6.33,46,6.7,0.155,72.9
"08/16/10","18:40:40",22.38,0.163,6.35,46,6.7,0.155,73.2
"08/16/10","18:44:40",22.38,0.163,6.37,46,6.7,0.155,73.5
"08/16/10","18:48:40",22.36,0.163,6.36,46,6.6,0.155,73.2
"08/16/10","18:52:40",22.39,0.163,6.38,46,6.7,0.155,73.6
"08/16/10","18:56:40",22.40,0.163,6.42,46,6.6,0.155,74.1
"08/16/10","19:00:40",22.40,0.163,6.44,46,6.7,0.155,74.3
"08/16/10","19:04:40",22.38,0.163,6.44,46,6.6,0.155,74.2
