"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","Cond","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","mS/cm","%"
"08/16/10","12:00:40",18.09,0.383,8.77,50,6.6,0.333,92.9
"08/16/10","12:04:40",18.08,0.383,8.69,50,6.6,0.333,92.1
"08/16/10","12:08:40",18.06,0.383,8.65,49,6.6,0.332,91.6
"08/16/10","12:12:40",18.03,0.383,8.64,49,6.6,0.332,91.4
"08/16/10","12:16:40",18.01,0.382,8.63,49,6.6,0.331,91.3
"08/16/10","12:20:40",17.99,0.382,8.63,49,6.6,0.331,91.2
"08/16/10","12:24:40",17.96,0.382,8.62,49,6.6,0.330,91.0
"08/16/10","12:28:40",17.94,0.382,8.61,49,6.5,0.330,90.9
"08/16/10","12:32:40",17.92,0.381,8.62,49,6.5,0.330,91.0
"08/16/10","12:36:40",17.89,0.381,8.64,49,6.5,0.330,91.2
"08/16/10","12:40:40",17.87,0.381,8.63,49,6.4,0.329,91.0
"08/16/10","12:44:40",17.85,0.381,8.65,49,6.5,0.329,91.2
"08/16/10","12:48:40",17.83,0.381,8.64,49,6.4,0.329,91.0
"08/16/10","12:52:40",17.81,0.381,8.67,49,6.4,0.328,91.3
"08/16/10","12:56:40",17.79,0.381,8.65,49,6.5,0.328,91.1
"08/16/10","13:00:40",17.77,0.381,8.65,49,6.4,0.328,91.0
"08/16/10","13:04:40",17.74,0.381,8.67,48,6.4,0.328,91.2
"08/16/10","13:08:40",17.72,0.380,8.67,49,6.4,0.328,91.2
"08/16/10","13:12:40",17.71,0.380,8.68,49,6.5,0.327,91.2
"08/16/10","13:16:40",17.69,0.380,8.67,49,6.4,0.327,91.0
"08/16/10","13:20:40",17.67,0.380,8.66,49,6.4,0.327,90.9
"08/16/10","13:24:40",17.65,0.380,8.69,49,6.4,0.327,91.2
"08/16/10","13:28:40",17.63,0.380,8.68,48,6.4,0.327,91.0
"08/16/10","13:32:40",17.62,0.380,8.66,49,6.5,0.327,90.8
"08/16/10","13:36:40",17.60,0.380,8.67,49,6.4,0.326,90.9
"08/16/10","13:40:40",17.58,0.380,8.67,48,6.4,0.326,90.9
"08/16/10","13:44:40",17.57,0.380,8.67,48,6.4,0.326,90.9
"08/16/10","13:48:40",17.55,0.380,8.68,48,6.4,0.326,90.9
"08/16/10","13:52:40",17.54,0.380,8.68,49,6.4,0.326,90.9
"08/16/10","13:56:40",17.52,0.380,8.70,48,6.4,0.326,91.0
"08/16/10","14:00:40",17.51,0.380,8.71,48,6.4,0.325,91.2
"08/16/10","14:04:40",17.49,0.380,8.70,49,6.4,0.325,91.1
"08/16/10","14:08:40",17.48,0.380,8.69,48,6.4,0.325,90.9
"08/16/10","14:12:40",17.46,0.380,8.71,48,6.4,0.325,91.1
"08/16/10","14:16:40",17.45,0.380,8.69,48,6.4,0.325,90.9
"08/16/10","14:20:40",17.44,0.380,8.70,48,6.4,0.325,90.9
"08/16/10","14:24:40",17.43,0.380,8.70,48,6.4,0.325,91.0
"08/16/10","14:28:40",19.99,0.007,7.88,48,6.4,0.007,86.6
"08/16/10","14:32:40",19.87,0.005,7.98,48,6.4,0.004,87.5
"08/16/10","14:36:40",19.77,0.004,8.05,48,6.4,0.004,88.1
"08/16/10","14:40:40",19.71,0.004,8.10,48,6.4,0.004,88.6
"08/16/10","14:44:40",19.89,0.003,8.10,48,6.4,0.003,88.9
"08/16/10","14:48:40",20.12,0.003,8.10,48,6.4,0.003,89.3
"08/16/10","14:52:40",20.57,0.003,8.04,48,6.4,0.003,89.4
"08/16/10","14:56:40",21.00,0.003,8.00,49,6.4,0.003,89.7
"08/16/10","15:00:40",21.30,0.003,7.98,49,6.4,0.003,90.0
"08/16/10","15:04:40",22.66,0.173,6.93,48,6.4,0.165,80.3
"08/16/10","15:08:40",22.48,0.172,6.50,48,6.4,0.164,75.1
"08/16/10","15:12:40",22.39,0.172,6.39,48,6.4,0.164,73.7
"08/16/10","15:16:40",21.26,0.202,3.70,44,6.3,0.187,41.8
"08/16/10","15:20:40",21.14,0.197,3.68,44,6.4,0.183,41.4
"08/16/10","15:24:40",21.52,0.196,3.41,43,6.4,0.183,38.7
"08/16/10","15:28:40",20.78,0.216,3.62,44,6.3,0.199,40.4
"08/16/10","15:32:40",20.50,0.226,3.39,43,6.4,0.207,37.7
"08/16/10","15:36:40",20.48,0.228,3.17,43,6.3,0.208,35.2
"08/16/10","15:40:40",20.54,0.229,3.34,43,6.3,0.209,37.1
"08/16/10","15:44:40",20.69,0.228,3.36,43,6.3,0.209,37.5
"08/16/10","15:48:40",20.85,0.227,3.24,43,6.3,0.209,36.3
"08/16/10","15:52:40",20.95,0.225,3.26,43,6.3,0.208,36.5
"08/16/10","15:56:40",21.01,0.224,3.31,43,6.3,0.207,37.2
"08/16/10","16:00:40",21.22,0.221,3.56,44,6.3,0.205,40.2
"08/16/10","16:04:40",21.26,0.218,3.55,43,6.3,0.202,40.1
"08/16/10","16:08:40",21.34,0.215,3.63,44,6.3,0.200,41.0
"08/16/10","16:12:40",21.33,0.213,3.87,44,6.3,0.198,43.7
