"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V"
"05/17/10","14:04:40",20.82,0.022,8.45,36,94.4,6.3
"05/17/10","14:08:40",20.84,0.025,8.43,37,94.3,6.3
"05/17/10","14:12:40",20.81,0.025,8.43,37,94.2,6.3
"05/17/10","14:16:40",20.80,0.025,8.44,37,94.3,6.3
"05/17/10","14:20:40",20.78,0.025,8.42,37,94.0,6.3
"05/17/10","14:24:40",20.76,0.025,8.41,37,93.9,6.3
"05/17/10","14:28:40",20.74,0.025,8.42,38,94.0,6.3
"05/17/10","14:32:40",20.72,0.025,8.41,37,93.8,6.3
"05/17/10","14:36:40",20.70,0.025,8.40,38,93.7,6.3
"05/17/10","14:40:40",20.68,0.025,8.42,38,93.8,6.3
"05/17/10","14:44:40",20.67,0.025,8.42,38,93.8,6.3
"05/17/10","14:48:40",20.65,0.025,8.43,38,93.9,6.3
"05/17/10","14:52:40",20.63,0.025,8.43,37,93.9,6.3
"05/17/10","14:56:40",20.62,0.025,8.41,38,93.6,6.3
"05/17/10","15:00:40",20.60,0.025,8.43,38,93.8,6.3
"05/17/10","15:04:40",20.59,0.025,8.43,38,93.8,6.3
"05/17/10","15:08:40",20.57,0.025,8.43,38,93.8,6.3
"05/17/10","15:12:40",20.55,0.025,8.44,38,93.8,6.3
"05/17/10","15:16:40",20.55,0.025,8.43,38,93.7,6.3
"05/17/10","15:20:40",20.54,0.025,8.42,38,93.6,6.3
"05/17/10","15:24:40",20.53,0.025,8.43,38,93.7,6.3
"05/17/10","15:28:40",20.51,0.025,8.42,38,93.5,6.3
"05/17/10","15:32:40",20.49,0.025,8.42,38,93.6,6.3
"05/17/10","15:36:40",20.47,0.025,8.44,38,93.6,6.3
"05/17/10","15:40:40",20.46,0.025,8.40,38,93.2,6.3
"05/17/10","15:44:40",20.44,0.025,8.41,38,93.3,6.2
"05/17/10","15:48:40",24.53,0.006,7.20,38,86.4,6.3
"05/17/10","15:52:40",24.28,0.000,7.15,38,85.4,6.2
"05/17/10","15:56:40",23.84,0.004,7.38,38,87.4,6.2
"05/17/10","16:00:40",23.53,0.000,7.56,38,89.1,6.2
"05/17/10","16:04:40",23.30,0.000,7.65,37,89.7,6.2
"05/17/10","16:08:40",23.19,0.000,7.67,38,89.8,6.2
"05/17/10","16:12:40",23.08,0.001,8.07,38,94.2,6.2
"05/17/10","16:16:40",23.63,0.000,8.03,38,94.7,6.2
"05/17/10","16:20:40",23.52,0.017,8.05,39,94.8,6.2
"05/17/10","16:24:40",23.81,0.001,7.91,38,93.6,6.2
"05/17/10","16:28:40",19.58,0.001,8.77,38,95.6,6.2
"05/17/10","16:32:40",19.36,0.000,8.81,38,95.7,6.2
"05/17/10","16:36:40",17.86,0.000,9.29,38,97.8,6.2
"05/17/10","16:40:40",18.39,0.198,8.91,38,95.0,6.2
"05/17/10","16:44:40",19.08,0.195,10.03,40,108.4,6.2
"05/17/10","16:48:40",18.91,0.195,10.09,39,108.6,6.2
"05/17/10","16:52:40",18.99,0.195,10.05,39,108.4,6.2
"05/17/10","16:56:40",16.85,0.194,10.07,39,103.9,6.2
"05/17/10","17:00:40",16.23,0.195,10.28,39,104.7,6.2
"05/17/10","17:04:40",16.48,0.195,10.23,39,104.7,6.2
"05/17/10","17:08:40",16.17,0.195,10.30,39,104.7,6.2
"05/17/10","17:12:40",16.59,0.195,10.14,39,104.1,6.1
"05/17/10","17:16:40",17.10,0.195,10.29,39,106.7,6.2
"05/17/10","17:20:40",16.51,0.195,10.24,39,104.9,6.2
"05/17/10","17:24:40",16.12,0.195,10.29,39,104.5,6.2
"05/17/10","17:28:40",16.25,0.195,10.23,39,104.3,6.2
"05/17/10","17:32:40",16.30,0.195,10.30,39,105.1,6.2
"05/17/10","17:36:40",16.38,0.195,10.26,39,104.9,6.2
"05/17/10","17:40:40",16.48,0.195,10.27,39,105.1,6.2
"05/17/10","17:44:40",16.56,0.195,10.25,39,105.1,6.2
"05/17/10","17:48:40",16.51,0.196,10.11,39,103.6,6.2
"05/17/10","17:52:40",16.72,0.195,10.16,39,104.5,6.2
"05/17/10","17:56:40",16.68,0.195,10.19,39,104.8,6.2
"05/17/10","18:00:40",16.93,0.194,10.20,39,105.4,6.1
"05/17/10","18:04:40",16.33,0.195,10.32,39,105.3,6.1
"05/17/10","18:08:40",16.41,0.195,10.33,39,105.6,6.1
"05/17/10","18:12:40",16.25,0.195,10.32,39,105.2,6.2
"05/17/10","18:16:40",16.62,0.195,10.20,39,104.8,6.1
"05/17/10","18:20:40",16.65,0.195,10.14,39,104.2,6.1
"05/17/10","18:24:40",16.97,0.195,10.12,39,104.7,6.1
"05/17/10","18:28:40",16.90,0.196,10.13,39,104.6,6.1
"05/17/10","18:32:40",16.81,0.195,10.15,39,104.6,6.1
"05/17/10","18:36:40",17.02,0.195,10.05,39,104.1,6.1
"05/17/10","18:40:40",16.72,0.195,10.07,39,103.6,6.0
"05/17/10","18:44:40",16.65,0.195,10.06,39,103.3,6.1
"05/17/10","18:48:40",16.61,0.195,10.04,39,103.1,6.0
"05/17/10","18:52:40",16.70,0.194,10.15,39,104.4,6.1
"05/17/10","18:56:40",16.72,0.195,10.19,39,104.8,6.0
"05/17/10","19:00:40",16.49,0.195,10.03,39,102.7,6.0
"05/17/10","19:04:40",16.51,0.195,10.21,39,104.6,6.0
"05/17/10","19:08:40",16.50,0.195,10.21,39,104.6,6.0
"05/17/10","19:12:40",16.51,0.195,10.19,39,104.4,6.0
"05/17/10","19:16:40",16.83,0.194,10.08,39,104.0,6.0
"05/17/10","19:20:40",17.56,0.194,10.01,39,104.8,6.0
"05/17/10","19:24:40",16.93,0.195,10.09,39,104.3,6.0
"05/17/10","19:28:40",17.03,0.195,10.08,39,104.4,6.0
"05/17/10","19:32:40",16.96,0.195,10.12,39,104.7,6.0
"05/17/10","19:36:40",16.64,0.195,10.11,39,103.9,6.0
"05/17/10","19:40:40",16.83,0.195,10.13,39,104.5,6.0
"05/17/10","19:44:40",17.01,0.195,10.03,39,103.9,6.0
"05/17/10","19:48:40",17.23,0.194,10.14,39,105.5,6.0
"05/17/10","19:52:40",16.84,0.195,10.08,39,104.0,6.0
"05/17/10","19:56:40",16.74,0.195,9.99,39,102.8,6.0
"05/17/10","20:00:40",16.64,0.195,9.93,39,102.0,6.0
"05/17/10","20:04:40",16.48,0.195,9.90,38,101.4,6.0
"05/17/10","20:08:40",16.56,0.195,9.84,39,100.9,6.0
"05/17/10","20:12:40",16.87,0.195,9.95,39,102.7,6.0
"05/17/10","20:16:40",16.92,0.195,10.15,39,104.9,6.0
"05/17/10","20:20:40",16.89,0.194,10.29,39,106.3,6.0
"05/17/10","20:24:40",16.79,0.195,10.19,39,105.1,6.0
"05/17/10","20:28:40",16.69,0.195,10.07,39,103.6,6.0
"05/17/10","20:32:40",16.66,0.195,10.00,39,102.8,6.0
"05/17/10","20:36:40",16.66,0.195,10.04,39,103.2,6.0
"05/17/10","20:40:40",16.66,0.195,10.05,39,103.3,6.0
"05/17/10","20:44:40",16.97,0.194,10.02,39,103.7,6.0
"05/17/10","20:48:40",16.75,0.195,10.33,39,106.3,6.0
"05/17/10","20:52:40",16.59,0.195,10.18,39,104.5,6.0
"05/17/10","20:56:40",16.49,0.195,10.06,39,103.0,6.0
"05/17/10","21:00:40",16.62,0.195,10.04,39,103.1,6.0
"05/17/10","21:04:40",16.73,0.195,10.13,39,104.3,6.0
"05/17/10","21:08:40",16.82,0.195,10.11,39,104.3,6.0
"05/17/10","21:12:40",16.90,0.195,10.16,39,104.9,6.0
"05/17/10","21:16:40",16.96,0.195,10.10,39,104.5,6.0
"05/17/10","21:20:40",17.17,0.195,10.78,40,112.0,6.0
"05/17/10","21:24:40",17.06,0.195,10.59,39,109.7,6.0
"05/17/10","21:28:40",16.79,0.195,10.10,39,104.1,6.0
"05/17/10","21:32:40",16.82,0.195,10.07,39,103.9,6.0
"05/17/10","21:36:40",16.94,0.194,10.02,39,103.6,6.0
"05/17/10","21:40:40",17.03,0.195,10.10,39,104.6,6.0
"05/17/10","21:44:40",16.76,0.195,10.06,39,103.6,6.0
"05/17/10","21:48:40",16.33,0.195,10.11,39,103.2,6.0
"05/17/10","21:52:40",16.64,0.194,10.10,39,103.7,6.0
"05/17/10","21:56:40",16.65,0.195,10.14,39,104.2,6.0
"05/17/10","22:00:40",16.69,0.195,10.11,39,104.0,6.0
"05/17/10","22:04:40",16.65,0.195,10.10,39,103.8,6.0
"05/17/10","22:08:40",16.72,0.195,10.09,39,103.8,6.0
"05/17/10","22:12:40",16.87,0.195,10.09,39,104.1,5.9
"05/17/10","22:16:40",17.03,0.195,10.16,39,105.2,6.0
"05/17/10","22:20:40",16.96,0.195,10.26,39,106.1,5.9
"05/17/10","22:24:40",17.01,0.195,10.17,39,105.3,5.9
"05/17/10","22:28:40",17.00,0.195,10.31,39,106.7,5.9
