"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"05/17/10","14:08:40",20.92,0.024,8.45,51,6.9,94.6
"05/17/10","14:12:40",20.89,0.025,8.50,51,6.9,95.2
"05/17/10","14:16:40",20.88,0.025,8.50,51,6.9,95.2
"05/17/10","14:20:40",20.86,0.025,8.61,51,6.9,96.3
"05/17/10","14:24:40",20.84,0.025,8.61,51,6.9,96.3
"05/17/10","14:28:40",20.82,0.025,8.61,52,6.9,96.3
"05/17/10","14:32:40",20.80,0.025,8.61,51,6.9,96.2
"05/17/10","14:36:40",20.78,0.026,8.62,51,6.8,96.3
"05/17/10","14:40:40",20.76,0.026,8.67,52,6.9,96.7
"05/17/10","14:44:40",20.74,0.026,8.65,52,6.8,96.6
"05/17/10","14:48:40",20.73,0.026,8.65,51,6.8,96.5
"05/17/10","14:52:40",20.71,0.026,8.65,52,6.8,96.5
"05/17/10","14:56:40",20.70,0.026,8.70,51,6.7,97.0
"05/17/10","15:00:40",20.68,0.026,8.72,51,6.8,97.2
"05/17/10","15:04:40",20.67,0.026,8.75,52,6.7,97.6
"05/17/10","15:08:40",20.65,0.026,8.77,51,6.8,97.7
"05/17/10","15:12:40",20.63,0.026,8.74,52,6.8,97.4
"05/17/10","15:16:40",20.63,0.026,8.72,51,6.8,97.2
"05/17/10","15:20:40",20.62,0.026,8.71,52,6.7,97.0
"05/17/10","15:24:40",20.61,0.026,8.75,51,6.7,97.3
"05/17/10","15:28:40",20.59,0.026,8.72,51,6.7,97.1
"05/17/10","15:32:40",20.57,0.026,8.77,52,6.7,97.6
"05/17/10","15:36:40",20.55,0.026,8.79,51,6.7,97.8
"05/17/10","15:40:40",20.54,0.026,8.77,52,6.7,97.5
"05/17/10","15:44:40",20.52,0.026,8.70,52,6.7,96.7
"05/17/10","15:48:40",20.51,0.026,8.73,51,6.8,97.0
"05/17/10","15:52:40",24.19,0.000,7.51,51,6.7,89.6
"05/17/10","15:56:40",23.97,0.000,7.80,51,6.7,92.6
"05/17/10","16:00:40",23.90,0.000,8.08,52,6.7,95.9
"05/17/10","16:04:40",23.93,0.000,8.12,52,6.7,96.3
"05/17/10","16:08:40",23.94,0.000,8.19,52,6.7,97.1
"05/17/10","16:12:40",23.97,0.000,8.47,52,6.7,100.5
"05/17/10","16:16:40",23.92,0.000,8.31,52,6.7,98.6
"05/17/10","16:20:40",23.58,0.001,8.36,52,6.7,98.5
"05/17/10","16:24:40",23.85,0.001,8.37,52,6.7,99.1
"05/17/10","16:28:40",24.02,0.001,8.36,52,6.7,99.3
"05/17/10","16:32:40",24.32,0.001,8.34,52,6.7,99.6
"05/17/10","16:36:40",24.57,0.001,8.29,52,6.7,99.5
"05/17/10","16:40:40",24.67,0.001,8.28,52,6.7,99.6
"05/17/10","16:44:40",24.71,0.001,8.27,52,6.7,99.6
"05/17/10","16:48:40",24.72,0.001,8.28,52,6.7,99.7
"05/17/10","16:52:40",9.51,0.236,9.22,48,6.7,80.8
"05/17/10","16:56:40",7.96,0.253,3.29,44,6.7,27.8
"05/17/10","17:00:40",8.16,0.251,3.58,44,6.7,30.4
"05/17/10","17:04:40",8.15,0.251,3.56,44,6.6,30.2
"05/17/10","17:08:40",8.39,0.249,4.58,45,6.6,39.0
"05/17/10","17:12:40",8.60,0.247,4.85,45,6.6,41.5
"05/17/10","17:16:40",8.41,0.249,4.21,45,6.6,35.9
"05/17/10","17:20:40",8.14,0.251,3.67,44,6.6,31.1
"05/17/10","17:24:40",8.12,0.252,3.29,43,6.6,27.9
"05/17/10","17:28:40",7.60,0.256,2.30,43,6.6,19.2
"05/17/10","17:32:40",8.28,0.250,2.93,43,6.6,24.9
"05/17/10","17:36:40",8.01,0.252,2.96,43,6.6,25.0
"05/17/10","17:40:40",8.33,0.250,3.74,44,6.6,31.8
"05/17/10","17:44:40",8.33,0.250,3.80,44,6.6,32.4
"05/17/10","17:48:40",8.05,0.252,4.08,44,6.6,34.5
"05/17/10","17:52:40",7.95,0.253,3.03,43,6.6,25.6
"05/17/10","17:56:40",8.55,0.248,4.09,44,6.6,35.0
"05/17/10","18:00:40",8.87,0.245,5.41,45,6.6,46.7
"05/17/10","18:04:40",8.67,0.247,5.27,45,6.6,45.2
"05/17/10","18:08:40",9.16,0.242,7.00,46,6.6,60.9
"05/17/10","18:12:40",9.34,0.240,7.77,46,6.6,67.8
"05/17/10","18:16:40",9.07,0.242,7.71,46,6.6,66.8
"05/17/10","18:20:40",7.99,0.252,4.50,44,6.6,38.0
"05/17/10","18:24:40",7.87,0.254,2.93,43,6.6,24.7
"05/17/10","18:28:40",8.15,0.252,3.28,43,6.6,27.8
"05/17/10","18:32:40",8.48,0.249,4.22,45,6.6,36.1
"05/17/10","18:36:40",8.67,0.247,4.89,44,6.6,42.0
"05/17/10","18:40:40",8.75,0.247,5.14,45,6.6,44.2
"05/17/10","18:44:40",8.09,0.252,3.70,43,6.6,31.3
"05/17/10","18:48:40",7.63,0.255,2.56,43,6.6,21.4
"05/17/10","18:52:40",7.54,0.256,1.79,42,6.6,14.9
"05/17/10","18:56:40",7.74,0.255,2.21,43,6.6,18.6
"05/17/10","19:00:40",8.00,0.253,2.84,43,6.6,24.0
"05/17/10","19:04:40",8.48,0.250,3.92,44,6.6,33.5
"05/17/10","19:08:40",8.63,0.248,4.69,44,6.6,40.2
"05/17/10","19:12:40",8.50,0.249,4.53,44,6.6,38.7
"05/17/10","19:16:40",8.16,0.251,3.59,43,6.6,30.4
"05/17/10","19:20:40",7.83,0.253,2.77,43,6.6,23.3
