"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"05/17/10","14:16:40",20.68,0.021,8.58,42,6.3,95.7
"05/17/10","14:20:40",20.66,0.024,8.53,43,6.3,95.1
"05/17/10","14:24:40",20.64,0.024,8.57,43,6.3,95.5
"05/17/10","14:28:40",20.62,0.023,8.54,43,6.3,95.1
"05/17/10","14:32:40",20.60,0.025,8.57,43,6.3,95.4
"05/17/10","14:36:40",20.58,0.025,8.59,43,6.3,95.6
"05/17/10","14:40:40",20.56,0.024,8.62,43,6.3,95.8
"05/17/10","14:44:40",20.55,0.026,8.63,44,6.3,95.9
"05/17/10","14:48:40",20.53,0.024,8.63,44,6.3,95.9
"05/17/10","14:52:40",20.52,0.023,8.62,43,6.3,95.8
"05/17/10","14:56:40",20.50,0.024,8.57,44,6.3,95.2
"05/17/10","15:00:40",20.49,0.024,8.60,44,6.3,95.5
"05/17/10","15:04:40",20.47,0.021,8.57,43,6.3,95.1
"05/17/10","15:08:40",20.45,0.025,8.55,44,6.3,94.9
"05/17/10","15:12:40",20.44,0.024,8.60,44,6.3,95.4
"05/17/10","15:16:40",20.43,0.024,8.56,44,6.3,94.9
"05/17/10","15:20:40",20.42,0.024,8.59,44,6.3,95.3
"05/17/10","15:24:40",20.41,0.023,8.56,44,6.3,94.9
"05/17/10","15:28:40",20.39,0.023,8.55,44,6.2,94.8
"05/17/10","15:32:40",20.37,0.024,8.55,44,6.3,94.8
"05/17/10","15:36:40",20.36,0.023,8.54,44,6.2,94.6
"05/17/10","15:40:40",20.34,0.023,8.54,44,6.2,94.6
"05/17/10","15:44:40",20.32,0.026,8.54,44,6.2,94.6
"05/17/10","15:48:40",20.31,0.026,8.54,44,6.2,94.5
"05/17/10","15:52:40",23.73,0.000,7.51,43,6.2,88.7
"05/17/10","15:56:40",23.64,0.000,7.77,44,6.0,91.7
"05/17/10","16:00:40",23.59,0.000,8.06,44,6.0,95.0
"05/17/10","16:04:40",23.67,0.000,8.09,44,6.2,95.5
"05/17/10","16:08:40",23.70,0.000,8.08,44,6.0,95.4
"05/17/10","16:32:40",24.63,0.001,8.26,44,6.2,99.3
"05/17/10","16:36:40",24.81,0.001,8.19,45,6.2,98.8
"05/17/10","16:40:40",24.87,0.001,8.17,44,6.2,98.6
"05/17/10","16:44:40",24.83,0.001,8.13,45,6.2,98.0
"05/17/10","16:48:40",24.75,0.001,8.10,44,6.0,97.5
"05/17/10","17:04:40",24.34,0.004,8.19,44,5.9,97.9
"05/17/10","17:08:40",24.15,0.001,8.15,44,6.0,97.1
"05/17/10","17:12:40",23.97,0.001,8.12,44,6.0,96.4
"05/17/10","17:16:40",16.82,0.200,11.22,45,6.2,115.7
"05/17/10","17:20:40",17.59,0.198,11.66,46,6.2,122.2
"05/17/10","17:24:40",17.72,0.198,11.92,46,6.2,125.2
"05/17/10","17:28:40",17.03,0.200,11.47,45,6.2,118.8
"05/17/10","17:32:40",17.62,0.199,12.05,46,6.2,126.4
"05/17/10","17:36:40",17.53,0.201,11.72,46,6.2,122.7
"05/17/10","17:40:40",17.81,0.200,11.38,46,6.2,119.8
"05/17/10","17:44:40",18.04,0.200,11.18,46,6.2,118.2
"05/17/10","17:48:40",18.42,0.200,11.20,46,6.2,119.4
"05/17/10","17:52:40",17.99,0.200,11.26,46,6.2,118.9
"05/17/10","17:56:40",17.13,0.200,11.79,46,6.2,122.4
"05/17/10","18:00:40",16.42,0.201,11.42,46,6.2,116.8
"05/17/10","18:04:40",16.36,0.201,11.20,45,6.2,114.4
"05/17/10","18:08:40",16.28,0.201,11.55,45,6.2,117.7
"05/17/10","18:12:40",16.48,0.200,11.51,45,6.2,117.8
"05/17/10","18:16:40",16.76,0.199,11.98,46,6.1,123.4
"05/17/10","18:20:40",17.08,0.200,11.65,46,6.2,120.8
"05/17/10","18:24:40",17.42,0.198,11.90,46,6.1,124.2
"05/17/10","18:28:40",17.51,0.199,11.83,46,6.1,123.8
"05/17/10","18:32:40",17.14,0.200,12.02,46,6.1,124.8
"05/17/10","18:36:40",17.23,0.199,11.78,46,6.1,122.5
"05/17/10","18:40:40",16.64,0.201,11.40,45,6.0,117.1
"05/17/10","18:44:40",16.77,0.200,11.13,45,6.1,114.6
"05/17/10","18:48:40",16.48,0.202,10.97,45,6.1,112.3
"05/17/10","18:52:40",16.39,0.200,10.95,45,6.1,111.9
"05/17/10","18:56:40",16.58,0.200,11.29,45,6.1,115.8
"05/17/10","19:00:40",16.71,0.200,11.12,45,6.1,114.4
"05/17/10","19:04:40",17.52,0.199,11.63,46,6.1,121.7
"05/17/10","19:08:40",18.41,0.198,11.67,46,6.0,124.4
"05/17/10","19:12:40",18.76,0.201,10.75,46,6.0,115.4
"05/17/10","19:16:40",18.81,0.200,10.64,45,6.0,114.3
"05/17/10","19:20:40",18.67,0.200,10.67,45,6.0,114.3
"05/17/10","19:24:40",18.19,0.202,11.21,46,6.0,118.9
"05/17/10","19:28:40",18.08,0.200,11.52,46,6.0,121.9
"05/17/10","19:32:40",17.16,0.200,12.25,46,6.0,127.2
"05/17/10","19:36:40",17.10,0.201,12.00,46,6.0,124.5
"05/17/10","19:40:40",17.27,0.201,11.79,46,6.0,122.7
"05/17/10","19:44:40",17.05,0.201,11.78,46,6.0,122.0
"05/17/10","19:48:40",16.81,0.200,11.41,45,6.0,117.7
"05/17/10","19:52:40",16.32,0.201,10.98,45,6.0,112.0
"05/17/10","19:56:40",16.49,0.200,11.12,45,6.0,113.9
"05/17/10","20:00:40",16.62,0.200,10.70,45,6.0,109.9
"05/17/10","20:04:40",16.90,0.200,11.29,45,6.0,116.6
"05/17/10","20:08:40",17.29,0.199,11.42,46,6.0,118.9
"05/17/10","20:12:40",17.56,0.198,11.67,46,6.0,122.3
"05/17/10","20:16:40",17.67,0.198,11.77,46,6.0,123.6
"05/17/10","20:20:40",17.91,0.198,12.24,47,6.0,129.1
"05/17/10","20:24:40",17.35,0.198,11.68,46,6.0,121.8
"05/17/10","20:28:40",17.22,0.199,11.37,45,6.0,118.2
"05/17/10","20:32:40",17.05,0.199,11.25,45,6.0,116.6
"05/17/10","20:36:40",16.78,0.200,11.69,46,6.0,120.5
"05/17/10","20:40:40",17.00,0.200,11.05,45,6.0,114.3
"05/17/10","20:44:40",16.98,0.200,11.22,45,6.0,116.1
"05/17/10","20:48:40",16.91,0.200,11.21,45,6.0,115.9
"05/17/10","20:52:40",16.94,0.198,11.03,46,6.0,114.1
"05/17/10","20:56:40",17.01,0.197,11.09,45,6.0,114.9
"05/17/10","21:00:40",17.75,0.198,12.21,47,6.0,128.4
"05/17/10","21:04:40",17.79,0.200,12.67,47,6.0,133.3
"05/17/10","21:08:40",17.92,0.199,11.95,46,6.0,126.1
"05/17/10","21:12:40",17.78,0.199,11.66,46,6.0,122.6
"05/17/10","21:16:40",17.42,0.198,11.52,46,6.0,120.3
"05/17/10","21:20:40",16.91,0.199,11.41,46,6.0,117.9
"05/17/10","21:24:40",16.68,0.200,11.16,45,6.0,114.7
"05/17/10","21:28:40",16.89,0.198,11.13,45,6.0,114.9
"05/17/10","21:32:40",17.06,0.196,11.93,46,6.0,123.7
"05/17/10","21:36:40",17.08,0.197,12.53,47,6.0,129.9
"05/17/10","21:40:40",16.88,0.197,12.47,46,6.0,128.8
"05/17/10","21:44:40",16.88,0.196,12.15,46,6.0,125.4
"05/17/10","21:48:40",16.86,0.197,12.16,46,6.0,125.5
"05/17/10","21:52:40",16.75,0.197,11.94,46,6.0,123.0
"05/17/10","21:56:40",16.95,0.200,11.99,46,6.0,123.9
"05/17/10","22:00:40",17.29,0.201,11.18,45,5.9,116.4
"05/17/10","22:04:40",17.60,0.201,10.69,45,5.9,112.0
"05/17/10","22:08:40",17.65,0.201,10.59,46,6.0,111.1
"05/17/10","22:12:40",17.74,0.201,10.54,45,6.0,110.8
"05/17/10","22:16:40",17.84,0.201,10.54,45,6.0,111.0
"05/17/10","22:20:40",17.75,0.201,10.50,45,5.9,110.3
"05/17/10","22:24:40",17.22,0.200,10.49,45,5.9,109.1
"05/17/10","22:28:40",17.17,0.200,10.46,45,5.9,108.7
"05/17/10","22:32:40",17.29,0.201,10.44,45,5.9,108.7
"05/17/10","22:36:40",17.36,0.201,10.43,45,5.9,108.8
"05/17/10","22:40:40",17.67,0.201,10.50,45,5.9,110.2
