"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V"
"06/21/10","11:24:40",18.48,0.288,9.22,40,98.4,6.4
"06/21/10","11:28:40",18.49,0.288,9.20,40,98.2,6.4
"06/21/10","11:32:40",18.48,0.288,9.13,40,97.5,6.4
"06/21/10","11:36:40",18.48,0.288,9.20,40,98.2,6.4
"06/21/10","11:40:40",18.48,0.288,9.09,40,97.0,6.4
"06/21/10","11:44:40",18.48,0.288,9.04,40,96.5,6.4
"06/21/10","11:48:40",18.49,0.290,9.03,40,96.4,6.4
"06/21/10","11:52:40",18.50,0.290,9.01,40,96.2,6.4
"06/21/10","11:56:40",18.50,0.290,9.02,40,96.3,6.4
"06/21/10","12:00:40",18.47,0.290,8.99,40,95.9,6.3
"06/21/10","12:04:40",18.44,0.290,9.01,40,96.1,6.3
"06/21/10","12:08:40",18.40,0.289,9.04,39,96.3,6.3
"06/21/10","12:12:40",18.37,0.290,9.04,40,96.3,6.3
"06/21/10","12:16:40",18.33,0.290,9.03,39,96.1,6.3
"06/21/10","12:20:40",18.29,0.289,9.03,39,96.0,6.3
"06/21/10","12:24:40",18.25,0.289,9.06,39,96.3,6.3
"06/21/10","12:28:40",18.21,0.289,9.07,39,96.3,6.3
"06/21/10","12:32:40",18.18,0.290,9.07,39,96.2,6.3
"06/21/10","12:36:40",18.16,0.290,9.11,40,96.7,6.3
"06/21/10","12:40:40",18.15,0.290,9.22,39,97.8,6.3
"06/21/10","12:44:40",18.15,0.290,9.27,39,98.3,6.3
"06/21/10","12:48:40",18.15,0.290,9.28,39,98.4,6.3
"06/21/10","12:52:40",18.14,0.290,9.30,39,98.6,6.3
"06/21/10","12:56:40",18.66,0.007,9.10,38,97.4,6.3
"06/21/10","13:00:40",19.23,0.005,9.01,38,97.6,6.3
"06/21/10","13:04:40",19.56,0.004,8.99,39,98.0,6.3
"06/21/10","13:08:40",19.89,0.005,8.98,39,98.5,6.3
"06/21/10","13:12:40",20.45,0.004,8.85,39,98.2,6.3
"06/21/10","13:16:40",20.85,0.005,8.87,39,99.1,6.3
"06/21/10","13:20:40",21.33,0.013,8.79,39,99.2,6.3
"06/21/10","13:24:40",22.85,0.181,8.67,40,100.8,6.3
"06/21/10","13:28:40",22.90,0.180,8.86,40,103.1,6.3
"06/21/10","13:32:40",22.79,0.179,8.85,40,102.8,6.3
"06/21/10","13:36:40",22.80,0.179,8.86,40,102.9,6.3
"06/21/10","13:40:40",22.74,0.179,8.82,40,102.4,6.3
"06/21/10","13:44:40",22.75,0.179,8.82,41,102.4,6.3
"06/21/10","13:48:40",22.80,0.179,8.81,40,102.4,6.3
"06/21/10","13:52:40",22.76,0.179,8.88,40,103.0,6.3
"06/21/10","13:56:40",22.82,0.179,8.86,40,103.0,6.3
"06/21/10","14:00:40",22.75,0.179,8.90,41,103.3,6.3
"06/21/10","14:04:40",22.84,0.179,8.82,40,102.5,6.3
"06/21/10","14:08:40",22.85,0.179,8.86,40,103.0,6.3
"06/21/10","14:12:40",22.81,0.180,8.88,40,103.2,6.3
"06/21/10","14:16:40",22.84,0.179,8.82,40,102.5,6.3
"06/21/10","14:20:40",22.87,0.179,8.78,40,102.1,6.3
"06/21/10","14:24:40",22.90,0.179,8.81,40,102.5,6.3
"06/21/10","14:28:40",22.93,0.179,8.83,41,102.8,6.3
"06/21/10","14:32:40",22.90,0.179,8.85,40,103.0,6.3
"06/21/10","14:36:40",22.94,0.179,8.96,41,104.3,6.3
"06/21/10","14:40:40",23.05,0.179,8.97,41,104.7,6.3
"06/21/10","14:44:40",23.10,0.179,9.02,41,105.4,6.3
"06/21/10","14:48:40",23.07,0.179,9.02,41,105.3,6.3
"06/21/10","14:52:40",22.96,0.179,9.02,41,105.1,6.3
"06/21/10","14:56:40",22.94,0.179,9.02,41,105.1,6.3
"06/21/10","15:00:40",22.98,0.179,9.01,41,105.0,6.3
