"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V"
"06/21/10","11:28:40",18.56,0.300,8.89,50,95.1,7.0
"06/21/10","11:32:40",18.56,0.299,8.91,50,95.2,7.0
"06/21/10","11:36:40",18.55,0.298,8.96,49,95.8,7.0
"06/21/10","11:40:40",18.56,0.297,8.90,49,95.2,7.0
"06/21/10","11:44:40",18.56,0.297,8.95,49,95.7,7.0
"06/21/10","11:48:40",18.57,0.297,8.98,49,96.0,7.0
"06/21/10","11:52:40",18.58,0.297,8.93,49,95.5,7.0
"06/21/10","11:56:40",18.57,0.297,8.98,49,96.0,7.0
"06/21/10","12:00:40",18.55,0.297,9.00,49,96.2,7.0
"06/21/10","12:04:40",18.52,0.296,8.96,49,95.7,7.0
"06/21/10","12:08:40",18.48,0.296,8.94,49,95.5,7.0
"06/21/10","12:12:40",18.44,0.295,8.95,49,95.4,7.0
"06/21/10","12:16:40",18.41,0.295,8.94,49,95.3,6.9
"06/21/10","12:20:40",18.37,0.295,9.00,49,95.9,6.9
"06/21/10","12:24:40",18.33,0.295,9.03,49,96.1,7.0
"06/21/10","12:28:40",18.29,0.294,8.98,49,95.5,6.9
"06/21/10","12:32:40",18.26,0.294,8.98,49,95.4,6.9
"06/21/10","12:36:40",18.24,0.294,8.97,49,95.3,6.9
"06/21/10","12:40:40",18.23,0.294,9.03,48,95.9,6.9
"06/21/10","12:44:40",18.23,0.294,8.99,49,95.5,6.9
"06/21/10","12:48:40",18.22,0.293,9.03,48,95.9,6.9
"06/21/10","12:52:40",18.22,0.293,8.99,48,95.5,6.9
"06/21/10","12:56:40",18.53,0.005,8.82,48,94.1,6.9
"06/21/10","13:00:40",19.19,0.003,8.91,48,96.4,6.9
"06/21/10","13:04:40",19.48,0.002,8.88,48,96.6,6.9
"06/21/10","13:08:40",19.79,0.024,8.87,49,97.1,6.9
"06/21/10","13:12:40",20.17,0.003,8.84,49,97.5,6.9
"06/21/10","13:16:40",20.65,0.003,8.84,49,98.5,6.9
"06/21/10","13:20:40",20.79,0.005,8.38,48,93.7,6.9
"06/21/10","13:24:40",20.15,0.181,8.86,49,97.7,6.9
"06/21/10","13:28:40",20.29,0.181,9.02,49,99.8,6.9
"06/21/10","13:32:40",17.57,0.193,8.98,48,94.1,6.9
"06/21/10","13:36:40",17.59,0.192,9.11,48,95.5,6.9
"06/21/10","13:40:40",17.55,0.192,9.10,48,95.3,6.9
"06/21/10","13:44:40",17.57,0.192,9.12,49,95.5,6.9
"06/21/10","13:48:40",17.52,0.192,9.18,49,96.0,6.9
"06/21/10","13:52:40",17.56,0.192,8.99,48,94.1,6.9
"06/21/10","13:56:40",17.47,0.192,8.88,48,92.8,6.9
"06/21/10","14:00:40",17.44,0.192,9.01,48,94.1,6.9
"06/21/10","14:04:40",17.53,0.192,9.06,48,94.8,6.9
"06/21/10","14:08:40",17.58,0.192,8.84,48,92.6,6.9
"06/21/10","14:12:40",17.69,0.191,8.73,48,91.6,6.9
"06/21/10","14:16:40",17.84,0.190,8.49,47,89.5,6.8
"06/21/10","14:20:40",17.89,0.189,8.31,47,87.6,6.8
"06/21/10","14:24:40",17.88,0.189,8.39,47,88.4,6.8
"06/21/10","14:28:40",17.86,0.188,8.51,48,89.7,6.8
"06/21/10","14:32:40",17.87,0.188,8.57,48,90.3,6.8
"06/21/10","14:36:40",17.78,0.188,8.71,48,91.6,6.8
"06/21/10","14:40:40",17.69,0.189,8.86,48,93.0,6.8
"06/21/10","14:44:40",17.63,0.190,8.91,48,93.5,6.8
"06/21/10","14:48:40",17.73,0.190,8.84,48,92.9,6.8
"06/21/10","14:52:40",17.84,0.189,8.71,48,91.7,6.8
"06/21/10","14:56:40",17.99,0.188,8.56,48,90.5,6.8
"06/21/10","15:00:40",17.73,0.189,8.69,48,91.4,6.7
"06/21/10","15:04:40",17.51,0.191,8.98,48,93.9,6.8
"06/21/10","15:08:40",17.62,0.190,9.17,48,96.1,6.8
"06/21/10","15:12:40",17.66,0.190,9.04,48,94.9,6.7
"06/21/10","15:16:40",17.61,0.190,9.09,48,95.3,6.7
"06/21/10","15:20:40",17.47,0.192,9.08,48,94.9,6.7
"06/21/10","15:24:40",17.42,0.192,9.29,48,97.0,6.7
"06/21/10","15:28:40",17.52,0.192,9.26,48,96.8,6.7
"06/21/10","15:32:40",17.60,0.191,9.09,48,95.3,6.7
"06/21/10","15:36:40",17.81,0.189,8.83,48,92.9,6.7
"06/21/10","15:40:40",17.74,0.188,8.87,48,93.2,6.7
"06/21/10","15:44:40",17.59,0.189,9.02,48,94.5,6.7
"06/21/10","15:48:40",17.53,0.189,9.11,48,95.3,6.7
"06/21/10","15:52:40",17.55,0.190,9.13,48,95.6,6.7
"06/21/10","15:56:40",17.64,0.189,8.99,48,94.3,6.7
"06/21/10","16:00:40",17.71,0.189,8.83,48,92.7,6.7
"06/21/10","16:04:40",17.71,0.189,8.72,47,91.6,6.7
"06/21/10","16:08:40",17.77,0.189,8.51,47,89.5,6.7
"06/21/10","16:12:40",17.75,0.189,8.50,47,89.3,6.7
"06/21/10","16:16:40",17.62,0.190,8.42,47,88.2,6.8
"06/21/10","16:20:40",17.64,0.190,8.09,47,84.9,6.7
"06/21/10","16:24:40",17.49,0.191,8.65,47,90.5,6.7
"06/21/10","16:28:40",17.38,0.192,8.79,47,91.7,6.7
"06/21/10","16:32:40",17.47,0.192,8.86,48,92.6,6.7
"06/21/10","16:36:40",17.51,0.191,8.70,47,91.0,6.7
"06/21/10","16:40:40",17.54,0.191,8.79,47,92.0,6.7
