"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V"
"06/21/10","11:32:40",18.36,0.302,8.95,46,95.4,6.3
"06/21/10","11:36:40",18.36,0.302,9.04,46,96.2,6.3
"06/21/10","11:40:40",18.36,0.301,8.94,46,95.2,6.3
"06/21/10","11:44:40",18.36,0.301,8.88,46,94.6,6.3
"06/21/10","11:48:40",18.37,0.302,8.85,45,94.3,6.3
"06/21/10","11:52:40",18.38,0.302,8.82,45,94.0,6.3
"06/21/10","11:56:40",18.38,0.302,8.81,45,93.9,6.3
"06/21/10","12:00:40",18.36,0.302,8.85,45,94.2,6.3
"06/21/10","12:04:40",18.32,0.302,8.85,45,94.1,6.3
"06/21/10","12:08:40",18.29,0.301,8.87,45,94.3,6.3
"06/21/10","12:12:40",18.25,0.301,8.89,45,94.4,6.3
"06/21/10","12:16:40",18.21,0.301,8.89,45,94.4,6.3
"06/21/10","12:20:40",18.17,0.300,8.91,45,94.5,6.3
"06/21/10","12:24:40",18.13,0.300,8.93,45,94.6,6.3
"06/21/10","12:28:40",18.09,0.300,8.93,45,94.6,6.3
"06/21/10","12:32:40",18.06,0.300,8.94,45,94.7,6.3
"06/21/10","12:36:40",18.04,0.300,8.94,44,94.6,6.3
"06/21/10","12:40:40",18.03,0.300,8.99,45,95.1,6.3
"06/21/10","12:44:40",18.03,0.300,8.96,45,94.7,6.3
"06/21/10","12:48:40",18.03,0.300,8.94,44,94.6,6.3
"06/21/10","12:52:40",18.02,0.300,8.95,44,94.7,6.3
"06/21/10","12:56:40",18.66,0.006,8.67,43,92.8,6.3
"06/21/10","13:00:40",19.26,0.004,8.66,44,93.8,6.3
"06/21/10","13:04:40",19.59,0.004,8.60,43,93.8,6.3
"06/21/10","13:08:40",20.03,0.004,8.52,44,93.7,6.3
"06/21/10","13:12:40",21.22,0.004,8.17,44,92.0,6.3
"06/21/10","13:16:40",21.77,0.004,8.11,44,92.4,6.3
"06/21/10","13:20:40",22.79,0.004,7.99,44,92.7,6.3
"06/21/10","13:24:40",23.62,0.004,7.85,44,92.6,6.3
"06/21/10","13:28:40",22.85,0.186,9.07,46,105.4,6.3
"06/21/10","13:32:40",23.03,0.185,9.01,46,105.1,6.3
"06/21/10","13:36:40",22.96,0.185,9.06,46,105.6,6.3
"06/21/10","13:40:40",23.00,0.185,9.11,46,106.2,6.3
"06/21/10","13:44:40",23.08,0.185,9.09,46,106.2,6.3
"06/21/10","13:48:40",23.12,0.185,9.12,46,106.6,6.3
