"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"05/24/10","09:48:40",15.54,0.250,9.45,41,6.3,94.8
"05/24/10","09:52:40",15.56,0.250,9.44,41,6.3,94.8
"05/24/10","09:56:40",15.62,0.250,9.65,41,6.3,97.1
"05/24/10","10:00:40",15.67,0.254,9.48,41,6.3,95.5
"05/24/10","10:04:40",15.70,0.254,9.46,41,6.3,95.3
"05/24/10","10:08:40",15.73,0.254,9.45,41,6.3,95.2
"05/24/10","10:12:40",15.75,0.254,9.43,41,6.3,95.1
"05/24/10","10:16:40",15.76,0.254,9.44,40,6.3,95.2
"05/24/10","10:20:40",15.78,0.254,9.42,40,6.3,95.1
"05/24/10","10:24:40",15.79,0.253,9.41,40,6.3,95.0
"05/24/10","10:28:40",15.80,0.253,9.41,40,6.3,95.0
"05/24/10","10:32:40",15.81,0.254,9.40,40,6.3,95.0
"05/24/10","10:36:40",15.82,0.254,9.39,40,6.3,94.8
"05/24/10","10:40:40",15.83,0.253,9.39,40,6.3,94.9
"05/24/10","10:44:40",15.84,0.253,9.40,40,6.3,95.0
"05/24/10","10:48:40",15.84,0.254,9.41,40,6.3,95.1
"05/24/10","10:52:40",15.85,0.253,9.42,40,6.3,95.2
"05/24/10","10:56:40",15.86,0.253,9.40,40,6.3,95.0
"05/24/10","11:00:40",15.89,0.253,9.40,40,6.3,95.1
"05/24/10","11:04:40",15.94,0.253,9.40,40,6.3,95.1
"05/24/10","11:08:40",15.99,0.253,9.38,39,6.3,95.1
"05/24/10","11:12:40",16.04,0.254,9.36,40,6.3,95.0
"05/24/10","11:16:40",16.10,0.254,9.35,40,6.3,95.0
"05/24/10","11:20:40",16.15,0.253,9.34,40,6.3,95.0
"05/24/10","11:24:40",16.21,0.253,9.31,39,6.3,94.8
"05/24/10","11:28:40",16.26,0.253,9.29,39,6.3,94.7
"05/24/10","11:32:40",16.31,0.253,9.30,39,6.3,94.9
"05/24/10","11:36:40",16.37,0.253,9.28,39,6.3,94.9
"05/24/10","11:40:40",16.42,0.253,9.27,39,6.3,94.8
"05/24/10","11:44:40",16.46,0.254,9.26,39,6.3,94.8
"05/24/10","11:48:40",16.48,0.253,9.25,39,6.2,94.7
"05/24/10","11:52:40",16.48,0.253,9.24,39,6.2,94.7
"05/24/10","11:56:40",16.49,0.253,9.25,39,6.3,94.8
"05/24/10","12:00:40",16.49,0.254,9.24,39,6.2,94.6
"05/24/10","12:04:40",16.49,0.253,9.24,39,6.2,94.6
"05/24/10","12:08:40",16.49,0.253,9.25,39,6.2,94.7
"05/24/10","12:12:40",16.48,0.254,9.23,39,6.2,94.6
"05/24/10","12:16:40",16.50,0.253,9.24,39,6.2,94.7
"05/24/10","12:20:40",16.50,0.254,9.25,39,6.2,94.7
"05/24/10","12:24:40",16.49,0.254,9.25,39,6.2,94.7
"05/24/10","12:28:40",16.49,0.254,9.26,39,6.2,94.8
"05/24/10","12:32:40",16.49,0.254,9.24,39,6.2,94.7
"05/24/10","12:36:40",16.48,0.253,9.25,39,6.2,94.7
"05/24/10","12:40:40",16.48,0.254,9.25,39,6.1,94.7
"05/24/10","12:44:40",16.47,0.254,9.24,39,6.2,94.6
"05/24/10","12:48:40",16.47,0.254,9.24,39,6.2,94.5
"05/24/10","12:52:40",16.46,0.254,9.23,39,6.2,94.5
"05/24/10","12:56:40",16.46,0.254,9.24,39,6.2,94.6
"05/24/10","13:00:40",12.89,0.229,3.86,33,6.2,36.5
"05/24/10","13:04:40",14.10,0.152,3.13,33,6.2,30.5
"05/24/10","13:08:40",14.63,0.153,3.28,33,6.2,32.3
"05/24/10","13:12:40",15.32,0.167,3.46,33,6.2,34.5
"05/24/10","13:16:40",23.93,0.161,7.84,40,6.2,93.0
"05/24/10","13:20:40",23.69,0.199,8.74,41,6.2,103.3
"05/24/10","13:24:40",21.29,0.198,9.02,40,6.2,101.8
"05/24/10","13:28:40",21.38,0.198,8.83,40,6.2,99.8
"05/24/10","13:32:40",21.29,0.198,9.34,41,6.2,105.4
"05/24/10","13:36:40",21.38,0.199,9.13,41,6.2,103.2
"05/24/10","13:40:40",21.36,0.198,9.37,41,6.2,105.8
"05/24/10","13:44:40",21.54,0.198,8.75,40,6.2,99.2
"05/24/10","13:48:40",21.64,0.199,8.51,40,6.2,96.7
"05/24/10","13:52:40",21.61,0.198,8.82,40,6.2,100.1
"05/24/10","13:56:40",21.64,0.198,9.26,40,6.2,105.2
"05/24/10","14:00:40",21.51,0.197,9.54,41,6.2,108.2
"05/24/10","14:04:40",21.42,0.198,9.44,41,6.2,106.8
"05/24/10","14:08:40",21.64,0.197,9.42,41,6.2,107.1
"05/24/10","14:12:40",21.73,0.198,9.38,41,6.2,106.8
"05/24/10","14:16:40",21.77,0.198,9.29,41,6.2,105.8
"05/24/10","14:20:40",21.80,0.198,9.24,41,6.2,105.3
"05/24/10","14:24:40",21.76,0.198,9.24,41,6.2,105.2
"05/24/10","14:28:40",21.68,0.198,9.25,41,6.2,105.2
"05/24/10","14:32:40",21.77,0.198,9.28,41,6.2,105.7
"05/24/10","14:36:40",21.40,0.198,9.46,41,6.2,107.0
"05/24/10","14:40:40",21.27,0.197,9.50,41,6.2,107.2
"05/24/10","14:44:40",21.28,0.198,9.49,41,6.2,107.1
"05/24/10","14:48:40",21.61,0.198,9.43,41,6.2,107.0
"05/24/10","14:52:40",21.99,0.198,9.14,41,6.1,104.6
"05/24/10","14:56:40",23.78,0.201,8.86,41,6.2,104.9
"05/24/10","15:00:40",23.92,0.200,8.92,41,6.2,105.9
"05/24/10","15:04:40",24.38,0.199,8.86,41,6.1,106.0
"05/24/10","15:08:40",25.06,0.199,8.75,41,6.1,106.0
"05/24/10","15:12:40",22.16,0.198,9.17,41,6.1,105.2
"05/24/10","15:16:40",22.02,0.198,9.17,41,6.2,105.0
"05/24/10","15:20:40",22.21,0.200,9.21,41,6.2,105.8
"05/24/10","15:24:40",22.09,0.198,9.01,41,6.2,103.3
"05/24/10","15:28:40",21.95,0.199,9.29,41,6.1,106.2
"05/24/10","15:32:40",21.82,0.199,9.47,41,6.1,108.0
"05/24/10","15:36:40",21.60,0.197,9.56,41,6.1,108.6
"05/24/10","15:40:40",21.88,0.199,9.18,41,6.1,104.8
"05/24/10","15:44:40",21.70,0.198,9.43,41,6.1,107.3
"05/24/10","15:48:40",21.52,0.198,9.59,41,6.1,108.7
"05/24/10","15:52:40",21.52,0.198,9.54,41,6.1,108.2
"05/24/10","15:56:40",21.74,0.198,9.51,41,6.1,108.3
"05/24/10","16:00:40",21.99,0.198,9.00,41,6.1,103.0
"05/24/10","16:04:40",22.22,0.199,8.66,40,6.0,99.5
"05/24/10","16:08:40",22.21,0.199,8.79,40,6.1,101.0
"05/24/10","16:12:40",21.96,0.199,8.62,40,6.0,98.6
"05/24/10","16:16:40",21.90,0.199,8.94,40,6.0,102.1
"05/24/10","16:20:40",22.08,0.198,8.94,40,6.0,102.4
"05/24/10","16:24:40",21.98,0.199,8.86,40,6.0,101.3
"05/24/10","16:28:40",22.42,0.198,9.05,40,6.0,104.4
"05/24/10","16:32:40",22.36,0.198,9.11,41,6.0,105.0
"05/24/10","16:36:40",22.42,0.198,9.18,41,6.0,105.9
