"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"06/28/10","12:08:40",17.06,0.296,9.13,39,6.3,94.7
"06/28/10","12:12:40",17.01,0.296,9.23,39,6.3,95.6
"06/28/10","12:16:40",16.95,0.296,9.24,39,6.3,95.6
"06/28/10","12:20:40",16.91,0.296,9.27,39,6.3,95.8
"06/28/10","12:24:40",16.87,0.296,9.30,39,6.3,96.0
"06/28/10","12:28:40",16.83,0.296,9.32,38,6.3,96.2
"06/28/10","12:32:40",16.79,0.296,9.32,38,6.3,96.1
"06/28/10","12:36:40",16.75,0.297,9.34,38,6.3,96.2
"06/28/10","12:40:40",16.70,0.297,9.34,38,6.3,96.2
"06/28/10","12:44:40",16.66,0.297,9.36,38,6.3,96.2
"06/28/10","12:48:40",16.62,0.297,9.36,38,6.3,96.2
"06/28/10","12:52:40",16.58,0.297,9.36,38,6.3,96.1
"06/28/10","12:56:40",16.54,0.297,9.37,38,6.3,96.1
"06/28/10","13:00:40",16.50,0.297,9.38,38,6.3,96.2
"06/28/10","13:04:40",16.46,0.297,9.39,38,6.3,96.2
"06/28/10","13:08:40",16.43,0.297,9.39,38,6.3,96.1
"06/28/10","13:12:40",16.39,0.297,9.39,38,6.3,96.0
"06/28/10","13:16:40",16.36,0.297,9.39,38,6.3,95.9
"06/28/10","13:20:40",16.32,0.297,9.41,38,6.3,96.0
"06/28/10","13:24:40",16.29,0.297,9.41,38,6.3,96.0
"06/28/10","13:28:40",16.26,0.297,9.42,38,6.3,96.1
"06/28/10","13:32:40",16.23,0.297,9.42,38,6.3,95.9
"06/28/10","13:36:40",16.20,0.297,9.43,38,6.3,96.0
"06/28/10","13:40:40",16.16,0.297,9.43,38,6.3,96.0
"06/28/10","13:44:40",16.13,0.297,9.42,38,6.3,95.8
"06/28/10","13:48:40",16.10,0.297,9.44,38,6.3,96.0
"06/28/10","13:52:40",16.07,0.297,9.44,38,6.3,95.8
"06/28/10","13:56:40",16.04,0.297,9.44,38,6.3,95.8
"06/28/10","14:00:40",16.01,0.297,9.44,38,6.3,95.8
"06/28/10","14:04:40",15.98,0.297,9.44,38,6.2,95.6
"06/28/10","14:08:40",15.95,0.297,9.44,38,6.3,95.6
"06/28/10","14:12:40",15.92,0.297,9.45,38,6.2,95.7
"06/28/10","14:16:40",15.90,0.297,9.47,38,6.2,95.8
"06/28/10","14:20:40",15.88,0.298,9.47,38,6.2,95.7
"06/28/10","14:24:40",15.85,0.298,9.48,38,6.2,95.8
"06/28/10","14:28:40",15.82,0.298,9.48,38,6.2,95.8
"06/28/10","14:32:40",15.80,0.298,9.48,38,6.2,95.7
"06/28/10","14:36:40",15.77,0.298,9.48,38,6.2,95.7
"06/28/10","14:40:40",15.75,0.298,9.48,38,6.2,95.6
"06/28/10","14:44:40",15.72,0.298,9.49,38,6.2,95.6
"06/28/10","14:48:40",15.70,0.298,9.49,38,6.2,95.7
"06/28/10","14:52:40",15.68,0.298,9.50,38,6.2,95.7
"06/28/10","14:56:40",15.66,0.298,9.50,38,6.2,95.6
"06/28/10","15:00:40",15.64,0.298,9.50,38,6.2,95.6
"06/28/10","15:04:40",15.62,0.298,9.51,38,6.2,95.6
