"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"06/28/10","12:12:40",17.09,0.297,9.18,46,7.0,95.3
"06/28/10","12:16:40",17.03,0.297,9.26,46,7.0,95.9
"06/28/10","12:20:40",16.99,0.297,9.16,46,7.0,94.8
"06/28/10","12:24:40",16.95,0.297,9.17,46,7.0,94.8
"06/28/10","12:28:40",16.91,0.297,9.17,46,7.0,94.8
"06/28/10","12:32:40",16.87,0.297,9.27,46,7.0,95.7
"06/28/10","12:36:40",16.83,0.297,9.29,46,7.0,95.9
"06/28/10","12:40:40",16.78,0.297,9.31,46,7.0,96.0
"06/28/10","12:44:40",16.74,0.297,9.26,46,7.0,95.4
"06/28/10","12:48:40",16.70,0.297,9.24,46,7.0,95.1
"06/28/10","12:52:40",16.66,0.297,9.23,45,7.0,94.9
"06/28/10","12:56:40",16.62,0.297,9.30,46,7.0,95.5
"06/28/10","13:00:40",16.58,0.297,9.34,46,7.0,95.8
"06/28/10","13:04:40",16.54,0.297,9.28,46,7.0,95.1
"06/28/10","13:08:40",16.51,0.297,9.26,46,6.9,94.9
"06/28/10","13:12:40",16.47,0.297,9.33,46,6.9,95.5
"06/28/10","13:16:40",16.44,0.297,9.30,46,6.9,95.1
"06/28/10","13:20:40",16.40,0.297,9.29,45,6.9,95.0
"06/28/10","13:24:40",16.37,0.297,9.35,46,6.9,95.6
"06/28/10","13:28:40",16.34,0.297,9.39,46,6.9,95.9
"06/28/10","13:32:40",16.31,0.297,9.40,45,6.9,95.9
"06/28/10","13:36:40",16.27,0.297,9.41,45,6.9,96.0
"06/28/10","13:40:40",16.24,0.297,9.42,46,6.9,96.0
"06/28/10","13:44:40",16.21,0.297,9.43,46,6.9,96.0
"06/28/10","13:48:40",16.18,0.297,9.44,45,6.9,96.1
"06/28/10","13:52:40",16.15,0.297,9.45,46,6.9,96.1
"06/28/10","13:56:40",16.12,0.297,9.38,45,6.9,95.3
"06/28/10","14:00:40",16.09,0.297,9.43,46,6.9,95.8
"06/28/10","14:04:40",16.06,0.297,9.38,45,6.9,95.3
"06/28/10","14:08:40",16.03,0.297,9.44,46,6.9,95.8
"06/28/10","14:12:40",16.00,0.297,9.40,45,6.9,95.3
"06/28/10","14:16:40",15.98,0.298,9.38,46,6.9,95.0
"06/28/10","14:20:40",15.95,0.297,9.45,46,6.9,95.7
"06/28/10","14:24:40",15.93,0.298,9.48,45,6.9,95.9
"06/28/10","14:28:40",15.90,0.298,9.50,46,6.9,96.1
"06/28/10","14:32:40",15.87,0.298,9.44,45,6.9,95.5
"06/28/10","14:36:40",15.85,0.298,9.42,45,6.9,95.2
"06/28/10","14:40:40",15.83,0.298,9.41,46,6.9,95.1
"06/28/10","14:44:40",15.80,0.298,9.40,45,6.8,94.9
"06/28/10","14:48:40",15.78,0.298,9.48,45,6.9,95.7
"06/28/10","14:52:40",15.76,0.298,9.44,45,6.9,95.2
"06/28/10","14:56:40",15.74,0.298,9.42,46,6.8,95.0
"06/28/10","15:00:40",15.72,0.298,9.49,45,6.8,95.7
"06/28/10","15:04:40",15.69,0.298,9.52,45,6.9,95.9
"06/28/10","15:08:40",15.68,0.298,9.46,46,6.8,95.3
"06/28/10","15:12:40",15.66,0.298,9.45,45,6.8,95.2
"06/28/10","15:16:40",15.64,0.298,9.44,45,6.8,95.0
"06/28/10","15:20:40",15.62,0.298,9.53,46,6.8,95.8
"06/28/10","15:24:40",15.60,0.298,9.56,45,6.8,96.2
"06/28/10","15:28:40",15.59,0.298,9.50,45,6.7,95.5
"06/28/10","15:32:40",22.40,0.002,7.87,46,6.7,90.6
"06/28/10","15:36:40",22.69,0.002,7.88,46,6.8,91.3
"06/28/10","15:40:40",22.64,0.002,7.92,46,6.8,91.6
"06/28/10","15:44:40",22.80,0.001,7.85,46,6.8,91.1
"06/28/10","15:48:40",22.80,0.001,7.86,46,6.8,91.2
"06/28/10","15:52:40",17.23,0.202,8.39,45,6.8,87.3
"06/28/10","15:56:40",17.38,0.202,7.96,45,6.8,83.1
"06/28/10","16:00:40",13.12,0.231,9.13,44,6.7,86.9
"06/28/10","16:04:40",13.33,0.230,8.88,44,6.8,84.9
"06/28/10","16:08:40",13.50,0.229,8.28,44,6.7,79.5
"06/28/10","16:12:40",13.56,0.228,8.23,44,6.7,79.1
"06/28/10","16:16:40",13.65,0.228,7.89,43,6.7,76.1
"06/28/10","16:20:40",13.71,0.228,7.95,43,6.7,76.7
"06/28/10","16:24:40",13.72,0.228,7.84,43,6.7,75.7
"06/28/10","16:28:40",13.89,0.227,7.37,43,6.8,71.4
"06/28/10","16:32:40",13.78,0.226,7.94,43,6.7,76.7
"06/28/10","16:36:40",13.60,0.227,8.03,43,6.7,77.3
"06/28/10","16:40:40",13.54,0.227,8.24,44,6.7,79.2
"06/28/10","16:44:40",13.75,0.227,8.18,44,6.7,78.9
"06/28/10","16:48:40",13.90,0.226,7.93,44,6.7,76.8
"06/28/10","16:52:40",13.75,0.227,7.92,43,6.7,76.5
"06/28/10","16:56:40",13.59,0.228,7.92,43,6.7,76.2
"06/28/10","17:00:40",13.57,0.228,8.14,44,6.7,78.2
"06/28/10","17:04:40",13.82,0.226,8.07,44,6.7,78.0
"06/28/10","17:08:40",13.77,0.226,7.77,43,6.7,75.0
"06/28/10","17:12:40",13.78,0.226,7.94,44,6.7,76.7
"06/28/10","17:16:40",13.76,0.227,7.47,43,6.7,72.1
"06/28/10","17:20:40",13.73,0.228,6.52,42,6.7,63.0
"06/28/10","17:24:40",13.52,0.229,6.83,42,6.7,65.6
"06/28/10","17:28:40",13.45,0.230,7.21,43,6.7,69.2
"06/28/10","17:32:40",13.44,0.230,7.43,43,6.7,71.3
"06/28/10","17:36:40",13.55,0.230,7.61,43,6.7,73.1
"06/28/10","17:40:40",13.58,0.230,7.22,43,6.7,69.4
"06/28/10","17:44:40",13.63,0.229,7.28,43,6.7,70.1
"06/28/10","17:48:40",13.46,0.229,7.33,43,6.7,70.3
"06/28/10","17:52:40",13.49,0.229,7.64,43,6.7,73.3
"06/28/10","17:56:40",13.57,0.228,8.20,44,6.7,78.9
"06/28/10","18:00:40",13.37,0.229,8.40,44,6.7,80.5
"06/28/10","18:04:40",13.25,0.230,8.38,44,6.7,80.1
"06/28/10","18:08:40",13.23,0.230,8.48,44,6.7,80.9
"06/28/10","18:12:40",13.42,0.228,8.44,44,6.7,80.9
"06/28/10","18:16:40",13.56,0.228,8.15,44,6.7,78.3
"06/28/10","18:20:40",13.71,0.227,8.00,44,6.7,77.2
"06/28/10","18:24:40",13.82,0.227,7.83,43,6.7,75.8
"06/28/10","18:28:40",13.68,0.227,7.76,43,6.6,74.8
"06/28/10","18:32:40",13.66,0.228,7.88,43,6.6,76.0
"06/28/10","18:36:40",13.71,0.228,7.82,43,6.6,75.4
"06/28/10","18:40:40",13.73,0.228,7.87,43,6.7,75.9
"06/28/10","18:44:40",13.79,0.227,7.76,43,6.6,75.0
"06/28/10","18:48:40",13.84,0.227,7.69,43,6.6,74.4
