"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"06/28/10","12:16:40",16.99,0.311,10.34,45,6.6,107.0
"06/28/10","12:20:40",16.94,0.311,9.69,45,6.6,100.2
"06/28/10","12:24:40",16.90,0.311,9.61,45,6.6,99.3
"06/28/10","12:28:40",16.86,0.311,9.59,45,6.6,99.1
"06/28/10","12:32:40",16.82,0.312,9.46,45,6.6,97.6
"06/28/10","12:36:40",16.78,0.311,9.50,45,6.5,97.9
"06/28/10","12:40:40",16.73,0.312,9.53,45,6.5,98.1
"06/28/10","12:44:40",16.69,0.312,9.55,45,6.5,98.2
"06/28/10","12:48:40",16.65,0.312,9.56,45,6.5,98.3
"06/28/10","12:52:40",16.61,0.312,9.58,45,6.5,98.4
"06/28/10","12:56:40",16.57,0.312,9.60,45,6.5,98.5
"06/28/10","13:00:40",16.53,0.312,9.60,45,6.4,98.5
"06/28/10","13:04:40",16.49,0.312,9.60,45,6.4,98.4
"06/28/10","13:08:40",16.46,0.312,9.60,45,6.4,98.3
"06/28/10","13:12:40",16.42,0.312,9.63,45,6.4,98.5
"06/28/10","13:16:40",16.38,0.312,9.63,45,6.5,98.5
"06/28/10","13:20:40",16.35,0.312,9.64,45,6.4,98.5
"06/28/10","13:24:40",16.32,0.312,9.66,45,6.4,98.6
"06/28/10","13:28:40",16.28,0.312,9.66,45,6.4,98.6
"06/28/10","13:32:40",16.25,0.312,9.67,45,6.4,98.6
"06/28/10","13:36:40",16.22,0.312,9.68,45,6.4,98.6
"06/28/10","13:40:40",16.19,0.312,9.68,45,6.4,98.6
"06/28/10","13:44:40",16.16,0.312,9.70,45,6.4,98.7
"06/28/10","13:48:40",16.13,0.312,9.70,45,6.4,98.6
"06/28/10","13:52:40",16.10,0.312,9.70,45,6.4,98.6
"06/28/10","13:56:40",16.07,0.312,9.70,45,6.4,98.5
"06/28/10","14:00:40",16.04,0.312,9.71,45,6.4,98.5
"06/28/10","14:04:40",16.01,0.312,9.73,45,6.4,98.6
"06/28/10","14:08:40",15.98,0.312,9.74,45,6.4,98.7
"06/28/10","14:12:40",15.95,0.312,9.75,45,6.4,98.8
"06/28/10","14:16:40",15.92,0.312,9.75,45,6.4,98.7
"06/28/10","14:20:40",15.90,0.313,9.75,45,6.4,98.6
"06/28/10","14:24:40",15.87,0.313,9.76,45,6.4,98.7
"06/28/10","14:28:40",15.85,0.312,9.77,45,6.4,98.8
"06/28/10","14:32:40",15.82,0.312,9.76,45,6.4,98.6
"06/28/10","14:36:40",15.80,0.312,9.76,45,6.4,98.5
"06/28/10","14:40:40",15.77,0.313,9.77,45,6.4,98.6
"06/28/10","14:44:40",15.75,0.313,9.77,45,6.4,98.5
"06/28/10","14:48:40",15.73,0.313,9.77,45,6.4,98.5
"06/28/10","14:52:40",15.71,0.313,9.77,45,6.4,98.5
"06/28/10","14:56:40",15.68,0.313,9.78,45,6.4,98.5
"06/28/10","15:00:40",15.66,0.313,9.78,45,6.4,98.4
"06/28/10","15:04:40",15.64,0.313,9.78,45,6.4,98.4
"06/28/10","15:08:40",15.62,0.312,9.81,46,6.3,98.6
"06/28/10","15:12:40",15.60,0.312,9.80,46,6.3,98.5
"06/28/10","15:16:40",15.59,0.313,9.80,46,6.3,98.5
"06/28/10","15:20:40",15.57,0.313,9.81,45,6.3,98.6
"06/28/10","15:24:40",15.55,0.313,9.82,45,6.3,98.6
"06/28/10","15:28:40",15.54,0.313,9.82,45,6.3,98.6
"06/28/10","15:32:40",22.16,0.003,8.04,46,6.3,92.2
"06/28/10","15:36:40",22.27,0.003,8.27,46,6.3,95.1
"06/28/10","15:40:40",22.50,0.003,8.36,47,6.3,96.6
"06/28/10","15:44:40",23.40,0.002,8.29,47,6.3,97.3
"06/28/10","15:48:40",23.60,0.002,8.27,47,6.3,97.5
"06/28/10","15:52:40",15.26,0.229,8.64,44,6.3,86.2
"06/28/10","15:56:40",15.19,0.229,8.34,44,6.3,83.1
"06/28/10","16:00:40",11.26,0.259,7.54,42,6.3,68.8
"06/28/10","16:04:40",11.63,0.256,10.33,45,6.3,95.1
"06/28/10","16:08:40",11.68,0.256,11.44,46,6.3,105.5
"06/28/10","16:12:40",11.77,0.255,11.48,46,6.3,106.0
"06/28/10","16:16:40",11.64,0.256,11.45,46,6.3,105.5
"06/28/10","16:20:40",11.56,0.256,11.26,46,6.3,103.5
"06/28/10","16:24:40",11.60,0.256,11.40,46,6.3,104.9
"06/28/10","16:28:40",11.36,0.257,10.45,45,6.3,95.6
"06/28/10","16:32:40",11.30,0.257,9.34,44,6.3,85.3
"06/28/10","16:36:40",11.35,0.257,8.69,43,6.3,79.5
"06/28/10","16:40:40",11.34,0.257,8.69,43,6.3,79.5
"06/28/10","16:44:40",11.43,0.257,8.68,43,6.3,79.5
"06/28/10","16:48:40",11.31,0.258,8.81,43,6.3,80.5
"06/28/10","16:52:40",11.31,0.258,8.34,43,6.3,76.2
"06/28/10","16:56:40",11.32,0.258,8.46,43,6.3,77.3
"06/28/10","17:00:40",11.46,0.258,9.79,45,6.3,89.8
"06/28/10","17:04:40",11.55,0.257,10.41,45,6.3,95.6
"06/28/10","17:08:40",11.61,0.257,11.07,45,6.3,101.9
"06/28/10","17:12:40",11.47,0.257,11.35,46,6.3,104.2
"06/28/10","17:16:40",11.29,0.258,10.23,45,6.3,93.5
"06/28/10","17:20:40",11.23,0.259,9.11,44,6.3,83.1
"06/28/10","17:24:40",11.30,0.259,9.17,44,6.3,83.8
"06/28/10","17:28:40",11.33,0.259,10.27,45,6.3,93.9
"06/28/10","17:32:40",11.51,0.258,10.94,45,6.3,100.5
"06/28/10","17:36:40",11.57,0.258,12.17,46,6.3,111.9
"06/28/10","17:40:40",11.51,0.258,11.35,46,6.3,104.2
"06/28/10","17:44:40",11.43,0.258,11.02,45,6.3,101.0
"06/28/10","17:48:40",11.27,0.258,9.35,44,6.3,85.4
"06/28/10","17:52:40",11.19,0.259,7.84,43,6.3,71.5
"06/28/10","17:56:40",11.36,0.258,9.34,44,6.3,85.4
"06/28/10","18:00:40",11.55,0.256,11.65,46,6.3,107.0
"06/28/10","18:04:40",11.55,0.256,11.65,46,6.3,107.0
"06/28/10","18:08:40",11.52,0.256,11.42,46,6.3,104.9
"06/28/10","18:12:40",11.52,0.256,11.31,46,6.3,103.8
"06/28/10","18:16:40",11.60,0.256,11.18,45,6.3,102.9
"06/28/10","18:20:40",11.67,0.255,11.31,45,6.3,104.2
"06/28/10","18:24:40",11.50,0.256,9.88,44,6.3,90.7
"06/28/10","18:28:40",11.53,0.257,8.36,43,6.3,76.8
"06/28/10","18:32:40",11.52,0.257,7.23,43,6.3,66.4
"06/28/10","18:36:40",11.66,0.257,5.93,41,6.3,54.7
"06/28/10","18:40:40",11.77,0.257,6.49,42,6.3,60.0
"06/28/10","18:44:40",11.80,0.257,6.58,42,6.3,60.8
"06/28/10","18:48:40",11.65,0.258,6.91,42,6.3,63.7
"06/28/10","18:52:40",11.50,0.259,6.82,42,6.3,62.6
"06/28/10","18:56:40",11.33,0.260,5.70,41,6.3,52.1
