"Date","Time","Temp","SpCond","DO Conc","DO Charge","DO%","Battery","Cond"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","%","V","mS/cm"
"05/31/10","13:04:40",17.25,0.284,9.27,40,96.5,6.4,0.242
"05/31/10","13:08:40",17.24,0.284,9.21,40,95.8,6.4,0.242
"05/31/10","13:12:40",17.23,0.284,9.20,40,95.7,6.4,0.242
"05/31/10","13:16:40",17.21,0.284,9.20,40,95.7,6.4,0.242
"05/31/10","13:20:40",17.19,0.284,9.22,40,95.9,6.4,0.241
"05/31/10","13:24:40",17.17,0.284,9.20,40,95.6,6.4,0.241
"05/31/10","13:28:40",17.16,0.284,9.22,40,95.8,6.4,0.241
"05/31/10","13:32:40",17.14,0.284,9.23,40,95.9,6.4,0.241
"05/31/10","13:36:40",17.12,0.284,9.19,40,95.4,6.4,0.241
"05/31/10","13:40:40",17.10,0.284,9.19,40,95.4,6.3,0.241
"05/31/10","13:44:40",17.09,0.284,9.23,40,95.7,6.3,0.241
"05/31/10","13:48:40",17.07,0.284,9.24,40,95.8,6.3,0.241
"05/31/10","13:52:40",17.06,0.284,9.19,40,95.3,6.3,0.241
"05/31/10","13:56:40",17.04,0.284,9.22,40,95.5,6.3,0.241
"05/31/10","14:00:40",17.02,0.284,9.20,39,95.4,6.3,0.240
"05/31/10","14:04:40",17.01,0.284,9.21,40,95.4,6.3,0.240
"05/31/10","14:08:40",17.00,0.284,9.21,39,95.3,6.3,0.240
"05/31/10","14:12:40",16.98,0.284,9.21,39,95.3,6.3,0.240
"05/31/10","14:16:40",16.97,0.284,9.23,39,95.5,6.3,0.240
"05/31/10","14:20:40",22.97,0.024,7.41,38,86.3,6.3,0.023
"05/31/10","14:24:40",22.55,0.024,7.49,38,86.6,6.3,0.023
"05/31/10","14:28:40",22.24,0.025,7.51,38,86.3,6.3,0.023
"05/31/10","14:32:40",21.97,0.019,7.51,38,85.8,6.3,0.018
"05/31/10","14:36:40",21.78,0.021,7.56,38,86.1,6.3,0.019
"05/31/10","14:40:40",21.82,0.024,7.69,38,87.7,6.3,0.022
"05/31/10","14:44:40",21.97,0.024,7.70,38,88.0,6.3,0.023
"05/31/10","14:48:40",16.66,0.002,9.31,38,95.7,6.3,0.001
"05/31/10","14:52:40",24.99,0.199,8.80,41,106.5,6.3,0.198
"05/31/10","14:56:40",24.99,0.199,8.82,41,106.7,6.3,0.199
"05/31/10","15:00:40",25.03,0.199,8.82,41,106.8,6.3,0.199
"05/31/10","15:04:40",25.05,0.199,8.88,41,107.6,6.3,0.199
"05/31/10","15:08:40",25.06,0.199,8.88,41,107.7,6.3,0.199
"05/31/10","15:12:40",25.12,0.198,8.87,41,107.6,6.3,0.199
"05/31/10","15:16:40",25.10,0.199,8.86,41,107.4,6.3,0.199
"05/31/10","15:20:40",25.09,0.199,8.93,41,108.3,6.3,0.199
"05/31/10","15:24:40",25.12,0.199,8.89,41,107.8,6.3,0.199
"05/31/10","15:28:40",25.18,0.199,8.95,42,108.7,6.3,0.199
"05/31/10","15:32:40",25.24,0.198,8.97,42,109.1,6.3,0.199
"05/31/10","15:36:40",25.24,0.198,8.98,42,109.2,6.3,0.199
"05/31/10","15:40:40",25.24,0.198,8.98,41,109.2,6.3,0.199
"05/31/10","15:44:40",24.58,0.199,8.84,41,106.2,6.3,0.198
"05/31/10","15:48:40",24.91,0.199,8.81,41,106.5,6.3,0.198
"05/31/10","15:52:40",24.47,0.199,8.78,41,105.2,6.3,0.197
"05/31/10","15:56:40",24.49,0.199,8.78,41,105.3,6.3,0.197
"05/31/10","16:00:40",24.58,0.199,8.72,41,104.8,6.3,0.198
"05/31/10","16:04:40",24.84,0.199,8.75,41,105.6,6.3,0.198
"05/31/10","16:08:40",24.95,0.199,8.78,41,106.2,6.3,0.198
"05/31/10","16:12:40",25.31,0.199,8.97,42,109.3,6.3,0.200
"05/31/10","16:16:40",24.86,0.199,8.82,41,106.5,6.3,0.199
"05/31/10","16:20:40",24.79,0.199,8.74,41,105.4,6.3,0.198
"05/31/10","16:24:40",24.80,0.199,8.78,41,105.9,6.3,0.198
"05/31/10","16:28:40",24.85,0.199,8.75,41,105.6,6.3,0.198
"05/31/10","16:32:40",24.82,0.199,8.79,41,106.1,6.3,0.198
"05/31/10","16:36:40",24.86,0.199,8.75,41,105.7,6.3,0.198
"05/31/10","16:40:40",24.87,0.199,8.78,41,106.0,6.3,0.198
"05/31/10","16:44:40",24.91,0.199,8.78,41,106.1,6.3,0.198
"05/31/10","16:48:40",24.95,0.199,8.87,41,107.3,6.3,0.198
"05/31/10","16:52:40",24.99,0.198,9.03,41,109.3,6.3,0.198
"05/31/10","16:56:40",25.05,0.198,9.10,41,110.3,6.3,0.198
"05/31/10","17:00:40",25.11,0.198,9.08,41,110.1,6.3,0.199
"05/31/10","17:04:40",25.13,0.198,9.09,41,110.3,6.3,0.199
"05/31/10","17:08:40",25.08,0.198,9.02,41,109.4,6.3,0.199
"05/31/10","17:12:40",25.11,0.198,9.05,41,109.8,6.3,0.199
"05/31/10","17:16:40",25.09,0.198,9.10,41,110.4,6.3,0.199
"05/31/10","17:20:40",25.18,0.199,9.08,42,110.3,6.3,0.199
"05/31/10","17:24:40",25.26,0.199,9.00,41,109.5,6.3,0.200
"05/31/10","17:28:40",25.31,0.199,8.99,41,109.5,6.3,0.200
"05/31/10","17:32:40",25.27,0.199,9.05,41,110.1,6.3,0.200
"05/31/10","17:36:40",25.40,0.199,9.08,41,110.7,6.3,0.200
"05/31/10","17:40:40",25.46,0.198,9.00,41,109.9,6.3,0.200
"05/31/10","17:44:40",25.39,0.199,8.96,41,109.3,6.3,0.200
"05/31/10","17:48:40",25.53,0.198,9.08,42,111.0,6.3,0.200
"05/31/10","17:52:40",25.59,0.198,9.18,42,112.3,6.3,0.200
"05/31/10","17:56:40",25.57,0.198,9.15,42,111.9,6.3,0.200
"05/31/10","18:00:40",25.52,0.198,9.04,41,110.5,6.3,0.200
"05/31/10","18:04:40",25.38,0.199,9.02,42,110.0,6.3,0.200
"05/31/10","18:08:40",25.43,0.199,9.14,42,111.5,6.3,0.200
"05/31/10","18:12:40",25.55,0.198,9.13,41,111.7,6.3,0.200
"05/31/10","18:16:40",25.53,0.198,9.21,42,112.7,6.3,0.200
"05/31/10","18:20:40",25.50,0.198,9.25,42,113.1,6.3,0.200
"05/31/10","18:24:40",25.48,0.198,9.27,42,113.2,6.3,0.200
"05/31/10","18:28:40",25.53,0.198,9.20,41,112.5,6.3,0.200
"05/31/10","18:32:40",25.56,0.198,9.25,42,113.2,6.3,0.200
"05/31/10","18:36:40",25.54,0.198,9.26,42,113.2,6.3,0.200
"05/31/10","18:40:40",25.48,0.198,9.27,42,113.2,6.3,0.200
"05/31/10","18:44:40",25.49,0.198,9.27,41,113.2,6.3,0.200
