"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"05/31/10","13:08:40",17.31,0.287,9.02,45,7.0,94.0
"05/31/10","13:12:40",17.30,0.286,9.13,45,7.0,95.1
"05/31/10","13:16:40",17.28,0.286,9.16,45,7.0,95.4
"05/31/10","13:20:40",17.27,0.288,9.09,45,7.0,94.6
"05/31/10","13:24:40",17.25,0.288,9.15,45,7.0,95.2
"05/31/10","13:28:40",17.23,0.286,9.09,45,7.0,94.5
"05/31/10","13:32:40",17.22,0.287,9.14,45,7.0,95.1
"05/31/10","13:36:40",17.20,0.287,9.16,45,7.0,95.3
"05/31/10","13:40:40",17.18,0.288,9.18,45,7.0,95.4
"05/31/10","13:44:40",17.16,0.288,9.18,45,7.0,95.4
"05/31/10","13:48:40",17.15,0.288,9.19,45,7.0,95.4
"05/31/10","13:52:40",17.13,0.288,9.11,45,7.0,94.6
"05/31/10","13:56:40",17.12,0.288,9.08,45,7.0,94.3
"05/31/10","14:00:40",17.10,0.288,9.06,45,6.9,94.1
"05/31/10","14:04:40",17.09,0.288,9.13,45,6.9,94.8
"05/31/10","14:08:40",17.07,0.288,9.16,45,7.0,95.0
"05/31/10","14:12:40",17.06,0.287,9.10,45,6.9,94.3
"05/31/10","14:16:40",17.04,0.287,9.16,45,6.9,94.9
"05/31/10","14:20:40",21.46,0.028,7.58,44,6.9,85.8
"05/31/10","14:24:40",21.17,0.029,7.52,44,6.9,84.6
"05/31/10","14:28:40",20.95,0.029,7.48,44,6.9,83.8
"05/31/10","14:32:40",20.90,0.020,7.58,44,6.9,84.8
"05/31/10","14:36:40",20.76,0.020,7.54,44,6.9,84.2
"05/31/10","14:40:40",20.84,0.032,7.77,45,6.9,86.9
"05/31/10","14:44:40",21.01,0.033,7.75,45,6.9,86.9
"05/31/10","14:48:40",13.15,0.217,12.01,47,6.9,114.4
"05/31/10","14:52:40",9.64,0.251,11.47,44,6.9,100.8
"05/31/10","14:56:40",9.53,0.252,10.66,43,6.9,93.4
"05/31/10","15:00:40",9.56,0.252,11.25,44,6.9,98.7
"05/31/10","15:04:40",9.47,0.253,10.50,44,6.9,91.9
"05/31/10","15:08:40",9.46,0.253,10.15,43,6.9,88.9
"05/31/10","15:12:40",9.77,0.251,12.51,45,6.9,110.3
"05/31/10","15:16:40",9.81,0.250,13.51,46,6.9,119.2
"05/31/10","15:20:40",9.78,0.250,13.15,46,6.9,116.0
"05/31/10","15:24:40",9.57,0.253,12.36,45,6.9,108.5
"05/31/10","15:28:40",9.71,0.251,11.71,45,6.9,103.1
"05/31/10","15:32:40",9.89,0.249,13.30,46,6.8,117.6
"05/31/10","15:36:40",9.78,0.250,13.75,46,6.8,121.3
"05/31/10","15:40:40",9.33,0.254,10.69,44,6.9,93.3
"05/31/10","15:44:40",9.66,0.252,11.16,44,6.8,98.1
"05/31/10","15:48:40",9.72,0.252,12.62,45,6.8,111.1
"05/31/10","15:52:40",9.56,0.253,10.93,44,6.7,95.9
"05/31/10","15:56:40",9.33,0.255,9.17,42,6.8,80.0
"05/31/10","16:00:40",9.05,0.257,7.67,41,6.8,66.5
"05/31/10","16:04:40",8.95,0.258,6.97,40,6.7,60.3
"05/31/10","16:08:40",9.10,0.257,7.97,41,6.7,69.1
"05/31/10","16:12:40",9.48,0.254,9.76,43,6.7,85.5
"05/31/10","16:16:40",9.67,0.253,11.63,44,6.7,102.3
"05/31/10","16:20:40",9.74,0.252,13.59,46,6.7,119.7
"05/31/10","16:24:40",9.78,0.251,13.44,46,6.7,118.5
"05/31/10","16:28:40",9.87,0.251,14.60,47,6.7,129.1
"05/31/10","16:32:40",9.71,0.252,14.07,46,6.7,123.9
"05/31/10","16:36:40",9.72,0.252,13.35,46,6.7,117.5
"05/31/10","16:40:40",9.79,0.251,13.57,46,6.7,119.7
"05/31/10","16:44:40",9.84,0.250,13.74,46,6.7,121.3
"05/31/10","16:48:40",9.52,0.253,12.63,45,6.8,110.7
"05/31/10","16:52:40",9.50,0.254,10.35,44,6.7,90.7
"05/31/10","16:56:40",9.30,0.255,10.07,43,6.7,87.8
"05/31/10","17:00:40",9.50,0.254,10.19,44,6.7,89.2
"05/31/10","17:04:40",9.26,0.255,9.30,42,6.7,81.0
"05/31/10","17:08:40",9.25,0.256,8.84,42,6.7,77.0
"05/31/10","17:12:40",9.42,0.255,9.86,43,6.7,86.2
"05/31/10","17:16:40",9.31,0.256,9.31,42,6.7,81.2
"05/31/10","17:20:40",9.27,0.256,8.62,42,6.7,75.1
"05/31/10","17:24:40",9.40,0.255,9.06,42,6.7,79.2
