"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"05/31/10","13:12:40",17.11,0.291,9.10,43,6.4,94.4
"05/31/10","13:16:40",17.09,0.291,9.13,43,6.3,94.7
"05/31/10","13:20:40",17.08,0.291,9.13,42,6.3,94.7
"05/31/10","13:24:40",17.06,0.291,9.14,43,6.3,94.8
"05/31/10","13:28:40",17.04,0.291,9.14,43,6.3,94.8
"05/31/10","13:32:40",17.02,0.291,9.19,43,6.3,95.2
"05/31/10","13:36:40",17.01,0.291,9.22,42,6.3,95.5
"05/31/10","13:40:40",16.99,0.291,9.18,43,6.3,95.1
"05/31/10","13:44:40",16.97,0.292,9.16,42,6.3,94.8
"05/31/10","13:48:40",16.95,0.292,9.21,42,6.3,95.3
"05/31/10","13:52:40",16.94,0.292,9.22,43,6.3,95.3
"05/31/10","13:56:40",16.92,0.292,9.21,42,6.3,95.2
"05/31/10","14:00:40",16.91,0.292,9.17,42,6.3,94.8
"05/31/10","14:04:40",16.89,0.292,9.14,42,6.3,94.5
"05/31/10","14:08:40",16.88,0.292,9.19,42,6.3,94.9
"05/31/10","14:12:40",16.86,0.292,9.17,42,6.3,94.7
"05/31/10","14:16:40",16.85,0.292,9.15,42,6.3,94.4
"05/31/10","14:20:40",23.02,0.011,7.35,42,6.3,85.7
"05/31/10","14:24:40",22.62,0.010,7.53,42,6.3,87.1
"05/31/10","14:28:40",22.31,0.009,7.58,42,6.3,87.2
"05/31/10","14:32:40",22.01,0.010,7.61,42,6.3,87.1
"05/31/10","14:36:40",21.71,0.012,7.64,42,6.3,86.9
"05/31/10","14:40:40",21.72,0.012,7.89,42,6.3,89.7
"05/31/10","14:44:40",21.92,0.012,7.94,42,6.3,90.7
"05/31/10","14:48:40",22.23,0.012,8.01,42,6.3,92.0
"05/31/10","14:52:40",22.66,0.012,7.99,43,6.3,92.6
"05/31/10","14:56:40",24.93,0.204,8.80,45,6.3,106.4
"05/31/10","15:00:40",24.98,0.204,8.84,45,6.3,107.0
"05/31/10","15:04:40",25.01,0.204,8.88,45,6.3,107.5
"05/31/10","15:08:40",25.04,0.204,8.87,45,6.3,107.5
"05/31/10","15:12:40",25.10,0.204,8.82,45,6.3,107.0
"05/31/10","15:16:40",25.09,0.204,8.84,45,6.3,107.2
