"Date","Time","Temp","SpCond","DO Conc","DO Charge","Battery","DO%"
"M/D/Y","hh:mm:ss","C","mS/cm","mg/L","","V","%"
"05/31/10","13:12:40",17.25,0.312,9.07,41,6.6,94.4
"05/31/10","13:16:40",17.23,0.311,9.17,41,6.6,95.4
"05/31/10","13:20:40",17.22,0.309,9.23,41,6.6,96.0
"05/31/10","13:24:40",17.20,0.309,9.24,41,6.6,96.0
"05/31/10","13:28:40",17.18,0.308,9.21,41,6.6,95.7
"05/31/10","13:32:40",17.17,0.308,9.28,41,6.6,96.5
"05/31/10","13:36:40",17.15,0.307,9.31,41,6.6,96.7
"05/31/10","13:40:40",17.13,0.306,9.33,41,6.6,96.8
"05/31/10","13:44:40",17.11,0.306,9.33,41,6.6,96.8
"05/31/10","13:48:40",17.10,0.306,9.32,41,6.6,96.7
"05/31/10","13:52:40",17.08,0.306,9.32,41,6.6,96.6
"05/31/10","13:56:40",17.07,0.306,9.31,40,6.6,96.6
"05/31/10","14:00:40",17.05,0.306,9.32,41,6.5,96.6
"05/31/10","14:04:40",17.04,0.306,9.31,41,6.5,96.5
"05/31/10","14:08:40",17.02,0.305,9.31,41,6.5,96.4
"05/31/10","14:12:40",17.01,0.305,9.32,41,6.5,96.5
"05/31/10","14:16:40",16.99,0.306,9.31,41,6.5,96.4
"05/31/10","14:20:40",23.39,0.045,7.52,41,6.4,88.3
"05/31/10","14:24:40",22.81,0.048,7.54,41,6.4,87.6
"05/31/10","14:28:40",22.42,0.048,7.55,40,6.5,87.0
"05/31/10","14:32:40",22.11,0.083,7.63,40,6.5,87.5
"05/31/10","14:36:40",21.81,0.082,7.63,41,6.5,87.0
"05/31/10","14:40:40",21.76,0.049,7.72,41,6.4,87.9
"05/31/10","14:44:40",21.84,0.049,7.69,41,6.4,87.7
"05/31/10","14:48:40",22.31,0.049,7.74,41,6.4,89.0
"05/31/10","14:52:40",16.16,0.002,9.75,41,6.4,99.1
"05/31/10","14:56:40",8.13,0.280,6.29,36,6.4,53.3
"05/31/10","15:00:40",7.97,0.280,4.13,33,6.4,34.9
"05/31/10","15:04:40",7.70,0.281,2.16,33,6.4,18.2
"05/31/10","15:08:40",7.62,0.281,1.43,32,6.5,12.0
"05/31/10","15:12:40",7.74,0.281,2.20,33,6.4,18.4
"05/31/10","15:16:40",7.55,0.282,1.38,32,6.4,11.5
"05/31/10","15:20:40",7.38,0.283,0.99,32,6.4,8.2
"05/31/10","15:24:40",7.28,0.283,0.70,30,6.4,5.8
"05/31/10","15:28:40",7.45,0.282,0.80,30,6.4,6.6
"05/31/10","15:32:40",7.45,0.283,0.93,32,6.4,7.7
"05/31/10","15:36:40",7.48,0.283,0.82,30,6.4,6.9
"05/31/10","15:40:40",7.45,0.283,0.76,32,6.4,6.3
"05/31/10","15:44:40",7.49,0.283,0.84,30,6.4,7.0
"05/31/10","15:48:40",7.32,0.284,0.70,30,6.4,5.8
"05/31/10","15:52:40",7.29,0.284,0.34,30,6.4,2.9
"05/31/10","15:56:40",7.31,0.283,0.55,30,6.4,4.6
"05/31/10","16:00:40",7.42,0.283,0.75,30,6.3,6.2
"05/31/10","16:04:40",7.62,0.282,0.94,30,6.3,7.9
"05/31/10","16:08:40",7.81,0.281,1.85,33,6.3,15.5
"05/31/10","16:12:40",7.99,0.280,3.30,33,6.3,27.9
"05/31/10","16:16:40",8.09,0.279,3.65,33,6.3,30.9
"05/31/10","16:20:40",7.91,0.280,3.07,33,6.3,25.9
"05/31/10","16:24:40",7.48,0.282,1.31,32,6.3,10.9
"05/31/10","16:28:40",7.34,0.282,0.99,32,6.3,8.3
"05/31/10","16:32:40",7.19,0.283,0.64,32,6.3,5.3
"05/31/10","16:36:40",7.18,0.285,0.25,30,6.3,2.1
"05/31/10","16:40:40",7.27,0.284,0.21,30,6.3,1.8
"05/31/10","16:44:40",7.35,0.282,0.51,30,6.3,4.2
"05/31/10","16:48:40",7.45,0.282,0.70,30,6.3,5.9
"05/31/10","16:52:40",7.62,0.282,1.01,30,6.3,8.5
"05/31/10","16:56:40",7.75,0.281,1.73,32,6.3,14.6
"05/31/10","17:00:40",7.76,0.281,2.44,33,6.3,20.5
"05/31/10","17:04:40",7.62,0.282,1.28,32,6.3,10.7
"05/31/10","17:08:40",7.44,0.283,0.95,32,6.3,7.9
"05/31/10","17:12:40",7.30,0.283,0.45,30,6.3,3.8
"05/31/10","17:16:40",7.24,0.283,0.35,30,6.3,2.9
"05/31/10","17:20:40",7.22,0.284,0.19,30,6.3,1.6
"05/31/10","17:24:40",7.29,0.283,0.30,30,6.3,2.5
"05/31/10","17:28:40",7.43,0.283,0.51,30,6.3,4.2
"05/31/10","17:32:40",7.68,0.282,0.76,32,6.3,6.3
"05/31/10","17:36:40",7.76,0.281,1.74,32,6.3,14.6
"05/31/10","17:40:40",7.72,0.281,1.98,33,6.3,16.6
"05/31/10","17:44:40",7.75,0.281,2.14,33,6.3,17.9
"05/31/10","17:48:40",7.63,0.281,1.41,32,6.3,11.8
"05/31/10","17:52:40",7.53,0.281,1.01,32,6.3,8.4
"05/31/10","17:56:40",7.48,0.281,0.89,32,6.3,7.4
"05/31/10","18:00:40",7.50,0.281,1.01,32,6.3,8.4
"05/31/10","18:04:40",7.61,0.282,1.02,32,6.3,8.5
"05/31/10","18:08:40",7.72,0.281,1.10,32,6.3,9.2
"05/31/10","18:12:40",7.87,0.280,1.77,32,6.3,14.9
"05/31/10","18:16:40",7.98,0.280,3.01,33,6.3,25.5
"05/31/10","18:20:40",7.84,0.281,2.80,33,6.3,23.6
"05/31/10","18:24:40",7.69,0.281,2.13,33,6.3,17.9
"05/31/10","18:28:40",7.60,0.281,1.40,32,6.3,11.7
"05/31/10","18:32:40",7.50,0.282,0.98,32,6.3,8.2
"05/31/10","18:36:40",7.43,0.282,0.79,32,6.3,6.6
"05/31/10","18:40:40",7.56,0.281,0.98,32,6.3,8.2
"05/31/10","18:44:40",7.59,0.281,1.14,32,6.3,9.6
"05/31/10","18:48:40",7.46,0.282,0.89,32,6.3,7.4
"05/31/10","18:52:40",7.24,0.283,0.55,32,6.3,4.5
"05/31/10","18:56:40",7.23,0.282,0.20,30,6.3,1.6
"05/31/10","19:00:40",7.28,0.282,0.12,30,6.3,1.0
"05/31/10","19:04:40",7.26,0.283,0.10,30,6.3,0.9
"05/31/10","19:08:40",7.33,0.282,0.36,30,6.3,3.0
"05/31/10","19:12:40",7.38,0.282,0.59,30,6.3,4.9
"05/31/10","19:16:40",7.33,0.281,0.59,30,6.3,4.9
"05/31/10","19:20:40",7.47,0.281,0.89,32,6.3,7.5
"05/31/10","19:24:40",7.75,0.281,1.59,32,6.3,13.4
"05/31/10","19:28:40",7.77,0.281,1.60,32,6.3,13.5
"05/31/10","19:32:40",7.75,0.281,2.12,32,6.3,17.8
"05/31/10","19:36:40",7.70,0.281,1.67,32,6.3,14.0
"05/31/10","19:40:40",7.64,0.281,1.30,32,6.3,10.9
"05/31/10","19:44:40",7.57,0.281,1.22,32,6.3,10.2
"05/31/10","19:48:40",7.45,0.282,1.19,32,6.3,9.9
"05/31/10","19:52:40",7.30,0.282,1.08,32,6.3,8.9
"05/31/10","19:56:40",7.29,0.282,0.46,30,6.3,3.9
"05/31/10","20:00:40",7.38,0.282,0.38,30,6.3,3.1
"05/31/10","20:04:40",7.54,0.281,0.76,32,6.3,6.4
"05/31/10","20:08:40",7.54,0.281,0.89,32,6.3,7.4
"05/31/10","20:12:40",7.48,0.282,0.87,32,6.3,7.3
"05/31/10","20:16:40",7.37,0.282,0.88,32,6.3,7.3
"05/31/10","20:20:40",7.51,0.281,0.71,30,6.3,6.0
"05/31/10","20:24:40",7.57,0.281,0.76,32,6.3,6.4
"05/31/10","20:28:40",7.40,0.282,0.83,32,6.3,6.9
"05/31/10","20:32:40",7.29,0.281,0.52,30,6.3,4.3
"05/31/10","20:36:40",7.30,0.281,0.22,30,6.3,1.8
"05/31/10","20:40:40",7.29,0.281,0.28,30,6.3,2.3
"05/31/10","20:44:40",7.30,0.281,0.24,30,6.3,2.0
"05/31/10","20:48:40",7.38,0.281,0.15,30,6.3,1.2
"05/31/10","20:52:40",7.51,0.281,0.18,30,6.3,1.5
"05/31/10","20:56:40",7.65,0.280,0.46,30,6.3,3.9
"05/31/10","21:00:40",7.71,0.280,0.81,32,6.3,6.8
"05/31/10","21:04:40",7.68,0.280,1.34,32,6.3,11.2
"05/31/10","21:08:40",7.59,0.281,1.46,32,6.3,12.2
"05/31/10","21:12:40",7.59,0.280,1.05,32,6.3,8.8
"05/31/10","21:16:40",7.57,0.280,0.95,32,6.3,7.9
