Date,Time,Temp,Battery,DO Conc,DO%
M/D/Y,hh:mm:ss,C,V,mg/L,%
08/13/09,14:30,16.86,6.3,8.26,85.2
08/13/09,14:40,16.73,6.3,8.3,85.4
08/13/09,14:50,16.58,6.3,9.09,93.3
08/13/09,15:00,19.2,6.3,8.11,87.8
08/13/09,15:10,19.82,6.3,8.11,88.9
08/13/09,15:20,20.95,6.3,8.33,93.3
08/13/09,15:30,21.35,6.3,8.43,95.2
08/13/09,15:40,11.8,6.3,17.24,159.3
08/13/09,15:50,11.43,6.3,16.78,153.8
08/13/09,16:00,11.14,6.3,15.38,140
08/13/09,16:10,10.94,6.3,13.41,121.6
08/13/09,16:20,11.15,6.3,16.48,150.1
08/13/09,16:30,11.15,6.3,16.53,150.5
08/13/09,16:40,11.88,6.3,18.08,167.4
08/13/09,16:50,11.61,6.3,18.6,171.2
08/13/09,17:00,11.62,6.3,18.81,173.2
08/13/09,17:10,11.44,6.3,17.95,164.5
08/13/09,17:20,11.17,6.3,15.23,138.7
08/13/09,17:30,11.19,6.3,17.07,155.6
08/13/09,17:40,11.09,6.3,15.21,138.3
08/13/09,17:50,11.43,6.3,17.66,161.9
08/13/09,18:00,11.68,6.3,17.91,165.1
08/13/09,18:10,11.71,6.3,18.02,166.2
08/13/09,18:20,11.44,6.3,17.97,164.7
08/13/09,18:30,11.24,6.3,17.34,158.2
08/13/09,18:40,11.06,6.3,17.24,156.7
08/13/09,18:50,11.17,6.3,17.37,158.2
08/13/09,19:00,11.25,6.3,18.14,165.6
08/13/09,19:10,11.28,6.3,18.53,169.3
08/13/09,19:20,11.52,6.3,19.07,175.1
08/13/09,19:30,11.66,6.3,19.98,184.1
08/13/09,19:40,11.24,6.3,19.07,174
08/13/09,19:50,10.99,6.3,16.57,150.3
08/13/09,20:00,11.38,6.3,18.69,171.1
08/13/09,20:10,11.48,6.3,19.11,175.4
08/13/09,20:20,11.31,6.3,18.43,168.4
08/13/09,20:30,11.34,6.3,18.59,170
08/13/09,20:40,11.54,6.3,19.07,175.2
08/13/09,20:50,11.46,6.3,18.9,173.3
08/13/09,21:00,11.16,6.3,16.88,153.7
08/13/09,21:10,11.12,6.2,15.37,139.8
08/13/09,21:20,11.3,6.3,16.37,149.5
08/13/09,21:30,11.5,6.2,18.19,167
08/13/09,21:40,11.7,6.2,19.48,179.6
08/13/09,21:50,11.49,6.2,19.27,176.8
08/13/09,22:00,11.22,6.2,18.59,169.6
08/13/09,22:10,11.31,6.2,18.34,167.7
08/13/09,22:20,11.23,6.2,17.84,162.7
08/13/09,22:30,11.28,6.2,17.91,163.5
08/13/09,22:40,11.3,6.2,18.06,165
08/13/09,22:50,11.35,6.2,18.24,166.9
08/13/09,23:00,11.37,6.2,18.48,169.1
08/13/09,23:10,11.33,6.2,18.46,168.8
08/13/09,23:20,11.23,6.2,18.14,165.5
08/13/09,23:30,11.22,6.2,17.84,162.7
08/13/09,23:40,11.25,6.2,18.23,166.4
08/13/09,23:50,11.29,6.2,18.38,167.9
08/14/09,0:00,11.3,6.2,18.39,168
08/14/09,0:10,11.31,6.2,18.25,166.8
08/14/09,0:20,11.38,6.2,18.42,168.6
08/14/09,0:30,11.39,6.2,18.7,171.2
08/14/09,0:40,11.39,6.2,18.59,170.2
08/14/09,0:50,11.24,6.2,17.99,164.2
08/14/09,1:00,11.2,6.2,17.57,160.2
08/14/09,1:10,11.35,6.2,17.9,163.7
08/14/09,1:20,11.38,6.2,18.36,168
08/14/09,1:30,11.39,6.2,18.51,169.5
08/14/09,1:40,11.32,6.2,18.47,168.8
08/14/09,1:50,11.29,6.2,18.03,164.7
08/14/09,2:00,11.19,6.2,17.51,159.6
08/14/09,2:10,11.23,6.2,17.27,157.5
08/14/09,2:20,11.33,6.2,17.58,160.7
08/14/09,2:30,11.38,6.1,17.86,163.5
08/14/09,2:40,11.28,6.2,17.67,161.4
08/14/09,2:50,11.24,6.2,17.46,159.3
08/14/09,3:00,11.31,6.1,17.72,161.9
08/14/09,3:10,11.31,6.2,17.72,161.9
08/14/09,3:20,11.3,6.1,17.51,160
08/14/09,3:30,11.29,6.2,17.66,161.3
08/14/09,3:40,11.3,6.1,17.64,161.2
08/14/09,3:50,11.36,6.1,17.92,164
