Date,Time,PAR,Temp,Wind Speed,Gust Speed,Wind Direction
5/14/09,4:05:00 PM,708.7,10.173,2.41,5.94,286.4
5/14/09,4:10:00 PM,441.2,10.663,1.86,3.9,220.4
5/14/09,4:15:00 PM,1553.7,10.712,2.78,5.57,248.5
5/14/09,4:20:00 PM,1356.2,11.029,1.86,4.08,289.2
5/14/09,4:25:00 PM,1298.7,11.321,2.04,4.08,251.3
5/14/09,4:30:00 PM,1281.2,11.88,1.11,4.45,241.5
5/14/09,4:35:00 PM,498.7,11.394,2.23,5.57,286.4
5/14/09,4:40:00 PM,1191.2,11.297,2.6,6.68,292
5/14/09,4:45:00 PM,1151.2,11.783,2.41,6.49,244.3
5/14/09,4:50:00 PM,1131.2,11.856,2.41,4.64,249.9
5/14/09,4:55:00 PM,1091.2,11.783,2.6,5.94,279.4
5/14/09,5:00:00 PM,1066.2,11.929,2.41,5.38,271
5/14/09,5:05:00 PM,1031.2,11.783,3.71,6.49,300.4
5/14/09,5:10:00 PM,1003.7,12.025,2.78,7.98,275.2
5/14/09,5:15:00 PM,968.7,12.485,1.86,4.27,259.7
5/14/09,5:20:00 PM,936.2,12.025,2.23,7.98,252.7
5/14/09,5:25:00 PM,908.7,12.654,2.23,4.64,254.1
5/14/09,5:30:00 PM,886.2,12.437,2.41,5.57,241.5
5/14/09,5:35:00 PM,856.2,12.34,1.67,3.34,278
5/14/09,5:40:00 PM,826.2,12.437,2.41,6.31,282.2
5/14/09,5:45:00 PM,796.2,12.268,2.6,6.31,279.4
5/14/09,5:50:00 PM,761.2,13.016,1.48,5.75,279.4
5/14/09,5:55:00 PM,698.7,12.606,2.23,5.01,300.4
5/14/09,6:00:00 PM,671.2,12.413,2.6,5.2,296.2
5/14/09,6:05:00 PM,668.7,12.896,1.67,3.9,262.5
5/14/09,6:10:00 PM,641.2,12.461,2.97,5.2,269.6
5/14/09,6:15:00 PM,611.2,13.209,1.3,3.71,268.1
5/14/09,6:20:00 PM,578.7,13.064,2.23,5.38,278
5/14/09,6:25:00 PM,548.7,13.209,2.04,5.01,279.4
5/14/09,6:30:00 PM,518.7,12.847,1.86,4.82,273.8
5/14/09,6:35:00 PM,483.7,13.57,1.48,3.9,271
5/14/09,6:40:00 PM,448.7,12.896,1.86,4.82,304.7
5/14/09,6:45:00 PM,411.2,13.088,1.67,3.15,304.7
5/14/09,6:50:00 PM,366.2,12.896,1.86,4.08,269.6
5/14/09,6:55:00 PM,368.7,13.353,1.11,3.34,294.8
5/14/09,7:00:00 PM,346.2,12.968,1.3,2.97,283.6
5/14/09,7:05:00 PM,318.7,13.04,1.3,2.97,322.9
5/14/09,7:10:00 PM,281.2,13.016,1.48,3.15,304.7
5/14/09,7:15:00 PM,243.7,12.823,1.48,3.15,294.8
5/14/09,7:20:00 PM,178.7,12.534,0.74,3.53,322.9
5/14/09,7:25:00 PM,128.7,11.297,1.86,3.34,355.2
5/14/09,7:30:00 PM,106.2,10.32,1.86,3.9,23.9
5/14/09,7:35:00 PM,101.2,9.928,1.48,3.53,35.1
5/14/09,7:40:00 PM,93.7,9.632,1.67,2.97,32.3
5/14/09,7:45:00 PM,81.2,9.386,1.11,2.6,23.9
5/14/09,7:50:00 PM,66.2,9.163,1.48,2.78,29.5
5/14/09,7:55:00 PM,53.7,8.866,1.3,2.41,33.7
5/14/09,8:00:00 PM,41.2,8.568,1.67,2.78,25.3
5/14/09,8:05:00 PM,31.2,8.369,1.86,2.97,25.3
5/14/09,8:10:00 PM,23.7,8.27,1.48,2.6,23.9
5/14/09,8:15:00 PM,16.2,8.045,1.11,3.15,26.7
5/14/09,8:20:00 PM,11.2,7.82,1.11,2.6,43.5
5/14/09,8:25:00 PM,6.2,7.645,0.74,1.48,14
5/14/09,8:30:00 PM,1.2,7.343,1.11,2.78,11.2
5/14/09,8:35:00 PM,1.2,7.091,0.74,2.04,7
5/14/09,8:40:00 PM,1.2,6.839,0.56,1.48,9.8
5/14/09,8:45:00 PM,1.2,6.611,0.37,1.11,9.8
5/14/09,8:50:00 PM,1.2,6.204,0.56,1.48,355.2
5/14/09,8:55:00 PM,1.2,5.949,0.56,1.11,339.7
5/14/09,9:00:00 PM,1.2,5.975,0.37,1.11,344
5/14/09,9:05:00 PM,1.2,6.179,1.11,2.41,12.6
5/14/09,9:10:00 PM,1.2,6.051,0.93,2.41,11.2
5/14/09,9:15:00 PM,1.2,6,0.74,1.48,16.8
5/14/09,9:20:00 PM,1.2,5.847,0.56,1.11,32.3
5/14/09,9:25:00 PM,1.2,5.642,1.48,3.15,26.7
5/14/09,9:30:00 PM,1.2,5.437,1.3,2.04,35.1
5/14/09,9:35:00 PM,1.2,5.179,1.67,2.78,44.9
5/14/09,9:40:00 PM,1.2,4.973,1.3,2.41,32.3
5/14/09,9:45:00 PM,1.2,4.844,1.11,2.23,50.5
5/14/09,9:50:00 PM,1.2,4.61,1.11,2.41,29.5
5/14/09,9:55:00 PM,1.2,4.532,0.93,1.67,25.3
5/14/09,10:00:00 PM,1.2,4.376,0.93,1.67,60.4
5/14/09,10:05:00 PM,1.2,4.194,1.11,1.86,47.7
5/14/09,10:10:00 PM,1.2,4.063,0.93,2.04,35.1
5/14/09,10:15:00 PM,1.2,3.985,0.93,2.23,25.3
5/14/09,10:20:00 PM,1.2,3.854,0.93,1.67,33.7
5/14/09,10:25:00 PM,1.2,3.67,0.93,2.23,30.9
5/14/09,10:30:00 PM,1.2,3.459,0.93,1.86,12.6
5/14/09,10:35:00 PM,1.2,3.195,0.74,1.48,9.8
5/14/09,10:40:00 PM,1.2,3.168,0.93,1.67,7
5/14/09,10:45:00 PM,1.2,3.38,0.37,0.93,37.9
5/14/09,10:50:00 PM,1.2,3.274,0.74,1.86,21.1
