"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/06/03,19:01:18,20.15,0.206,7.33,23,-28.3,91.2,8.26,5.0,1.2,13.5
2012/06/03,19:06:18,20.84,0.206,7.43,26,-24.0,91.6,8.18,6.2,1.5,13.4
2012/06/03,19:11:18,20.23,0.208,7.46,30,-27.8,92.0,8.32,6.3,1.5,13.4
2012/06/03,19:16:18,20.20,0.208,7.47,32,-28.0,91.0,8.24,5.5,1.3,13.4
2012/06/03,19:21:18,20.08,0.207,7.47,31,-28.7,91.4,8.30,5.5,1.3,13.6
2012/06/03,19:26:18,20.32,0.206,7.49,33,-27.2,90.6,8.18,5.9,1.4,13.2
2012/06/03,19:31:18,20.23,0.206,7.50,33,-27.8,91.4,8.27,6.0,1.4,13.3
2012/06/03,19:36:18,20.28,0.207,7.50,35,-27.5,90.9,8.22,5.9,1.4,13.4
2012/06/03,19:41:18,20.13,0.206,7.50,37,-28.4,91.0,8.25,6.2,1.5,13.4
2012/06/03,19:46:19,20.29,0.206,7.50,37,-27.4,91.5,8.27,6.4,1.5,13.3
2012/06/03,19:51:19,20.42,0.207,7.51,37,-26.6,91.0,8.20,4.9,1.2,13.2
2012/06/03,19:56:18,20.57,0.207,7.51,37,-25.7,91.8,8.25,4.5,1.1,13.2
2012/06/03,20:01:18,20.59,0.207,7.51,38,-25.5,92.3,8.29,5.3,1.3,13.2
2012/06/03,20:06:18,20.56,0.207,7.51,37,-25.7,91.9,8.26,6.4,1.5,13.2
2012/06/03,20:11:18,20.51,0.206,7.50,37,-26.1,92.2,8.30,5.3,1.3,13.2
2012/06/03,20:16:19,20.38,0.207,7.51,38,-26.9,92.0,8.30,5.9,1.4,13.3
2012/06/03,20:21:19,20.27,0.206,7.52,38,-27.5,91.9,8.31,5.8,1.4,13.3
2012/06/03,20:26:19,20.40,0.206,7.52,38,-26.7,92.5,8.34,5.5,1.3,13.3
2012/06/03,20:31:19,20.66,0.207,7.50,40,-25.1,92.3,8.28,4.7,1.1,13.3
2012/06/03,20:36:18,20.63,0.207,7.49,40,-25.3,92.2,8.27,5.1,1.2,13.2
2012/06/03,20:41:19,20.39,0.206,7.51,40,-26.8,91.4,8.24,5.7,1.4,13.3
2012/06/03,20:46:19,20.30,0.206,7.54,38,-27.4,90.4,8.17,6.4,1.5,13.2
2012/06/03,20:51:19,20.14,0.206,7.55,37,-28.4,90.6,8.21,5.4,1.3,13.2
2012/06/03,20:56:19,20.09,0.206,7.54,39,-28.7,90.4,8.20,6.1,1.5,13.3
2012/06/03,21:01:19,20.22,0.206,7.55,39,-27.9,90.2,8.17,5.0,1.2,13.1
