"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/05/03,21:31:18,17.70,0.174,7.61,61,-49.1,92.7,8.83,4.2,1.0,13.3
2012/05/03,21:36:18,17.80,0.173,7.68,62,-48.4,93.3,8.87,3.7,0.9,13.3
2012/05/03,21:41:18,18.34,0.173,7.75,65,-45.1,92.3,8.67,3.8,0.9,13.4
2012/05/03,21:46:18,17.32,0.174,7.64,62,-50.0,92.9,8.91,3.8,0.9,13.6
2012/05/03,21:51:18,17.08,0.175,7.69,63,-50.0,92.6,8.93,5.2,1.2,13.3
2012/05/03,21:56:18,18.17,0.173,7.78,69,-46.1,93.5,8.82,4.1,1.0,13.2
2012/05/03,22:01:18,17.64,0.174,7.66,70,-49.4,91.1,8.69,4.4,1.1,13.2
2012/05/03,22:06:18,16.49,0.175,7.64,63,-50.0,91.4,8.92,4.1,1.0,13.3
2012/05/03,22:11:18,16.17,0.174,7.67,64,-50.0,93.4,9.18,4.3,1.0,13.2
2012/05/03,22:16:19,16.16,0.174,7.68,64,-50.0,92.7,9.12,4.4,1.0,13.3
2012/05/03,22:21:19,16.89,0.173,7.66,70,-50.0,92.1,8.92,3.4,0.8,13.3
2012/05/03,22:26:19,17.13,0.174,7.64,72,-50.0,90.0,8.67,4.4,1.0,13.3
2012/05/03,22:31:18,17.60,0.174,7.65,75,-49.7,93.2,8.89,4.1,1.0,13.3
2012/05/03,22:36:19,17.40,0.174,7.64,74,-50.0,92.1,8.83,4.2,1.0,13.4
2012/05/03,22:41:19,17.01,0.174,7.59,73,-50.0,90.6,8.75,4.0,1.0,13.3
2012/05/03,22:46:19,17.01,0.174,7.61,74,-50.0,91.5,8.84,3.4,0.8,13.3
2012/05/03,22:51:19,17.66,0.174,7.74,77,-49.3,90.9,8.66,4.0,1.0,13.2
2012/05/03,22:56:19,17.62,0.174,7.81,79,-49.6,91.5,8.72,4.2,1.0,13.4
2012/05/03,23:01:19,17.92,0.173,7.80,82,-47.7,91.1,8.64,3.7,0.9,13.3
2012/05/03,23:06:19,18.00,0.173,7.80,83,-47.2,91.7,8.68,4.8,1.1,13.3
2012/05/03,23:11:19,18.06,0.174,7.82,83,-46.8,91.2,8.62,3.7,0.9,13.2
2012/05/03,23:16:19,18.00,0.174,7.80,85,-47.2,91.9,8.70,3.1,0.8,13.3
2012/05/03,23:21:19,18.04,0.173,7.83,84,-46.9,92.2,8.72,4.3,1.0,13.2
2012/05/03,23:26:19,17.26,0.175,7.68,80,-50.0,90.6,8.70,4.2,1.0,13.3
2012/05/03,23:31:19,17.11,0.174,7.66,80,-50.0,91.4,8.81,3.7,0.9,13.3
