"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/08/06,20:01:26,24.92,0.208,7.37,-63,17.2,82.1,6.79,4.5,1.1,13.5
2012/08/06,20:06:27,25.03,0.208,7.38,-73,17.9,82.1,6.77,4.7,1.1,13.4
2012/08/06,20:11:26,25.03,0.208,7.37,-78,17.9,82.4,6.80,4.7,1.1,13.5
2012/08/06,20:16:26,24.67,0.208,7.33,-80,15.6,79.6,6.61,5.2,1.2,13.4
2012/08/06,20:21:26,24.63,0.208,7.30,-81,15.4,80.0,6.65,5.3,1.3,13.7
2012/08/06,20:26:13,24.99,0.207,7.27,-81,17.6,81.1,6.70,5.0,1.2,13.5
2012/08/06,20:31:26,25.08,0.208,7.27,-85,18.2,82.1,6.77,4.1,1.0,13.5
2012/08/06,20:36:13,25.01,0.208,7.26,-86,17.8,81.7,6.74,4.5,1.1,13.6
2012/08/06,20:41:23,24.68,0.208,7.25,-88,15.7,79.6,6.62,5.2,1.2,13.4
2012/08/06,20:46:13,24.71,0.208,7.24,-88,15.9,79.3,6.59,5.0,1.2,13.5
2012/08/06,20:51:25,24.79,0.207,7.24,-88,16.4,80.0,6.63,6.9,1.6,13.4
2012/08/06,20:56:26,24.77,0.208,7.24,-92,16.2,80.0,6.63,5.8,1.4,13.5
2012/08/06,21:01:13,24.70,0.208,7.23,-89,15.8,79.3,6.59,8.1,1.9,13.4
2012/08/06,21:06:13,24.63,0.208,7.22,-89,15.4,79.3,6.60,5.2,1.2,13.5
2012/08/06,21:11:13,24.56,0.208,7.20,-88,15.0,79.3,6.60,6.4,1.5,13.4
2012/08/06,21:16:13,24.51,0.208,7.20,-88,14.7,79.1,6.59,5.7,1.4,13.4
2012/08/06,21:21:13,24.84,0.207,7.21,-88,16.7,79.3,6.57,5.1,1.2,13.4
2012/08/06,21:26:13,24.76,0.208,7.29,-91,16.2,78.7,6.53,5.7,1.4,13.5
2012/08/06,21:31:13,24.75,0.207,7.25,-88,16.1,79.8,6.62,5.6,1.3,13.4
2012/08/06,21:36:13,24.83,0.208,7.30,-88,16.6,79.6,6.59,7.1,1.7,13.4
2012/08/06,21:41:13,24.98,0.208,7.25,-88,17.6,80.4,6.64,5.5,1.3,13.3
2012/08/06,21:46:13,25.03,0.208,7.33,-89,17.8,82.1,6.78,5.3,1.3,13.4
2012/08/06,21:51:13,24.85,0.208,7.24,-89,16.8,79.9,6.61,6.2,1.5,13.4
2012/08/06,21:56:13,24.67,0.209,7.23,-88,15.6,79.1,6.57,6.1,1.4,13.4
2012/08/06,22:01:13,24.54,0.208,7.22,-88,14.8,78.4,6.53,6.0,1.4,13.4
