"==========","========","=====","======","=====","========","======","======","======","=====","=====","======="
"      Date","    Time"," Temp","SpCond","   pH","  BGA-PC","BGA-PC","ODOsat","   ODO","  Chl","  Chl","Battery"
"     y/m/d","hh:mm:ss","    C"," mS/cm","     ","cells/mL","   RFU","     %","  mg/L"," ug/L","  RFU","  volts"
"----------","--------","-----","------","-----","--------","------","------","------","-----","-----","-------"
2012/05/03,21:31:16,8.24,0.190,7.35,-5142,-1.3,50.7,5.97,5.7,1.4,13.9
2012/05/03,21:36:15,8.21,0.190,7.48,-5108,-1.3,53.2,6.27,5.8,1.4,13.8
2012/05/03,21:41:15,8.14,0.191,7.50,-5443,-1.4,52.0,6.13,6.1,1.5,13.8
2012/05/03,21:46:16,8.01,0.194,7.50,-6017,-1.7,44.2,5.23,6.1,1.5,13.8
2012/05/03,21:51:15,7.89,0.198,7.47,-6615,-2.0,40.8,4.84,6.8,1.6,13.7
2012/05/03,21:56:16,8.08,0.194,7.52,-6062,-1.7,47.4,5.60,6.1,1.5,13.8
2012/05/03,22:01:16,8.02,0.194,7.55,-6480,-1.9,48.9,5.78,6.9,1.7,13.8
2012/05/03,22:06:15,8.19,0.190,7.59,-5503,-1.5,54.1,6.38,5.0,1.2,13.8
2012/05/03,22:11:16,8.16,0.189,7.58,-5462,-1.5,53.5,6.31,5.1,1.2,13.9
2012/05/03,22:16:16,8.27,0.188,7.61,-5094,-1.3,58.3,6.86,5.3,1.3,13.8
2012/05/03,22:21:15,8.29,0.188,7.61,-5126,-1.3,59.7,7.01,6.0,1.4,13.8
2012/05/03,22:26:16,8.07,0.192,7.55,-6378,-1.9,52.6,6.22,6.2,1.5,13.9
2012/05/03,22:31:16,7.79,0.203,7.43,-7525,-2.4,36.3,4.32,7.1,1.7,13.8
2012/05/03,22:36:16,8.05,0.194,7.49,-6153,-1.8,47.8,5.65,5.6,1.4,13.8
2012/05/03,22:41:16,7.97,0.195,7.46,-6548,-2.0,47.1,5.58,6.2,1.5,13.8
2012/05/03,22:46:16,8.01,0.195,7.44,-6273,-1.8,49.3,5.83,6.2,1.5,13.8
2012/05/03,22:51:16,8.00,0.195,7.45,-6404,-1.9,47.7,5.65,6.0,1.5,13.8
2012/05/03,22:56:17,7.90,0.196,7.42,-6787,-2.1,47.1,5.59,5.7,1.4,14.0
2012/05/03,23:01:17,7.91,0.197,7.40,-6799,-2.1,44.4,5.27,5.7,1.4,14.0
2012/05/03,23:06:16,7.94,0.196,7.41,-6495,-1.9,45.4,5.38,5.9,1.4,13.7
2012/05/03,23:11:16,8.01,0.192,7.43,-6082,-1.7,46.5,5.50,5.2,1.3,13.7
2012/05/03,23:16:16,8.07,0.191,7.42,-5890,-1.7,43.7,5.16,5.9,1.4,13.8
2012/05/03,23:21:17,8.04,0.193,7.35,-6231,-1.8,32.4,3.83,5.3,1.3,14.0
2012/05/03,23:26:16,7.59,0.209,7.23,-9398,-3.3,18.7,2.23,7.2,1.7,13.6
