Year,Date,Depth_ID,Depth,Chla
2010,2010-05-19,1,0,7.471400779
2010,2010-05-19,2,0.75,6.62548625
2010,2010-05-19,3,1.5,5.521238542
2010,2010-05-19,M,2.5,8.003263208
2010,2010-05-19,4,2.9,9.925630825
2010,2010-05-19,5,3.6,29.07179302
2010,2010-05-19,6,4.4,61.87247739
2010,2010-05-26,1,0,6.96993049
2010,2010-05-26,2,0.8,7.537250413
2010,2010-05-26,3,1.4,6.655878389
2010,2010-05-26,M,2,7.708635415
2010,2010-05-26,4,2.8,12.44771735
2010,2010-05-26,5,3.7,62.65005635
2010,2010-05-26,6,4.5,126.4355615
2010,2010-06-02,1,0,7.354897581
2010,2010-06-02,2,0.7,7.415681858
2010,2010-06-02,3,1.4,7.511923631
2010,2010-06-02,4,2.7,7.278917234
2010,2010-06-02,5,3.7,14.86132703
2010,2010-06-02,M,4,83.55567216
2010,2010-06-02,6,4.6,83.95641879
2010,2010-06-09,1,0,6.205061664
2010,2010-06-09,2,0.75,6.1544081
2010,2010-06-09,3,1.3,6.210127021
2010,2010-06-09,4,2.9,7.142152609
2010,2010-06-09,5,3.6,29.49214077
2010,2010-06-09,M,4,231.230805
2010,2010-06-09,6,4.5,126.2351882
2010,2010-06-16,1,0,9.234090972
2010,2010-06-16,2,0.45,9.213751565
2010,2010-06-16,3,0.95,9.213751565
2010,2010-06-16,4,2.1,9.254430379
2010,2010-06-16,5,3.1,10.9629406
2010,2010-06-16,M,4,125.6340682
2010,2010-06-16,6,4.2,181.1374763
2010,2010-06-23,1,0,8.990018083
2010,2010-06-23,2,0.6,8.583229934
2010,2010-06-23,3,1.2,8.827302823
2010,2010-06-23,4,2.3,8.684926971
2010,2010-06-23,5,3.3,8.46119349
2010,2010-06-23,M,4,22.04791765
2010,2010-06-23,6,4.3,38.17111642
2010,2010-06-30,1,0,6.301303437
2010,2010-06-30,2,0.45,6.868623361
2010,2010-06-30,3,0.95,6.929407638
2010,2010-06-30,4,1.6,10.88158297
2010,2010-06-30,5,2.4,17.63426624
2010,2010-06-30,6,3.8,62.81703411
2010,2010-06-30,M,4,45.47891501
2010,2010-07-07,1,0,7.566259563
2010,2010-07-07,2,0.5,7.301847266
2010,2010-07-07,3,1.1,6.833165865
2010,2010-07-07,4,1.9,8.745945194
2010,2010-07-07,5,2.6,16.31220476
2010,2010-07-07,M,4,15.70202253
2010,2010-07-07,6,4.2,42.47914268
2010,2010-07-14,1,0,5.977120623
2010,2010-07-14,2,0.55,6.174669525
2010,2010-07-14,3,1.2,5.921401702
2010,2010-07-14,4,2.2,12.16296564
2010,2010-07-14,M,2.5,9.925630825
2010,2010-07-14,5,3,13.36299068
2010,2010-07-14,6,4.4,44.18231586
2010,2010-07-21,1,0,7.240829044
2010,2010-07-21,2,0.55,7.078113785
2010,2010-07-21,3,1,7.1187926
2010,2010-07-21,4,1.9,8.908660453
2010,2010-07-21,M,2.5,15.47828905
2010,2010-07-21,5,2.6,15.31557379
2010,2010-07-21,6,3.8,72.23457989
2010,2010-07-28,1,0,8.013726526
2010,2010-07-28,2,0.45,7.444223118
2010,2010-07-28,3,0.9,8.135762971
2010,2010-07-28,4,1.9,9.457824454
2010,2010-07-28,M,2.5,23.47167617
2010,2010-07-28,5,2.6,14.37996105
2010,2010-07-28,6,3.9,36.96887653
2010,2010-08-04,1,0,8.542551119
2010,2010-08-04,2,0.4,8.135762971
2010,2010-08-04,3,0.85,8.562890527
2010,2010-08-04,4,1.5,9.254430379
2010,2010-08-04,M,2.5,21.43773543
2010,2010-08-04,5,2.6,10.45445542
2010,2010-08-04,6,3.7,33.47866463
2010,2010-08-11,1,0,10.53581305
2010,2010-08-11,2,0.4,10.02732786
2010,2010-08-11,3,0.9,10.06800668
2010,2010-08-11,4,1.5,10.55615245
2010,2010-08-11,5,2.3,18.6105578
2010,2010-08-11,M,2.5,20.13601335
2010,2010-08-11,6,3.6,52.09706178
2010,2010-08-18,1,0,12.85450549
2010,2010-08-18,2,0.45,12.89518431
2010,2010-08-18,3,0.9,13.09857838
2010,2010-08-18,4,1.6,12.91552372
2010,2010-08-18,5,2.3,14.33928224
2010,2010-08-18,M,2.5,13.87147587
2010,2010-08-18,6,3.7,53.7000483
2010,2010-08-25,1,0,16.25118653
2010,2010-08-25,2,0.4,16.06813187
2010,2010-08-25,3,0.75,16.19016831
2010,2010-08-25,4,1.4,15.94609542
2010,2010-08-25,5,2,17.5325692
2010,2010-08-25,M,3,54.50154155
2010,2010-08-25,6,3.4,56.20471473
2012,2012-04-14,1,0,32.46587
2012,2012-04-14,2,0.25,32.60847
2012,2012-04-14,3,0.5,32.79861
2012,2012-04-14,4,0.95,32.37080
2012,2012-04-14,5,1.5,34.08203
2012,2012-04-14,6,2.3,39.35833
