Lake,Habitat,Year,Date,DOM
Ward,Hypo,2010,2010-05-19,6.29
Ward,Hypo,2010,2010-05-26,6.65
Ward,Hypo,2010,2010-06-02,6.12
Ward,Hypo,2010,2010-06-09,6.22
Ward,Hypo,2010,2010-06-16,5.96
Ward,Hypo,2010,2010-06-23,7.4
Ward,Hypo,2010,2010-06-30,6.75
Ward,Hypo,2010,2010-07-07,7.04
Ward,Hypo,2010,2010-07-14,6.01
Ward,Hypo,2010,2010-07-21,7.13
Ward,Hypo,2010,2010-07-28,7.27
Ward,Hypo,2010,2010-08-04,5.86
Ward,Hypo,2010,2010-08-11,6.49
Ward,Hypo,2010,2010-08-18,8.28
Ward,Hypo,2010,2010-08-25,8.25
Ward,Hypo,2012,2012-04-14,8.163
Ward,Hypo,2012,2012-04-19,7.864
Ward,Hypo,2012,2012-04-26,13.317
Ward,Hypo,2012,2012-05-03,8.108
Ward,Hypo,2012,2012-05-10,8.688
Ward,Hypo,2012,2012-05-17,8.247
Ward,Hypo,2012,2012-05-24,7.634
Ward,Hypo,2012,2012-05-31,7.334
Ward,Hypo,2012,2012-06-07,7.92
Ward,Hypo,2012,2012-06-14,NA
Ward,Hypo,2012,2012-06-21,7.716
Ward,Hypo,2012,2012-06-28,8.282
Ward,Hypo,2012,2012-07-05,7.451
Ward,Hypo,2012,2012-07-12,7.921
Ward,Hypo,2012,2012-07-19,9.282
Ward,Hypo,2012,2012-07-26,8.114
Ward,Hypo,2012,2012-08-02,7.82
Ward,Hypo,2012,2012-08-09,8.701
Ward,Hypo,2012,2012-08-16,8.751
Ward,Hypo,2012,2012-08-23,7.896
Ward,Hypo,2012,2012-08-28,7.749
Ward,Meta,2010,2010-05-19,7.44
Ward,Meta,2010,2010-05-26,7.3
Ward,Meta,2010,2010-06-02,5.72
Ward,Meta,2010,2010-06-09,5.23
Ward,Meta,2010,2010-06-16,5.79
Ward,Meta,2010,2010-06-23,7.49
Ward,Meta,2010,2010-06-30,6.46
Ward,Meta,2010,2010-07-07,8.38
Ward,Meta,2010,2010-07-14,8.92
Ward,Meta,2010,2010-07-21,7.77
Ward,Meta,2010,2010-07-28,7.01
Ward,Meta,2010,2010-08-04,7.72
Ward,Meta,2010,2010-08-11,8.8
Ward,Meta,2010,2010-08-18,9.71
Ward,Meta,2010,2010-08-25,7.21
Ward,Meta,2012,2012-04-14,8.105
Ward,Meta,2012,2012-04-19,8.368
Ward,Meta,2012,2012-04-26,14.022
Ward,Meta,2012,2012-05-03,8.477
Ward,Meta,2012,2012-05-10,9.075
Ward,Meta,2012,2012-05-17,9.535
Ward,Meta,2012,2012-05-24,8.414
Ward,Meta,2012,2012-05-31,8.772
Ward,Meta,2012,2012-06-07,9.526
Ward,Meta,2012,2012-06-14,9.998
Ward,Meta,2012,2012-06-21,9.429
Ward,Meta,2012,2012-06-28,10.342
Ward,Meta,2012,2012-07-05,10.438
Ward,Meta,2012,2012-07-12,10.609
Ward,Meta,2012,2012-07-19,12.195
Ward,Meta,2012,2012-07-26,10.487
Ward,Meta,2012,2012-08-02,10.036
Ward,Meta,2012,2012-08-09,10.143
Ward,Meta,2012,2012-08-16,9.566
Ward,Meta,2012,2012-08-23,9.589
Ward,Meta,2012,2012-08-28,9.418
Ward,Epi,2010,2010-05-19,7.99
Ward,Epi,2010,2010-05-26,7.05
Ward,Epi,2010,2010-06-02,7.29
Ward,Epi,2010,2010-06-09,7.05
Ward,Epi,2010,2010-06-16,7.32
Ward,Epi,2010,2010-06-23,7.84
Ward,Epi,2010,2010-06-30,9.04
Ward,Epi,2010,2010-07-07,9.13
Ward,Epi,2010,2010-07-14,15.09
Ward,Epi,2010,2010-07-21,11.71
Ward,Epi,2010,2010-07-28,9.26
Ward,Epi,2010,2010-08-04,10.04
Ward,Epi,2010,2010-08-11,10.33
Ward,Epi,2010,2010-08-18,9.58
Ward,Epi,2010,2010-08-25,15.45
Ward,Epi,2012,2012-04-14,8.515
Ward,Epi,2012,2012-04-19,8.263
Ward,Epi,2012,2012-04-26,14.304
Ward,Epi,2012,2012-05-03,8.694
Ward,Epi,2012,2012-05-10,9.117
Ward,Epi,2012,2012-05-17,10.296
Ward,Epi,2012,2012-05-24,9.421
Ward,Epi,2012,2012-05-31,9.517
Ward,Epi,2012,2012-06-07,9.93
Ward,Epi,2012,2012-06-14,9.526
Ward,Epi,2012,2012-06-21,10.466
Ward,Epi,2012,2012-06-28,11.213
Ward,Epi,2012,2012-07-05,11.697
Ward,Epi,2012,2012-07-12,11.407
Ward,Epi,2012,2012-07-19,14.574
Ward,Epi,2012,2012-07-26,11.008
Ward,Epi,2012,2012-08-02,10.677
Ward,Epi,2012,2012-08-09,10.301
Ward,Epi,2012,2012-08-16,10.082
Ward,Epi,2012,2012-08-23,10.254
Ward,Epi,2012,2012-08-28,9.603
