Year,Date,DoY,Depth,PercSurf
2010,2010-05-19,139,0,1
2010,2010-05-19,139,0.25,0.472796636
2010,2010-05-19,139,0.5,0.619489403
2010,2010-05-19,139,0.75,0.499861457
2010,2010-05-19,139,1,0.377244552
2010,2010-05-19,139,1.5,0.260946959
2010,2010-05-19,139,2,0.187366149
2010,2010-05-19,139,2.5,0.125309622
2010,2010-05-19,139,3,0.089506873
2010,2010-05-19,139,3.5,0.057779128
2010,2010-05-19,139,4,0.020775186
2010,2010-05-19,139,4.5,0.005813711
2010,2010-05-19,139,5,0.000110254
2010,2010-05-19,139,5.5,-1.39E-05
2010,2010-05-19,139,6,-3.39E-05
2010,2010-05-26,146,0,1
2010,2010-05-26,146,0.25,0.718467254
2010,2010-05-26,146,0.5,0.598910234
2010,2010-05-26,146,0.75,0.53378378
2010,2010-05-26,146,1,0.318134699
2010,2010-05-26,146,1.5,0.240609462
2010,2010-05-26,146,2,0.173173963
2010,2010-05-26,146,2.5,0.1296492
2010,2010-05-26,146,3,0.086957612
2010,2010-05-26,146,3.5,0.061863285
2010,2010-05-26,146,4,0.031841756
2010,2010-05-26,146,4.5,0.008896614
2010,2010-05-26,146,5,0.000308051
2010,2010-05-26,146,5.5,0
2010,2010-05-26,146,6,0
2010,2010-06-02,153,0,1
2010,2010-06-02,153,0.25,0.743856909
2010,2010-06-02,153,0.5,0.583204241
2010,2010-06-02,153,0.75,0.475673332
2010,2010-06-02,153,1,0.355060517
2010,2010-06-02,153,1.5,0.234146537
2010,2010-06-02,153,2,0.162139175
2010,2010-06-02,153,2.5,0.115166325
2010,2010-06-02,153,3,0.083106654
2010,2010-06-02,153,3.5,0.060420466
2010,2010-06-02,153,4,0.036428465
2010,2010-06-02,153,4.5,0.010913948
2010,2010-06-02,153,5,0.001671416
2010,2010-06-02,153,5.5,0
2010,2010-06-02,153,6,0
2010,2010-06-09,160,0,1
2010,2010-06-09,160,0.25,0.759796357
2010,2010-06-09,160,0.5,0.780198764
2010,2010-06-09,160,0.75,0.513551666
2010,2010-06-09,160,1,0.356194809
2010,2010-06-09,160,1.5,0.197528056
2010,2010-06-09,160,2,0.19632838
2010,2010-06-09,160,2.5,0.128231991
2010,2010-06-09,160,3,0.087795945
2010,2010-06-09,160,3.5,0.058368893
2010,2010-06-09,160,4,0.026565721
2010,2010-06-09,160,4.5,0.008206715
2010,2010-06-09,160,5,0.000337684
2010,2010-06-09,160,5.5,7.24E-06
2010,2010-06-09,160,6,0
2010,2010-06-16,167,0,1
2010,2010-06-16,167,0.25,0.609320291
2010,2010-06-16,167,0.5,0.451809813
2010,2010-06-16,167,0.75,0.341246673
2010,2010-06-16,167,1,0.234299583
2010,2010-06-16,167,1.5,0.15488873
2010,2010-06-16,167,2,0.103684298
2010,2010-06-16,167,2.5,0.074004439
2010,2010-06-16,167,3,0.052514155
2010,2010-06-16,167,3.5,0.0375998
2010,2010-06-16,167,4,0.015598381
2010,2010-06-16,167,4.5,0.003804485
2010,2010-06-16,167,5,0.000206155
2010,2010-06-23,174,0,1
2010,2010-06-23,174,0.25,0.697081882
2010,2010-06-23,174,0.5,0.549593496
2010,2010-06-23,174,0.75,0.406504065
2010,2010-06-23,174,1,0.281183623
2010,2010-06-23,174,1.5,0.178861789
2010,2010-06-23,174,2,0.121594637
2010,2010-06-23,174,2.5,0.084764935
2010,2010-06-23,174,3,0.061823966
2010,2010-06-23,174,3.5,0.038424969
2010,2010-06-23,174,4,0.019586105
2010,2010-06-23,174,4.5,0.005226576
2010,2010-06-23,174,5,0.000243572
2010,2010-06-30,181,0,1
2010,2010-06-30,181,0.25,0.700623311
2010,2010-06-30,181,0.5,0.460365993
2010,2010-06-30,181,0.75,0.342307858
2010,2010-06-30,181,1,0.219762868
2010,2010-06-30,181,1.5,0.116738089
2010,2010-06-30,181,2,0.067670901
2010,2010-06-30,181,2.5,0.042464592
2010,2010-06-30,181,3,0.027271073
2010,2010-06-30,181,3.5,0.015186239
2010,2010-06-30,181,4,0.006442769
2010,2010-06-30,181,4.5,0.001663268
2010,2010-06-30,181,5,3.59E-05
2010,2010-07-07,188,0,1
2010,2010-07-07,188,0.25,0.734425655
2010,2010-07-07,188,0.5,0.490106269
2010,2010-07-07,188,0.75,0.419066984
2010,2010-07-07,188,1,0.265059247
2010,2010-07-07,188,1.5,0.157212812
2010,2010-07-07,188,2,0.090774546
2010,2010-07-07,188,2.5,0.054797681
2010,2010-07-07,188,3.5,0.022003314
2010,2010-07-07,188,4,0.013060198
2010,2010-07-07,188,4.5,0.004300141
2010,2010-07-07,188,5,0.000129048
2010,2010-07-14,195,0,1
2010,2010-07-14,195,0.25,0.761420605
2010,2010-07-14,195,0.5,0.54699996
2010,2010-07-14,195,0.75,0.38836355
2010,2010-07-14,195,1,0.287849664
2010,2010-07-14,195,1.5,0.179666105
2010,2010-07-14,195,2,0.117549914
2010,2010-07-14,195,2.5,0.078868561
2010,2010-07-14,195,3,0.051556048
2010,2010-07-14,195,3.5,0.033366043
2010,2010-07-14,195,4,0.020079982
2010,2010-07-14,195,4.5,0.006348034
2010,2010-07-14,195,5,0.000490922
2010,2010-07-14,195,5.5,0
2010,2010-07-21,202,0,1
2010,2010-07-21,202,0.25,0.719810005
2010,2010-07-21,202,0.5,0.539083236
2010,2010-07-21,202,0.75,0.403036212
2010,2010-07-21,202,1,0.261515426
2010,2010-07-21,202,1.5,0.133553335
2010,2010-07-21,202,2,0.090274057
2010,2010-07-21,202,2.5,0.056966492
