"datetime" "wtr" "SpCond" "pH" "DOsat" "do.obs" "Chl_conc" "z.mix" "irr" "wnd" "do.sat" "k600.cole" "k.gas"
2012-05-03 00:00:00 15.5 0.014 6.54 95.7 9.55 1 2.65323165471336 0 0 9.4254722046423 0.4968 0.470638100688945
2012-05-03 00:05:00 15.47 0.014 6.55 96 9.58 0.7 2.65323165471336 0 0 9.43114204424636 0.4968 0.470266425503798
2012-05-03 00:10:00 15.52 0.014 6.56 96.1 9.58 3 2.65323165471336 0 0 9.42169812230146 0.4968 0.470885973173544
2012-05-03 00:15:00 15.44 0.015 6.56 96.5 9.64 1.8 2.65323165471336 0 0 9.43682235857739 0.4968 0.469894910935942
2012-05-03 00:20:00 15.37 0.014 6.57 96.1 9.61 1.5 2.65323165471336 0 0 9.45011725809485 0.4968 0.469028670556604
2012-05-03 00:25:00 15.34 0.014 6.58 96 9.61 0.7 2.65323165471336 0 0 9.45583261391865 0.4968 0.468657694367305
2012-05-03 00:30:00 15.38 0.014 6.6 96.1 9.62 0.6 2.65323165471336 0 0 9.44821448097508 0.4968 0.469152365306074
2012-05-03 00:35:00 15.37 0.014 6.61 96 9.6 0.5 2.65323165471336 0 0 9.45011725809485 0.4968 0.469028670556604
2012-05-03 00:40:00 15.5 0.014 6.62 96.4 9.62 2.4 2.65323165471336 0 0 9.4254722046423 0.4968 0.470638100688945
2012-05-03 00:45:00 15.52 0.014 6.62 96.3 9.6 2 2.65323165471336 0 0 9.42169812230146 0.4968 0.470885973173544
2012-05-03 00:50:00 15.53 0.014 6.62 97 9.67 1.6 2.65323165471336 0 0 9.41981282242594 0.4968 0.471009936078327
2012-05-03 00:55:00 15.44 0.014 6.62 96.3 9.62 1.5 2.65323165471336 0 0 9.43682235857739 0.4968 0.469894910935942
2012-05-03 01:00:00 15.45 0.014 6.62 96.1 9.6 3 2.65323165471336 0 0 9.43492775553655 0.4968 0.47001873125335
2012-05-03 01:05:00 15.47 0.014 6.62 95.9 9.57 1.3 2.65323165471336 0 0 9.43114204424636 0.4968 0.470266425503798
2012-05-03 01:10:00 15.45 0.014 6.62 96 9.59 1.1 2.65323165471336 0 0 9.43492775553655 0.4968 0.47001873125335
2012-05-03 01:15:00 15.45 0.014 6.62 95.4 9.53 1.9 2.65323165471336 0 0 9.43492775553655 0.4968 0.47001873125335
2012-05-03 01:20:00 15.49 0.014 6.62 95.4 9.52 0.9 2.65323165471336 0 0 9.42736098838957 0.4968 0.470514191139702
2012-05-03 01:25:00 15.45 0.014 6.62 95.4 9.52 1.4 2.65323165471336 0 0 9.43492775553655 0.4968 0.47001873125335
2012-05-03 01:30:00 15.43 0.014 6.62 95.6 9.55 1.3 2.65323165471336 0 0 9.43871812740743 0.4968 0.469771108510831
2012-05-03 01:35:00 15.5 0.014 6.62 95.8 9.56 1.4 2.65323165471336 0 0 9.4254722046423 0.4968 0.470638100688945
2012-05-03 01:40:00 15.6 0.014 6.61 95.8 9.54 1.5 2.65323165471336 0 0 9.40664816776889 0.4968 0.471878172685944
2012-05-03 01:45:00 15.52 0.014 6.62 96.3 9.6 1.3 2.65323165471336 0 0 9.42169812230146 0.4968 0.470885973173544
2012-05-03 01:50:00 15.37 0.014 6.62 95.6 9.57 1.6 2.65323165471336 0 0 9.45011725809485 0.4968 0.469028670556604
2012-05-03 01:55:00 15.32 0.014 6.61 95.3 9.55 0.7 2.65323165471336 0 0 9.45964871134181 0.4968 0.468410467110542
2012-05-03 02:00:00 15.25 0.014 6.6 95.5 9.58 1.1 2.65323165471336 0 0 9.4730420535657 0.4968 0.467545741924953
2012-05-03 02:05:00 15.18 0.014 6.6 95.3 9.58 2.7 2.65323165471336 0.0820833333334733 0.112169786666858 9.48649312383613 0.498051522671325 0.467857557892496
2012-05-03 02:10:00 15.13 0.014 6.6 95.9 9.64 1.2 2.65323165471336 0.164166666666611 0.224339573333257 9.49613649937243 0.500866209155497 0.469880084623801
2012-05-03 02:15:00 15.13 0.014 6.6 95.9 9.64 2.2 2.65323165471336 0.246250000000084 0.336509360000115 9.49613649937243 0.504901116063309 0.473665371721704
2012-05-03 02:20:00 15.13 0.015 6.6 96 9.65 0.7 2.65323165471336 0.328333333333557 0.448679146666973 9.49613649937243 0.510011152522575 0.478459275403007
2012-05-03 02:25:00 15.3 0.014 6.61 96.2 9.64 3.1 2.65323165471336 0.410416666666695 0.560848933333372 9.46346950299445 0.516105796704177 0.486356278602378
2012-05-03 02:30:00 15.32 0.014 6.61 97.3 9.74 1 2.65323165471336 0.492499999999832 0.67301871999977 9.45964871134181 0.523120603742302 0.493226985414816
2012-05-03 02:35:00 15.42 0.014 6.62 96.6 9.65 1.5 2.65323165471336 0.574583333333305 0.785188506666629 9.44061506267131 0.531006243997764 0.501984020767518
2012-05-03 02:40:00 15.36 0.014 6.62 96.2 9.63 1.8 2.65323165471336 0.656666666666779 0.897358293333486 9.45202120552656 0.53972316118032 0.509418046599477
2012-05-03 02:45:00 15.5 0.014 6.63 96.3 9.61 1.1 2.65323165471336 0.738749999999916 1.00952807999988 9.4254722046423 0.549238587789893 0.520315229030825
2012-05-03 02:50:00 15.35 0.014 6.63 95.9 9.59 5.9 2.65323165471336 0.820833333333389 1.12169786666674 9.45392632391831 0.559524718546137 0.527968487451231
2012-05-03 02:55:00 15.26 0.014 6.62 95.8 9.61 1.2 2.65323165471336 0.902916666666527 1.23386765333314 9.47112518982118 0.570557516657143 0.537101828883344
2012-05-03 03:00:00 15.33 0.014 6.62 95.5 9.56 1.1 2.65323165471336 0.985 1.34603744 9.45774007617663 0.582315893852959 0.549184454040759
2012-05-03 03:05:00 15.21 0.014 6.62 95.5 9.59 2 2.65323165471336 0.902916666666527 1.32051890666662 9.48072129630046 0.579578120580189 0.544873445819138
2012-05-03 03:10:00 15.19 0.014 6.62 95.9 9.63 3 2.65323165471336 0.820833333333389 1.29500037333335 9.48456799949014 0.576877133934287 0.542047663595483
2012-05-03 03:15:00 15.29 0.014 6.62 96.3 9.65 1.2 2.65323165471336 0.738750000000252 1.26948184000008 9.46538166078347 0.574213149918628 0.540971388750874
2012-05-03 03:20:00 15.55 0.014 6.63 97.4 9.7 0.2 2.65323165471336 0.656666666666779 1.2439633066667 9.41604570206344 0.571586390142891 0.542199296576315
2012-05-03 03:25:00 15.6 0.014 6.62 98.2 9.77 1.4 2.65323165471336 0.574583333333305 1.21844477333332 9.40664816776889 0.568997082085793 0.540453509175279
2012-05-03 03:30:00 15.37 0.014 6.62 98 9.81 2.1 2.65323165471336 0.492500000000168 1.19292624000005 9.45011725809485 0.566445459375808 0.534780919391828
2012-05-03 03:35:00 15.36 0.014 6.62 97.1 9.72 1.3 2.65323165471336 0.410416666666695 1.16740770666668 9.45202120552656 0.563931762091557 0.532267349861059
2012-05-03 03:40:00 15.28 0.014 6.62 96.2 9.64 0.7 2.65323165471336 0.328333333333557 1.1418891733334 9.46729499408284 0.56145623708382 0.528813376735553
2012-05-03 03:45:00 15.26 0.014 6.62 96.3 9.66 1 2.65323165471336 0.246250000000084 1.11637064000003 9.47112518982118 0.559019138320954 0.526240024550234
2012-05-03 03:50:00 15.31 0.014 6.62 96.7 9.68 1.5 2.65323165471336 0.164166666666611 1.09085210666665 9.46155852006424 0.556620727260344 0.524674283494288
2012-05-03 03:55:00 15.18 0.014 6.63 96.2 9.67 3.1 2.65323165471336 0.0820833333334734 1.06533357333338 9.48649312383613 0.554261273248193 0.520659638475622
2012-05-03 04:00:00 15.28 0.014 6.63 96.1 9.64 1.1 2.65323165471336 3.35953487251572e-13 1.0398150400001 9.46729499408284 0.551941053950685 0.519851402870902
2012-05-03 04:05:00 15.17 0.014 6.64 96.5 9.69 0.8 2.65323165471336 0.0684166666665267 0.953163786666844 9.48841943089204 0.544359196565903 0.511222728538428
