"datetime" "wtr_0.5" "wtr_1.0" "wtr_1.5" "wtr_2.0" "wtr_2.5" "wtr_3.0" "wtr_3.5" "wtr_4.0" "wtr_4.5" "wtr_5.0" "z.mix"
2012-05-03 14:20:00 24.94 24.92 24.93 24.9 24.93 24.73 25.05 25.24 NA 25.23 2.65323165471336
2012-05-03 14:25:00 25.01 24.92 24.93 24.9 24.99 24.73 25.11 25.17 NA 25.23 2.25
2012-05-03 14:30:00 25.01 24.85 24.93 24.9 24.93 24.66 25.11 25.11 NA 25.23 2.25
2012-05-03 14:35:00 24.88 24.79 24.93 24.83 24.86 24.6 25.05 25.05 NA 25.23 2.25
2012-05-03 14:40:00 24.81 24.73 24.86 24.83 24.86 24.54 25.05 24.92 NA 25.17 2.25
2012-05-03 14:45:00 24.75 24.73 24.86 24.77 24.8 24.54 24.99 24.92 NA 25.1 2.25
2012-05-03 14:50:00 24.69 24.67 24.8 24.71 24.8 24.48 24.99 24.8 NA 25.1 2.25
2012-05-03 14:55:00 24.69 24.6 24.8 24.65 24.74 24.41 24.93 24.8 NA 25.04 2.25
2012-05-03 15:00:00 24.63 24.6 24.73 24.65 24.68 24.41 24.86 24.74 NA 24.98 2.25
2012-05-03 15:05:00 24.56 24.54 24.67 24.58 24.68 24.35 24.86 24.67 NA 24.98 2.25
2012-05-03 15:10:00 24.56 24.54 24.67 24.58 24.61 24.35 24.86 24.67 NA 24.92 2.63652540164139
2012-05-03 15:15:00 24.5 24.49 24.67 24.52 24.55 24.29 24.8 24.61 NA 24.92 2.63652447896845
2012-05-03 15:20:00 24.5 24.49 24.67 24.52 24.55 24.29 24.8 24.61 NA 24.85 2.63652447896845
2012-05-03 15:25:00 24.5 24.43 24.6 24.46 24.55 24.23 24.74 24.55 NA 24.85 2.25
2012-05-03 15:30:00 24.44 24.43 24.6 24.46 24.49 24.23 24.74 24.55 NA 24.79 2.6365235505411
2012-05-03 15:35:00 24.44 24.36 24.6 24.46 24.49 24.23 24.74 24.49 NA 24.79 3.81839304121586
2012-05-03 15:40:00 24.38 24.36 24.54 24.46 24.49 24.23 24.74 24.49 NA 24.79 3.81839304121586
2012-05-03 15:45:00 24.38 24.36 24.54 24.4 24.49 24.23 24.74 24.49 NA 24.73 3.82799310559064
2012-05-03 15:50:00 24.38 24.36 24.54 24.4 24.43 24.16 24.68 24.49 NA 24.73 2.25
2012-05-03 15:55:00 24.38 24.36 24.54 24.4 24.43 24.16 24.68 24.49 NA 24.73 2.25
2012-05-03 16:00:00 24.38 24.3 24.54 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 16:05:00 24.31 24.36 24.54 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 16:10:00 24.31 24.36 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 16:15:00 24.31 24.3 24.48 24.33 24.43 24.1 24.61 24.42 NA 24.67 2.25
2012-05-03 16:20:00 24.31 24.3 24.48 24.33 24.36 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 16:25:00 24.31 24.3 24.48 24.33 24.43 24.16 24.61 24.42 NA 24.67 2.25
2012-05-03 16:30:00 24.31 24.3 24.48 24.33 24.36 24.16 24.61 24.42 NA 24.67 2.63040214662439
2012-05-03 16:35:00 24.31 24.3 24.48 24.33 24.43 24.16 24.68 24.42 NA 24.59 3.83231116225604
2012-05-03 16:40:00 24.31 24.3 24.48 24.33 24.36 24.16 24.61 24.42 NA 24.59 2.63040214662439
2012-05-03 16:45:00 24.31 24.3 24.48 24.33 24.36 24.1 24.61 24.42 NA 24.67 2.63652151895939
2012-05-03 16:50:00 24.31 24.3 24.48 24.33 24.43 24.16 24.61 24.42 NA 24.67 2.25
2012-05-03 16:55:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:00:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:05:00 24.31 24.3 24.48 24.33 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:10:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:15:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:20:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:25:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:30:00 24.31 24.3 24.48 24.33 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:35:00 24.31 24.3 24.48 24.33 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:40:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:45:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 17:50:00 24.31 24.3 24.48 24.4 24.43 24.16 24.61 24.42 NA 24.59 2.25
2012-05-03 17:55:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 18:00:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.42 NA 24.67 3.81987454104238
2012-05-03 18:05:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.67 2.25
2012-05-03 18:10:00 24.31 24.3 24.48 24.4 24.43 24.16 24.61 24.42 NA 24.59 2.25
2012-05-03 18:15:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.67 2.25
2012-05-03 18:20:00 24.31 24.3 24.48 24.4 24.43 24.16 24.61 24.49 NA 24.67 2.25
2012-05-03 18:25:00 24.31 24.3 24.48 24.4 24.43 24.16 24.61 24.49 NA 24.67 2.25
2012-05-03 18:30:00 24.31 24.3 24.48 24.4 24.43 24.16 24.61 24.49 NA 24.67 2.25
2012-05-03 18:35:00 24.31 24.3 24.48 24.33 24.43 24.16 24.61 24.42 NA 24.67 2.25
2012-05-03 18:40:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.67 2.25
2012-05-03 18:45:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.59 2.25
2012-05-03 18:50:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.67 2.25
2012-05-03 18:55:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.67 2.25
2012-05-03 19:00:00 24.31 24.3 24.48 24.4 24.43 24.23 24.61 24.42 NA 24.67 2.64178925834274
2012-05-03 19:05:00 24.31 24.3 24.48 24.4 24.43 24.23 24.68 24.42 NA 24.67 3.80372498930005
2012-05-03 19:10:00 24.31 24.3 24.48 24.4 24.43 24.16 24.61 24.42 NA 24.67 2.25
2012-05-03 19:15:00 24.31 24.3 24.48 24.4 24.43 24.16 24.68 24.49 NA 24.59 2.25
2012-05-03 19:20:00 24.31 24.3 24.48 24.4 24.43 24.23 24.68 24.49 NA 24.59 2.6304032776105
2012-05-03 19:25:00 24.38 24.3 24.48 24.4 24.43 24.23 24.68 24.49 NA 24.67 2.6304032776105
2012-05-03 19:30:00 24.38 24.3 24.54 24.46 24.49 24.23 24.74 24.49 NA 24.67 3.83767918405449
2012-05-03 19:35:00 24.38 24.36 24.48 24.46 24.49 24.23 24.74 24.49 NA 24.67 3.83767918405449
2012-05-03 19:40:00 24.38 24.36 24.54 24.46 24.49 24.29 24.74 24.49 NA 24.67 3.82478659207476
2012-05-03 19:45:00 24.44 24.36 24.6 24.52 24.49 24.29 24.8 24.55 NA 24.73 3.83730637991621
2012-05-03 19:50:00 24.44 24.49 24.67 24.52 24.55 24.35 24.86 24.61 NA 24.73 3.84668085985091
2012-05-03 19:55:00 24.5 24.54 24.73 24.65 24.55 24.48 24.93 24.74 NA 24.79 3.87397478726914
2012-05-03 20:00:00 24.5 24.6 24.8 24.71 24.61 24.54 24.93 24.8 NA 24.79 3.90280714243213
2012-05-03 20:05:00 24.56 24.67 24.8 24.77 24.61 24.66 24.99 24.86 NA 24.79 2.19113813425565
2012-05-03 20:10:00 24.56 24.67 24.86 24.83 24.68 24.66 24.99 24.92 NA 24.79 2.23983384088357
2012-05-03 20:15:00 24.56 24.67 24.86 24.83 24.68 24.73 24.99 24.92 NA 24.85 2.18745692638075
2012-05-03 20:20:00 24.63 24.73 24.86 24.9 24.74 24.79 24.99 24.99 NA 24.85 2.24402104197487
2012-05-03 20:25:00 24.63 24.79 24.93 24.9 24.74 24.85 25.05 24.99 NA 24.85 2.16245273267971
2012-05-03 20:30:00 24.63 24.79 24.93 24.96 24.74 24.85 24.99 24.99 NA 24.85 1.75
2012-05-03 20:35:00 24.63 24.85 24.93 24.96 24.74 24.85 25.05 25.05 NA 24.85 1.75
2012-05-03 20:40:00 24.69 24.85 24.93 24.96 24.74 24.91 24.99 25.05 NA 24.85 2.19541284544513
2012-05-03 20:45:00 24.69 24.92 24.93 24.96 24.74 24.91 25.05 24.99 NA 24.85 2.19541284544513
2012-05-03 20:50:00 24.69 24.92 24.99 24.96 24.8 24.98 25.05 24.99 NA 24.85 2.13819713504075
2012-05-03 20:55:00 24.69 24.98 24.99 25.02 24.8 24.98 25.05 24.99 NA 24.92 2.19239875649538
2012-05-03 21:00:00 24.69 24.98 24.99 25.02 24.8 24.98 25.05 24.99 NA 24.92 2.19239875649538
2012-05-03 21:05:00 24.69 24.98 25.05 25.02 24.8 24.98 25.05 24.99 NA 24.92 2.16097423916119
2012-05-03 21:10:00 24.69 25.04 24.99 25.02 24.8 24.98 25.05 24.99 NA 24.92 2.19239875649538
2012-05-03 21:15:00 24.69 25.04 24.99 25.08 24.8 24.98 25.05 25.05 NA 24.92 1.75
2012-05-03 21:20:00 24.75 25.04 24.99 25.02 24.8 25.04 25.05 25.05 NA 24.92 2.17608364474092
2012-05-03 21:25:00 24.75 25.04 24.99 25.02 24.8 25.04 25.05 25.11 NA 24.92 2.17608364474092
