year	doy	datetime	airTemp	RH	wnd	irr	baro
2010	1	2010-01-01 00:00:00	-11.5	87.1	1.05412032	0	959.5050982
2010	1	2010-01-01 01:00:00	-11.7	86.4	1.3210032	0	959.5050982
2010	1	2010-01-01 02:00:00	-11.87	85.6	0.82747104	0	960.7609949
2010	1	2010-01-01 03:00:00	-11.87	84.8	1.80067712	0	960.7609949
2010	1	2010-01-01 04:00:00	-11.97	86.4	1.38761216	0	960.7609949
2010	1	2010-01-01 05:00:00	-12.43	86.8	1.42739872	0	962.0168917
2010	1	2010-01-01 06:00:00	-12.39	87.5	1.54765248	0	962.0168917
2010	1	2010-01-01 07:00:00	-12.36	87.5	1.24098304	0	962.0168917
2010	1	2010-01-01 08:00:00	-12.26	86.7	1.6406368	2.625	963.2727884
2010	1	2010-01-01 09:00:00	-11.6	84.4	1.88069728	20.93	963.2727884
2010	1	2010-01-01 10:00:00	-10.55	78.8	1.82749952	48.94	963.2727884
2010	1	2010-01-01 11:00:00	-10.51	74	3.6925504	75.9	963.2727884
2010	1	2010-01-01 12:00:00	-11.01	81.3	2.21374208	51.66	963.2727884
2010	1	2010-01-01 13:00:00	-10.12	70.3	1.25439424	108.1	963.2727884
2010	1	2010-01-01 14:00:00	-12.72	80	4.2111168	64.23	963.2727884
2010	1	2010-01-01 15:00:00	-13.55	71.8	3.6523168	32.25	964.5286851
2010	1	2010-01-01 16:00:00	-14.47	80.8	2.4006048	11.1	964.5286851
2010	1	2010-01-01 17:00:00	-15.53	80.1	2.14713312	0.199	964.5286851
2010	1	2010-01-01 18:00:00	-16.48	83.2	1.61426144	0	964.5286851
2010	1	2010-01-01 19:00:00	-17.24	84.7	1.34737856	0	965.7845818
2010	1	2010-01-01 20:00:00	-18.82	84.7	0.9343136	0	965.7845818
2010	1	2010-01-01 21:00:00	-18.88	86.1	1.49400768	0	965.7845818
2010	1	2010-01-01 22:00:00	-17.53	84.2	1.58743904	0	965.7845818
2010	1	2010-01-01 23:00:00	-17.8	83.1	1.50741888	0	965.7845818
2010	2	2010-01-02 00:00:00	-19.08	82.8	0.5878576	0	965.7845818
