"datetime" "do.obs" "do.sat" "wtr" "z.mix" "baro" "z1perc" "irr" "wnd" "top" "k600.cole" "k.gas"
2010-05-17 19:00:00 10.03 9.29228450447352 16.49 0.75 964.999991873434 4.4 138.7 1.18393660745817 NA 0.565555598251139 0.549835259187387
2010-05-17 19:05:00 10.2098579279381 9.28871573649226 16.51 0.75 964.999991873434 4.4 123.7 1.18393660745817 NA 0.565555598251139 0.550121277182384
2010-05-17 19:10:00 10.2097157960747 9.29049956753999 16.5 0.75 964.999991873434 4.4 116.2 1.41308562825653 NA 0.589682974884423 0.573441084898199
2010-05-17 19:15:00 10.0794355152692 9.23221349564007 16.83 0.75 964.999991873434 4.4 113.7 0.471028542752177 NA 0.511149275820669 0.501344822640375
2010-05-17 19:20:00 10.0093050282489 9.10745141241413 17.56 0.75 964.999991873434 4.4 118.7 1.18393660745817 NA 0.565555598251139 0.565238341692164
2010-05-17 19:25:00 10.0891550417224 9.21478559401663 16.93 0.75 964.999991873434 4.4 106.2 1.18393660745817 NA 0.565555598251139 0.556144593758657
2010-05-17 19:30:00 10.0790162712128 9.19746575207676 17.03 0.75 964.999991873434 4.4 96.2 0.712908064705997 NA 0.525827303824376 0.518415132003627
2010-05-17 19:35:00 10.1087248405786 9.26562629720124 16.64 0.75 964.999991873434 4.4 88.7 1.41308562825653 NA 0.589682974884423 0.575530513499827
2010-05-17 19:40:00 10.1285887881731 9.23221349564007 16.83 0.75 964.999991873434 4.4 81.2 1.65496515021035 NA 0.618304049294615 0.60644423966706
2010-05-17 19:45:00 10.0284534953181 9.20092110342661 17.01 0.75 964.999991873434 4.4 73.7 2.12599369296253 NA 0.682796620666215 0.672824187954754
2010-05-17 19:50:00 10.1383206169034 9.1631479454041 17.23 0.75 964.999991873434 4.4 66.2 1.88411417100871 NA 0.648271863673885 0.642438263996342
2010-05-17 19:55:00 9.98802057560124 9.24799147815678 16.74 0.75 964.999991873434 4.4 56.2 1.65496515021035 NA 0.618304049294615 0.605031974253785
2010-05-17 20:00:00 9.92787473429763 9.26562629720124 16.64 0.75 964.999991873434 4.4 48.7 0.942057085504353 NA 0.543420934685262 0.530378767756123
2010-05-17 20:05:00 9.8977254112296 9.29407054789088 16.48 0.75 964.999991873434 4.4 38.7 1.18393660745817 NA 0.565555598251139 0.549692278053458
2010-05-17 20:10:00 9.83758731362635 9.2798131486416 16.56 0.75 964.999991873434 4.4 31.2 1.65496515021035 NA 0.618304049294615 0.602212284824549
2010-05-17 20:15:00 10.1473237396102 9.21652351194259 16.92 0.75 964.999991873434 4.4 21.2 1.18393660745817 NA 0.565555598251139 0.556000810377121
2010-05-17 20:20:00 10.2871811166473 9.22174375507144 16.89 0.75 964.999991873434 4.4 16.2 0.942057085504353 NA 0.543420934685262 0.533825736426105
2010-05-17 20:25:00 10.1870339722791 9.23921504297591 16.79 0.75 964.999991873434 4.4 8.7 0.942057085504353 NA 0.543420934685262 0.532445642986235
2010-05-17 20:30:00 10.0668862128744 9.25679520505802 16.69 0.75 964.999991873434 4.4 6.2 0.712908064705997 NA 0.525827303824376 0.513873615316081
2010-05-17 20:35:00 10.0366010022613 9.26209057179797 16.66 0.75 964.999991873434 4.4 1.2 0.471028542752177 NA 0.511149275820669 0.499140635704615
2010-05-17 20:40:00 10.0464593773555 9.26209057179797 16.66 0.75 964.999991873434 4.4 1.2 1.18393660745817 NA 0.565555598251139 0.552268768030919
2010-05-17 20:45:00 10.0163415720123 9.20784472246234 16.97 0.75 964.999991873434 4.4 1.2 0.712908064705997 NA 0.525827303824376 0.517612287799307
2010-05-17 20:50:00 10.3261833386884 9.2462340101308 16.75 0.75 964.999991873434 4.4 1.2 0.712908064705997 NA 0.525827303824376 0.51467365030113
2010-05-17 20:55:00 10.0558781756324 9.29228450447352 16.49 0.75 964.999991873434 4.4 1.2 0.942057085504353 NA 0.543420934685262 0.528315856821988
2010-05-17 21:00:00 10.0357476830148 9.269166412848 16.62 0.75 964.999991873434 4.4 1.2 0.712908064705997 NA 0.525827303824376 0.512941013680595
