"datetime" "wtr_0.5" "wtr_1" "wtr_1.5" "wtr_2" "wtr_2.5" "wtr_3" "wtr_3.5" "wtr_4" "wtr_4.5" "wtr_5" "wtr_5.5" "z.mix"
2010-06-21 07:10:00 20.055 19.674 20.984 21.437 22.058 22.25 20.484 21.509 20.984 21.7 21.27 4.19372237486658
2010-06-21 07:15:00 22.034 21.963 21.342 20.055 19.246 17.058 15.031 13.088 11.37 9.485 8.543 0.888217142991314
2010-06-21 07:20:00 22.011 21.772 20.579 18.961 17.439 15.366 13.112 11.297 9.485 8.02 7.192 0.5
2010-06-21 07:25:00 22.011 21.748 20.436 18.866 17.391 15.294 13.016 11.2 9.262 7.895 7.015 0.5
2010-06-21 07:30:00 22.011 21.724 20.436 18.889 17.368 15.223 12.944 11.102 9.213 7.945 6.965 0.5
2010-06-21 07:35:00 22.034 21.7 20.388 18.913 17.32 15.223 12.944 11.053 9.188 7.895 6.914 0.5
2010-06-21 07:40:00 22.034 21.724 20.341 18.937 17.344 15.175 12.968 11.102 9.139 7.845 6.864 0.5
2010-06-21 07:45:00 22.058 21.7 20.341 18.961 17.296 15.175 13.016 11.127 9.139 7.795 6.864 0.5
2010-06-21 07:50:00 22.058 21.724 20.341 18.961 17.249 15.175 13.04 11.127 9.089 7.77 6.839 0.5
2010-06-21 07:55:00 22.058 21.748 20.365 18.985 17.225 15.175 13.137 11.175 9.015 7.745 6.813 0.5
2010-06-21 08:00:00 22.058 21.748 20.341 18.985 17.225 15.175 13.185 11.151 8.99 7.745 6.813 0.5
2010-06-21 08:05:00 22.058 21.748 20.365 18.961 17.225 15.175 13.209 11.151 8.965 7.695 6.813 0.5
2010-06-21 08:10:00 22.082 21.772 20.388 18.937 17.249 15.199 13.233 11.102 8.99 7.67 6.839 0.5
2010-06-21 08:15:00 22.082 21.772 20.412 18.961 17.249 15.199 13.233 11.029 8.99 7.695 6.839 0.5
2010-06-21 08:20:00 22.082 21.795 20.436 18.913 17.272 15.223 13.209 11.029 9.015 7.72 6.889 0.5
2010-06-21 08:25:00 22.082 21.819 20.436 18.913 17.225 15.223 13.209 11.005 9.064 7.745 6.889 0.5
2010-06-21 08:30:00 22.082 21.843 20.436 18.937 17.201 15.223 13.185 10.98 9.064 7.745 6.889 0.5
2010-06-21 08:35:00 22.058 21.867 20.46 18.961 17.201 15.294 13.112 11.005 9.163 7.745 6.889 0.775775351315727
2010-06-21 08:40:00 22.058 21.891 20.436 18.961 17.201 15.294 13.064 10.98 9.213 7.745 6.889 0.796436896229613
2010-06-21 08:45:00 22.058 21.915 20.436 18.937 17.296 15.294 13.016 11.005 9.188 7.795 6.889 0.814658903527881
2010-06-21 08:50:00 22.058 21.915 20.436 18.985 17.272 15.27 13.04 10.98 9.188 7.795 6.889 0.816967771644655
2010-06-21 08:55:00 22.082 21.939 20.436 18.985 17.272 15.294 13.088 10.932 9.213 7.795 6.813 0.816844586051003
2010-06-21 09:00:00 22.106 21.939 20.412 18.985 17.296 15.294 13.161 11.005 9.213 7.77 6.788 0.797927418815129
2010-06-21 09:05:00 22.13 21.963 20.412 19.008 17.296 15.294 13.185 11.005 9.213 7.745 6.763 0.798643614691221
2010-06-21 09:10:00 22.13 21.987 20.412 18.961 17.32 15.294 13.185 11.005 9.213 7.72 6.737 0.816692074608868
2010-06-21 09:15:00 22.178 22.011 20.436 18.961 17.32 15.223 13.161 11.053 9.312 7.67 6.712 0.795699774060612
2010-06-21 09:20:00 22.178 22.034 20.484 18.961 17.296 15.175 13.137 11.078 9.336 7.645 6.712 0.812033544658352
2010-06-21 09:25:00 22.202 22.034 20.507 18.985 17.344 15.151 13.064 11.078 9.336 7.645 6.712 0.815432718366977
2010-06-21 09:30:00 22.226 22.058 20.531 18.985 17.344 15.127 13.088 11.127 9.361 7.645 6.712 0.815215256175127
2010-06-21 09:35:00 22.274 22.082 20.507 18.961 17.368 15.175 13.04 11.127 9.287 7.695 6.737 0.786083420210866
2010-06-21 09:40:00 22.298 22.058 20.531 18.961 17.344 15.199 13.112 11.102 9.262 7.695 6.763 0.5
2010-06-21 09:45:00 22.298 22.082 20.531 18.985 17.368 15.175 13.088 11.127 9.238 7.745 6.788 0.753434871391693
2010-06-21 09:50:00 22.321 22.082 20.531 19.056 17.344 15.27 13.137 11.102 9.188 7.77 6.839 0.5
2010-06-21 09:55:00 22.345 22.058 20.627 18.985 17.296 15.247 13.185 11.102 9.015 7.72 6.914 0.5
2010-06-21 10:00:00 22.369 22.082 20.627 18.937 17.272 15.294 13.257 11.005 8.941 7.72 6.94 0.5
2010-06-21 10:05:00 22.393 22.034 20.65 18.937 17.296 15.342 13.305 11.005 8.891 7.745 6.965 0.5
2010-06-21 10:10:00 22.393 21.963 20.627 18.913 17.344 15.342 13.233 11.005 8.891 7.77 6.99 0.5
2010-06-21 10:15:00 22.441 22.011 20.722 18.961 17.415 15.27 13.209 10.956 8.941 7.795 7.041 0.5
2010-06-21 10:20:00 22.465 21.987 20.722 19.008 17.415 15.199 13.185 10.956 8.965 7.795 6.99 0.5
2010-06-21 10:25:00 22.513 22.011 20.698 19.056 17.415 15.103 13.137 11.053 9.064 7.795 6.965 0.5
2010-06-21 10:30:00 22.537 21.963 20.746 19.056 17.439 15.079 13.209 11.102 9.089 7.795 6.94 0.5
2010-06-21 10:35:00 22.609 22.034 20.722 19.008 17.368 15.199 13.305 11.053 9.089 7.82 6.889 0.5
2010-06-21 10:40:00 22.705 22.034 20.674 19.032 17.296 15.27 13.257 11.053 9.139 7.795 6.864 0.5
2010-06-21 10:45:00 22.729 21.963 20.698 19.103 17.344 15.27 13.185 11.053 9.262 7.795 6.839 0.5
2010-06-21 10:50:00 22.681 21.915 20.698 19.127 17.344 15.247 13.088 11.127 9.262 7.745 6.813 0.5
2010-06-21 10:55:00 22.681 22.011 20.746 19.127 17.391 15.223 13.064 11.127 9.188 7.695 6.839 0.5
2010-06-21 11:00:00 22.681 22.034 20.698 19.103 17.344 15.199 13.04 11.175 9.213 7.645 6.813 0.5
2010-06-21 11:05:00 22.705 22.034 20.65 19.103 17.391 15.199 13.064 11.248 9.287 7.645 6.763 0.5
2010-06-21 11:10:00 22.776 22.058 20.627 19.103 17.368 15.223 13.161 11.224 9.287 7.645 6.737 0.5
2010-06-21 11:15:00 22.753 22.011 20.507 19.032 17.344 15.39 13.281 10.907 9.114 7.695 6.788 0.5
2010-06-21 11:20:00 22.8 22.034 20.555 19.008 17.415 15.39 13.209 10.858 9.139 7.745 6.788 0.5
2010-06-21 11:25:00 22.872 22.034 20.603 19.008 17.391 15.366 13.112 10.907 9.287 7.77 6.763 0.5
2010-06-21 11:30:00 22.92 22.082 20.507 19.032 17.415 15.318 13.088 10.98 9.41 7.795 6.788 0.5
2010-06-21 11:35:00 22.944 22.082 20.507 19.103 17.415 15.247 13.088 11.102 9.312 7.795 6.864 0.5
2010-06-21 11:40:00 22.848 22.13 20.579 19.151 17.415 15.294 13.064 11.078 9.114 7.77 6.914 0.5
2010-06-21 11:45:00 22.776 22.13 20.627 19.127 17.368 15.342 13.04 11.005 9.015 7.82 6.94 0.5
2010-06-21 11:50:00 22.824 22.202 20.65 19.08 17.344 15.39 13.088 11.053 8.99 7.795 6.94 0.5
2010-06-21 11:55:00 22.896 22.25 20.579 18.961 17.368 15.461 13.161 11.029 9.064 7.795 6.889 0.5
2010-06-21 12:00:00 22.896 22.298 20.555 18.985 17.439 15.414 13.185 11.102 9.04 7.67 6.839 0.5
2010-06-21 12:05:00 22.968 22.345 20.579 19.056 17.463 15.318 13.209 11.2 9.089 7.645 6.788 0.5
2010-06-21 12:10:00 22.992 22.369 20.627 19.103 17.486 15.27 13.209 11.175 9.089 7.72 6.788 0.5
2010-06-21 12:15:00 23.016 22.274 20.603 19.151 17.391 15.318 13.353 11.005 9.139 7.695 6.813 0.5
2010-06-21 12:20:00 23.064 22.25 20.627 19.199 17.439 15.318 13.233 10.98 9.089 7.695 6.864 0.5
2010-06-21 12:25:00 23.04 22.178 20.627 19.246 17.391 15.247 13.112 11.078 9.188 7.695 6.914 0.5
2010-06-21 12:30:00 23.04 22.25 20.746 19.365 17.249 15.223 13.088 11.175 9.262 7.745 6.94 0.5
2010-06-21 12:35:00 22.992 22.298 20.889 19.27 17.13 15.223 13.209 11.297 9.287 7.77 6.839 0.5
2010-06-21 12:40:00 23.04 22.321 20.96 19.199 17.177 15.294 13.137 11.224 9.213 7.795 6.813 0.5
2010-06-21 12:45:00 23.088 22.298 20.913 19.008 17.249 15.366 13.137 11.248 9.188 7.795 6.763 0.5
2010-06-21 12:50:00 23.136 22.393 20.913 18.961 17.439 15.414 13.064 11.273 9.262 7.795 6.737 0.5
2010-06-21 12:55:00 23.256 22.441 20.817 18.913 17.582 15.438 13.04 11.053 9.213 7.77 6.763 0.5
2010-06-21 13:00:00 23.304 22.465 20.793 18.913 17.701 15.223 13.112 11.053 9.188 7.645 6.763 0.5
2010-06-21 13:05:00 23.352 22.513 20.817 18.985 17.724 15.175 13.233 11.029 9.139 7.67 6.788 0.5
2010-06-21 13:10:00 23.448 22.513 20.722 18.985 17.582 15.199 13.329 11.053 9.139 7.77 6.839 0.5
2010-06-21 13:15:00 24.098 22.369 20.627 19.103 17.486 15.294 13.329 11.053 9.139 7.87 6.864 0.5
2010-06-21 13:20:00 24.339 24.026 22.705 21.056 18.675 18.081 16.153 14.122 12.025 10.394 8.568 0.5
