"datetime" "do.obs" "do.sat" "k.gas" "z.mix" "irr" "wtr"
2012-04-14 00:00:00 8.5198527830667 11.6175748802474 0 1 0 6.72
2012-04-14 00:05:00 8.85768157154923 11.6111343925712 0 1 0 6.74
2012-04-14 00:10:00 9.24401754561203 11.6047017683971 0 1 0 6.76
2012-04-14 00:15:00 9.41262381368712 11.6014884019451 0 1 0 6.77
2012-04-14 00:20:00 9.59835978984161 11.5886545440953 0 1 0 6.81
2012-04-14 00:25:00 10.3043837124709 11.5567067125632 0 1 0 6.91
2012-04-14 00:30:00 10.6397192448551 11.5503405192717 0 1 0 6.93
2012-04-14 00:35:00 10.6180458759584 11.5535226443454 0 1 0 6.92
2012-04-14 00:40:00 10.2614579718989 11.5790497036048 0 1 0 6.84
2012-04-14 00:45:00 9.53499760036718 11.5854509752878 0 1 0 6.82
2012-04-14 00:50:00 8.68633998902505 11.5567067125632 0 1 0 6.91
2012-04-14 00:55:00 6.20648584599588 11.6111343925712 0 1 0 6.74
2012-04-14 01:00:00 3.61818712164669 11.6175748802474 0 1 0 6.72
2012-04-14 01:05:00 5.28224653638306 11.5918600698989 0 1 0.0273333333332774 6.8
2012-04-14 01:10:00 6.11940383441373 11.5822493622121 0 1 0.0546666666666667 6.83
2012-04-14 01:15:00 6.19563757717858 11.5886545440953 0 1 0.0819999999999441 6.81
2012-04-14 01:20:00 7.09925521428897 11.5249533217043 0 1 0.109333333333333 7.01
2012-04-14 01:25:00 6.437667550481 11.6337105691359 0 1 0.136666666666611 6.67
2012-04-14 01:30:00 2.49762348455577 11.7020214552794 0 1 0.164 6.46
2012-04-14 01:35:00 2.34703032962476 11.6856773317109 0 1 0.191333333333389 6.51
2012-04-14 01:40:00 3.31817796280876 11.5918600698989 0 1 0.218666666666667 6.8
2012-04-14 01:45:00 2.88408531311726 11.6693830933449 0 1 0.246000000000056 6.56
2012-04-14 01:50:00 3.50647349411212 11.6563835113375 0 1 0.273333333333333 6.6
2012-04-14 01:55:00 3.53897766980069 11.6856773317109 0 1 0.300666666666723 6.51
2012-04-14 02:00:00 4.03354100173253 11.6954778092539 0 1 0.328 6.48
2012-04-14 02:05:00 4.27841350907694 11.6922089858388 0 1 0.30066666666662 6.49
2012-04-14 02:10:00 6.39832287793393 11.6531385785171 0 1 0.273333333333352 6.61
2012-04-14 02:15:00 7.96553686666594 11.6304794868605 0 1 0.245999999999972 6.68
2012-04-14 02:20:00 9.73004044034843 11.6014884019451 0 1 0.218666666666592 6.77
2012-04-14 02:25:00 9.7520196004203 11.5982769975568 0 1 0.191333333333324 6.78
2012-04-14 02:30:00 9.93261663055125 11.5950675539639 0 1 0.163999999999944 6.79
2012-04-14 02:35:00 7.13679992572159 11.6143536528354 0 1 0.136666666666676 6.73
2012-04-14 02:40:00 4.13759029354503 11.5982769975568 0 1 0.109333333333296 6.78
2012-04-14 02:45:00 3.7215610069164 11.6369436262161 0 1 0.082000000000028 6.66
2012-04-14 02:50:00 6.17124530325268 11.5886545440953 0 1 0.054666666666648 6.81
2012-04-14 02:55:00 5.95289570352006 11.6175748802474 0 1 0.0273333333333799 6.72
2012-04-14 03:00:00 7.91297671011439 11.6047017683971 0 1 0 6.76
2012-04-14 03:05:00 8.69584565458332 11.5886545440953 0 1 0 6.81
2012-04-14 03:10:00 8.27538068025274 11.6175748802474 0 1 0 6.72
2012-04-14 03:15:00 9.51567531757613 11.5758519982036 0 1 0 6.85
2012-04-14 03:20:00 9.59596305817004 11.5854509752878 0 1 0 6.82
2012-04-14 03:25:00 8.57453488237059 11.6079170981823 0 1 0 6.75
2012-04-14 03:30:00 9.00204018277368 11.6079170981823 0 1 0 6.75
2012-04-14 03:35:00 8.16128453764812 11.6111343925712 0 1 0 6.74
2012-04-14 03:40:00 7.45826491289255 11.6207980760808 0 1 0 6.71
2012-04-14 03:45:00 6.35676992173228 11.6434156699109 0 1 0 6.64
2012-04-14 03:50:00 6.25437045557414 11.6596304279429 0 1 0 6.59
2012-04-14 03:55:00 5.46950828075699 11.6596304279429 0 1 0 6.59
2012-04-14 04:00:00 4.52089160446497 11.6824144984042 0 1 0 6.52
2012-04-14 04:05:00 4.49406452160727 11.6758948128282 0 1 0.0273333333332774 6.54
2012-04-14 04:10:00 3.42039078180544 11.7020214552794 0 1 0.0546666666666667 6.46
2012-04-14 04:15:00 4.2527564554267 11.6889421604236 0 1 0.0819999999999441 6.5
2012-04-14 04:20:00 5.0918942897228 11.666130217658 0 1 0.109333333333333 6.57
2012-04-14 04:25:00 5.79626098121842 11.6498956281956 0 1 0.136666666666611 6.62
2012-04-14 04:30:00 6.9079349438478 11.6434156699109 0 1 0.164 6.64
2012-04-14 04:35:00 6.99717763271822 11.6498956281956 0 1 0.191333333333389 6.62
2012-04-14 04:40:00 7.26495027767894 11.6466546590882 0 1 0.218666666666667 6.63
2012-04-14 04:45:00 7.0916566178863 11.6434156699109 0 1 0.246000000000056 6.64
2012-04-14 04:50:00 6.43509484849677 11.6531385785171 0 1 0.273333333333333 6.61
2012-04-14 04:55:00 4.87226327364916 11.6693830933449 0 1 0.300666666666723 6.56
2012-04-14 05:00:00 3.89142335873036 11.6726379579712 0 1 0.328 6.55
2012-04-14 05:05:00 4.68229758500146 11.6531385785171 0 1 4.35066666667353 6.61
2012-04-14 05:10:00 5.27761380570599 11.6401786593808 0 1 8.37333333333059 6.65
2012-04-14 05:15:00 7.46776582051273 11.5950675539639 0 1 12.3960000000041 6.79
2012-04-14 05:20:00 9.36145060515941 11.5982769975568 0 1 16.4186666666776 6.78
2012-04-14 05:25:00 8.60832264176372 11.5854509752878 0 1 20.4413333333347 6.82
2012-04-14 05:30:00 8.21415418158055 11.5982769975568 0 1 24.4640000000082 6.78
2012-04-14 05:35:00 8.91100814756905 11.6175748802474 0 1 28.4866666666653 6.72
2012-04-14 05:40:00 8.18981544426785 11.6175748802474 0 1 32.5093333333388 6.72
2012-04-14 05:45:00 8.16737397063124 11.6014884019451 0 1 36.5319999999959 6.77
2012-04-14 05:50:00 7.99645732550592 11.6014884019451 0 1 40.5546666666694 6.77
2012-04-14 05:55:00 8.34841227370148 11.5982769975568 0 1 44.5773333333265 6.78
2012-04-14 06:00:00 6.99367172506577 11.6434156699109 0 1 48.6 6.64
2012-04-14 06:05:00 7.11058024088504 11.6111343925712 0 1 66.5333333333639 6.74
2012-04-14 06:10:00 8.30398244088821 11.6240232416101 0 1 84.4666666666544 6.7
2012-04-14 06:15:00 7.52504634869363 11.6304794868605 0 1 102.400000000018 6.68
2012-04-14 06:20:00 8.97088160989852 11.5982769975568 0 1 120.333333333309 6.78
2012-04-14 06:25:00 9.9617558049872 11.5854509752878 0 1 138.266666666673 6.82
2012-04-14 06:30:00 9.53976164307518 11.5918600698989 0 1 156.199999999963 6.8
2012-04-14 06:35:00 8.86768137407556 11.6079170981823 0 1 174.133333333327 6.75
2012-04-14 06:40:00 7.8226233007223 11.6369436262161 0 1 192.066666666618 6.66
2012-04-14 06:45:00 7.81674966691767 11.6272503781112 0 1 209.999999999982 6.69
2012-04-14 06:50:00 7.32743826366774 11.6272503781112 0 1 227.933333333346 6.69
2012-04-14 06:55:00 6.36582803814647 11.6369436262161 0 1 245.866666666636 6.66
2012-04-14 07:00:00 5.36870770217445 11.6531385785171 0 1 263.8 6.61
2012-04-14 07:05:00 3.69501082327394 11.6726379579712 0 1 256.941666666681 6.55
2012-04-14 07:10:00 4.7660136490264 11.6143536528354 0 1 250.083333333333 6.73
2012-04-14 07:15:00 7.192505065212 11.6047017683971 0 1 243.225000000014 6.76
2012-04-14 07:20:00 8.68148119112715 11.5854509752878 0 1 236.366666666667 6.82
2012-04-14 07:25:00 8.79341475028692 11.5886545440953 0 1 229.508333333347 6.81
2012-04-14 07:30:00 9.22949883676714 11.6014884019451 0 1 222.65 6.77
2012-04-14 07:35:00 8.55714192050843 11.6369436262161 0 1 215.791666666653 6.66
2012-04-14 07:40:00 5.27329273705271 11.6596304279429 0 1 208.933333333333 6.59
2012-04-14 07:45:00 5.45587659048913 11.6563835113375 0 1 202.074999999986 6.6
2012-04-14 07:50:00 5.8590006430123 11.6531385785171 0 1 195.216666666667 6.61
2012-04-14 07:55:00 5.29649143166586 11.6563835113375 0 1 188.358333333319 6.6
2012-04-14 08:00:00 6.27384829480951 11.6240232416101 0 1 181.5 6.7
2012-04-14 08:05:00 7.70923734020354 11.6111343925712 0 1 216.341666666726 6.74
2012-04-14 08:10:00 7.859778105469 11.6175748802474 0 1 251.18333333331 6.72
2012-04-14 08:15:00 7.71309484378062 11.6175748802474 0 1 286.025000000036 6.72
2012-04-14 08:20:00 7.1299289588186 11.6240232416101 0 1 320.866666666762 6.7
2012-04-14 08:25:00 7.06701167156049 11.6207980760808 0 1 355.708333333345 6.71
2012-04-14 08:30:00 7.90435762805868 11.6304794868605 0 1 390.550000000071 6.68
2012-04-14 08:35:00 8.40182023106068 11.6240232416101 0 1 425.391666666655 6.7
2012-04-14 08:40:00 8.36722499557385 11.6272503781112 0 1 460.233333333381 6.69
2012-04-14 08:45:00 8.64208883447369 11.6175748802474 0 1 495.074999999964 6.72
2012-04-14 08:50:00 5.99082746338112 11.6466546590882 0 1 529.91666666669 6.63
2012-04-14 08:55:00 5.40683500315889 11.6563835113375 0 1 564.758333333274 6.6
2012-04-14 09:00:00 4.93362679094953 11.6693830933449 0 1 599.6 6.56
2012-04-14 09:05:00 3.50735284371413 11.6596304279429 0 1 609.800000000017 6.59
2012-04-14 09:10:00 5.91474514391995 11.6143536528354 0 1 619.999999999993 6.73
2012-04-14 09:15:00 7.05478500776886 11.6207980760808 0 1 630.200000000011 6.71
2012-04-14 09:20:00 7.16124102135762 11.6143536528354 0 1 640.399999999986 6.73
2012-04-14 09:25:00 6.31802322191449 11.6143536528354 0 1 650.600000000004 6.73
2012-04-14 09:30:00 6.07969418538041 11.6272503781112 0 1 660.799999999979 6.69
2012-04-14 09:35:00 2.89999559053112 11.6856773317109 0 1 670.999999999997 6.51
2012-04-14 09:40:00 2.99830052580336 11.6856773317109 0 1 681.199999999972 6.51
2012-04-14 09:45:00 5.85318117155257 11.5598927251794 0 1 691.39999999999 6.9
2012-04-14 09:50:00 7.89014637740516 11.6272503781112 0 1 701.600000000007 6.69
2012-04-14 09:55:00 6.83102316401102 11.6369436262161 0 1 711.799999999983 6.66
2012-04-14 10:00:00 6.11333927244821 11.6466546590882 0 1 722 6.63
2012-04-14 10:05:00 6.00930564122846 11.6337105691359 0 1 730.333333333316 6.67
2012-04-14 10:10:00 6.61360959921226 11.5950675539639 0 1 738.666666666667 6.79
2012-04-14 10:15:00 7.81967674323682 11.5918600698989 0 1 746.999999999983 6.8
2012-04-14 10:20:00 5.63554321708653 11.6466546590882 0 1 755.333333333333 6.63
2012-04-14 10:25:00 3.78664184136695 11.6922089858388 0 1 763.66666666665 6.49
2012-04-14 10:30:00 3.36948242217901 11.6954778092539 0 1 772 6.48
2012-04-14 10:35:00 3.52491893312046 11.6791536592081 0 1 780.33333333335 6.53
2012-04-14 10:40:00 5.81785301121933 11.6434156699109 0 1 788.666666666667 6.64
2012-04-14 10:45:00 7.19970342787129 11.6175748802474 0 1 797.000000000017 6.72
2012-04-14 10:50:00 6.86966608907244 11.6175748802474 0 1 805.333333333333 6.72
2012-04-14 10:55:00 5.30077603945658 11.6369436262161 0 1 813.666666666684 6.66
2012-04-14 11:00:00 3.39017853894152 11.6337105691359 0 1 822 6.67
2012-04-14 11:05:00 7.80502534164502 11.6079170981823 0 1 777.916666666591 6.75
2012-04-14 11:10:00 8.24664817227471 11.5918600698989 0 1 733.833333333363 6.8
2012-04-14 11:15:00 8.85325326363107 11.6047017683971 0 1 689.749999999955 6.76
2012-04-14 11:20:00 9.48859455717506 11.5886545440953 0 1 645.666666666546 6.81
2012-04-14 11:25:00 8.49487564692432 11.5982769975568 0 1 601.583333333318 6.78
2012-04-14 11:30:00 6.42318788506199 11.6047017683971 0 1 557.49999999991 6.76
2012-04-14 11:35:00 7.56641158209224 11.6175748802474 0 1 513.416666666682 6.72
2012-04-14 11:40:00 7.41895689358128 11.5950675539639 0 1 469.333333333273 6.79
2012-04-14 11:45:00 7.54385155943394 11.6207980760808 0 1 425.250000000045 6.71
2012-04-14 11:50:00 6.49475331933565 11.6498956281956 0 1 381.166666666637 6.62
2012-04-14 11:55:00 4.28040332004547 11.6240232416101 0 1 337.083333333409 6.7
2012-04-14 12:00:00 1.81363693819155 11.7381549239316 0 1 293 6.35
2012-04-14 12:05:00 2.44347336632841 11.7414518561751 0 1 339.333333333412 6.34
