"datetime" "wtr_0" "wtr_0.25" "wtr_0.5" "wtr_0.75" "wtr_1" "wtr_1.25" "wtr_1.5" "wtr_1.75" "wtr_2" "wtr_2.5" "wtr_3" "z.mix"
2012-04-15 00:00:00 10.32 10.296 10.296 10.32 8.941 8.095 7.645 7.419 7.192 6.737 5.693 0.699659330695815
2012-04-15 00:05:00 10.32 10.32 10.296 10.32 8.965 8.02 7.619 7.419 7.192 6.763 5.616 0.702894493856523
2012-04-15 00:10:00 10.222 10.296 10.296 10.32 9.46 8.045 7.645 7.419 7.192 6.763 5.616 0.713932046795666
2012-04-15 00:15:00 10.173 10.296 10.296 10.296 9.854 8.245 7.72 7.444 7.217 6.788 5.616 0.7841402131177
2012-04-15 00:20:00 10.271 10.296 10.296 10.296 9.78 8.369 7.745 7.494 7.217 6.788 5.77 0.76208274929863
2012-04-15 00:25:00 10.149 10.296 10.271 10.296 10.075 8.444 7.77 7.494 7.192 6.839 5.898 0.888029113439327
2012-04-15 00:30:00 10.198 10.296 10.271 10.296 10.1 8.494 7.795 7.494 7.242 6.914 6.102 0.893927772463467
2012-04-15 00:35:00 10.271 10.271 10.271 10.271 9.657 8.27 7.745 7.494 7.242 6.914 6.179 0.74151210669857
2012-04-15 00:40:00 10.271 10.271 10.247 10.271 9.682 8.145 7.695 7.494 7.242 6.914 6.102 0.751474776953503
2012-04-15 00:45:00 10.222 10.271 10.247 10.247 9.977 8.245 7.72 7.519 7.242 6.914 5.847 0.877115732478794
2012-04-15 00:50:00 10.247 10.271 10.247 10.247 10.075 8.319 7.72 7.494 7.242 6.914 5.668 0.89669779103385
2012-04-15 00:55:00 10.271 10.247 10.222 10.247 10.124 8.593 7.72 7.494 7.217 6.889 5.591 0.913276736103614
2012-04-15 01:00:00 10.247 10.247 10.222 10.222 10.149 8.543 7.695 7.494 7.242 6.889 5.385 0.921160017967858
2012-04-15 01:05:00 10.247 10.247 10.222 10.222 10.173 8.568 7.77 7.494 7.242 6.889 5.385 0.925213658958275
2012-04-15 01:10:00 10.247 10.222 10.198 10.222 10.173 8.469 7.795 7.494 7.242 6.889 5.462 0.920793475111608
2012-04-15 01:15:00 10.198 10.222 10.198 10.198 10.1 8.369 7.745 7.519 7.268 6.965 5.488 0.911311812569074
2012-04-15 01:20:00 10.198 10.198 10.173 10.198 9.928 8.245 7.77 7.544 7.293 6.965 5.462 0.877613822644414
2012-04-15 01:25:00 10.198 10.198 10.173 10.173 10.075 8.27 7.77 7.569 7.293 6.965 5.462 0.909039898245637
2012-04-15 01:30:00 10.198 10.173 10.149 10.173 10.1 8.344 7.77 7.544 7.268 6.889 5.668 0.914869009993029
2012-04-15 01:35:00 10.173 10.173 10.149 10.173 10.1 8.344 7.845 7.645 7.343 6.94 5.616 0.914218041798545
2012-04-15 01:40:00 10.173 10.173 10.149 10.173 9.952 8.27 7.995 7.82 7.469 6.99 5.539 0.875
2012-04-15 01:45:00 10.173 10.173 10.149 10.149 10.001 8.344 8.17 7.97 7.544 6.99 5.642 0.875
2012-04-15 01:50:00 10.149 10.149 10.149 10.149 10.026 8.419 8.12 7.845 7.419 6.889 5.796 0.907160460799683
2012-04-15 01:55:00 10.124 10.149 10.124 10.149 10.051 8.519 8.17 7.745 7.343 6.484 5.719 1.375
2012-04-15 02:00:00 10.149 10.149 10.124 10.124 9.903 8.419 8.02 7.619 7.268 6.281 5.616 0.890211675760598
2012-04-15 02:05:00 10.149 10.124 10.124 10.124 9.657 8.394 8.02 7.645 7.293 6.509 5.668 0.779932031727293
2012-04-15 02:10:00 10.124 10.124 10.124 10.124 9.829 8.419 8.02 7.645 7.318 6.585 5.668 0.867026845242605
2012-04-15 02:15:00 10.124 10.124 10.124 10.124 10.026 8.519 7.995 7.619 7.293 6.458 5.719 0.916922710722996
2012-04-15 02:20:00 10.1 10.124 10.124 10.124 10.051 8.543 8.02 7.619 7.318 6.661 5.745 0.92176170811093
2012-04-15 02:25:00 10.1 10.124 10.1 10.124 10.026 8.519 8.045 7.645 7.318 6.737 5.872 0.916352837295203
2012-04-15 02:30:00 10.051 10.1 10.1 10.1 10.026 8.519 7.97 7.594 7.293 6.712 5.77 0.922175588559129
2012-04-15 02:35:00 10.1 10.1 10.075 10.1 10.026 8.568 7.87 7.544 7.268 6.737 5.847 0.92588324359029
2012-04-15 02:40:00 10.051 10.075 10.075 10.1 10.051 8.568 7.795 7.494 7.192 6.712 5.796 0.930896845149288
2012-04-15 02:45:00 10.075 10.075 10.075 10.075 9.977 8.519 7.795 7.494 7.167 6.636 5.539 0.921462763024473
2012-04-15 02:50:00 10.026 10.051 10.051 10.075 10.001 8.568 7.795 7.494 7.192 6.712 5.539 0.928207101623815
2012-04-15 02:55:00 10.026 10.075 10.051 10.075 9.977 8.494 7.795 7.494 7.217 6.813 5.539 0.920261278014613
2012-04-15 03:00:00 10.051 10.051 10.051 10.075 10.051 8.618 7.87 7.544 7.242 6.864 5.616 0.938067991882158
2012-04-15 03:05:00 10.075 10.075 10.051 10.075 10.026 8.618 7.87 7.569 7.293 6.914 5.719 0.934240232454922
2012-04-15 03:10:00 10.051 10.075 10.051 10.075 9.977 8.469 7.87 7.594 7.318 6.914 5.796 0.918268169137499
2012-04-15 03:15:00 10.051 10.051 10.051 10.051 9.903 8.419 7.87 7.569 7.293 6.914 5.872 0.908285107539254
2012-04-15 03:20:00 10.051 10.051 10.026 10.051 9.952 8.369 7.845 7.569 7.318 6.94 5.949 0.915300782866777
