,V1,V2,V3,V4
1,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,All Terrestrial,All Phytoplankton,Periphyton,NA
9,All Terrestrial,All Phytoplankton,NA,NA
10,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,All Terrestrial,Submersed Macrophytes,NA,NA
14,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,All Terrestrial,Floating Macrophytes,NA,NA
16,All Terrestrial,All Macrophytes,Periphyton,NA
17,All Terrestrial,All Macrophytes,NA,NA
18,All Terrestrial,Periphyton,NA,NA
