"","Taxon","Year","d13C","d15N","dD","Trophic","ID"
"1","Alder",2010,-27.9816666666667,-1.635,-152.85,0,1
"2","BHD",2010,-28.31875,4.3525,-165.9125,2.125,2
"27","BHD",2012,-30.6533333333333,5.20133333333333,-156.893333333333,2.66666666666667,2
"3","Brasenia schreberi",2010,-23.8566666666667,-5.53833333333333,-146.816666666667,0,3
"4","Calanoid",2010,-33.6438235294118,3.78794117647059,-192.576470588235,1,4
"28","Calanoid",2012,-35.675,6.28055555555556,-196.161111111111,1,4
"5","Chaoborus",2010,-32.9605,4.828,-181.265,2,5
"29","Chaoborus",2012,-33.4071428571429,6.50428571428571,-174.057142857143,2,5
"6","Chara",2010,-17.1966666666667,-4.65333333333333,-119.016666666667,0,6
"7","CMM",2010,-30.7177777777778,6.08777777777778,-151.188888888889,2.11111111111111,7
"30","CMM",2012,-31.725,4.77583333333333,-154.5,2.25,7
"8","DAC",2010,-28.54,4.325,-181.666666666667,2,8
"31","DAC",2012,-30.2983333333333,4.87333333333333,-169.925,2,8
"9","DOM",2010,-28.192,-3.744,-116.08,0,9
"32","DOM",2012,-19.4616666666667,0.106666666666667,-156.85,0,9
"10","FHM",2010,-31.6391666666667,4.20833333333333,-188.841666666667,2,10
"33","FHM",2012,-33.58875,3.26125,-181.03125,2,10
"11","Helisoma trivolvis",2010,-25.31,0.17,-150.566666666667,1,11
"34","Helisoma trivolvis",2012,-28.2883333333333,0.633333333333333,-159.05,1,11
"12","Mesocyclops",2010,-36.145,5.0825,-176.85,1,12
"35","Mesocyclops",2012,-35.27,5.51142857142857,-176.928571428571,1,12
"13","Najas flexilis",2010,-20.2975,-7.325,-133.225,0,13
"14","Nuphar variegata",2010,-24.4757142857143,-1.86857142857143,-150.5,0,14
"15","Nymphaea odorata",2010,-24.2942857142857,-3.04714285714286,-142.971428571429,0,15
"16","Periphyton",2010,-21.9666666666667,-0.04,-196.383333333333,0,16
"36","Periphyton",2012,-26.34,1.64166666666667,-206.8,0,16
"17","Pickerell Weed",2010,-28.455,-1.34,-133.1,0,17
"18","PKS",2010,-30.0066666666667,5.62333333333333,-160.716666666667,2,18
"37","PKS",2012,-31.7675,5.0975,-177.5,2,18
"19","Potamogeton amplifolius",2010,-20.365,-0.875,-132,0,19
"20","Potamogeton nodosus",2010,-25.195,-5.47,-175.4,0,20
"21","Potamogeton pusillus",2010,-16.2685714285714,-6.88857142857143,-137.314285714286,0,21
"22","Sedge",2010,-29.3333333333333,-0.805,-142.633333333333,0,22
"23","Tamarack",2010,-28.945,-5.265,-171.35,0,23
"24","Tree",2010,-29.1666666666667,-4.80166666666667,-126.786666666667,0,24
"25","MetaPhyto",2010,-35.87223,0.3779499549,-229.8915,0,25
"38","MetaPhyto",2012,-37.4299,3.1657385509,-222.2297,0,25
"26","EpiPhyto",2010,-32.34414,0.4231551509,-225.5968,0,26
"39","EpiPhyto",2012,-33.66737,3.18919915,-216.1116,0,26
