Group.1,Group.2,Group.3,x,,,,,
1,2010,Calanoid,651.406,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,Calanoid,638.4858,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,Calanoid,651.6388,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,Calanoid,638.3522,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,Calanoid,651.0906,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,Calanoid,638.5484,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,Calanoid,651.4614,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,Calanoid,637.8825,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,Calanoid,651.1963,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,Calanoid,712.6544,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,Calanoid,783.5239,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,Calanoid,712.1247,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,Calanoid,783.0889,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,Calanoid,711.9756,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,Calanoid,782.6335,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,Calanoid,712.017,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,Calanoid,782.8005,,All Terrestrial,All Macrophytes,NA,NA
18,2010,Calanoid,711.345,,All Terrestrial,Periphyton,NA,NA
1,2012,Calanoid,334.7333,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,Calanoid,332.2314,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,Calanoid,335.0249,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,Calanoid,332.1509,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,Calanoid,334.8979,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,Calanoid,332.1337,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,Calanoid,335.2391,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,Calanoid,331.5188,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,Calanoid,335.8812,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,Calanoid,399.5582,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,Calanoid,451.4845,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,Calanoid,398.8473,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,Calanoid,451.1904,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,Calanoid,398.7459,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,Calanoid,451.1869,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,Calanoid,398.9085,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,Calanoid,451.1385,,All Terrestrial,All Macrophytes,NA,NA
18,2012,Calanoid,398.2462,,All Terrestrial,Periphyton,NA,NA
1,2010,Chaoborus,393.0875,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,Chaoborus,389.3908,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,Chaoborus,394.312,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,Chaoborus,388.8569,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,Chaoborus,392.7032,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,Chaoborus,389.0864,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,Chaoborus,393.9848,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,Chaoborus,388.7248,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,Chaoborus,394.4098,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,Chaoborus,434.9876,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,Chaoborus,449.5038,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,Chaoborus,434.5694,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,Chaoborus,449.3347,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,Chaoborus,434.5623,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,Chaoborus,448.7641,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,Chaoborus,434.5327,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2010,Chaoborus,448.9304,,All Terrestrial,All Macrophytes,NA,NA
18,2010,Chaoborus,434.3069,,All Terrestrial,Periphyton,NA,NA
1,2012,Chaoborus,124.3254,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2012,Chaoborus,122.5674,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2012,Chaoborus,125.4706,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2012,Chaoborus,122.0888,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2012,Chaoborus,124.337,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2012,Chaoborus,122.437,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2012,Chaoborus,126.1632,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2012,Chaoborus,121.7544,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2012,Chaoborus,125.9677,,All Terrestrial,All Phytoplankton,NA,NA
10,2012,Chaoborus,144.8653,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2012,Chaoborus,163.2947,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2012,Chaoborus,144.5661,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2012,Chaoborus,162.5775,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2012,Chaoborus,144.3979,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2012,Chaoborus,162.641,,All Terrestrial,Floating Macrophytes,NA,NA
16,2012,Chaoborus,144.5596,,All Terrestrial,All Macrophytes,Periphyton,NA
17,2012,Chaoborus,162.6329,,All Terrestrial,All Macrophytes,NA,NA
18,2012,Chaoborus,144.0556,,All Terrestrial,Periphyton,NA,NA
1,2010,Helisoma trivolvis,82.2373,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Floating Macrophytes
2,2010,Helisoma trivolvis,85.12685,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,Periphyton
3,2010,Helisoma trivolvis,89.00537,,All Terrestrial,All Phytoplankton,Submersed Macrophytes,NA
4,2010,Helisoma trivolvis,84.6763,,All Terrestrial,All Phytoplankton,Floating Macrophytes,Periphyton
5,2010,Helisoma trivolvis,84.14141,,All Terrestrial,All Phytoplankton,Floating Macrophytes,NA
6,2010,Helisoma trivolvis,95.35335,,All Terrestrial,All Phytoplankton,All Macrophytes,Periphyton
7,2010,Helisoma trivolvis,96.11776,,All Terrestrial,All Phytoplankton,All Macrophytes,NA
8,2010,Helisoma trivolvis,99.93151,,All Terrestrial,All Phytoplankton,Periphyton,NA
9,2010,Helisoma trivolvis,103.69385,,All Terrestrial,All Phytoplankton,NA,NA
10,2010,Helisoma trivolvis,81.78898,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,Periphyton
11,2010,Helisoma trivolvis,81.25098,,All Terrestrial,Submersed Macrophytes,Floating Macrophytes,NA
12,2010,Helisoma trivolvis,83.62057,,All Terrestrial,Submersed Macrophytes,Periphyton,NA
13,2010,Helisoma trivolvis,94.11936,,All Terrestrial,Submersed Macrophytes,NA,NA
14,2010,Helisoma trivolvis,84.06171,,All Terrestrial,Floating Macrophytes,Periphyton,NA
15,2010,Helisoma trivolvis,82.57794,,All Terrestrial,Floating Macrophytes,NA,NA
16,2010,Helisoma trivolvis,94.40859,,All Terrestrial,All Macrophytes,Periphyton,NA
