Name,Depth,Location,Format,Year,Date
A14APR12.CDF,A,Pelagic,CDF,2012,2012-04-14
A03MAY12.txt,A,Pelagic,txt,2012,2012-05-03
A03JUN12.txt,A,Pelagic,txt,2012,2012-06-03
A23JUN12.txt,A,Pelagic,txt,2012,2012-06-23
A14JUL12.txt,A,Pelagic,txt,2012,2012-07-14
A06AUG12.txt,A,Pelagic,txt,2012,2012-08-06
B14APR12.CDF,B,Pelagic,CDF,2012,2012-04-14
B03MAY12.txt,B,Pelagic,txt,2012,2012-05-03
B03JUN12.txt,B,Pelagic,txt,2012,2012-06-03
B23JUN12.txt,B,Pelagic,txt,2012,2012-06-23
B14JUL12.txt,B,Pelagic,txt,2012,2012-07-14
B06AUG12.CDF,B,Pelagic,CDF,2012,2012-08-06
